year,repo,issues_opened,issues_closed,prs_opened,prs_closed,commits,unique_authors
2018,csl-websanlexicon,0,0,0,0,78,1
2018,hwnorm1,0,0,0,0,2,1
2018,rvlinks,0,0,0,0,4,1
2018,sanskrit-fonts,0,0,0,0,2,1
2018,sanskrit-lexicon.github.io,0,0,0,0,1,1
2019,ApteES,1,1,0,0,0,0
2019,ArabicInSanskrit,1,0,0,0,0,0
2019,COLOGNE,50,21,0,0,3,2
2019,CORRECTIONS,16,16,0,0,20,2
2019,GRA,2,0,0,0,0,0
2019,GreekInSanskrit,7,5,0,0,0,0
2019,MWS,10,3,0,0,0,0
2019,MWinflect,8,0,0,0,21,1
2019,PWG,3,0,0,0,0,0
2019,SKD,1,1,0,0,0,0
2019,VCP,1,0,0,0,0,0
2019,cologne-stardict,14,9,0,0,45,1
2019,csl-apidev,13,3,0,0,94,4
2019,csl-corrections,10,7,0,0,49,2
2019,csl-doc,3,1,0,0,9,2
2019,csl-homepage,2,0,0,0,17,2
2019,csl-inflect,3,0,0,0,24,1
2019,csl-kale,0,0,0,0,3,1
2019,csl-orig,89,76,2,2,61,4
2019,csl-pywork,13,1,1,1,81,5
2019,csl-websanlexicon,10,3,0,0,53,2
2019,csl-westergaard,0,0,0,0,2,1
2019,csl-whitroot,0,0,0,0,3,1
2019,hwnorm1,1,0,0,0,2,1
2020,AP90,5,0,0,0,8,1
2020,ApteES,0,3,0,0,0,0
2020,ArabicInSanskrit,0,5,0,0,0,0
2020,BEN,1,0,0,0,2,1
2020,BUR,1,0,0,0,3,1
2020,CAE,1,0,0,0,15,2
2020,CCS,1,0,0,0,3,1
2020,COLOGNE,37,74,0,0,4,1
2020,CORRECTIONS,3,11,0,0,1,1
2020,GRA,7,4,0,0,5,2
2020,GreekInSanskrit,1,6,0,0,0,0
2020,KRM,3,0,0,0,4,1
2020,MD,1,0,0,0,3,1
2020,MW72,0,1,0,0,0,0
2020,MWS,14,23,0,0,12,1
2020,PWG,3,5,0,0,5,1
2020,PWK,1,3,0,0,5,1
2020,SCH,0,3,0,0,0,0
2020,SKD,3,2,0,0,18,1
2020,STC,1,0,0,0,2,1
2020,VCP,3,2,0,0,11,1
2020,WIL,5,0,0,0,7,1
2020,Wil-YAT,0,4,0,0,0,0
2020,alternateheadwords,1,2,0,0,0,0
2020,cologne-stardict,0,2,0,0,8,1
2020,csl-apidev,12,10,0,0,59,2
2020,csl-corrections,17,5,0,0,72,1
2020,csl-doc,1,1,0,0,2,1
2020,csl-homepage,3,4,0,0,10,1
2020,csl-inflect,9,2,0,0,32,1
2020,csl-orig,317,302,0,0,268,1
2020,csl-pywork,12,13,0,0,41,1
2020,csl-websanlexicon,10,9,0,0,41,1
2020,csl-whitroot,0,0,0,0,1,1
2020,hwnorm1,4,1,0,0,15,1
2020,hwnorm2,4,0,0,0,8,1
2020,rvlinks,2,1,1,1,9,3
2020,sanskrit-lexicon.github.io,0,0,0,0,7,1
2021,AP90,18,10,0,0,26,2
2021,ApteES,0,1,0,0,3,1
2021,ArabicInSanskrit,1,1,0,0,0,0
2021,BEN,4,2,0,0,15,2
2021,BHS,1,0,0,0,3,1
2021,BOR,1,0,0,0,12,1
2021,CAE,1,0,0,0,5,3
2021,CCS,1,0,0,0,0,0
2021,COLOGNE,57,18,0,0,14,2
2021,CORRECTIONS,1,4,0,0,76,3
2021,GRA,7,3,0,0,0,0
2021,GreekInSanskrit,9,5,0,0,0,0
2021,INM,7,6,0,0,4,1
2021,MD,1,1,0,0,0,0
2021,MW72,0,1,0,0,0,0
2021,MWS,42,19,0,0,142,4
2021,PWG,11,6,0,0,15,1
2021,PWK,12,1,0,0,11,2
2021,SCH,1,1,0,0,0,0
2021,SKD,3,0,0,0,5,1
2021,VCP,17,7,0,0,56,2
2021,WIL,1,0,0,0,0,0
2021,alternateheadwords,1,2,0,0,11,1
2021,avlinks,1,0,0,0,6,1
2021,cologne-hugo,0,0,0,0,1,1
2021,cologne-stardict,17,17,0,0,260,1
2021,csl-apidev,5,1,0,0,74,1
2021,csl-corrections,54,46,0,0,64,2
2021,csl-devanagari,36,23,0,0,101,1
2021,csl-doc,1,2,0,0,4,2
2021,csl-homepage,5,5,0,0,17,2
2021,csl-inflect,1,0,0,0,2,1
2021,csl-json,7,7,0,0,86,1
2021,csl-ldev,0,0,2,1,52,2
2021,csl-lnum,3,1,1,1,50,2
2021,csl-newsletter,0,0,0,0,11,1
2021,csl-orig,306,289,8,8,393,3
2021,csl-pywork,3,6,0,0,106,3
2021,csl-websanlexicon,3,1,0,0,26,2
2021,hwnorm1,2,2,0,0,5,1
2021,hwnorm2,0,0,0,0,4,1
2021,sanskrit-lexicon.github.io,0,0,0,0,11,2
2021,temp_corrections_acc,0,0,0,0,28,2
2021,temp_corrections_ae,0,0,0,0,19,2
2021,temp_corrections_ap90,2,1,0,0,24,2
2021,temp_corrections_mw,2,1,0,0,7,2
2022,AP90,1,0,0,0,0,0
2022,ArabicInSanskrit,1,0,0,0,0,0
2022,BEN,3,1,0,0,5,1
2022,BOP,3,0,0,0,5,1
2022,BOR,1,0,0,0,0,0
2022,BUR,2,1,0,0,9,1
2022,COLOGNE,12,1,0,0,9,1
2022,CORRECTIONS,0,1,0,0,0,0
2022,GRA,1,1,0,0,0,0
2022,GreekInSanskrit,0,10,0,0,0,0
2022,INM,2,1,0,0,3,1
2022,LRV,24,19,0,0,119,2
2022,MD,7,4,0,0,41,2
2022,MWS,18,21,0,0,56,4
2022,PWG,19,7,0,0,20,1
2022,PWK,11,5,0,0,14,2
2022,SCH,2,2,0,0,4,1
2022,SKD,3,1,0,0,3,2
2022,VCP,0,0,0,0,19,1
2022,WIL,1,0,0,0,0,0
2022,cologne-stardict,2,4,0,0,33,1
2022,csl-apidev,5,2,0,0,53,2
2022,csl-corrections,1,1,0,0,41,2
2022,csl-devanagari,4,0,0,0,6,1
2022,csl-homepage,4,2,0,0,7,2
2022,csl-inflect,0,0,0,0,1,1
2022,csl-json,2,2,0,0,6,1
2022,csl-kale,1,1,0,0,1,1
2022,csl-ldev,8,1,6,3,10,1
2022,csl-lnum,0,1,0,0,0,0
2022,csl-newsletter,0,0,0,0,9,1
2022,csl-orig,312,295,0,0,153,3
2022,csl-pywork,1,0,0,0,49,3
2022,csl-websanlexicon,5,2,0,0,45,2
2022,csl-westergaard,0,0,0,0,1,1
2022,hwnorm1,0,0,0,0,2,2
2022,literarysource,3,0,0,0,25,1
2022,mw-dev,1,0,0,0,0,0
2022,temp_corrections_ap90,0,0,0,0,5,2
2023,AP90,0,1,0,0,0,0
2023,BEN,0,1,0,0,5,2
2023,BHS,4,2,0,0,18,1
2023,BOP,2,2,0,0,8,2
2023,BUR,1,2,0,0,6,2
2023,COLOGNE,16,8,0,0,16,1
2023,CORRECTIONS,1,0,0,0,0,0
2023,GRA,13,18,0,0,39,1
2023,LRV,0,3,0,0,0,0
2023,MD,2,2,0,0,17,2
2023,MWS,10,24,0,0,12,2
2023,PWG,4,3,0,0,12,1
2023,PWK,11,9,0,0,77,2
2023,SKD,1,2,0,0,1,1
2023,STC,1,0,0,0,0,0
2023,avlinks,0,0,0,0,1,1
2023,cologne-stardict,2,4,0,0,33,1
2023,csl-apidev,2,2,0,0,36,2
2023,csl-corrections,3,10,0,0,17,2
2023,csl-doc,0,0,0,0,3,1
2023,csl-homepage,2,1,0,0,7,2
2023,csl-inflect,1,1,0,0,2,1
2023,csl-kale,1,0,0,0,1,1
2023,csl-ldev,1,0,3,7,2,2
2023,csl-newsletter,1,0,0,0,17,2
2023,csl-orig,433,440,1,1,162,2
2023,csl-pywork,1,1,0,0,40,2
2023,csl-websanlexicon,6,3,0,0,28,2
2023,csl-whitroot,0,0,0,0,1,1
2023,hwnorm1,0,0,0,0,9,2
2023,mw-dev,22,6,0,0,38,3
2023,test_cologne_push,0,0,0,0,4,1
2024,AMAR,1,0,0,0,5,1
2024,ApteES,2,0,0,0,4,1
2024,BEN,1,1,0,0,1,1
2024,BHS,0,0,0,0,1,1
2024,BOP,2,4,0,0,11,2
2024,BOR,1,0,0,0,0,0
2024,BUR,1,1,0,0,4,1
2024,COLOGNE,17,15,0,0,17,1
2024,FRI,2,0,0,0,3,2
2024,GRA,2,1,0,0,2,1
2024,LRV,1,1,0,0,2,1
2024,MD,2,1,0,0,6,1
2024,MWS,23,41,0,0,54,1
2024,PWG,15,11,0,0,31,1
2024,PWK,8,14,0,0,27,1
2024,SCH,2,1,0,0,3,1
2024,VCP,0,0,0,0,3,1
2024,cologne-stardict,1,1,0,0,2,1
2024,csl-apidev,3,2,0,0,52,2
2024,csl-corrections,6,5,0,0,118,2
2024,csl-devanagari,3,3,0,0,4,1
2024,csl-homepage,0,1,0,0,1,1
2024,csl-ldev,0,0,1,1,0,0
2024,csl-orig,276,278,8,8,224,4
2024,csl-pywork,3,1,0,0,41,1
2024,csl-websanlexicon,10,8,0,0,61,1
2024,hwnorm1,0,0,0,0,5,2
2025,AP,3,1,0,0,7,1
2025,AP90,3,0,0,0,8,1
2025,BEN,0,1,0,0,0,0
2025,COLOGNE,17,2,0,0,88,1
2025,CORRECTIONS,1,0,0,0,5,1
2025,FRI,2,0,0,0,2,1
2025,GRA,2,0,0,0,0,0
2025,MWS,9,3,0,0,6,1
2025,PWG,86,64,0,0,220,2
2025,PWK,1,1,0,0,9,1
2025,SHS,1,0,0,0,2,1
2025,SKD,1,0,0,0,0,0
2025,VEI,1,0,0,0,0,0
2025,WIL,1,0,0,0,0,0
2025,csl-apidev,1,1,0,0,78,2
2025,csl-corrections,13,8,0,0,152,2
2025,csl-doc,0,0,0,0,1,1
2025,csl-homepage,1,0,0,0,4,2
2025,csl-lnum,0,0,0,0,2,1
2025,csl-newsletter,1,0,0,0,0,0
2025,csl-orig,1023,130,2,2,258,3
2025,csl-pywork,1,1,0,0,31,1
2025,csl-websanlexicon,8,3,0,0,75,2
2025,csl-westergaard,1,0,0,0,0,0
2025,hwnorm2,1,1,0,0,3,1
2026,ACC,0,0,0,0,7,1
2026,AMAR,0,0,0,0,1,1
2026,AP,25,15,0,0,125,3
2026,AP90,1,1,0,0,8,1
2026,ApteES,4,5,0,0,14,2
2026,ArabicInSanskrit,0,1,0,0,0,0
2026,BEN,0,0,0,0,7,1
2026,BHS,0,0,0,0,7,1
2026,BOP,0,0,0,0,1,1
2026,BOR,0,0,0,0,1,1
2026,BUR,0,0,0,0,7,1
2026,CAE,0,0,0,0,7,1
2026,CCS,0,0,0,0,7,1
2026,COLOGNE,5,1,0,0,13,2
2026,CORRECTIONS,0,3,0,0,10,2
2026,DCS,0,0,0,0,7,1
2026,FRI,6,7,0,0,5,2
2026,GRA,0,0,0,0,9,1
2026,GreekInSanskrit,0,0,0,0,6,1
2026,INM,0,0,0,0,1,1
2026,KNA,1,0,0,0,2,1
2026,KOW,1,0,0,0,2,1
2026,KRM,0,0,0,0,7,1
2026,LRV,4,1,0,0,2,2
2026,MCI,0,0,0,0,7,1
2026,MD,0,0,0,0,8,1
2026,MW72,0,0,0,0,1,1
2026,MWS,2,2,0,0,22,2
2026,MWinflect,0,0,0,0,6,1
2026,PUI,4,2,0,0,73,2
2026,PWG,2,0,0,0,34,1
2026,PWK,0,0,0,0,8,1
2026,SCH,0,0,0,0,8,1
2026,SHS,0,0,0,0,1,1
2026,SKD,0,0,0,0,7,1
2026,STC,0,0,0,0,7,1
2026,VCP,0,0,0,0,7,1
2026,VEI,0,0,0,0,7,1
2026,WIL,0,0,0,0,7,1
2026,Wil-YAT,0,0,0,0,1,1
2026,alternateheadwords,0,0,0,0,6,1
2026,avlinks,0,0,0,0,6,1
2026,cologne-hugo,0,0,0,0,1,1
2026,cologne-stardict,10,8,0,0,233,3
2026,csl-apidev,4,2,0,0,39,4
2026,csl-app,38,36,1,1,100,2
2026,csl-corrections,117,123,0,0,262,4
2026,csl-devanagari,0,0,0,0,6,1
2026,csl-doc,0,0,0,0,6,1
2026,csl-homepage,2,1,0,0,8,2
2026,csl-inflect,0,0,0,0,6,1
2026,csl-json,0,0,0,0,1,1
2026,csl-kale,0,0,0,0,6,1
2026,csl-ldev,0,0,0,0,6,1
2026,csl-lnum,0,0,0,0,6,1
2026,csl-lslink,1,0,0,0,17,3
2026,csl-newsletter,0,0,0,0,6,1
2026,csl-observatory,2,0,0,0,20,2
2026,csl-orig,45,923,3,1,405,4
2026,csl-pywork,10,16,0,0,83,3
2026,csl-sqlite,0,0,0,0,3,2
2026,csl-websanlexicon,8,6,1,1,49,4
2026,csl-westergaard,0,0,0,0,6,1
2026,csl-whitroot,0,0,0,0,1,1
2026,hwnorm1,0,0,0,0,27,4
2026,hwnorm2,0,0,0,0,26,4
2026,literarysource,0,0,0,0,6,1
2026,mw-dev,0,0,0,0,6,1
2026,rvlinks,0,0,0,0,6,1
2026,sanskrit-fonts,0,0,0,0,1,1
2026,sanskrit-lexicon.github.io,0,0,0,0,1,1
2026,santamlegacy,0,0,0,0,1,1
2026,temp_corrections_acc,0,0,0,0,1,1
2026,temp_corrections_ae,0,0,0,0,1,1
2026,temp_corrections_ap90,0,0,0,0,1,1
2026,temp_corrections_mw,0,0,0,0,1,1
2026,test_cologne_push,0,0,0,0,1,1
