dict_a,dict_b,intersection,union,jaccard,a_in_b,b_in_a,size_a,size_b
ACSJ,KRM,18,2314,0.0078,0.0284,0.0106,634,1698
ACSJ,LAN,69,5291,0.0130,0.1088,0.0146,634,4726
ACSJ,LRV,406,48487,0.0084,0.6404,0.0084,634,48259
ACSJ,MCI,32,2927,0.0109,0.0505,0.0138,634,2325
ACSJ,MD,213,20524,0.0104,0.3360,0.0106,634,20103
ACSJ,MW,543,194175,0.0028,0.8565,0.0028,634,194084
ACSJ,MW72,351,51442,0.0068,0.5536,0.0069,634,51159
ACSJ,PD,31,105562,0.0003,0.0489,0.0003,634,104959
ACSJ,PE,61,7196,0.0085,0.0962,0.0092,634,6623
ACSJ,PGN,3,1101,0.0027,0.0047,0.0064,634,470
ACSJ,PUI,92,12272,0.0075,0.1451,0.0078,634,11730
ACSJ,PW,480,151503,0.0032,0.7571,0.0032,634,151349
ACSJ,PWG,462,106255,0.0043,0.7287,0.0044,634,106083
ACSJ,PWKVN,69,15560,0.0044,0.1088,0.0046,634,14995
ACSJ,SCH,153,28936,0.0053,0.2413,0.0054,634,28455
ACSJ,SHS,380,46984,0.0081,0.5994,0.0081,634,46730
ACSJ,SKD,94,41357,0.0023,0.1483,0.0023,634,40817
ACSJ,SNP,5,1077,0.0046,0.0079,0.0112,634,448
ACSJ,STC,211,24409,0.0086,0.3328,0.0088,634,23986
ACSJ,VCP,396,48874,0.0081,0.6246,0.0081,634,48636
ACSJ,VEI,35,4303,0.0081,0.0552,0.0094,634,3704
ACSJ,WIL,380,44193,0.0086,0.5994,0.0086,634,43939
ACSJ,YAT,377,44977,0.0084,0.5946,0.0084,634,44720
AP,AP90,26055,96889,0.2689,0.2939,0.7601,88667,34277
AP,ARMH,3073,92267,0.0333,0.0347,0.4605,88667,6673
AP,BEN,7674,98029,0.0783,0.0865,0.4505,88667,17036
AP,BHS,1971,104473,0.0189,0.0222,0.1109,88667,17777
AP,BOP,5036,92136,0.0547,0.0568,0.5921,88667,8505
AP,BUR,7254,100559,0.0721,0.0818,0.3789,88667,19146
AP,CAE,13044,114107,0.1143,0.1471,0.3389,88667,38484
AP,CCS,9980,107438,0.0929,0.1126,0.3471,88667,28751
AP,FRI,3773,92669,0.0407,0.0426,0.4853,88667,7775
AP,GRA,3716,96059,0.0387,0.0419,0.3345,88667,11108
AP,GST,2737,92691,0.0295,0.0309,0.4048,88667,6761
AP,IEG,1150,95092,0.0121,0.0130,0.1518,88667,7575
AP,INM,2226,95895,0.0232,0.0251,0.2355,88667,9454
AP,KRM,269,90096,0.0030,0.0030,0.1584,88667,1698
AP,LAN,2431,90962,0.0267,0.0274,0.5144,88667,4726
AP,LRV,18308,118618,0.1543,0.2065,0.3794,88667,48259
AP,MCI,573,90419,0.0063,0.0065,0.2465,88667,2325
AP,MD,8269,100501,0.0823,0.0933,0.4113,88667,20103
AP,MW,38129,244622,0.1559,0.4300,0.1965,88667,194084
AP,MW72,18659,121167,0.1540,0.2104,0.3647,88667,51159
AP,PD,2876,190750,0.0151,0.0324,0.0274,88667,104959
AP,PE,1485,93805,0.0158,0.0167,0.2242,88667,6623
AP,PGN,55,89082,0.0006,0.0006,0.1170,88667,470
AP,PUI,2520,97877,0.0257,0.0284,0.2148,88667,11730
AP,PW,26612,213404,0.1247,0.3001,0.1758,88667,151349
AP,PWG,23682,171068,0.1384,0.2671,0.2232,88667,106083
AP,PWKVN,2581,101081,0.0255,0.0291,0.1721,88667,14995
AP,SCH,4547,112575,0.0404,0.0513,0.1598,88667,28455
AP,SHS,16314,119083,0.1370,0.1840,0.3491,88667,46730
AP,SKD,18890,110594,0.1708,0.2130,0.4628,88667,40817
AP,SNP,167,88948,0.0019,0.0019,0.3728,88667,448
AP,STC,10035,102618,0.0978,0.1132,0.4184,88667,23986
AP,VCP,15773,121530,0.1298,0.1779,0.3243,88667,48636
AP,VEI,890,91481,0.0097,0.0100,0.2403,88667,3704
AP,WIL,14920,117686,0.1268,0.1683,0.3396,88667,43939
AP,YAT,15784,117603,0.1342,0.1780,0.3530,88667,44720
AP90,ARMH,2184,38766,0.0563,0.0637,0.3273,34277,6673
AP90,BEN,5974,45339,0.1318,0.1743,0.3507,34277,17036
AP90,BHS,1281,50773,0.0252,0.0374,0.0721,34277,17777
AP90,BOP,3972,38810,0.1023,0.1159,0.4670,34277,8505
AP90,BUR,5615,47808,0.1174,0.1638,0.2933,34277,19146
AP90,CAE,7770,64991,0.1196,0.2267,0.2019,34277,38484
AP90,CCS,6294,56734,0.1109,0.1836,0.2189,34277,28751
AP90,FRI,2993,39059,0.0766,0.0873,0.3850,34277,7775
AP90,GRA,2897,42488,0.0682,0.0845,0.2608,34277,11108
AP90,GST,1725,39313,0.0439,0.0503,0.2551,34277,6761
AP90,IEG,814,41038,0.0198,0.0237,0.1075,34277,7575
AP90,INM,1193,42538,0.0280,0.0348,0.1262,34277,9454
AP90,KRM,244,35731,0.0068,0.0071,0.1437,34277,1698
AP90,LAN,1877,37126,0.0506,0.0548,0.3972,34277,4726
AP90,LRV,11173,71363,0.1566,0.3260,0.2315,34277,48259
AP90,MCI,372,36230,0.0103,0.0109,0.1600,34277,2325
AP90,MD,6159,48221,0.1277,0.1797,0.3064,34277,20103
AP90,MW,17175,211186,0.0813,0.5011,0.0885,34277,194084
AP90,MW72,14985,70451,0.2127,0.4372,0.2929,34277,51159
AP90,PD,1418,137818,0.0103,0.0414,0.0135,34277,104959
AP90,PE,855,40045,0.0214,0.0249,0.1291,34277,6623
AP90,PGN,42,34705,0.0012,0.0012,0.0894,34277,470
AP90,PUI,1340,44667,0.0300,0.0391,0.1142,34277,11730
AP90,PW,12497,173129,0.0722,0.3646,0.0826,34277,151349
AP90,PWG,12169,128191,0.0949,0.3550,0.1147,34277,106083
AP90,PWKVN,1585,47687,0.0332,0.0462,0.1057,34277,14995
AP90,SCH,2737,59995,0.0456,0.0798,0.0962,34277,28455
AP90,SHS,9381,71626,0.1310,0.2737,0.2007,34277,46730
AP90,SKD,8500,66594,0.1276,0.2480,0.2082,34277,40817
AP90,SNP,88,34637,0.0025,0.0026,0.1964,34277,448
AP90,STC,7708,50555,0.1525,0.2249,0.3214,34277,23986
AP90,VCP,9145,73768,0.1240,0.2668,0.1880,34277,48636
AP90,VEI,672,37309,0.0180,0.0196,0.1814,34277,3704
AP90,WIL,8520,69696,0.1222,0.2486,0.1939,34277,43939
AP90,YAT,9185,69812,0.1316,0.2680,0.2054,34277,44720
ARMH,BEN,3539,20170,0.1755,0.5303,0.2077,6673,17036
ARMH,BHS,1008,23442,0.0430,0.1511,0.0567,6673,17777
ARMH,BOP,2893,12285,0.2355,0.4335,0.3402,6673,8505
ARMH,BUR,3429,22390,0.1531,0.5139,0.1791,6673,19146
ARMH,CAE,4204,40953,0.1027,0.6300,0.1092,6673,38484
ARMH,CCS,3847,31577,0.1218,0.5765,0.1338,6673,28751
ARMH,FRI,2005,12443,0.1611,0.3005,0.2579,6673,7775
ARMH,GRA,1328,16453,0.0807,0.1990,0.1196,6673,11108
ARMH,GST,321,13113,0.0245,0.0481,0.0475,6673,6761
ARMH,IEG,930,13318,0.0698,0.1394,0.1228,6673,7575
ARMH,INM,1289,14838,0.0869,0.1932,0.1363,6673,9454
ARMH,KRM,195,8176,0.0239,0.0292,0.1148,6673,1698
ARMH,LAN,1403,9996,0.1404,0.2103,0.2969,6673,4726
ARMH,LRV,5027,49905,0.1007,0.7533,0.1042,6673,48259
ARMH,MCI,383,8615,0.0445,0.0574,0.1647,6673,2325
ARMH,MD,3400,23376,0.1454,0.5095,0.1691,6673,20103
ARMH,MW,6196,194561,0.0318,0.9285,0.0319,6673,194084
ARMH,MW72,4347,53485,0.0813,0.6514,0.0850,6673,51159
ARMH,PD,272,111360,0.0024,0.0408,0.0026,6673,104959
ARMH,PE,1038,12258,0.0847,0.1556,0.1567,6673,6623
ARMH,PGN,61,7082,0.0086,0.0091,0.1298,6673,470
ARMH,PUI,1525,16878,0.0904,0.2285,0.1300,6673,11730
ARMH,PW,5526,152496,0.0362,0.8281,0.0365,6673,151349
ARMH,PWG,5436,107320,0.0507,0.8146,0.0512,6673,106083
ARMH,PWKVN,810,20858,0.0388,0.1214,0.0540,6673,14995
ARMH,SCH,1894,33234,0.0570,0.2838,0.0666,6673,28455
ARMH,SHS,5197,48206,0.1078,0.7788,0.1112,6673,46730
ARMH,SKD,1253,46237,0.0271,0.1878,0.0307,6673,40817
ARMH,SNP,143,6978,0.0205,0.0214,0.3192,6673,448
ARMH,STC,3483,27176,0.1282,0.5220,0.1452,6673,23986
ARMH,VCP,5202,50107,0.1038,0.7796,0.1070,6673,48636
ARMH,VEI,864,9513,0.0908,0.1295,0.2333,6673,3704
ARMH,WIL,5198,45414,0.1145,0.7790,0.1183,6673,43939
ARMH,YAT,5205,46188,0.1127,0.7800,0.1164,6673,44720
BEN,BHS,1704,33109,0.0515,0.1000,0.0959,17036,17777
BEN,BOP,6003,19538,0.3072,0.3524,0.7058,17036,8505
BEN,BUR,7326,28856,0.2539,0.4300,0.3826,17036,19146
BEN,CAE,10753,44767,0.2402,0.6312,0.2794,17036,38484
BEN,CCS,9605,36182,0.2655,0.5638,0.3341,17036,28751
BEN,FRI,3446,21365,0.1613,0.2023,0.4432,17036,7775
BEN,GRA,2829,25315,0.1118,0.1661,0.2547,17036,11108
BEN,GST,748,23049,0.0325,0.0439,0.1106,17036,6761
BEN,IEG,1333,23278,0.0573,0.0782,0.1760,17036,7575
BEN,INM,2021,24469,0.0826,0.1186,0.2138,17036,9454
BEN,KRM,412,18322,0.0225,0.0242,0.2426,17036,1698
BEN,LAN,2748,19014,0.1445,0.1613,0.5815,17036,4726
BEN,LRV,10470,54825,0.1910,0.6146,0.2170,17036,48259
BEN,MCI,649,18712,0.0347,0.0381,0.2791,17036,2325
BEN,MD,7908,29231,0.2705,0.4642,0.3934,17036,20103
BEN,MW,15969,195151,0.0818,0.9374,0.0823,17036,194084
BEN,MW72,12880,55315,0.2328,0.7560,0.2518,17036,51159
BEN,PD,587,121408,0.0048,0.0345,0.0056,17036,104959
BEN,PE,1500,22159,0.0677,0.0880,0.2265,17036,6623
BEN,PGN,70,17436,0.0040,0.0041,0.1489,17036,470
BEN,PUI,2182,26584,0.0821,0.1281,0.1860,17036,11730
BEN,PW,15148,153237,0.0989,0.8892,0.1001,17036,151349
BEN,PWG,15194,107925,0.1408,0.8919,0.1432,17036,106083
BEN,PWKVN,1559,30472,0.0512,0.0915,0.1040,17036,14995
BEN,SCH,3141,42350,0.0742,0.1844,0.1104,17036,28455
BEN,SHS,10574,53192,0.1988,0.6207,0.2263,17036,46730
BEN,SKD,1576,56277,0.0280,0.0925,0.0386,17036,40817
BEN,SNP,174,17310,0.0101,0.0102,0.3884,17036,448
BEN,STC,8683,32339,0.2685,0.5097,0.3620,17036,23986
BEN,VCP,9330,56342,0.1656,0.5477,0.1918,17036,48636
BEN,VEI,1320,19420,0.0680,0.0775,0.3564,17036,3704
BEN,WIL,9879,51096,0.1933,0.5799,0.2248,17036,43939
BEN,YAT,10706,51050,0.2097,0.6284,0.2394,17036,44720
BHS,BOP,1126,25156,0.0448,0.0633,0.1324,17777,8505
BHS,BUR,1569,35354,0.0444,0.0883,0.0819,17777,19146
BHS,CAE,2433,53828,0.0452,0.1369,0.0632,17777,38484
BHS,CCS,2163,44365,0.0488,0.1217,0.0752,17777,28751
BHS,FRI,1083,24469,0.0443,0.0609,0.1393,17777,7775
BHS,GRA,599,28286,0.0212,0.0337,0.0539,17777,11108
BHS,GST,265,24273,0.0109,0.0149,0.0392,17777,6761
BHS,IEG,665,24687,0.0269,0.0374,0.0878,17777,7575
BHS,INM,962,26269,0.0366,0.0541,0.1018,17777,9454
BHS,KRM,140,19335,0.0072,0.0079,0.0824,17777,1698
BHS,LAN,680,21823,0.0312,0.0383,0.1439,17777,4726
BHS,LRV,2644,63392,0.0417,0.1487,0.0548,17777,48259
BHS,MCI,307,19795,0.0155,0.0173,0.1320,17777,2325
BHS,MD,1764,36116,0.0488,0.0992,0.0877,17777,20103
BHS,MW,6541,205320,0.0319,0.3679,0.0337,17777,194084
BHS,MW72,3036,65900,0.0461,0.1708,0.0593,17777,51159
BHS,PD,881,121855,0.0072,0.0496,0.0084,17777,104959
BHS,PE,822,23578,0.0349,0.0462,0.1241,17777,6623
BHS,PGN,73,18174,0.0040,0.0041,0.1553,17777,470
BHS,PUI,1106,28401,0.0389,0.0622,0.0943,17777,11730
BHS,PW,6089,163037,0.0373,0.3425,0.0402,17777,151349
BHS,PWG,4780,119080,0.0401,0.2689,0.0451,17777,106083
BHS,PWKVN,1605,31167,0.0515,0.0903,0.1070,17777,14995
BHS,SCH,2213,44019,0.0503,0.1245,0.0778,17777,28455
BHS,SHS,2610,61897,0.0422,0.1468,0.0559,17777,46730
BHS,SKD,607,57987,0.0105,0.0341,0.0149,17777,40817
BHS,SNP,64,18161,0.0035,0.0036,0.1429,17777,448
BHS,STC,1970,39793,0.0495,0.1108,0.0821,17777,23986
BHS,VCP,2604,63809,0.0408,0.1465,0.0535,17777,48636
BHS,VEI,354,21127,0.0168,0.0199,0.0956,17777,3704
BHS,WIL,2529,59187,0.0427,0.1423,0.0576,17777,43939
BHS,YAT,2496,60001,0.0416,0.1404,0.0558,17777,44720
BOP,BUR,5723,21928,0.2610,0.6729,0.2989,8505,19146
BOP,CAE,5799,41190,0.1408,0.6818,0.1507,8505,38484
BOP,CCS,5426,31830,0.1705,0.6380,0.1887,8505,28751
BOP,FRI,3112,13168,0.2363,0.3659,0.4003,8505,7775
BOP,GRA,2115,17498,0.1209,0.2487,0.1904,8505,11108
BOP,GST,436,14830,0.0294,0.0513,0.0645,8505,6761
BOP,IEG,1057,15023,0.0704,0.1243,0.1395,8505,7575
BOP,INM,1484,16475,0.0901,0.1745,0.1570,8505,9454
BOP,KRM,332,9871,0.0336,0.0390,0.1955,8505,1698
BOP,LAN,2449,10782,0.2271,0.2879,0.5182,8505,4726
BOP,LRV,6054,50710,0.1194,0.7118,0.1254,8505,48259
BOP,MCI,398,10432,0.0382,0.0468,0.1712,8505,2325
BOP,MD,4726,23882,0.1979,0.5557,0.2351,8505,20103
BOP,MW,7995,194594,0.0411,0.9400,0.0412,8505,194084
BOP,MW72,6563,53101,0.1236,0.7717,0.1283,8505,51159
BOP,PD,364,113100,0.0032,0.0428,0.0035,8505,104959
BOP,PE,1092,14036,0.0778,0.1284,0.1649,8505,6623
BOP,PGN,60,8915,0.0067,0.0071,0.1277,8505,470
BOP,PUI,1631,18604,0.0877,0.1918,0.1390,8505,11730
BOP,PW,7045,152809,0.0461,0.8283,0.0465,8505,151349
BOP,PWG,6971,107617,0.0648,0.8196,0.0657,8505,106083
BOP,PWKVN,1075,22425,0.0479,0.1264,0.0717,8505,14995
BOP,SCH,1961,34999,0.0560,0.2306,0.0689,8505,28455
BOP,SHS,6094,49141,0.1240,0.7165,0.1304,8505,46730
BOP,SKD,1300,48022,0.0271,0.1529,0.0318,8505,40817
BOP,SNP,105,8848,0.0119,0.0123,0.2344,8505,448
BOP,STC,4767,27724,0.1719,0.5605,0.1987,8505,23986
BOP,VCP,5367,51774,0.1037,0.6310,0.1104,8505,48636
BOP,VEI,847,11362,0.0745,0.0996,0.2287,8505,3704
BOP,WIL,5633,46811,0.1203,0.6623,0.1282,8505,43939
BOP,YAT,6416,46809,0.1371,0.7544,0.1435,8505,44720
BUR,CAE,7510,50120,0.1498,0.3922,0.1951,19146,38484
BUR,CCS,6853,41044,0.1670,0.3579,0.2384,19146,28751
BUR,FRI,3113,23808,0.1308,0.1626,0.4004,19146,7775
BUR,GRA,2639,27615,0.0956,0.1378,0.2376,19146,11108
BUR,GST,827,25080,0.0330,0.0432,0.1223,19146,6761
BUR,IEG,1175,25546,0.0460,0.0614,0.1551,19146,7575
BUR,INM,1705,26895,0.0634,0.0891,0.1803,19146,9454
BUR,KRM,455,20389,0.0223,0.0238,0.2680,19146,1698
BUR,LAN,2443,21429,0.1140,0.1276,0.5169,19146,4726
BUR,LRV,9543,57862,0.1649,0.4984,0.1977,19146,48259
BUR,MCI,533,20938,0.0255,0.0278,0.2292,19146,2325
BUR,MD,6447,32802,0.1965,0.3367,0.3207,19146,20103
BUR,MW,13918,199312,0.0698,0.7269,0.0717,19146,194084
BUR,MW72,11989,58316,0.2056,0.6262,0.2343,19146,51159
BUR,PD,684,123421,0.0055,0.0357,0.0065,19146,104959
BUR,PE,1381,24388,0.0566,0.0721,0.2085,19146,6623
BUR,PGN,74,19542,0.0038,0.0039,0.1574,19146,470
BUR,PUI,2017,28859,0.0699,0.1053,0.1720,19146,11730
BUR,PW,12569,157926,0.0796,0.6565,0.0830,19146,151349
BUR,PWG,12538,112691,0.1113,0.6549,0.1182,19146,106083
BUR,PWKVN,1514,32627,0.0464,0.0791,0.1010,19146,14995
BUR,SCH,2921,44680,0.0654,0.1526,0.1027,19146,28455
BUR,SHS,11902,53974,0.2205,0.6216,0.2547,19146,46730
BUR,SKD,2107,57856,0.0364,0.1100,0.0516,19146,40817
BUR,SNP,172,19422,0.0089,0.0090,0.3839,19146,448
BUR,STC,6475,36657,0.1766,0.3382,0.2699,19146,23986
BUR,VCP,10221,57561,0.1776,0.5338,0.2102,19146,48636
BUR,VEI,1151,21699,0.0530,0.0601,0.3107,19146,3704
BUR,WIL,11550,51535,0.2241,0.6033,0.2629,19146,43939
BUR,YAT,12380,51486,0.2405,0.6466,0.2768,19146,44720
CAE,CCS,27014,40221,0.6716,0.7020,0.9396,38484,28751
CAE,FRI,5064,41195,0.1229,0.1316,0.6513,38484,7775
CAE,GRA,6780,42812,0.1584,0.1762,0.6104,38484,11108
CAE,GST,1534,43711,0.0351,0.0399,0.2269,38484,6761
CAE,IEG,1779,44280,0.0402,0.0462,0.2349,38484,7575
CAE,INM,3300,44638,0.0739,0.0857,0.3491,38484,9454
CAE,KRM,420,39762,0.0106,0.0109,0.2473,38484,1698
CAE,LAN,3997,39213,0.1019,0.1039,0.8457,38484,4726
CAE,LRV,15128,71615,0.2112,0.3931,0.3135,38484,48259
CAE,MCI,892,39917,0.0223,0.0232,0.3837,38484,2325
CAE,MD,13368,45219,0.2956,0.3474,0.6650,38484,20103
CAE,MW,35059,197509,0.1775,0.9110,0.1806,38484,194084
CAE,MW72,16656,72987,0.2282,0.4328,0.3256,38484,51159
CAE,PD,1636,141807,0.0115,0.0425,0.0156,38484,104959
CAE,PE,2369,42738,0.0554,0.0616,0.3577,38484,6623
CAE,PGN,114,38840,0.0029,0.0030,0.2426,38484,470
