root	finite_tokens	distinct_cells	cells
abhigā	102	15	Past.Ind.Act.3.Sing:72;Pres.Ind.Act.3.Sing:11;Past.Jus.Act.1.Sing:2;Past.Ind.Act.1.Sing:2;Pres.Ind.Pass.3.Sing:2;Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.1.Sing:2;Past.Ind.Act.3.Plur:2;Pres.Imp.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Plur:1;Impf.Ind.Act.3.Dual:1;Past.Jus.Act.2.Sing:1;Pres.Ind.Act.3.Plur:1
abhigṛ	14	5	Pres.Ind.Act.3.Sing:6;Pres.Imp.Act.3.Plur:4;Impf.Ind.Act.3.Sing:2;Pres.Imp.Act.3.Sing:1;Pres.Imp.Act.2.Dual:1
abhihan	160	18	Past.Ind.Act.3.Sing:57;Past.Ind.Act.3.Dual:26;Impf.Ind.Act.3.Plur:17;Past.Ind.Act.3.Plur:14;Pres.Opt.Act.3.Sing:11;Pres.Ind.Pass.3.Sing:6;Impf.Ind.Act.3.Sing:5;Impf.Ind.Pass.3.Plur:5;Pres.Ind.Act.3.Sing:3;Pres.Ind.Pass.3.Plur:3;Pres.Ind.Act.3.Plur:3;Pres.Opt.Act.3.Plur:2;Pres.Imp.Act.2.Sing:2;Impf.Ind.Act.1.Sing:2;Past.Ind.Pass.3.Sing:1;Pres.Ind.Act.2.Sing:1;Past.Ind.Act.1.Sing:1;Fut.Ind.Act.3.Plur:1
abhihary	2	2	Pres.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1
abhiharṣay	1	1	Impf.Ind.Act.3.Sing:1
abhihiṃs	1	1	Impf.Ind.Act.3.Plur:1
abhihiṅkṛ	9	4	Pres.Ind.Act.3.Sing:5;Pres.Ind.Act.3.Plur:2;Pres.Imp.Act.2.Plur:1;Pres.Ind.Act.1.Sing:1
abhihu	156	5	Pres.Ind.Act.3.Sing:114;Pres.Opt.Act.3.Sing:32;Pres.Ind.Act.1.Sing:8;Pres.Opt.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1
abhihve	3	3	Pres.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1
abhihāray	10	3	Impf.Ind.Act.3.Sing:7;Impf.Ind.Act.3.Dual:2;Impf.Ind.Act.3.Plur:1
abhihṛ	17	9	Pres.Ind.Act.3.Plur:6;Pres.Ind.Act.1.Sing:3;Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1;Fut.Ind.Act.3.Sing:1;Pres.Imp.Act.3.Plur:1;Pres.Ind.Pass.3.Sing:1
abhihṛṣ	1	1	Pres.Ind.Act.2.Sing:1
abhijalp	3	2	Pres.Ind.Act.3.Plur:2;Pres.Ind.Act.2.Sing:1
abhijan	104	10	Pres.Ind.Act.3.Sing:69;Impf.Ind.Act.3.Sing:9;Past.Ind.Act.3.Sing:5;Pres.Ind.Act.3.Plur:5;Past.Ind.Act.3.Plur:4;Pres.Ind.Act.3.Dual:3;Pres.Opt.Act.3.Sing:3;Pres.Ind.Act.2.Sing:2;Impf.Ind.Act.2.Sing:2;Fut.Ind.Act.1.Sing:2
abhijap	3	3	Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1
abhijañjabh	1	1	Pres.Sub.Act.3.Dual:1
abhiji	99	14	Pres.Ind.Act.3.Sing:46;Impf.Ind.Act.3.Plur:17;Impf.Ind.Act.3.Sing:12;Pres.Opt.Act.1.Sing:8;Pres.Opt.Act.1.Plur:4;Pres.Sub.Act.1.Sing:3;Past.Ind.Act.3.Plur:2;Fut.Ind.Act.3.Sing:1;Past.Opt.Act.1.Sing:1;Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.1.Dual:1;Impf.Ind.Act.3.Dual:1;Past.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1
abhijighāṃs	1	1	Pres.Opt.Act.3.Plur:1
abhijigīṣ	1	1	Pres.Ind.Act.3.Sing:1
abhijvalay	2	1	Pres.Ind.Act.3.Sing:2
abhijñā	183	16	Pres.Ind.Act.1.Sing:56;Pres.Ind.Act.3.Sing:52;Pres.Ind.Act.3.Plur:18;Pres.Ind.Act.2.Sing:13;Impf.Ind.Act.3.Plur:11;Pres.Ind.Act.1.Plur:9;Pres.Imp.Act.2.Sing:7;Impf.Ind.Act.3.Sing:4;Pres.Opt.Act.1.Sing:3;Pres.Opt.Act.3.Plur:3;Pres.Imp.Act.3.Plur:2;Impf.Ind.Act.1.Sing:1;Pres.Imp.Act.2.Plur:1;Past.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1;Past.Ind.Pass.3.Sing:1
abhikalpay	1	1	Impf.Ind.Act.3.Sing:1
abhikamp	2	1	Impf.Ind.Act.3.Sing:2
abhikampay	1	1	Pres.Ind.Act.3.Sing:1
abhikhan	2	2	Impf.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Plur:1
abhikram	35	7	Past.Ind.Act.3.Sing:16;Pres.Ind.Act.3.Plur:5;Past.Ind.Act.3.Plur:4;Impf.Ind.Act.3.Plur:4;Pres.Ind.Act.3.Sing:3;Pres.Imp.Act.2.Sing:2;Pres.Opt.Act.3.Sing:1
abhikramay	2	1	Pres.Ind.Act.3.Sing:2
abhikrand	7	3	Pres.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Sing:2;Pres.Imp.Act.2.Sing:2
abhikrudh	1	1	Pres.Ind.Act.3.Sing:1
abhikruś	5	3	Past.Ind.Act.3.Plur:2;Impf.Ind.Act.3.Plur:2;Pres.Ind.Act.3.Plur:1
abhikrāmay	2	2	Pres.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Plur:1
abhikrī	2	1	Pres.Ind.Pass.3.Sing:2
abhikuṣ	1	1	Pres.Opt.Act.3.Sing:1
abhikāmay	25	8	Pres.Ind.Act.1.Sing:13;Impf.Ind.Act.3.Sing:4;Impf.Ind.Act.3.Plur:3;Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1
abhikāṅkṣ	27	8	Pres.Ind.Act.3.Sing:9;Pres.Ind.Act.2.Sing:7;Pres.Ind.Act.3.Plur:3;Impf.Ind.Act.3.Sing:3;Pres.Ind.Act.1.Sing:2;Past.Ind.Act.3.Sing:1;Fut.Ind.Act.1.Sing:1;Pres.Opt.Act.3.Sing:1
abhikṛ	8	7	Impf.Ind.Pass.3.Plur:2;Past.Ind.Act.2.Plur:1;Pres.Ind.Pass.3.Sing:1;Past.Ind.Act.3.Dual:1;Impf.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
abhikṛt	2	1	Pres.Ind.Act.2.Sing:2
abhikṛṣ	2	2	Pres.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1
abhikṣar	10	2	Pres.Ind.Act.3.Plur:9;Pres.Imp.Act.2.Sing:1
abhikṣip	3	2	Past.Ind.Act.3.Sing:2;Pres.Opt.Act.3.Sing:1
abhilabh	3	3	Pres.Opt.Act.3.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Sing:1
abhilakṣ	2	1	Pres.Ind.Pass.3.Sing:2
abhilakṣay	4	3	Pres.Ind.Act.1.Sing:2;Pres.Ind.Pass.2.Sing:1;Pres.Ind.Pass.3.Sing:1
abhilap	6	3	Pres.Ind.Pass.3.Sing:4;Fut.Ind.Act.1.Sing:1;Pres.Ind.Pass.3.Plur:1
abhilaṅghay	6	1	Pres.Opt.Act.3.Sing:6
abhilaṣ	42	9	Pres.Ind.Act.3.Sing:16;Pres.Opt.Act.3.Sing:8;Pres.Ind.Act.2.Sing:5;Pres.Ind.Act.3.Plur:4;Past.Ind.Act.3.Sing:4;Pres.Ind.Act.1.Sing:2;Past.Ind.Act.3.Plur:1;Pres.Ind.Pass.3.Sing:1;Pres.Imp.Pass.3.Sing:1
abhilekhay	1	1	Pres.Opt.Act.3.Sing:1
abhilepay	1	1	Impf.Ind.Act.3.Sing:1
abhilikh	3	2	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.3.Plur:1
abhilips	1	1	Pres.Ind.Act.2.Sing:1
abhilobhay	1	1	Pres.Ind.Act.3.Sing:1
abhilī	4	3	Impf.Ind.Act.3.Sing:2;Impf.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1
abhiman	98	13	Pres.Ind.Act.3.Sing:44;Pres.Opt.Act.3.Sing:19;Impf.Ind.Act.3.Sing:9;Pres.Ind.Act.3.Plur:7;Pres.Ind.Act.2.Sing:7;Past.Ind.Act.3.Sing:2;Fut.Ind.Act.1.Sing:2;Impf.Ind.Act.3.Plur:2;Past.Jus.Act.2.Sing:2;Pres.Ind.Act.1.Sing:1;Past.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Sing:1;Fut.Ind.Act.3.Sing:1
abhimanasy	1	1	Pres.Opt.Act.3.Sing:1
abhimanth	7	5	Pres.Ind.Act.3.Sing:2;Pres.Opt.Act.3.Sing:2;Past.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1;Pres.Ind.Pass.3.Sing:1
abhimantray	296	9	Pres.Ind.Act.3.Sing:226;Pres.Opt.Act.3.Sing:60;Impf.Ind.Act.3.Sing:2;Pres.Ind.Act.1.Sing:2;Pres.Ind.Act.3.Dual:2;Pres.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Plur:1;Pres.Ind.Pass.3.Sing:1;Pres.Opt.Act.2.Plur:1
abhimanāy	2	2	Past.Ind.Act.3.Sing:1;Pres.Ind.Act.2.Sing:1
abhimarday	1	1	Pres.Opt.Act.3.Sing:1
abhimarśay	2	2	Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Plur:1
abhimih	2	2	Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1
abhimith	12	2	Pres.Ind.Act.3.Sing:10;Pres.Ind.Act.3.Plur:2
abhimuc	2	2	Pres.Ind.Pass.3.Sing:1;Pres.Ind.Act.3.Sing:1
abhimuh	1	1	Pres.Ind.Act.3.Sing:1
abhimukhībhū	2	2	Pres.Opt.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1
abhimā	6	1	Pres.Ind.Act.3.Sing:6
abhimīl	1	1	Pres.Ind.Act.3.Sing:1
abhimūrch	3	1	Pres.Ind.Act.3.Plur:3
abhimṛ	2	1	Impf.Ind.Pass.3.Sing:2
abhimṛkṣay	2	2	Impf.Ind.Act.3.Sing:1;Impf.Ind.Act.1.Sing:1
abhimṛś	298	10	Pres.Ind.Act.3.Sing:188;Pres.Opt.Act.3.Sing:64;Pres.Ind.Act.3.Plur:18;Pres.Ind.Act.1.Sing:7;Pres.Ind.Act.1.Plur:4;Pres.Opt.Act.3.Plur:4;Impf.Ind.Act.3.Sing:4;Past.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Dual:3;Pres.Imp.Act.2.Sing:2
abhinad	5	4	Pres.Ind.Act.3.Plur:2;Past.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1
abhinam	10	6	Impf.Ind.Act.3.Sing:4;Past.Ind.Act.3.Sing:2;Pres.Ind.Act.3.Sing:1;Pres.Imp.Act.3.Sing:1;Fut.Ind.Act.1.Sing:1;Fut.Ind.Act.3.Sing:1
abhinand	238	21	Impf.Ind.Act.3.Plur:62;Impf.Ind.Act.3.Sing:53;Pres.Ind.Act.3.Sing:35;Pres.Ind.Act.3.Plur:18;Past.Ind.Act.3.Sing:14;Pres.Opt.Act.3.Sing:14;Pres.Ind.Act.1.Sing:9;Pres.Ind.Act.2.Sing:8;Past.Ind.Act.3.Plur:5;Pres.Ind.Pass.3.Sing:3;Pres.Opt.Act.3.Plur:3;Pres.Imp.Act.3.Plur:2;Past.Ind.Act.3.Dual:2;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.2.Plur:2;Fut.Ind.Act.3.Plur:1;Impf.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Dual:1;Pres.Opt.Act.2.Sing:1;Fut.Ind.Act.1.Sing:1;Impf.Ind.Act.2.Plur:1
abhinanday	8	4	Impf.Ind.Pass.3.Sing:4;Pres.Opt.Act.3.Sing:2;Pres.Imp.Act.2.Sing:1;Past.Ind.Act.3.Plur:1
abhinard	3	3	Pres.Ind.Act.2.Sing:1;Past.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
abhinidarśay	1	1	Pres.Ind.Act.3.Sing:1
abhinidhā	36	8	Pres.Ind.Act.3.Sing:23;Pres.Ind.Act.3.Plur:3;Plp.Ind.Act.3.Plur:3;Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.1.Sing:2;Pres.Imp.Act.2.Sing:1;Fut.Ind.Act.1.Plur:1;Impf.Ind.Act.3.Sing:1
abhinigad	3	1	Pres.Ind.Act.3.Sing:3
abhinigrah	1	1	Pres.Ind.Act.3.Sing:1
abhinihan	2	2	Pres.Ind.Act.3.Plur:1;Past.Ind.Act.3.Plur:1
abhinimantray	1	1	Impf.Ind.Act.3.Sing:1
abhinimruc	11	1	Pres.Opt.Act.3.Sing:11
abhinind	2	2	Impf.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Plur:1
abhinipad	1	1	Pres.Ind.Act.3.Sing:1
abhinipat	3	1	Pres.Opt.Act.3.Sing:3
abhinipīḍay	1	1	Pres.Opt.Act.3.Sing:1
abhiniras	2	1	Pres.Ind.Act.3.Sing:2
abhinirdiś	8	4	Pres.Opt.Act.3.Sing:5;Fut.Ind.Act.1.Plur:1;Fut.Ind.Act.1.Sing:1;Pres.Ind.Act.3.Sing:1
abhinirgam	1	1	Pres.Ind.Act.3.Sing:1
abhinirhṛ	5	3	Pres.Ind.Act.3.Sing:3;Pres.Opt.Act.2.Sing:1;Pres.Ind.Act.3.Plur:1
abhinirmi	1	1	Pres.Ind.Act.3.Sing:1
abhinirmā	5	2	Pres.Ind.Act.3.Sing:4;Pres.Opt.Act.3.Sing:1
abhinirvad	1	1	Pres.Ind.Act.3.Sing:1
abhinirvap	2	2	Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1
abhinirvartay	28	4	Pres.Ind.Act.3.Sing:17;Pres.Ind.Act.3.Plur:9;Pres.Opt.Act.3.Sing:1;Pres.Ind.Pass.3.Sing:1
abhinirvṛt	30	2	Pres.Ind.Act.3.Sing:18;Pres.Ind.Act.3.Plur:12
abhiniryā	11	7	Past.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Sing:2;Pres.Imp.Act.2.Sing:2;Fut.Ind.Act.3.Sing:1;Pres.Imp.Act.3.Sing:1;Past.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Plur:1
abhinirīkṣ	1	1	Pres.Ind.Pass.3.Sing:1
abhinirṇud	1	1	Pres.Opt.Act.3.Sing:1
abhinivartay	2	2	Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1
abhiniveśay	1	1	Pres.Ind.Pass.3.Sing:1
abhiniviś	16	4	Pres.Ind.Act.3.Sing:7;Pres.Ind.Act.3.Plur:6;Fut.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Sing:1
abhinivṛt	7	3	Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Dual:1
abhiniśri	2	1	Pres.Opt.Act.3.Sing:2
abhiniḥsru	1	1	Pres.Imp.Act.3.Plur:1
abhiniḥsṛ	1	1	Pres.Ind.Act.3.Plur:1
abhiniṣad	2	2	Pres.Opt.Act.1.Plur:1;Pres.Opt.Act.3.Sing:1
abhiniṣic	1	1	Pres.Ind.Pass.3.Sing:1
abhiniṣkram	20	3	Fut.Ind.Act.3.Sing:12;Pres.Ind.Act.3.Sing:7;Pres.Opt.Act.3.Sing:1
abhiniṣkrāmay	1	1	Pres.Opt.Act.1.Sing:1
abhiniṣpad	7	2	Pres.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Plur:3
abhiniṣpat	1	1	Impf.Ind.Act.3.Sing:1
abhiniṣpū	1	1	Pres.Opt.Act.3.Plur:1
abhiniṣṭhīv	2	1	Pres.Ind.Act.3.Sing:2
abhinyas	1	1	Pres.Ind.Act.3.Sing:1
abhinyubj	4	2	Pres.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Plur:1
abhinānad	1	1	Pres.Sub.Act.3.Dual:1
abhinī	14	6	Pres.Ind.Act.3.Sing:5;Impf.Ind.Act.3.Sing:3;Pres.Sub.Act.3.Sing:2;Fut.Ind.Act.2.Sing:2;Pres.Imp.Pass.3.Sing:1;Pres.Ind.Pass.3.Sing:1
abhinū	2	1	Past.Ind.Act.3.Plur:2
abhipad	89	15	Pres.Ind.Act.3.Sing:24;Impf.Ind.Act.3.Sing:16;Past.Ind.Act.3.Sing:7;Pres.Opt.Act.3.Sing:6;Impf.Ind.Act.3.Plur:6;Fut.Ind.Act.2.Sing:6;Pres.Ind.Act.2.Sing:5;Fut.Ind.Act.3.Sing:5;Past.Ind.Act.3.Plur:3;Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.3.Plur:2;Fut.Ind.Act.1.Sing:2;Pres.Ind.Pass.3.Sing:2;Fut.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Sing:1
abhipalāy	3	1	Pres.Jus.Act.3.Plur:3
