dict,ABCH,ACC,ACPH,ACSJ,AP,AP90,ARMH,BEN,BHS,BOP,BUR,CAE,CCS,FRI,GRA,GST,IEG,INM,KRM,LAN,LRV,MCI,MD,MW,MW72,PD,PE,PGN,PUI,PW,PWG,PWKVN,SCH,SHS,SKD,SNP,STC,VCP,VEI,WIL,YAT
MW72,0.8797,0.9886,0.9896,0.9932,0.8460,0.7873,0.9187,0.7672,0.9539,0.8764,0.7944,0.7718,0.7883,0.9116,0.8999,0.9371,0.9687,0.9534,0.9887,0.9398,0.7902,0.9849,0.7889,0.7700,0.0000,0.9809,0.9620,0.9983,0.9507,0.7898,0.7137,0.9519,0.9256,0.7152,0.9680,0.9953,0.7281,0.7518,0.9586,0.7273,0.7281
PD,0.9962,0.9985,0.9997,0.9997,0.9849,0.9897,0.9976,0.9952,0.9928,0.9968,0.9945,0.9885,0.9917,0.9965,0.9952,0.9609,0.9985,0.9977,0.9998,0.9977,0.9879,0.9994,0.9858,0.9752,0.9809,0.0000,0.9984,1.0000,0.9975,0.9710,0.9802,0.9797,0.9776,0.9882,0.9982,0.9999,0.9841,0.9849,0.9994,0.9880,0.9895
PE,0.9169,0.9832,0.9780,0.9915,0.9842,0.9786,0.9153,0.9323,0.9651,0.9222,0.9434,0.9446,0.9363,0.9306,0.9529,0.9906,0.9679,0.7485,0.9892,0.9371,0.9591,0.8653,0.9345,0.9756,0.9620,0.9984,0.0000,0.9884,0.8420,0.9727,0.9627,0.9812,0.9752,0.9581,0.9840,0.9904,0.9364,0.9456,0.9347,0.9566,0.9570
PGN,0.9933,0.9980,0.9948,0.9973,0.9994,0.9988,0.9914,0.9960,0.9960,0.9933,0.9962,0.9971,0.9965,0.9924,0.9969,0.9999,0.9940,0.9921,0.9972,0.9911,0.9979,0.9870,0.9962,0.9990,0.9983,1.0000,0.9884,0.0000,0.9921,0.9988,0.9984,0.9986,0.9988,0.9976,0.9994,0.9967,0.9968,0.9976,0.9937,0.9974,0.9975
PUI,0.9017,0.9831,0.9822,0.9925,0.9743,0.9700,0.9096,0.9179,0.9611,0.9123,0.9301,0.9296,0.9222,0.9243,0.9504,0.9892,0.9615,0.8676,0.9886,0.9355,0.9418,0.9402,0.9192,0.9685,0.9507,0.9975,0.8420,0.9921,0.0000,0.9656,0.9548,0.9779,0.9706,0.9431,0.9798,0.9913,0.9236,0.9335,0.9440,0.9416,0.9419
PW,0.9383,0.9463,0.9933,0.9968,0.8753,0.9278,0.9638,0.9011,0.9627,0.9539,0.9204,0.7807,0.8223,0.9639,0.9369,0.9709,0.9836,0.9619,0.9961,0.9730,0.8252,0.9899,0.8839,0.4040,0.7898,0.9710,0.9727,0.9988,0.9656,0.0000,0.3705,0.9011,0.8868,0.8123,0.9697,0.9978,0.8882,0.7859,0.9802,0.8229,0.8194
PWG,0.9140,0.9631,0.9904,0.9957,0.8616,0.9051,0.9493,0.8592,0.9599,0.9352,0.8887,0.7485,0.7850,0.9510,0.9172,0.9632,0.9786,0.9494,0.9946,0.9633,0.7748,0.9863,0.8632,0.5386,0.7137,0.9802,0.9627,0.9984,0.9548,0.3705,0.0000,0.9655,0.9386,0.7558,0.9610,0.9969,0.8680,0.7115,0.9724,0.7689,0.7639
PWKVN,0.9577,0.9825,0.9939,0.9956,0.9745,0.9668,0.9612,0.9488,0.9485,0.9521,0.9536,0.9435,0.9445,0.9558,0.9652,0.9630,0.9801,0.9784,0.9933,0.9627,0.9587,0.9910,0.9256,0.9510,0.9519,0.9797,0.9812,0.9986,0.9779,0.9011,0.9655,0.0000,0.5296,0.9569,0.9935,0.9973,0.9188,0.9556,0.9833,0.9566,0.9556
SCH,0.9305,0.9856,0.9922,0.9947,0.9596,0.9544,0.9430,0.9258,0.9497,0.9440,0.9346,0.9211,0.9238,0.9539,0.9666,0.9729,0.9742,0.9718,0.9937,0.9639,0.9260,0.9885,0.9134,0.9302,0.9256,0.9776,0.9752,0.9988,0.9706,0.8868,0.9386,0.5296,0.0000,0.9236,0.9856,0.9961,0.9001,0.9251,0.9824,0.9239,0.9227
SHS,0.8200,0.9849,0.9850,0.9919,0.8630,0.8690,0.8922,0.8012,0.9578,0.8760,0.7795,0.7911,0.8084,0.9189,0.9478,0.9559,0.9640,0.9449,0.9843,0.9400,0.6772,0.9835,0.8388,0.8063,0.7152,0.9882,0.9581,0.9976,0.9431,0.8123,0.7558,0.9569,0.9236,0.0000,0.9364,0.9938,0.8406,0.6172,0.9717,0.1426,0.2231
SKD,0.9590,0.9976,0.9953,0.9977,0.8292,0.8724,0.9729,0.9720,0.9895,0.9729,0.9636,0.9781,0.9775,0.9825,0.9861,0.9956,0.9908,0.9872,0.9788,0.9855,0.9493,0.9948,0.9728,0.9608,0.9680,0.9982,0.9840,0.9994,0.9798,0.9697,0.9610,0.9935,0.9856,0.9364,0.0000,0.9964,0.9778,0.9159,0.9922,0.9302,0.9388
SNP,0.9823,0.9992,0.9899,0.9954,0.9981,0.9975,0.9795,0.9899,0.9965,0.9881,0.9911,0.9949,0.9940,0.9923,0.9964,0.9985,0.9959,0.9936,0.9981,0.9922,0.9952,0.9898,0.9910,0.9979,0.9953,0.9999,0.9904,0.9967,0.9913,0.9978,0.9969,0.9973,0.9961,0.9938,0.9964,0.0000,0.9928,0.9930,0.9858,0.9934,0.9934
STC,0.8468,0.9876,0.9852,0.9914,0.9022,0.8475,0.8718,0.7315,0.9505,0.8281,0.8234,0.7596,0.7556,0.8462,0.9159,0.9536,0.9547,0.9254,0.9856,0.8908,0.8428,0.9716,0.7241,0.8927,0.7281,0.9841,0.9364,0.9968,0.9236,0.8882,0.8680,0.9188,0.9001,0.8406,0.9778,0.9928,0.0000,0.8494,0.9478,0.8437,0.8406
VCP,0.8302,0.9813,0.9857,0.9919,0.8702,0.8760,0.8962,0.8344,0.9592,0.8963,0.8224,0.8035,0.8175,0.9257,0.9285,0.9483,0.9646,0.9307,0.9806,0.9455,0.7184,0.9790,0.8405,0.8082,0.7518,0.9849,0.9456,0.9976,0.9335,0.7859,0.7115,0.9556,0.9251,0.6172,0.9159,0.9930,0.8494,0.0000,0.9640,0.6057,0.6304
VEI,0.9220,0.9933,0.9824,0.9919,0.9903,0.9820,0.9092,0.9320,0.9832,0.9255,0.9470,0.9466,0.9372,0.9246,0.8869,0.9933,0.9676,0.9473,0.9798,0.9097,0.9718,0.9551,0.9289,0.9837,0.9586,0.9994,0.9347,0.9937,0.9440,0.9802,0.9724,0.9833,0.9824,0.9717,0.9922,0.9858,0.9478,0.9640,0.0000,0.9705,0.9711
WIL,0.8092,0.9853,0.9847,0.9914,0.8732,0.8778,0.8855,0.8067,0.9573,0.8797,0.7759,0.7971,0.8128,0.9181,0.9491,0.9534,0.9631,0.9436,0.9788,0.9397,0.7091,0.9831,0.8407,0.8186,0.7273,0.9880,0.9566,0.9974,0.9416,0.8229,0.7689,0.9566,0.9239,0.1426,0.9302,0.9934,0.8437,0.6057,0.9705,0.0000,0.1512
YAT,0.8125,0.9854,0.9849,0.9916,0.8658,0.8684,0.8873,0.7903,0.9584,0.8629,0.7595,0.7945,0.8101,0.9151,0.9449,0.9626,0.9639,0.9439,0.9876,0.9360,0.7010,0.9833,0.8372,0.8153,0.7281,0.9895,0.9570,0.9975,0.9419,0.8194,0.7639,0.9556,0.9227,0.2231,0.9388,0.9934,0.8406,0.6304,0.9711,0.1512,0.0000
