text	upos	count	pct_of_text
Agastīyaratnaparīkṣā	VERB	73	12.007
Agnipurāṇa	ADJ	606	7.246
Agnipurāṇa	ADP	5	0.06
Agnipurāṇa	ADV	444	5.309
Agnipurāṇa	CONJ	385	4.604
Agnipurāṇa	INTJ	5	0.06
Agnipurāṇa	NOUN	4117	49.229
Agnipurāṇa	NUM	120	1.435
Agnipurāṇa	PART	396	4.735
Agnipurāṇa	PRON	622	7.438
Agnipurāṇa	SCONJ	23	0.275
Agnipurāṇa	VERB	1640	19.61
Aitareya-Āraṇyaka	ADJ	890	8.655
Aitareya-Āraṇyaka	ADP	163	1.585
Aitareya-Āraṇyaka	ADV	549	5.339
Aitareya-Āraṇyaka	CONJ	180	1.75
Aitareya-Āraṇyaka	INTJ	10	0.097
Aitareya-Āraṇyaka	NOUN	3228	31.392
Aitareya-Āraṇyaka	NUM	266	2.587
Aitareya-Āraṇyaka	PART	1440	14.004
Aitareya-Āraṇyaka	PRON	1799	17.495
Aitareya-Āraṇyaka	SCONJ	85	0.827
Aitareya-Āraṇyaka	VERB	1673	16.27
Aitareyabrāhmaṇa	ADJ	4735	8.571
Aitareyabrāhmaṇa	ADP	687	1.244
Aitareyabrāhmaṇa	ADV	2966	5.369
Aitareyabrāhmaṇa	CONJ	970	1.756
Aitareyabrāhmaṇa	INTJ	72	0.13
Aitareyabrāhmaṇa	NOUN	17380	31.461
Aitareyabrāhmaṇa	NUM	865	1.566
Aitareyabrāhmaṇa	PART	7526	13.623
Aitareyabrāhmaṇa	PRON	9100	16.473
Aitareyabrāhmaṇa	SCONJ	610	1.104
Aitareyabrāhmaṇa	VERB	10332	18.703
Aitareyopaniṣad	ADJ	34	4.009
Aitareyopaniṣad	ADP	5	0.59
Aitareyopaniṣad	ADV	33	3.892
Aitareyopaniṣad	CONJ	22	2.594
Aitareyopaniṣad	INTJ	1	0.118
Aitareyopaniṣad	NOUN	275	32.429
Aitareyopaniṣad	NUM	5	0.59
Aitareyopaniṣad	PART	91	10.731
Aitareyopaniṣad	PRON	188	22.17
Aitareyopaniṣad	SCONJ	17	2.005
Aitareyopaniṣad	VERB	177	20.873
Amarakośa	ADJ	868	7.253
Amarakośa	ADP	15	0.125
Amarakośa	ADV	324	2.707
Amarakośa	CONJ	368	3.075
Amarakośa	NOUN	8565	71.566
Amarakośa	NUM	181	1.512
Amarakośa	PART	635	5.306
Amarakośa	PRON	480	4.011
Amarakośa	SCONJ	4	0.033
Amarakośa	VERB	528	4.412
Amaraughaśāsana	ADJ	100	9.804
Amaraughaśāsana	ADV	39	3.824
Amaraughaśāsana	CONJ	24	2.353
Amaraughaśāsana	INTJ	1	0.098
Amaraughaśāsana	NOUN	624	61.176
Amaraughaśāsana	NUM	23	2.255
Amaraughaśāsana	PART	46	4.51
Amaraughaśāsana	PRON	54	5.294
Amaraughaśāsana	SCONJ	5	0.49
Amaraughaśāsana	VERB	104	10.196
Amaruśataka	ADJ	419	13.008
Amaruśataka	ADP	4	0.124
Amaruśataka	ADV	208	6.458
Amaruśataka	CONJ	26	0.807
Amaruśataka	INTJ	3	0.093
Amaruśataka	NOUN	1279	39.708
Amaruśataka	NUM	12	0.373
Amaruśataka	PART	213	6.613
Amaruśataka	PRON	348	10.804
Amaruśataka	SCONJ	19	0.59
Amaruśataka	VERB	690	21.422
Amṛtabindūpaniṣat	ADJ	7	7.216
Amṛtabindūpaniṣat	ADP	1	1.031
Amṛtabindūpaniṣat	ADV	6	6.186
Amṛtabindūpaniṣat	CONJ	6	6.186
Amṛtabindūpaniṣat	INTJ	1	1.031
Amṛtabindūpaniṣat	NOUN	50	51.546
Amṛtabindūpaniṣat	NUM	1	1.031
Amṛtabindūpaniṣat	PART	4	4.124
Amṛtabindūpaniṣat	PRON	1	1.031
Amṛtabindūpaniṣat	SCONJ	1	1.031
Amṛtabindūpaniṣat	VERB	19	19.588
Arthaśāstra	ADJ	2282	11.178
Arthaśāstra	ADP	42	0.206
Arthaśāstra	ADV	611	2.993
Arthaśāstra	CONJ	1260	6.172
Arthaśāstra	INTJ	11	0.054
Arthaśāstra	NOUN	10910	53.441
Arthaśāstra	NUM	505	2.474
Arthaśāstra	PART	763	3.737
Arthaśāstra	PRON	1014	4.967
Arthaśāstra	SCONJ	44	0.216
Arthaśāstra	VERB	2973	14.563
Atharvaprāyaścittāni	ADJ	605	7.709
Atharvaprāyaścittāni	ADP	70	0.892
Atharvaprāyaścittāni	ADV	515	6.562
Atharvaprāyaścittāni	CONJ	186	2.37
Atharvaprāyaścittāni	INTJ	89	1.134
Atharvaprāyaścittāni	NOUN	2708	34.506
Atharvaprāyaścittāni	NUM	94	1.198
Atharvaprāyaścittāni	PART	624	7.951
Atharvaprāyaścittāni	PRON	945	12.041
Atharvaprāyaścittāni	SCONJ	181	2.306
Atharvaprāyaścittāni	VERB	1831	23.331
Atharvaveda (Paippalāda)	ADJ	2996	9.599
Atharvaveda (Paippalāda)	ADP	1808	5.793
Atharvaveda (Paippalāda)	ADV	1083	3.47
Atharvaveda (Paippalāda)	CONJ	639	2.047
Atharvaveda (Paippalāda)	INTJ	32	0.103
Atharvaveda (Paippalāda)	NOUN	11324	36.281
Atharvaveda (Paippalāda)	NUM	289	0.926
Atharvaveda (Paippalāda)	PART	1423	4.559
Atharvaveda (Paippalāda)	PRON	5322	17.051
Atharvaveda (Paippalāda)	SCONJ	133	0.426
Atharvaveda (Paippalāda)	VERB	6163	19.746
Atharvaveda (Śaunaka)	ADJ	7039	9.879
Atharvaveda (Śaunaka)	ADP	3046	4.275
Atharvaveda (Śaunaka)	ADV	2712	3.806
Atharvaveda (Śaunaka)	CONJ	1557	2.185
Atharvaveda (Śaunaka)	INTJ	114	0.16
Atharvaveda (Śaunaka)	NOUN	25553	35.864
Atharvaveda (Śaunaka)	NUM	774	1.086
Atharvaveda (Śaunaka)	PART	3030	4.253
Atharvaveda (Śaunaka)	PRON	12488	17.527
Atharvaveda (Śaunaka)	SCONJ	377	0.529
Atharvaveda (Śaunaka)	VERB	14559	20.434
Atharvavedapariśiṣṭa	ADJ	147	8.673
Atharvavedapariśiṣṭa	ADP	9	0.531
Atharvavedapariśiṣṭa	ADV	105	6.195
Atharvavedapariśiṣṭa	CONJ	116	6.844
Atharvavedapariśiṣṭa	INTJ	3	0.177
Atharvavedapariśiṣṭa	NOUN	757	44.661
Atharvavedapariśiṣṭa	NUM	12	0.708
Atharvavedapariśiṣṭa	PART	135	7.965
Atharvavedapariśiṣṭa	PRON	123	7.257
Atharvavedapariśiṣṭa	SCONJ	13	0.767
Atharvavedapariśiṣṭa	VERB	275	16.224
Avadānaśataka	ADJ	1757	8.834
Avadānaśataka	ADP	10	0.05
Avadānaśataka	ADV	1052	5.289
Avadānaśataka	CONJ	413	2.076
Avadānaśataka	INTJ	10	0.05
Avadānaśataka	NOUN	9368	47.099
Avadānaśataka	NUM	361	1.815
Avadānaśataka	PART	990	4.977
Avadānaśataka	PRON	1728	8.688
Avadānaśataka	SCONJ	158	0.794
Avadānaśataka	VERB	4043	20.327
Ayurvedarasāyana	ADJ	618	15.026
Ayurvedarasāyana	ADP	2	0.049
Ayurvedarasāyana	ADV	190	4.619
Ayurvedarasāyana	CONJ	127	3.088
Ayurvedarasāyana	NOUN	1987	48.31
Ayurvedarasāyana	NUM	40	0.973
Ayurvedarasāyana	PART	439	10.673
Ayurvedarasāyana	PRON	292	7.099
Ayurvedarasāyana	SCONJ	19	0.462
Ayurvedarasāyana	VERB	399	9.701
Aṣṭasāhasrikā	ADJ	4986	11.473
Aṣṭasāhasrikā	ADP	6	0.014
Aṣṭasāhasrikā	ADV	2446	5.629
Aṣṭasāhasrikā	CONJ	1869	4.301
Aṣṭasāhasrikā	INTJ	33	0.076
Aṣṭasāhasrikā	NOUN	15485	35.633
Aṣṭasāhasrikā	NUM	390	0.897
Aṣṭasāhasrikā	PART	4522	10.406
Aṣṭasāhasrikā	PRON	5047	11.614
Aṣṭasāhasrikā	SCONJ	203	0.467
Aṣṭasāhasrikā	VERB	8470	19.491
Aṣṭādhyāyī	ADJ	1129	7.305
Aṣṭādhyāyī	ADP	102	0.66
Aṣṭādhyāyī	ADV	461	2.983
Aṣṭādhyāyī	CONJ	964	6.237
Aṣṭādhyāyī	INTJ	13	0.084
Aṣṭādhyāyī	NOUN	10893	70.482
Aṣṭādhyāyī	NUM	149	0.964
Aṣṭādhyāyī	PART	859	5.558
Aṣṭādhyāyī	PRON	507	3.28
Aṣṭādhyāyī	SCONJ	14	0.091
Aṣṭādhyāyī	VERB	364	2.355
Aṣṭāvakragīta	ADJ	557	12.183
Aṣṭāvakragīta	ADP	7	0.153
Aṣṭāvakragīta	ADV	440	9.624
Aṣṭāvakragīta	CONJ	178	3.893
Aṣṭāvakragīta	INTJ	18	0.394
Aṣṭāvakragīta	NOUN	1432	31.321
Aṣṭāvakragīta	NUM	19	0.416
Aṣṭāvakragīta	PART	582	12.73
Aṣṭāvakragīta	PRON	483	10.564
Aṣṭāvakragīta	SCONJ	30	0.656
Aṣṭāvakragīta	VERB	826	18.066
Aṣṭāṅgahṛdayasaṃhitā	ADJ	15088	14.033
Aṣṭāṅgahṛdayasaṃhitā	ADP	342	0.318
Aṣṭāṅgahṛdayasaṃhitā	ADV	6152	5.722
Aṣṭāṅgahṛdayasaṃhitā	CONJ	4684	4.357
Aṣṭāṅgahṛdayasaṃhitā	INTJ	5	0.005
Aṣṭāṅgahṛdayasaṃhitā	NOUN	58680	54.578
Aṣṭāṅgahṛdayasaṃhitā	NUM	1243	1.156
Aṣṭāṅgahṛdayasaṃhitā	PART	3287	3.057
Aṣṭāṅgahṛdayasaṃhitā	PRON	4231	3.935
Aṣṭāṅgahṛdayasaṃhitā	SCONJ	171	0.159
Aṣṭāṅgahṛdayasaṃhitā	VERB	13632	12.679
Aṣṭāṅganighaṇṭu	ADJ	126	2.814
Aṣṭāṅganighaṇṭu	ADV	49	1.094
Aṣṭāṅganighaṇṭu	CONJ	215	4.802
Aṣṭāṅganighaṇṭu	NOUN	3713	82.935
Aṣṭāṅganighaṇṭu	NUM	8	0.179
Aṣṭāṅganighaṇṭu	PART	139	3.105
Aṣṭāṅganighaṇṭu	PRON	43	0.96
Aṣṭāṅganighaṇṭu	VERB	184	4.11
Aṣṭāṅgasaṃgraha	ADJ	469	21.445
Aṣṭāṅgasaṃgraha	ADP	1	0.046
Aṣṭāṅgasaṃgraha	ADV	159	7.27
Aṣṭāṅgasaṃgraha	CONJ	108	4.938
Aṣṭāṅgasaṃgraha	NOUN	1030	47.096
Aṣṭāṅgasaṃgraha	NUM	13	0.594
Aṣṭāṅgasaṃgraha	PART	127	5.807
Aṣṭāṅgasaṃgraha	PRON	119	5.441
Aṣṭāṅgasaṃgraha	SCONJ	3	0.137
Aṣṭāṅgasaṃgraha	VERB	158	7.225
Baudhāyanadharmasūtra	ADJ	1153	7.816
Baudhāyanadharmasūtra	ADP	68	0.461
Baudhāyanadharmasūtra	ADV	831	5.634
Baudhāyanadharmasūtra	CONJ	524	3.552
Baudhāyanadharmasūtra	INTJ	253	1.715
Baudhāyanadharmasūtra	NOUN	6261	42.445
Baudhāyanadharmasūtra	NUM	362	2.454
Baudhāyanadharmasūtra	PART	1299	8.806
Baudhāyanadharmasūtra	PRON	1124	7.62
Baudhāyanadharmasūtra	SCONJ	80	0.542
Baudhāyanadharmasūtra	VERB	2796	18.955
Baudhāyanagṛhyasūtra	ADJ	1158	7.721
Baudhāyanagṛhyasūtra	ADP	150	1.0
Baudhāyanagṛhyasūtra	ADV	1039	6.927
Baudhāyanagṛhyasūtra	CONJ	404	2.694
Baudhāyanagṛhyasūtra	INTJ	377	2.514
Baudhāyanagṛhyasūtra	NOUN	6165	41.103
Baudhāyanagṛhyasūtra	NUM	258	1.72
Baudhāyanagṛhyasūtra	PART	1147	7.647
Baudhāyanagṛhyasūtra	PRON	1386	9.241
Baudhāyanagṛhyasūtra	SCONJ	99	0.66
Baudhāyanagṛhyasūtra	VERB	2816	18.775
Baudhāyanaśrautasūtra	ADJ	3643	9.292
Baudhāyanaśrautasūtra	ADP	367	0.936
Baudhāyanaśrautasūtra	ADV	3200	8.162
Baudhāyanaśrautasūtra	CONJ	632	1.612
Baudhāyanaśrautasūtra	INTJ	177	0.451
Baudhāyanaśrautasūtra	NOUN	13358	34.072
Baudhāyanaśrautasūtra	NUM	622	1.587
Baudhāyanaśrautasūtra	PART	3213	8.195
Baudhāyanaśrautasūtra	PRON	4129	10.532
Baudhāyanaśrautasūtra	SCONJ	164	0.418
Baudhāyanaśrautasūtra	VERB	9700	24.742
Bhadrabāhucarita	ADJ	28	13.333
Bhadrabāhucarita	ADV	9	4.286
Bhadrabāhucarita	CONJ	2	0.952
Bhadrabāhucarita	NOUN	108	51.429
Bhadrabāhucarita	NUM	1	0.476
Bhadrabāhucarita	PART	2	0.952
Bhadrabāhucarita	PRON	12	5.714
Bhadrabāhucarita	VERB	48	22.857
Bhairavastava	ADJ	34	16.667
Bhairavastava	ADP	1	0.49
Bhairavastava	ADV	9	4.412
Bhairavastava	CONJ	1	0.49
Bhairavastava	NOUN	97	47.549
Bhairavastava	NUM	2	0.98
Bhairavastava	PART	7	3.431
Bhairavastava	PRON	27	13.235
Bhairavastava	SCONJ	1	0.49
Bhairavastava	VERB	25	12.255
Bhallaṭaśataka	ADJ	367	13.06
Bhallaṭaśataka	ADP	7	0.249
Bhallaṭaśataka	ADV	207	7.367
Bhallaṭaśataka	CONJ	36	1.281
Bhallaṭaśataka	INTJ	14	0.498
Bhallaṭaśataka	NOUN	1064	37.865
Bhallaṭaśataka	NUM	10	0.356
Bhallaṭaśataka	PART	257	9.146
Bhallaṭaśataka	PRON	345	12.278
Bhallaṭaśataka	SCONJ	36	1.281
Bhallaṭaśataka	VERB	467	16.619
Bhramarāṣṭaka	ADJ	14	6.481
Bhramarāṣṭaka	ADV	11	5.093
Bhramarāṣṭaka	CONJ	3	1.389
Bhramarāṣṭaka	INTJ	3	1.389
Bhramarāṣṭaka	NOUN	98	45.37
Bhramarāṣṭaka	PART	13	6.019
Bhramarāṣṭaka	PRON	27	12.5
Bhramarāṣṭaka	SCONJ	1	0.463
Bhramarāṣṭaka	VERB	46	21.296
Bhāgavatapurāṇa	ADJ	8668	11.141
Bhāgavatapurāṇa	ADP	118	0.152
Bhāgavatapurāṇa	ADV	3803	4.888
Bhāgavatapurāṇa	CONJ	1721	2.212
Bhāgavatapurāṇa	INTJ	107	0.138
Bhāgavatapurāṇa	NOUN	36208	46.539
Bhāgavatapurāṇa	NUM	596	0.766
Bhāgavatapurāṇa	PART	4102	5.272
Bhāgavatapurāṇa	PRON	8102	10.414
Bhāgavatapurāṇa	SCONJ	529	0.68
Bhāgavatapurāṇa	VERB	13847	17.798
Bhāradvājagṛhyasūtra	ADJ	1020	8.761
Bhāradvājagṛhyasūtra	ADP	96	0.825
Bhāradvājagṛhyasūtra	ADV	663	5.694
Bhāradvājagṛhyasūtra	CONJ	301	2.585
Bhāradvājagṛhyasūtra	INTJ	262	2.25
Bhāradvājagṛhyasūtra	NOUN	4324	37.138
Bhāradvājagṛhyasūtra	NUM	241	2.07
Bhāradvājagṛhyasūtra	PART	921	7.91
Bhāradvājagṛhyasūtra	PRON	1387	11.913
Bhāradvājagṛhyasūtra	SCONJ	74	0.636
Bhāradvājagṛhyasūtra	VERB	2354	20.218
Bhāradvājaśrautasūtra	ADJ	2092	9.446
Bhāradvājaśrautasūtra	ADP	279	1.26
Bhāradvājaśrautasūtra	ADV	1322	5.969
Bhāradvājaśrautasūtra	CONJ	392	1.77
Bhāradvājaśrautasūtra	INTJ	47	0.212
Bhāradvājaśrautasūtra	NOUN	7912	35.723
Bhāradvājaśrautasūtra	NUM	441	1.991
Bhāradvājaśrautasūtra	PART	2105	9.504
Bhāradvājaśrautasūtra	PRON	1825	8.24
Bhāradvājaśrautasūtra	SCONJ	172	0.777
Bhāradvājaśrautasūtra	VERB	5561	25.108
Bhāratamañjarī	ADJ	8414	9.823
Bhāratamañjarī	ADP	61	0.071
Bhāratamañjarī	ADV	5088	5.94
Bhāratamañjarī	CONJ	1382	1.613
Bhāratamañjarī	INTJ	91	0.106
Bhāratamañjarī	NOUN	40161	46.887
Bhāratamañjarī	NUM	463	0.541
Bhāratamañjarī	PART	4473	5.222
Bhāratamañjarī	PRON	7611	8.886
Bhāratamañjarī	SCONJ	257	0.3
Bhāratamañjarī	VERB	17654	20.611
Bhāvaprakāśa	ADJ	2580	19.749
Bhāvaprakāśa	ADP	23	0.176
Bhāvaprakāśa	ADV	560	4.287
Bhāvaprakāśa	CONJ	505	3.866
Bhāvaprakāśa	NOUN	6844	52.388
Bhāvaprakāśa	NUM	120	0.919
Bhāvaprakāśa	PART	442	3.383
Bhāvaprakāśa	PRON	563	4.31
Bhāvaprakāśa	SCONJ	32	0.245
Bhāvaprakāśa	VERB	1395	10.678
Bodhicaryāvatāra	ADJ	1286	9.339
Bodhicaryāvatāra	ADP	7	0.051
Bodhicaryāvatāra	ADV	941	6.834
Bodhicaryāvatāra	CONJ	484	3.515
Bodhicaryāvatāra	INTJ	4	0.029
Bodhicaryāvatāra	NOUN	5104	37.066
Bodhicaryāvatāra	NUM	61	0.443
Bodhicaryāvatāra	PART	1456	10.574
Bodhicaryāvatāra	PRON	1848	13.42
Bodhicaryāvatāra	SCONJ	206	1.496
Bodhicaryāvatāra	VERB	2373	17.233
Brahmabindūpaniṣat	ADJ	32	9.938
Brahmabindūpaniṣat	ADP	1	0.311
Brahmabindūpaniṣat	ADV	18	5.59
Brahmabindūpaniṣat	CONJ	20	6.211
Brahmabindūpaniṣat	INTJ	1	0.311
Brahmabindūpaniṣat	NOUN	114	35.404
Brahmabindūpaniṣat	NUM	5	1.553
Brahmabindūpaniṣat	PART	36	11.18
Brahmabindūpaniṣat	PRON	30	9.317
Brahmabindūpaniṣat	SCONJ	5	1.553
Brahmabindūpaniṣat	VERB	60	18.634
Buddhacarita	ADJ	2069	10.852
Buddhacarita	ADP	25	0.131
Buddhacarita	ADV	1118	5.864
Buddhacarita	CONJ	782	4.102
Buddhacarita	INTJ	12	0.063
Buddhacarita	NOUN	7630	40.021
Buddhacarita	NUM	63	0.33
Buddhacarita	PART	1848	9.693
Buddhacarita	PRON	1844	9.672
Buddhacarita	SCONJ	135	0.708
Buddhacarita	VERB	3539	18.563
Bījanighaṇṭu	ADJ	61	7.881
Bījanighaṇṭu	ADV	23	2.972
Bījanighaṇṭu	CONJ	19	2.455
Bījanighaṇṭu	INTJ	31	4.005
Bījanighaṇṭu	NOUN	499	64.47
Bījanighaṇṭu	NUM	3	0.388
Bījanighaṇṭu	PART	22	2.842
Bījanighaṇṭu	PRON	15	1.938
Bījanighaṇṭu	VERB	101	13.049
Bṛhadāraṇyakopaniṣad	ADJ	1200	6.311
Bṛhadāraṇyakopaniṣad	ADP	46	0.242
Bṛhadāraṇyakopaniṣad	ADV	887	4.665
Bṛhadāraṇyakopaniṣad	CONJ	378	1.988
Bṛhadāraṇyakopaniṣad	INTJ	62	0.326
Bṛhadāraṇyakopaniṣad	NOUN	5861	30.825
Bṛhadāraṇyakopaniṣad	NUM	192	1.01
Bṛhadāraṇyakopaniṣad	PART	2943	15.478
Bṛhadāraṇyakopaniṣad	PRON	4024	21.163
Bṛhadāraṇyakopaniṣad	SCONJ	139	0.731
Bṛhadāraṇyakopaniṣad	VERB	3282	17.261
Bṛhatkathāślokasaṃgraha	ADJ	6068	9.755
Bṛhatkathāślokasaṃgraha	ADP	87	0.14
Bṛhatkathāślokasaṃgraha	ADV	4777	7.68
Bṛhatkathāślokasaṃgraha	CONJ	1883	3.027
Bṛhatkathāślokasaṃgraha	INTJ	46	0.074
Bṛhatkathāślokasaṃgraha	NOUN	22192	35.677
Bṛhatkathāślokasaṃgraha	NUM	272	0.437
Bṛhatkathāślokasaṃgraha	PART	5317	8.548
Bṛhatkathāślokasaṃgraha	PRON	8412	13.524
Bṛhatkathāślokasaṃgraha	SCONJ	381	0.613
Bṛhatkathāślokasaṃgraha	VERB	12767	20.525
Carakasaṃhitā	ADJ	12848	13.545
Carakasaṃhitā	ADP	319	0.336
Carakasaṃhitā	ADV	4864	5.128
Carakasaṃhitā	CONJ	5421	5.715
Carakasaṃhitā	INTJ	2	0.002
Carakasaṃhitā	NOUN	45189	47.642
Carakasaṃhitā	NUM	1239	1.306
Carakasaṃhitā	PART	5786	6.1
Carakasaṃhitā	PRON	6189	6.525
Carakasaṃhitā	SCONJ	277	0.292
Carakasaṃhitā	VERB	12718	13.408
Carakatattvapradīpikā	ADJ	29	23.967
Carakatattvapradīpikā	ADV	3	2.479
Carakatattvapradīpikā	CONJ	3	2.479
Carakatattvapradīpikā	NOUN	47	38.843
Carakatattvapradīpikā	PART	14	11.57
Carakatattvapradīpikā	PRON	12	9.917
Carakatattvapradīpikā	VERB	13	10.744
Caurapañcaśikā	ADJ	160	13.525
Caurapañcaśikā	ADP	2	0.169
Caurapañcaśikā	ADV	90	7.608
Caurapañcaśikā	CONJ	7	0.592
Caurapañcaśikā	INTJ	2	0.169
Caurapañcaśikā	NOUN	504	42.604
Caurapañcaśikā	NUM	5	0.423
Caurapañcaśikā	PART	106	8.96
Caurapañcaśikā	PRON	105	8.876
Caurapañcaśikā	SCONJ	9	0.761
Caurapañcaśikā	VERB	193	16.314
Chāndogyopaniṣad	ADJ	1187	7.463
Chāndogyopaniṣad	ADP	66	0.415
Chāndogyopaniṣad	ADV	898	5.646
Chāndogyopaniṣad	CONJ	360	2.263
Chāndogyopaniṣad	INTJ	48	0.302
Chāndogyopaniṣad	NOUN	4713	29.632
Chāndogyopaniṣad	NUM	128	0.805
Chāndogyopaniṣad	PART	2277	14.316
Chāndogyopaniṣad	PRON	3114	19.579
Chāndogyopaniṣad	SCONJ	165	1.037
Chāndogyopaniṣad	VERB	2949	18.541
Commentary on Amaraughaśāsana	ADJ	80	11.887
Commentary on Amaraughaśāsana	ADP	3	0.446
Commentary on Amaraughaśāsana	ADV	44	6.538
Commentary on Amaraughaśāsana	CONJ	31	4.606
Commentary on Amaraughaśāsana	INTJ	2	0.297
Commentary on Amaraughaśāsana	NOUN	343	50.966
Commentary on Amaraughaśāsana	NUM	6	0.892
Commentary on Amaraughaśāsana	PART	22	3.269
Commentary on Amaraughaśāsana	PRON	34	5.052
Commentary on Amaraughaśāsana	SCONJ	2	0.297
Commentary on Amaraughaśāsana	VERB	106	15.75
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	ADJ	224	11.777
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	ADP	22	1.157
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	ADV	85	4.469
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	CONJ	13	0.683
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	NOUN	1011	53.155
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	NUM	7	0.368
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	PART	217	11.409
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	PRON	100	5.258
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	SCONJ	5	0.263
Commentary on the Kādambarīsvīkaraṇasūtramañjarī	VERB	218	11.462
Commentary on the Kāvyālaṃkāravṛtti	ADJ	33	8.291
Commentary on the Kāvyālaṃkāravṛtti	ADV	26	6.533
Commentary on the Kāvyālaṃkāravṛtti	CONJ	14	3.518
Commentary on the Kāvyālaṃkāravṛtti	NOUN	195	48.995
Commentary on the Kāvyālaṃkāravṛtti	NUM	1	0.251
Commentary on the Kāvyālaṃkāravṛtti	PART	34	8.543
Commentary on the Kāvyālaṃkāravṛtti	PRON	40	10.05
Commentary on the Kāvyālaṃkāravṛtti	VERB	55	13.819
Daśakumāracarita	ADJ	3587	10.194
Daśakumāracarita	ADP	135	0.384
Daśakumāracarita	ADV	1957	5.562
Daśakumāracarita	CONJ	1022	2.904
Daśakumāracarita	INTJ	14	0.04
Daśakumāracarita	NOUN	14799	42.057
Daśakumāracarita	NUM	183	0.52
Daśakumāracarita	PART	2481	7.051
Daśakumāracarita	PRON	4029	11.45
Daśakumāracarita	SCONJ	144	0.409
Daśakumāracarita	VERB	6837	19.43
Devīkālottarāgama	ADJ	151	11.956
Devīkālottarāgama	ADP	1	0.079
Devīkālottarāgama	ADV	70	5.542
Devīkālottarāgama	CONJ	44	3.484
Devīkālottarāgama	NOUN	484	38.321
Devīkālottarāgama	NUM	4	0.317
Devīkālottarāgama	PART	135	10.689
Devīkālottarāgama	PRON	171	13.539
Devīkālottarāgama	SCONJ	7	0.554
Devīkālottarāgama	VERB	196	15.519
Devīmāhātmya	ADJ	22	11.458
Devīmāhātmya	ADP	2	1.042
Devīmāhātmya	ADV	17	8.854
Devīmāhātmya	CONJ	3	1.562
Devīmāhātmya	NOUN	72	37.5
Devīmāhātmya	PART	7	3.646
Devīmāhātmya	PRON	32	16.667
Devīmāhātmya	VERB	37	19.271
Dhanurveda	ADJ	353	11.242
Dhanurveda	ADP	9	0.287
Dhanurveda	ADV	191	6.083
