total	abbrev	bib_code	gloss
8170	PAÑCAT.	1.232	PAÑCATANTRA. Pantschatantrum sive quinqu
7784	RĀJA-TAR.	1.249	RĀJATARAṄGIṆĪ, ed. TROYER (GILD. Bibl. 1
7114	R. GORR.	c.2073	Rāmāyaṇa, Gorresio edition, 1843--1867 
6891	Sch.	1.275	Scholiast.
6783	RĀJAN.	1.248	RĀJANIRGHAṆṬA, ein medicinisches Wörterb
6734	KĀTY. ŚR.	1.159	KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. H
6347	Ind. St.	1.135	WEBER'S Indische Studien.
6078	VS.	1.328	VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI
5500	ŚĀK.	1.063	ŚĀKUNTALA, das Drama in der Ausgabe von 
5436	MĀRK. P.	2.028	MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indi
5387	TS.	1.294	TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa, eingetheilt
5159	HALĀY.	1.118	HALĀYUDHA, ein Lexicograph; nach Anführu
5149	VOP.	1.326	VOPADEVA'S Grammatik, nach BÖHTLINGK'S A
4545	AIT. BR.	1.008	AITAREYABRĀHMAṆA. Citirt nach den 8 Pañc
3884	Verz. d. B. H.	1.314	WEBER'S Verzeichniss der Berliner Sanskr
3860	SĀH. D.	1.267	SĀHITYADARPAṆA, auf den 10 ersten Bogen 
3794	YĀJÑ.	1.138	YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D
3697	VP.	1.327	VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb
3446	N.	1.219	NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathi
3364	HIT.	1.127	HITOPADEŚA, ed. SCHLEGEL und LASSEN (GIL
3299	GORR.	1.112	Rāmāyaṇa, Gorresio edition, 1843--1867 [
3166	NIR.	1.227	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S h
3128	ŚABDAR.	1.061	ŚABDARATNĀVALĪ, ein Wörterbuch; nach Anf
3053	Schol.	1.275a	Scholiast.
2929	TBR.	2.043	TAITTIRĪYABRĀHMAṆA.
2756	DHĀTUP.	1.093	DHĀTUPĀṬHA in WESTERGAARD'S Radices (GIL
2673	ed. Bomb.	c.2119	Bombay ed. of Rāmāyaṇa, 1859-1864 OR&#13
2659	PRAB.	1.239	PRABODHACANDRODAYA, ed. BROCKHAUS (GILD.
2616	SARVADARŚANAS.	c.011	? 
2561	BHAṬṬ.	1.041	BHAṬṬIKĀVYA, ed. Calc. (GILD. Bibl. 137)
2510	KUMĀRAS.	1.175	KUMĀRASAM̃BHAVA, ed. STENZLER (GILD. Bib
2336	KAUŚ.	1.161	KAUŚIKA'S SŪTRA zum ATHARVAVEDA. 14 Adhy
2334	COLEBR. Misc. Ess.	1.081	COLEBROOKE'S Miscellaneous Essays. 2 Bän
2275	BHAG.	1.035	BHAGAVADGĪTĀ, Ausg. von SCHLEGEL (GILD. 
2221	PAÑCAR.	c.013	PAÑCARATNA ? 
2095	ŚĀṄKH. ŚR.	1.068	ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI.
2077	HALL	4.005	A contribution towards an index to the B
2020	MEGH.	1.212	MEGHADŪTA, ed. GILDEMEISTER (GILD. Bibl.
2020	WILS.	1.331	WILSON'S Wörterbuch (GILD. Bibl. 37).
2018	KĀM. NĪTIS.	c.002	? 
2018	UṆĀDIS.	c.039	?  
1865	HĀR.	1.120	HĀRĀVALĪ, ed. Calc. (GILD. Bibl. 258).
1847	LĀṬY.	1.183	LĀṬYĀYANA'S SŪTRA zum SV. Hdschr.
1843	DAŚAK.	1.088	DAŚAKUMĀRACARITA, ed. WILSON (GILD. Bibl
1835	ĀŚV. ŚR.	R1.001	ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI in 12 Adhyāya
1797	an.	1.014	ANEKĀRTHASAM̃GRAHA (s. H. an.).
1787	MṚCCH.	1.216	MṚCCHAKAṬIKĀ, ed. STENZLER (GILD. Bibl. 
1755	ṚV. PRĀT.	1.264	PRĀTIŚĀKHYA zun ṚGVEDA, citirt nach Paṭa
1729	PAÑCAV. BR.	1.233	PAÑCAVIṂŚABRĀHMAṆA.
1696	CHĀND. UP.	1.170	CHĀNDOGYOPANIṢAD, nach der Ausgabe von R
1670	VYUTP.	1.324	VYUTPATTI oder MAHĀVYUTPATTI (s. Mél. as
1560	VIKR.	1.320	VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl.
1527	UJJVAL.	c.104	?  
1453	ĀŚV. GṚHY.	1.002	ĀŚVALĀYANA'S GṚHYASŪTRĀṆI in 4 Adhyāya. 
1436	RATNAM.	1.259	RATNAMĀLĀ, ein Wörterbuch; nach Anführun
1427	ŚABDAC.	1.059	ŚABDACANDRIKĀ, ein Wörterbuch; nach Anfü
1417	KULL.	1.174	KULLŪKA, ein Scholiast des MANU, vollstä
1417	NAIGH.	1.220	das, YĀSKA'S NIRUKTA zu Grunde liegende 
1387	SIDDH. K.	1.279	SIDDHĀNTAKAUMUDĪ, die Calc. Ausg. in 4º 
1316	KĀṬH.	1.155	KĀṬHAKA-Recension des YĀJ. V.
1301	H. ś.	1.123	die Śeṣa's zu HEMACANDRA'S ABHIDHĀNACINT
1299	ŚIŚ.	1.076	ŚIŚUPĀLAVADHA, ed. Calc. (GILD. Bibl. 14
1282	BHARTṚ.	1.039	BHARTṚHARI, Ausg. von BOHLEN (GILD. Bibl
1262	SĀY.	1.268	SĀYAṆA.
1194	NĪLAK.	4.008	A rational refutation of the Hindu philo
1140	GĪT.	1.110	GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168
1139	ŚAṂK.	1.065	ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) un
1127	VID.	1.319	Geschichte des VIDŪṢAKA in BÖHTLINGK'S C
1076	MĀLAV.	1.202	MĀLAVIKĀGNIMITRA, ed. TULLBERG (GILD. Bi
1065	WILSON, Sel. Works	c.008	? 
1047	VS. PRĀT.	1.329	PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ, citi
1030	JAṬĀDH.	1.105	JAṬĀDHARA, ein Lexicograph; nach Anführu
961	BENF. Chr.	1.033	BENFEY' Chrestomathie aus Sanskritwerken
918	NIGH. PR.	3.010	NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bo
913	PAT. a. a. O.	c.1364a	? 
898	LIA.	1.186	LASSEN'S Indische Alterthumskunde.
898	SŪRYAS.	1.284	SŪRYASIDDHĀNTA, nach Anführungen in HAUG
839	ṚT.	1.262	ṚTUSAM̃HĀRA, ed. BOHLEN (GILD. Bibl. 155
835	WILSON	c.009a	? 
832	WEBER, RĀMAT. UP.	c.007	? 
818	Z. d. d. m. G.	1.334	Zeitschrift der Deutschen morgenländisch
807	GOBH.	2.015	GOBHILA'S GṚHYASŪTRA; nach Mittheilungen
783	ŚABDAM.	1.060	ŚABDAMĀLĀ, ein Wörterbuch; nach Anführun
773	WILSON.	c.009	? 
770	BURN. Intr.	1.056	BURNOUF, Introduction à l'histoire du Bu
768	PĀR. GṚHY.	1.235	PĀRASKARA'S GṚHYASŪTRĀṆI.
766	Uṇ.	1.296	Die Uṇādi-Affixe. Herausgegeben und mit 
757	KAP.	2.020	KAPILA (The Aphorisms of the Sánkhya Phi
747	VET. in LA.	1.317a	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologi
746	ŚĀṄKH. GṚHY.	1.067	ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI.
745	BṚH. ĀR. UP.	1.051	BṚHADĀRAṆYAKOPANIṢAD, nach der Ausgabe v
744	BHAR.	1.038	BHARATA, ein Autor über Schauspielkunst,
730	AV. PRĀT.	1.031	PRĀTIŚĀKHYA zum ATHARVAVEDA. Citirt nach
717	ed. Calc.	c.2120	Calcutta edition of various works [Colog
709	ŚĀṄKH. BR.	1.066	ŚĀṄKHĀYANA'S BRĀHMAṆA.
707	ŚABDĀRTHAK.	c.127	?  
677	VARĀH. BṚH.	1.306	VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33]
674	DHŪRTAS.	1.095	DHŪRTASAMĀGAMA in LASSEN'S Anthologie (G
671	Journ. of the Am. Or. S.	3.004	Journal of the American Oriental Society
668	KIR.	1.171	KIRĀTĀRJUNĪYA, ed. Calc. (GILD. Bibl. 13
658	VIŚVA	c.119	?  
646	BṚH. ĀR. UP. S.	1.051b	? 
621	Lot. de la b. l.	c.358	? 
613	SĀṂKHYAK.	1.270	SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 2
588	TS. PRĀT.	c.1712	? 
568	CARAKA	c.094	?  
559	VET.	1.317	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologi
557	ŚĀRṄG. SAṂH.	4.002	SAM̃HITĀ des ŚĀRṄGADHARA. Bombai 1853. C
555	ŚVETĀŚV. UP.	1.086	ŚVETĀŚVATAROPANIṢAD in der Bibliotheca i
544	MĀLATĪM.	c.040	?  
524	LALIT. ed. Calc.	1.182a	LALITAVISTARA in der Bibliotheca indica.
523	WASSILJEW	c.095	В. Васильевъ. Буддизмъ, его догматы, ист
515	MAITRYUP.	c.041	?  
512	ŚATR.	2.006	ŚATRUM̃JAYAMĀHĀTMYA, nach den von A. WEB
510	AMAR.	1.011	AMARUŚATAKA nach der Calc. Ausg. (GILD. 
509	BHĀVAPR.	1.042	BHĀVAPRAKĀŚA, ein medic. Wörterbuch; nac
504	BṚH.	c.043	?  
491	ARJ.	1.023	ARJUNASAMĀGAMA, ed. BOPP (GILD. Bibl. 10
487	KAṬHOP.	1.157	KAṬHOPANIṢAD in der Bibliotheca indica.
481	VEDĀNTAS. (Allah.)	2.049	A Lecture on the Vedánta, embracing the 
469	PRATĀPAR.	4.011	VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀ
442	UTTARAR.	c.003	Uttararāmacarita, a play by Bhavabhuti 
440	PRAVARĀDHY.	1.243	PRAVARĀDHYĀYA.
431	HIḌ.	1.124	HIḌIMBAVADHA in BOPP'S Ardschuna's Reise
426	KĀŚ.	1.144	KĀŚIKĀVṚTTI; s. die Einleitung zu BÖHTLI
415	PAT.	1.236	PATAÑJALI, als Verfasser des MAHĀBHĀṢYA;
413	DAŚ.	1.087	DAŚARATHA'S Tod in BÖHTLINGK'S Chrestoma
411	LA.	1.179	LASSEN'S Anthologie (GILD. Bibl. 48).
409	ŚIV.	1.077	ŚIVANĀMASAHASRA, handschriftlich im Asia
408	BURNOUF	c.107	?  
406	DRAUP.	1.097	DRAUPADĪPRAMĀTHA, ed. BOPP (GILD. Bibl. 
405	CAURAP.	1.162	CAURAPAÑCĀŚIKĀ, ed. BOHLEN (GILD. Bibl. 
396	DAŚAR.	4.003	The Daśa-Rūpa, or Hindu Canons of Dramat
389	TAITT. ĀR.	1.287	TAITTIRĪYĀRAṆYAKA.
385	NAIṢ.	1.221	NAIṢADHACARITA, ed. Calc. (GILD. Bibl. 1
381	VĀLAKH.	1.304	VĀLAKHILYA, die zwischen ṚV. 8, 48 und 4
379	KĀVYĀD.	c.042	?  
373	YOGAŚ.	c.461	?  
370	VIŚV.	1.318	VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrest
364	ṢAḌV. BR.	1.276	ṢAḌVIṂŚABRĀHMAṆA.
363	TAITT. UP.	c.375	TAITTIRĪYOPANIṢAD ? 
356	BHĀṢĀP.	1.040	BHĀṢĀPARICCHEDA nach der Ausgabe von RÖE
356	PAÑCAT. ed. orn.	1.233d	? [Cologne addition]
354	SĀV.	1.274	SĀVITRYUPĀKHYĀNA, ed. BOPP (GILD. Bibl. 
353	BRAHMA-P. in LA.	1.047a	BRAHMAPURĀṆA in LASSEN'S Anthologie (GIL
352	COLEBR. Alg.	1.080	Algebra, with Arithmetic and Mensuration
351	MAHĪDH.	1.197	MAHĪDHARA, Scholiast der VS.
350	MALLIN.	1.203	MALLINĀTHA.
349	HEM.	c.376	HEMACANDRA ? 
346	WEBER, JYOT.	4.017	WEBER, Ueber den Vedakalender, Namens Jy
340	INDR.	1.134	INDRALOKĀGAMANA in BOPP'S Ardschuna's Re
335	MADHUS.	1.194	MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in
334	LALIT.	1.181	RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Dé
333	R. ed. Bomb.	1.247a	Bombay ed. of Rāmāyaṇa, 1859-1864 [Colog
329	SCHIEFNER, Lebensb.	1.184b	? 
328	VĀSAVAD.	c.055	?  
325	SCHL.	c.075	Rāmāyaṇa, Schlegel edition, 1829--1838  
321	WEBER, KṚṢṆAJ.	c.709	?  
316	KUSUM.	c.046	? Kusumanagara  
311	ŚRUT.	1.084	ŚRUTABODHA in der Zeitschrift für die Ku
309	MUIR, ST.	3.009a	MUIR, Sanskr. Texts ?
306	TĀRAN.	c.045	?  
304	KAUṢ. UP.	1.164	KAUṢĪTAKYUPANIṢAD.
304	SAṂSK. K.	4.014	SAṂSKĀRAKAUSTUBHA von ANANTADEVA. Lith. 
300	MUṆḌ. UP.	1.218	MUṆḌAKOPANIṢAD in der Bibliotheca indica
299	TATTVAS.	2.042	A Lecture on the Sánkhya Philosophy, emb
293	AUFRECHT	c.020	? 
278	SUND.	1.283	SUNDOPASUNDOPĀKHYĀNA, ed. BOPP (GILD. Bi
277	MIT.	1.215	MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 3
277	UṆĀDIK.	1.297	UṆĀDIKOṢA, nach Anführungen im ŚKDR.
275	Sp.	c.433	? 
273	SV.	1.286	SĀMAVEDA. Die Hymnen des SĀMA-VEDA, hera
269	ŚĀK. CH.	1.064	CHEZY'S Ausgabe des ŚĀKUNTALA (GILD. Bib
266	VAIJ.	1.301	VAIJAYANTĪ, ein Wörterbuch. Excerpte dar
263	Z. f. d. K. d. M.	1.335	Zeitschrift für die Kunde des Morgenland
263	UTTARARĀMAC.	c.005	? 
258	Spr. (I)	4.016a	Indische Sprüche. Sanskrit und deutsch h
257	MACK. Coll.	c.359	? 
254	ŚĀNTIŚ.	1.070	ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Ant
252	R. SCHL.	1.247b	Rāmāyaṇa, Schlegel edition, 1829--1838 [
249	MÜLLER, SL.	c.363	? 
245	DHAR.	1.092	DHARAṆĪKOṢA, ein Wörterbuch; nach Anführ
245	PRAŚNOP.	1.240	PRAŚNOPANIṢAD, nach der Ausgabe von RÖER
245	WEBER, Nakṣ.	4.018	WEBER, Die vedischen Nachrichten von den
242	HIOUEN-THSANG	1.126	Histoire de la vie de HIOUEN-THSANG et d
238	BRĀHMAṆ.	1.045	BRĀHMAṆAVILĀPA in BOPP'S Ardschuna's Rei
237	VĀYU-P.	1.302	VĀYUPURĀṆA.
237	BURN.	c.112	?  
235	VĀGBH.	c.047	?  
229	CHANDOM.	1.169	CHANDOMAÑJARĪ, ein Werk über Metrik; nac
227	LANGL.	c.121a	 Alexandre Langlois (1788-1854), French 
221	YOGAS.	2.018	YOGASŪTRA (The Aphorisms of the Yoga Phi
218	KUVALAY.	1.178	KUVALAYĀNANDA (Rhetorik) von APYADĪKṢITA
218	SAṂKṢIPTAS.	c.199	?  
216	HIOUEN-THSANG I	2.016	Mémoires sur les contrées occidentales, 
214	ŚĀNT.	1.069	ŚĀNTANĀCĀRYA'S PHIṬSŪTRĀṆI in BÖHTLINGK,
213	HIT. Pr.	1.128	Prooemium im HIT.
209	VYĀḌI	c.227	?  
203	TARKAS.	c.048	?  
195	BENFEY	c.031a	? 
188	UṆĀDIVṚ.	c.181	?  
186	ŚUK. in LA.	1.085b	ŚUKASAPTATI in LASSEN'S Anthologie (GILD
186	GṚHY.	c.050	?  
185	JAIM.	2.012	JAIMINI (The Aphorisms of the Mímánsá Ph
184	WISE	1.333	Commentary on the Hindu System of Medici
179	LAGHUJ.	1.180	VARĀHAMIHIRA'S LAGHUJĀTAKA.
178	Notices of Skt. Mss.	c.001a	Notices of Skt. Mss. 
176	COLEBR.	c.118	?  
175	GILD. Bibl.	1.109	Bibliothecae sanskritae sive recensus li
174	SADDH. P.	1.266a	? 
172	LOIS.	1.189	LOISELEUR DESLONGCHAMPS.
170	DEV.	1.091	DEVĪMĀHĀTMYA, ed. POLEY (GILD. Bibl. 130
169	KAṆ.	c.051	?  
169	GOLĀDHY.	c.054	?  
164	NṚS. TĀP. UP.	c.364	NṚSIṂHATĀPANĪYOPANIṢAD ? 
163	ṚV. ANUKR.	1.028a	ANUKRAMAṆIKĀ des ṚGVEDA ? [Cologne addit
162	NALOD.	c.049	?  
160	GAUḌAP.	1.106	GAUḌAPĀDA, ein Scholiast zu SĀM̃KHYAK.
160	ŚIKṢĀ	c.097	?  
159	WEBER, Lit.	1.188b	Akademische Vorlesungen über Indische Li
159	WEBER	c.109	?  
156	CHĀND. UP. S.	1.170a	? 
152	RĀYAM.	1.253	RĀYAMUKUṬA, ein Commentator des AMARAKOṢ
152	BHARATA	c.126	?  
149	BRAHMAVAIV. P.	c.321	BRAHMAVAIVARTAPURĀṆA?  
147	AIT. UP.	1.009	AITAREYOPANIṢAD, nach der Ausgabe von RÖ
147	ĀPAST.	1.022	ĀPASTAMBA.
147	TAITT. PRĀT.	1.289	PRĀTIŚĀKHYA zur TAITTIRĪYASAM̃HITĀ. S. R
145	AV. PARIŚ.	1.030	PARIŚIṢṬA des ATHARVAVEDA.
145	VĀMANA	c.096	?  
142	BHŪRIPR.	1.044	BHŪRIPRAYOGA, ein Wörterbuch; nach Anfüh
140	WEST.	1.330	WESTERGAARD'S Radices (GILD. Bibl. 42).
140	ŚR.	c.052	?  
140	Verz. d. Cambr. H.	c.368	? 
134	DVIRŪPAK.	1.099	DVIRŪPAKOṢA, eine Sammlung von Wörtern, 
134	GṚHYASAṂGR.	1.115	GṚHYASAM̃GRAHAPARIŚIṢTA, 2 Prapāṭhaka vo
133	WILSON, SĀṂKHYAK.	1.270a	SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 2
132	CĀṆ.	1.151	CĀṆAKYA in HAEB. Chrest. S. 312--322.
130	HAEB. Anth.	c.156a	HAEB.  Anth.= ?  
129	ŚUK.	1.085	ŚUKASAPTATI in LASSEN'S Anthologie (GILD
126	AUSH.	c.021	? 
126	KĀLACAKRA	c.098	?  
125	KĀŚĪKH.	4.006	KĀŚĪKHAṆḌA, nach Anführungen in AUFRECHT
125	VARĀH.	c.264	?  
124	BRAHMA-P.	1.047	BRAHMAPURĀṆA in LASSEN'S Anthologie (GIL
124	MATSYA-P.	1.208	MATSYAPURĀṆA.
122	TITHYĀDIT.	2.044	TITHYĀDITATTVA; nach Anführungen im ŚKDR
120	RAGH. ed. Calc.	1.252a	RAGHUVAṂŚA, ed. Calc. (GILD. Bibl. 135).
119	VIŚVA.	c.110	?  
118	STENZLER	c.113	?  
115	DURGA	c.114	?  
114	As. Res.	1.025	Asiatick Researches; or, transactions of
111	KṢITĪŚ.	c.053	?  
111	NYĀYAS.	c.057	?  
110	BĀLAB.	1.032	BĀLABODHANĪ in WINDISCHMANN'S Sancara (G
104	Z.	c.365	?  
101	ŚṚṄGĀRAT.	1.083	ŚṚṄGĀRATILAKA, ed. GILDEMEISTER (GILD. B
101	DHANV.	c.056	?  
97	KĀLIKĀ-P.	1.150	KĀLIKĀPURĀṆA, nach Anführungen im ŚKDR.
96	SKANDA-P.	1.280	SKANDAPURĀṆA.
96	AṢṬĀV.	c.018	? 
95	DHŪRTAS. in LA.	1.095a	DHŪRTASAMĀGAMA in LASSEN'S Anthologie (G
94	SVĀMIN	c.252	?  
93	RAMĀN.	1.254	RAMĀNĀTHA, ein Commentator des AMARAKOṢA
92	RĀJAV.	1.250	RĀJAVALLABHA, nach Anführungen im ŚKDR.
91	BR.	c.081	?  
88	VEDĀNTAS.	1.312	VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279)
88	Verz. d. Tüb. H.	c.372	? 
86	PRĀYAŚCITTEND.	c.063	?  
85	VṚDDHA-CĀṆ.	c.366	VṚDDHACĀṆAKYA ? 
83	SĀMAVIDH. BR.	c.012	? 
83	N. (BOPP)	c.2077	? 
82	RATNĀV.	1.260	RATNĀVALĪ, ed. Calc. (GILD. Bibl. 214).
82	GAṆIT.	c.074a	GAṆITĀDHYĀYA?  
82	ROTH	c.139	?  
82	HIT. ed. JOHNS.	c.172b	?  
80	ST.	1.281	STENZLER.
79	HAUGHTON	1.005	A Dictionary Bengali and Sanskrit, expla
76	KENOP.	1.168	KENOPANIṢAD in der Bibliotheca indica.
74	ŚIVA-P.	c.267a	ŚIVAPURĀṆA ?  
73	MUDRĀR.	1.217	MUDRĀRĀKṢASA, ed. Calc. (GILD. Bibl. 213
72	TAITT. BR.	1.288	TAITTIRĪYABRĀHMAṆA.
70	KÖPPEN	c.774	? 
69	MATSYOP.	1.209	MATSYOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 10
68	LASSEN	c.116	?  
68	AUFRECHT, HALĀY.	c.2072	? 
67	ADBH. BR.	1.003	ADBHUTABRĀHMAṆA.
67	BRĀHMAṆA	c.106	?  
67	KERN	c.111	?  
67	NĀRADA	c.182	?  
66	GHAṬ.	1.108	GHAṬAKARPARA, ed. Calc. (GILD. Bibl. 162
66	KĀTY.	1.158	KĀTYĀYANA.
65	GĀRUḌA-P.	c.354	GĀRUḌA-PURĀṆA ? 
64	REINAUD, Mém. sur l'Inde	1.214b	? 
64	DEVĪ-P.	2.009	DEVĪPURĀṆA; nach Anführungen im ŚKDR.
64	Vie de HIOUEN-THSANG	c.449	 ? 
64	Ind.	c.2027	? 
63	DĀYABH.	1.089a	DĀYABHĀGA, ed. Calc. 1829 (GILD. Bibl. 3
62	SIDDHĀNTAŚIR.	1.277	SIDDHĀNTAŚIROMAṆI, nach Anführungen im Ś
62	WIND. Sancara	1.332	FRID. H. H. WINDISCHMANNI Sancara sive d
62	TROYER	c.123	?  
62	EKĀKṢARAK.	c.129	?  
61	CĀT.	1.154	Gedicht vom Vogel Cātaka in der Zeitschr
60	GṚHYAS.	c.058	?  
60	HAUGHT.	c.108	?  
60	DURGĀD.	c.165	?  
59	MOLESW.	2.030	A Dictionary Murathee and English by YAM
58	Mél. asiat.	1.213	Mélanges asiatiques tirés du Bulletin hi
58	SĀRAS.	1.271	SĀRASUNDARĪ, ein Commentar zum AMARAKOṢA
58	Verz. d. Pet. H.	1.316	BÖHTLINGK'S Verzeichniss der Petersburge
58	GOP. BR.	c.384	GOPATHABRĀHMAṆA ? 
57	ĪŚOP.	1.132	ĪŚOPANIṢAD in der Bibliotheca indica.
57	KĀVYAPR.	c.060	?  
56	MAŚ.	1.191	MAŚAKA'S KALPASŪTRĀṆI.
56	BALA	c.025	? 
56	HĀLA	c.100	?  
55	MĀṆḌ. UP.	1.205a	GAUḌAPĀDA'S Kārikā zur MĀṆḌ. UP. in der 
54	ITIH.	1.137	ITIHĀSA.
54	KAIY.	1.146	KAIYAṬA, ein Erklärer von PATAÑJALI'S MA
52	BHAVIṢYA-P.	c.388	BHAVIṢYAPURĀṆA ? 
51	PĀRŚVANĀTHAK.	c.059	?  
50	JYOT.	1.111	JYOTIṢA.
50	VIKRAM.	1.320a	VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl.
50	MADHYAM.	4.007	MADHYAMAKAVṚTTI, handschriftlich in der 
50	GAṆITĀDHY.	c.074	GAṆITĀDHYĀYA ?  
50	MAHĀBH.	c.155	?  
50	SAM̃GĪTADĀM.	c.183	?  
49	BHĀG.	c.033	? 
47	NIDĀNA	c.099	?  
47	MÜLLER	c.362	? 
47	PADMA-P.	c.404	PADMAPURĀṆA ? 
46	ANUKR.	1.020	ANUKRAMAṆIKĀ.
46	DĀY.	1.089	DĀYABHĀGA, ed. Calc. 1829 (GILD. Bibl. 3
46	VĀRĀHA-P.	c.374	? 
46	UTPALA	c.441	 ? 
44	VAIDY.	1.300	VAIDYAKA.
44	AINSLIE	c.103	?  
43	TANTRAS.	1.290	TANTRASĀRA, nach Anführungen im ŚKDR.
43	VĀCASP.	1.303	VĀCASPATI.
43	VYAVAHĀRAT.	1.323	VYAVAHĀRATATTVA, ed. Calc. (GILD. Bibl. 
43	LĀTY.	c.061	?  
43	TANTRASĀRA	c.188	?  
42	LIṄGA-P.	1.187	LIṄGAPURĀṆA.
42	WASSILYEW	c.095a	В. Васильевъ. Буддизмъ, его догматы, ист
42	HAEB.	c.156	?  
42	BṚHADD.	c.191	?  
42	WEBER, PRATIJÑĀS.	c.2111	? 
41	MAHĀBH. lith. Ausg.	c.155a	?  
41	AJAYAPĀLA	c.184	?  
40	UṆ.	c.062	?  
39	AŚOKĀVAD.	c.064	AŚOKĀVADĀNA?  
39	MAHĀVĪRAC.	c.066	?  
38	VEṆĪS.	2.050	VEṆĪSAM̃HĀRA; nach Anführungen im ŚKDR.
38	NĀGĀN.	c.071	?  
38	GOLD.	c.115	?  
38	ŚABDĀRTHAKALPATARU	c.185	?  
38	JYOTISTATTVA	c.190	?  
38	Chr.	c.1546	?  
38	Kap.	c.1898	?  
37	PRASAṄGĀBH.	c.067	?  
37	HIOUENTHSANG	c.102	?  
37	KĀD.	c.186	?  
36	VIVĀDAC.	1.322	VIVĀDACINTĀMAṆI, ed. Calc. (GILD. Bibl. 
36	GOLD. MĀN.	3.003	MĀNAVA-KALPA-SŪTRA; being a portion of t
36	ŚĀṆḌ.	c.070	bhakti-sūtra, by śāṇḍilya  
36	MAD.	c.076	?  
36	AJAYA	c.187	?  
36	KUMĀRILA	c.193	?  
36	TS. Comm.	c.2150	? 
35	SOM. NALA	3.014a	SOM. NALA
35	ANUPADA	c.016	? 
35	CHANDAS	c.287	?  
