total	abbrev	bib_code	gloss
2773	COLEBR. Misc. Ess.	1.081	COLEBROOKE'S Miscellaneous Essays. 2 Bände. Lon- don 1837.
2760	DHĀTUP.	1.093	DHĀTUPĀṬHA in WESTERGAARD'S Radices (GILD. Bibl. 42).
2755	PAÑCAR.	c.013	NĀRADA PAÑCARĀTRA 
2728	ŚĀṄKH. ŚR.	1.068	ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI.
2697	KUMĀRAS.	1.175	KUMĀRASAM̃BHAVA, ed. STENZLER (GILD. Bibl. 136).
2685	ed. Bomb.	c.2119	Bombay ed. of Rāmāyaṇa, 1859-1864 OR&#13;&#10;of Mahābhārata, 1863-1877 [Cologne
2603	BHAG.	1.035	BHAGAVADGĪTĀ, Ausg. von SCHLEGEL (GILD. Bibl. 116).
2550	LĀṬY.	1.183	LĀṬYĀYANA'S SŪTRA zum SV. Hdschr.
2541	HALL	4.005	A contribution towards an index to the Bibliography of the Indian philosophical 
2363	MEGH.	1.212	MEGHADŪTA, ed. GILDEMEISTER (GILD. Bibl. 151).
2358	KĀM. NĪTIS.	c.002	? 
2295	ĀŚV. ŚR.	R1.001	ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI in 12 Adhyāya. Handschrift.
2242	PAÑCAV. BR.	1.233	PAÑCAVIṂŚABRĀHMAṆA.
2140	UṆĀDIS.	c.039	?  
2022	WILS.	1.331	WILSON'S Wörterbuch (GILD. Bibl. 37).
1996	MṚCCH.	1.216	MṚCCHAKAṬIKĀ, ed. STENZLER (GILD. Bibl. 186).
1905	DAŚAK.	1.088	DAŚAKUMĀRACARITA, ed. WILSON (GILD. Bibl. 236).
1879	CHĀND. UP.	1.170	CHĀNDOGYOPANIṢAD, nach der Ausgabe von RÖER in der&#13;&#10;Bibliotheca indica.
1874	HĀR.	1.120	HĀRĀVALĪ, ed. Calc. (GILD. Bibl. 258).
1863	SŪRYAS.	1.284	SŪRYASIDDHĀNTA, nach Anführungen in HAUGHTON, A Dict.&#13;&#10;Beng. and S.
1780	ṚV. PRĀT.	1.264	PRĀTIŚĀKHYA zun ṚGVEDA, citirt nach Paṭala und Versen. Hdschr. S. ROTH in der Ei
1742	ĀŚV. GṚHY.	1.002	ĀŚVALĀYANA'S GṚHYASŪTRĀṆI in 4 Adhyāya. Hdschr.
1741	VYUTP.	1.324	VYUTPATTI oder MAHĀVYUTPATTI (s. Mél. asiat. II, 382), ein&#13;&#10;sanskrit-tib
1661	VIKR.	1.320	VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl. 206).&#13;&#10;Eine einfache Zahl verwe
1596	WILSON	c.009a	? 
1558	UJJVAL.	c.104	?  
1529	KĀṬH.	1.155	KĀṬHAKA-Recension des YĀJ. V.
1456	NAIGH.	1.220	das, YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA.&#13;&#10;S. unter NIR.
1438	RATNAM.	1.259	RATNAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
1428	WILSON, Sel. Works	c.008	? 
1427	ŚABDAC.	1.059	ŚABDACANDRIKĀ, ein Wörterbuch; nach Anführungen im&#13;&#10;ŚKDR.
1417	KULL.	1.174	KULLŪKA, ein Scholiast des MANU, vollständig abgedruckt unter&#13;&#10;andern in
1405	SIDDH. K.	1.279	SIDDHĀNTAKAUMUDĪ, die Calc. Ausg. in 4º (GILD. Bibl. 245).
1395	VID.	1.319	Geschichte des VIDŪṢAKA in BÖHTLINGK'S Chrestomathie.
1353	ŚIŚ.	1.076	ŚIŚUPĀLAVADHA, ed. Calc. (GILD. Bibl. 141).
1328	BHARTṚ.	1.039	BHARTṚHARI, Ausg. von BOHLEN (GILD. Bibl. 156), mit Berück-&#13;&#10;sichtigung 
1320	H. ś.	1.123	die Śeṣa's zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI (s. unter H.),&#13;&#10;S. 421--44
1269	NĪLAK.	4.008	A rational refutation of the Hindu philosophical systems by&#13;&#10;Nehemiah Nī
1265	SĀY.	1.268	SĀYAṆA.
1219	GĪT.	1.110	GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168).
1167	MĀLAV.	1.202	MĀLAVIKĀGNIMITRA, ed. TULLBERG (GILD. Bibl. 209).
1140	ŚAṂK.	1.065	ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) und ŚAM̃-&#13;&#10;KARĀCĀRYA.
1105	LIA.	1.186	LASSEN'S Indische Alterthumskunde.
1065	BURN. Intr.	1.056	BURNOUF, Introduction à l'histoire du Buddhisme indien. Tome premier. Paris 1844
1065	WEBER, RĀMAT. UP.	c.007	? 
1058	VS. PRĀT.	1.329	PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ, citirt nach Adhyāya&#13;&#10;und Sūtra. Hdsc
1053	BENF. Chr.	1.033	BENFEY' Chrestomathie aus Sanskritwerken. Leipzig. 1853.
1030	JAṬĀDH.	1.105	JAṬĀDHARA, ein Lexicograph; nach Anführungen im CKDR.
981	GOBH.	2.015	GOBHILA'S GṚHYASŪTRA; nach Mittheilungen von A. WEBER.
926	NIGH. PR.	3.010	NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bombay 1839. 4º.
922	ṚT.	1.262	ṚTUSAM̃HĀRA, ed. BOHLEN (GILD. Bibl. 155).
913	WASSILJEW	c.095	В. Васильевъ. Буддизмъ, его догматы, исторія и литература. Часть 1. Общее обозрѣ
909	KAP.	2.020	KAPILA (The Aphorisms of the Sánkhya Philosophy, of Kapila;&#13;&#10;with illust
896	ŚĀṄKH. GṚHY.	1.067	ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI.
891	VET. in LA.	1.317a	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA). 
889	ŚĀṄKH. BR.	1.066	ŚĀṄKHĀYANA'S BRĀHMAṆA.
889	VARĀH. BṚH.	1.306	VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33]
870	Z. d. d. m. G.	1.334	Zeitschrift der Deutschen morgenländischen Gesell- schaft. Leipzig.
841	BṚH. ĀR. UP.	1.051	BṚHADĀRAṆYAKOPANIṢAD, nach der Ausgabe von RÖER&#13;&#10;in der Bibliotheca indi
838	PĀR. GṚHY.	1.235	PĀRASKARA'S GṚHYASŪTRĀṆI.
804	Journ. of the Am. Or. S.	3.004	Journal of the American Oriental Society.
786	BHAR.	1.038	BHARATA, ein Autor über Schauspielkunst, verschieden vom&#13;&#10;Scholiasten zu
783	ŚABDAM.	1.060	ŚABDAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
780	Uṇ.	1.296	Die Uṇādi-Affixe. Herausgegeben und mit Anmerkungen und verschiedenen Indices ve
762	Lot. de la b. l.	c.358	? 
753	AV. PRĀT.	1.031	PRĀTIŚĀKHYA zum ATHARVAVEDA. Citirt nach Adhyāya&#13;&#10;und Sūtra. Hdschr. Sie
748	BṚH.	c.043	?  
746	BṚH. ĀR. UP. S.	1.051b	? 
744	DHŪRTAS.	1.095	DHŪRTASAMĀGAMA in LASSEN'S Anthologie (GILD. Bibl. 48).
739	SĀṂKHYAK.	1.270	SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 271), mit Benutzung&#13;&#10;des Index in
729	PAT. a. a. O.	c.1364a	? 
727	LALIT. ed. Calc.	1.182a	LALITAVISTARA in der Bibliotheca indica.
712	ed. Calc.	c.2120	Calcutta edition of various works [Cologne addition]
708	ŚABDĀRTHAK.	c.127	?  
694	KIR.	1.171	KIRĀTĀRJUNĪYA, ed. Calc. (GILD. Bibl. 139).
658	VIŚVA	c.119	?  
639	VET.	1.317	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
626	ŚĀRṄG. SAṂH.	4.002	SAM̃HITĀ des ŚĀRṄGADHARA. Bombai 1853. Citirt nach&#13;&#10;Kāṇḍa, Adhyāya und d
608	CARAKA	c.094	?  
604	ŚVETĀŚV. UP.	1.086	ŚVETĀŚVATAROPANIṢAD in der Bibliotheca indica.
602	TS. PRĀT.	c.1712	? 
580	MĀLATĪM.	c.040	?  
574	ŚATR.	2.006	ŚATRUM̃JAYAMĀHĀTMYA, nach den von A. WEBER herausgegebe-&#13;&#10;nen Fragmenten
568	MAITRYUP.	c.041	?  
564	VEDĀNTAS. (Allah.)	2.049	A Lecture on the Vedánta, embracing the text of&#13;&#10;the Vedánta-Sára. Allah
560	PRATĀPAR.	4.011	VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀSTRAM. Lith. zu&#13;&#10;Pūnā, Śāka 1771
540	AMAR.	1.011	AMARUŚATAKA nach der Calc. Ausg. (GILD. Bibl. 162).
514	ARJ.	1.023	ARJUNASAMĀGAMA, ed. BOPP (GILD. Bibl. 106).
509	BHĀVAPR.	1.042	BHĀVAPRAKĀŚA, ein medic. Wörterbuch; nach Anführungen&#13;&#10;im ŚKDR.
506	KAṬHOP.	1.157	KAṬHOPANIṢAD in der Bibliotheca indica.
501	PAÑCAT. ed. orn.	1.233d	Pañcatantra, Kosegarten, ed. orn. 1859 [Cologne addition]
490	TĀRAN.	c.045	?  
489	WEBER	c.109	?  
488	HIḌ.	1.124	HIḌIMBAVADHA in BOPP'S Ardschuna's Reise zu Indra's Himmel,&#13;&#10;nebst ander
485	WEBER, JYOT.	4.017	WEBER, Ueber den Vedakalender, Namens Jyoti- ṣam. Berlin, 1862.
481	BURNOUF	c.107	?  
480	LA.	1.179	LASSEN'S Anthologie (GILD. Bibl. 48).
478	DAŚAR.	4.003	The Daśa-Rūpa, or Hindu Canons of Dramaturgy by Dhanan-&#13;&#10;jaya. Ed. by Fi
474	UTTARAR.	c.003	Uttararāmacarita, a play by Bhavabhuti 
474	YOGAŚ.	c.461	?  
455	LALIT.	1.181	RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Développement des&#13;&#10;yeux, traduit e
453	DAŚ.	1.087	DAŚARATHA'S Tod in BÖHTLINGK'S Chrestomathie (GILD. Bibl. 49).
452	TAITT. ĀR.	1.287	TAITTIRĪYĀRAṆYAKA.
441	PRAVARĀDHY.	1.243	PRAVARĀDHYĀYA.
426	DRAUP.	1.097	DRAUPADĪPRAMĀTHA, ed. BOPP (GILD. Bibl. 106).
426	KĀŚ.	1.144	KĀŚIKĀVṚTTI; s. die Einleitung zu BÖHTLINGK'S Ausgabe des&#13;&#10;PĀṆINI, S. LI
426	VĀLAKH.	1.304	VĀLAKHILYA, die zwischen ṚV. 8, 48 und 49 eingeschobe-&#13;&#10;nen Lieder.
423	CAURAP.	1.162	CAURAPAÑCĀŚIKĀ, ed. BOHLEN (GILD. Bibl. 156).
415	BHĀṢĀP.	1.040	BHĀṢĀPARICCHEDA nach der Ausgabe von RÖER in der&#13;&#10;Bibliotheca indica.
415	TAITT. UP.	c.375	TAITTIRĪYOPANIṢAD ? 
414	NAIṢ.	1.221	NAIṢADHACARITA, ed. Calc. (GILD. Bibl. 143).
411	ŚIV.	1.077	ŚIVANĀMASAHASRA, handschriftlich im Asiatischen Museum der&#13;&#10;Kais. Ak. de
410	WEBER, KṚṢṆAJ.	c.709	?  
409	KUSUM.	c.046	? Kusumanagara  
408	PAT.	1.236	PATAÑJALI, als Verfasser des MAHĀBHĀṢYA; nach Excerpten in&#13;&#10;BÖHTLINGK'S 
404	COLEBR. Alg.	1.080	Algebra, with Arithmetic and Mensuration, from the Sanscrit of BRAHMEGUPTA and B
402	VIŚV.	1.318	VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrestomathie.
400	KĀVYĀD.	c.042	?  
383	ṢAḌV. BR.	1.276	ṢAḌVIṂŚABRĀHMAṆA.
371	BRAHMA-P. in LA.	1.047a	BRAHMAPURĀṆA in LASSEN'S Anthologie (GILD. Bibl. 48). [dCologne Addition]
367	SĀV.	1.274	SĀVITRYUPĀKHYĀNA, ed. BOPP (GILD. Bibl. 106).
356	VĀSAVAD.	c.055	?  
355	HIOUEN-THSANG	1.126	Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde, traduite du
352	INDR.	1.134	INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him-&#13;&#10;mel u. s. w
351	MAHĪDH.	1.197	MAHĪDHARA, Scholiast der VS.
351	HEM.	c.376	HEMACANDRA ? 
350	MALLIN.	1.203	MALLINĀTHA.
344	MUIR, ST.	3.009a	MUIR, Sanskr. Texts ?
337	GORR.	1.112	Rāmāyaṇa, Gorresio edition, 1843--1867 [Cologne addition]
337	KAUṢ. UP.	1.164	KAUṢĪTAKYUPANIṢAD.
337	MADHUS.	1.194	MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in den Indischen&#13;&#10;Studien, I, S. 1
336	SCHIEFNER, Lebensb.	1.184b	? 
322	SAṂSK. K.	4.014	SAṂSKĀRAKAUSTUBHA von ANANTADEVA. Lith. Ausg. in folio&#13;&#10;ohne Angabe des 
321	TATTVAS.	2.042	A Lecture on the Sánkhya Philosophy, embracing the text&#13;&#10;of the Tattwa S
319	R. ed. Bomb.	1.247a	Bombay ed. of Rāmāyaṇa, 1859-1864 [Cologne addition]
314	ŚRUT.	1.084	ŚRUTABODHA in der Zeitschrift für die Kunde des Morgenlan-&#13;&#10;des, IV, S. 
313	SUND.	1.283	SUNDOPASUNDOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 97).
309	MUṆḌ. UP.	1.218	MUṆḌAKOPANIṢAD in der Bibliotheca indica.
304	MIT.	1.215	MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 314).
290	Z. f. d. K. d. M.	1.335	Zeitschrift für die Kunde des Morgenlandes. Göt- tingen (Bd. I--III) und Bonn (B
288	SCHL.	c.075	Rāmāyaṇa, Schlegel edition, 1829--1838  
287	SV.	1.286	SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt&#13;&#10;und mit Gl
287	AUFRECHT	c.020	? 
286	HIOUEN-THSANG I	2.016	Mémoires sur les contrées occidentales, traduits du sanscrit en chinois, en l'an
284	R. SCHL.	1.247b	Rāmāyaṇa, Schlegel edition, 1829--1838 [Cologne addition]
282	ŚĀK. CH.	1.064	CHEZY'S Ausgabe des ŚĀKUNTALA (GILD. Bibl. 187).
282	MÜLLER, SL.	c.363	? 
277	UṆĀDIK.	1.297	UṆĀDIKOṢA, nach Anführungen im ŚKDR.
268	ŚĀNTIŚ.	1.070	ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Anthology, S. 410. fgg.
268	UTTARARĀMAC.	c.005	? 
266	VAIJ.	1.301	VAIJAYANTĪ, ein Wörterbuch. Excerpte daraus, angeführt in den&#13;&#10;Scholien 
265	MACK. Coll.	c.359	? 
264	HIT. Pr.	1.128	Prooemium im HIT.
261	YOGAS.	2.018	YOGASŪTRA (The Aphorisms of the Yoga Philosophy of Patan-&#13;&#10;jali. l. Alla
260	PRAŚNOP.	1.240	PRAŚNOPANIṢAD, nach der Ausgabe von RÖER in der Biblio-&#13;&#10;theca indica.
258	VĀGBH.	c.047	?  
256	BRĀHMAṆ.	1.045	BRĀHMAṆAVILĀPA in BOPP'S Ardschuna's Reise zu Indra's&#13;&#10;Himmel u. s. w. B
245	DHAR.	1.092	DHARAṆĪKOṢA, ein Wörterbuch; nach Anführungen im CKDR.
242	GṚHY.	c.050	?  
240	TARKAS.	c.048	?  
237	VĀYU-P.	1.302	VĀYUPURĀṆA.
235	KAṆ.	c.051	?  
233	ŚĀNT.	1.069	ŚĀNTANĀCĀRYA'S PHIṬSŪTRĀṆI in BÖHTLINGK, Ein erster Versuch&#13;&#10;über den Ac
233	CHANDOM.	1.169	CHANDOMAÑJARĪ, ein Werk über Metrik; nach Anführungen&#13;&#10;im ŚKDR.
228	BURN.	c.112	?  
220	GILD. Bibl.	1.109	Bibliothecae sanskritae sive recensus librorum sanskri- torum hucusque typis vel
219	KUVALAY.	1.178	KUVALAYĀNANDA (Rhetorik) von APYADĪKṢITA mit dem ALAM̃-&#13;&#10;KĀRACANDRIKĀ ge
219	WEBER, Lit.	1.188b	Akademische Vorlesungen über Indische Literatur- geschichte. Gehalten von A. WEB
218	SAṂKṢIPTAS.	c.199	?  
215	ŚR.	c.052	?  
209	VYĀḌI	c.227	?  
203	BENFEY	c.031a	? 
201	ŚUK. in LA.	1.085b	ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).
198	GOLĀDHY.	c.054	?  
197	COLEBR.	c.118	AMARAKOṢA nach der Ausgabe von COLEBROOKE 
195	JAIM.	2.012	JAIMINI (The Aphorisms of the Mímánsá Philosophy by Yai-&#13;&#10;mini. With ext
190	Notices of Skt. Mss.	c.001a	Notices of Skt. Mss. 
188	UṆĀDIVṚ.	c.181	?  
187	WISE	1.333	Commentary on the Hindu System of Medicine, by T. A. WISE, M. D. Calcutta 1845. 
187	KĀLACAKRA	c.098	?  
183	DEV.	1.091	DEVĪMĀHĀTMYA, ed. POLEY (GILD. Bibl. 130).
171	SADDH. P.	1.266a	? 
170	CHĀND. UP. S.	1.170a	? 
169	NALOD.	c.049	?  
167	ṚV. ANUKR.	1.028a	ANUKRAMAṆIKĀ des ṚGVEDA ? [Cologne addition]
166	LOIS.	1.189	LOISELEUR DESLONGCHAMPS.
166	ŚIKṢĀ	c.097	?  
166	Verz. d. Cambr. H.	c.368	? 
164	NṚS. TĀP. UP.	c.364	NṚSIṂHATĀPANĪYOPANIṢAD ? 
162	KṢITĪŚ.	c.053	?  
161	ĀPAST.	1.022	ĀPASTAMBA.
160	AIT. UP.	1.009	AITAREYOPANIṢAD, nach der Ausgabe von RÖER in der Bi-&#13;&#10;bliotheca indica.
160	GAUḌAP.	1.106	GAUḌAPĀDA, ein Scholiast zu SĀM̃KHYAK.
156	GṚHYASAṂGR.	1.115	GṚHYASAM̃GRAHAPARIŚIṢTA, 2 Prapāṭhaka von 106 und&#13;&#10;103 Versen; vgl. ROTH
154	BHARATA	c.126	?  
152	RĀYAM.	1.253	RĀYAMUKUṬA, ein Commentator des AMARAKOṢA; nach An-&#13;&#10;führungen im ŚKDR.
150	BRAHMAVAIV. P.	c.321	BRAHMAVAIVARTAPURĀṆA?  
148	Spr. (I)	4.016a	Indische Sprüche. Sanskrit und deutsch herausgegeben von Otto BÖHTLINGK. St. Pet
147	TAITT. PRĀT.	1.289	PRĀTIŚĀKHYA zur TAITTIRĪYASAM̃HITĀ. S. ROTH in der&#13;&#10;Einl. z. NIR. S. XLV
147	VĀMANA	c.096	?  
146	AV. PARIŚ.	1.030	PARIŚIṢṬA des ATHARVAVEDA.
145	LAGHUJ.	1.180	VARĀHAMIHIRA'S LAGHUJĀTAKA.
142	BHŪRIPR.	1.044	BHŪRIPRAYOGA, ein Wörterbuch; nach Anführungen im&#13;&#10;ŚKDR.
140	WEST.	1.330	WESTERGAARD'S Radices (GILD. Bibl. 42).
140	KĀŚĪKH.	4.006	KĀŚĪKHAṆḌA, nach Anführungen in AUFRECHT'S Index zum&#13;&#10;HALĀYUDHA.
139	NYĀYAS.	c.057	?  
137	As. Res.	1.025	Asiatick Researches; or, transactions of the Society insti- tuted in Bengal, for
137	ŚUK.	1.085	ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).
136	CĀṆ.	1.151	CĀṆAKYA in HAEB. Chrest. S. 312--322.
135	WILSON, SĀṂKHYAK.	1.270a	SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 271), mit Benutzung des Index in LASSEN'S
134	DVIRŪPAK.	1.099	DVIRŪPAKOṢA, eine Sammlung von Wörtern, die in Bezug&#13;&#10;auf die Orthograph
132	KÖPPEN	c.774	? 
129	HAEB. Anth.	c.156a	HAEB.  Anth.= ?  
129	AUṢ.	c.2157	? 
127	BRAHMA-P.	1.047	BRAHMAPURĀṆA in LASSEN'S Anthologie (GILD. Bibl. 48).
125	MATSYA-P.	1.208	MATSYAPURĀṆA.
125	RAGH. ed. Calc.	1.252a	RAGHUVAṂŚA, ed. Calc. (GILD. Bibl. 135).
122	TITHYĀDIT.	2.044	TITHYĀDITATTVA; nach Anführungen im ŚKDR.
121	BĀLAB.	1.032	BĀLABODHANĪ in WINDISCHMANN'S Sancara (GILD. Bibl. 275).
121	STENZLER	c.113	?  
119	AṢṬĀV.	c.018	? 
119	VIŚVA.	c.110	?  
115	DURGA	c.114	?  
111	ŚṚṄGĀRAT.	1.083	ŚṚṄGĀRATILAKA, ed. GILDEMEISTER (GILD. Bibl. 151).
104	Vie de HIOUEN-THSANG	c.449	 ? 
103	SKANDA-P.	1.280	SKANDAPURĀṆA.
102	VEDĀNTAS.	1.312	VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).
102	DHANV.	c.056	?  
101	KĀLIKĀ-P.	1.150	KĀLIKĀPURĀṆA, nach Anführungen im ŚKDR.
100	DHŪRTAS. in LA.	1.095a	DHŪRTASAMĀGAMA in LASSEN'S Anthologie (GILD. Bibl. 48). 
95	PRĀYAŚCITTEND.	c.063	?  
94	SVĀMIN	c.252	?  
93	VARĀH. LAGHUJ.	1.180b	VARĀHAMIHIRA'S LAGHUJĀTAKA. 
93	MUDRĀR.	1.217	MUDRĀRĀKṢASA, ed. Calc. (GILD. Bibl. 213).
93	RAMĀN.	1.254	RAMĀNĀTHA, ein Commentator des AMARAKOṢA; nach An-&#13;&#10;führungen im ŚKDR.
92	RĀJAV.	1.250	RĀJAVALLABHA, nach Anführungen im ŚKDR.
92	SĀMAVIDH. BR.	c.012	? 
92	HIT. ed. JOHNS.	c.172b	HITOPADEŚA, F. Johnson, 1847   
91	REINAUD	c.413	? 
90	RATNĀV.	1.260	RATNĀVALĪ, ed. Calc. (GILD. Bibl. 214).
90	N. (BOPP)	c.2077	? 
