dict,dim_id,dim_name,options_available
AE,19,Etymology presence,none|partial|full
AE,20,Cross-reference syntax,explicit|k1|italic|absent
AE,21,Loanword marker,tagged|untagged
AE,23,Vedic-only marker,flagged|unflagged
BUR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
BUR,2,Duplication after r,opt1|opt2
BUR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
BUR,4,Inflected vs uninflected headword form,inflected|uninflected
BUR,5,Anusvāra of verbs,present|absent
BUR,6,ṛkārānta words,opt1|opt2|opt3
BUR,7,vas/yas suffixes,opt1|opt2|opt3|opt4
BUR,8,Sandhi handling at compound boundary,preserved|split|both
BUR,15,Citation format style,abbreviated|full|sanskrit
BUR,16,Mahābhārata edition reference,pune|critical
BUR,18,Verb-class marker style,roman|arabic|sanskrit
BUR,19,Etymology presence,none|partial|full
BUR,20,Cross-reference syntax,explicit|k1|italic|absent
BUR,21,Loanword marker,tagged|untagged
BUR,23,Vedic-only marker,flagged|unflagged
STC,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
STC,2,Duplication after r,opt1|opt2
STC,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
STC,4,Inflected vs uninflected headword form,inflected|uninflected
STC,5,Anusvāra of verbs,present|absent
STC,6,ṛkārānta words,opt1|opt2|opt3
STC,7,vas/yas suffixes,opt1|opt2|opt3|opt4
STC,8,Sandhi handling at compound boundary,preserved|split|both
STC,15,Citation format style,abbreviated|full|sanskrit
STC,16,Mahābhārata edition reference,pune|critical
STC,18,Verb-class marker style,roman|arabic|sanskrit
STC,19,Etymology presence,none|partial|full
STC,20,Cross-reference syntax,explicit|k1|italic|absent
STC,21,Loanword marker,tagged|untagged
STC,23,Vedic-only marker,flagged|unflagged
PWG,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
PWG,2,Duplication after r,opt1|opt2
PWG,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
PWG,4,Inflected vs uninflected headword form,inflected|uninflected
PWG,5,Anusvāra of verbs,present|absent
PWG,6,ṛkārānta words,opt1|opt2|opt3
PWG,7,vas/yas suffixes,opt1|opt2|opt3|opt4
PWG,8,Sandhi handling at compound boundary,preserved|split|both
PWG,15,Citation format style,abbreviated|full|sanskrit
PWG,16,Mahābhārata edition reference,pune|critical
PWG,18,Verb-class marker style,roman|arabic|sanskrit
PWG,19,Etymology presence,none|partial|full
PWG,20,Cross-reference syntax,explicit|k1|italic|absent
PWG,21,Loanword marker,tagged|untagged
PWG,23,Vedic-only marker,flagged|unflagged
GRA,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
GRA,2,Duplication after r,opt1|opt2
GRA,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
GRA,4,Inflected vs uninflected headword form,inflected|uninflected
GRA,5,Anusvāra of verbs,present|absent
GRA,6,ṛkārānta words,opt1|opt2|opt3
GRA,7,vas/yas suffixes,opt1|opt2|opt3|opt4
GRA,8,Sandhi handling at compound boundary,preserved|split|both
GRA,15,Citation format style,abbreviated|full|sanskrit
GRA,16,Mahābhārata edition reference,pune|critical
GRA,18,Verb-class marker style,roman|arabic|sanskrit
GRA,19,Etymology presence,none|partial|full
GRA,20,Cross-reference syntax,explicit|k1|italic|absent
GRA,21,Loanword marker,tagged|untagged
GRA,23,Vedic-only marker,flagged|unflagged
PW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
PW,2,Duplication after r,opt1|opt2
PW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
PW,4,Inflected vs uninflected headword form,inflected|uninflected
PW,5,Anusvāra of verbs,present|absent
PW,6,ṛkārānta words,opt1|opt2|opt3
PW,7,vas/yas suffixes,opt1|opt2|opt3|opt4
PW,8,Sandhi handling at compound boundary,preserved|split|both
PW,15,Citation format style,abbreviated|full|sanskrit
PW,16,Mahābhārata edition reference,pune|critical
PW,18,Verb-class marker style,roman|arabic|sanskrit
PW,19,Etymology presence,none|partial|full
PW,20,Cross-reference syntax,explicit|k1|italic|absent
PW,21,Loanword marker,tagged|untagged
PW,23,Vedic-only marker,flagged|unflagged
CCS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
CCS,2,Duplication after r,opt1|opt2
CCS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
CCS,4,Inflected vs uninflected headword form,inflected|uninflected
CCS,5,Anusvāra of verbs,present|absent
CCS,6,ṛkārānta words,opt1|opt2|opt3
CCS,7,vas/yas suffixes,opt1|opt2|opt3|opt4
CCS,8,Sandhi handling at compound boundary,preserved|split|both
CCS,15,Citation format style,abbreviated|full|sanskrit
CCS,16,Mahābhārata edition reference,pune|critical
CCS,18,Verb-class marker style,roman|arabic|sanskrit
CCS,19,Etymology presence,none|partial|full
