dict_a,dict_b,n_exclusive_lemmas,examples
CCS,MW,19,aKKalIkftyA aparityajya apasAritA aBiduh Akta
ACC,PWG,19,advEtajYAnasarvasva aBayadAnasAra AcAracintAmaRi AnandarAma AsInagaraprAkArapraSasti
INM,SCH,19,arjunAgraja Odra kuntIputra DarmasUnu DftarAzwrasuta
BUR,STC,19,Anarca iyAja eBis ezAm kurmas
BEN,MW72,18,anIrasana kzAraya kzIraya tirohaya Takkiyaka
INM,VCP,18,amftAMSUdBava araRIsuta karUzADipati kuntisutA kftaGnopAKyAna
AP,BHS,18,kaRqita kArakam kzamam jitam taraNgavatI
VCP,WIL,17,ambukaRWaka AkzEtrajYa Urjjita caturddaSan caturddola
PUI,SCH,17,arDabAhu AdDa kuliSAyuDa girirAjaputrI dantivadana
ABCH,ARMH,17,asavaH UrusanDi UrDvakzipta UrDvandama kawiproTO
FRI,LRV,17,kiMtu kOMteya graMTa duMduBi prAMta
SCH,VCP,16,abDiSaya aBinnapuwa aBimuKIBAva AtAnaka AleKa
PUI,VCP,16,amartta Ajana upadevI kapileSa kumBaja
LRV,PW,16,ambucatvara ambuBava amlagorasa azwarasa asTisaMDi
BHS,PWG,16,arciketu arDanArAyaRa fzivadana kleSamAra goRi
ACC,VCP,16,arcirAdimArga AturasaMnyAsa ekavIrAkalpa kapilAdAna kAtyAyanItantra
AP90,FRI,16,iMg iMD uMd kuMc kuMj
GST,LRV,15,anumatipatra annavyavahAra aparapARinIya aparIkzitakArin apahIna
ACC,SCH,15,amftaBAnu indrajAlaka udayapraBadeva kartfvAda kukkoka
PD,PE,14,aMSAvatAra akzaprapatana akzarapuruza akzasUtrA agnipa
SKD,YAT,14,ajasraM aniSaM ardDacandrA asAmprataM icCAvatI
ARMH,SKD,14,apsarasaH upamAtA uzmA nIcakI pftanAzAw
AP90,YAT,13,atitarAM atimaMgalya anuvAraM anvahaM apaSaMka
CCS,MD,13,atyfju ayadi aSyarTa ASIHkriya uBayaprApti
AP,IEG,13,avaDAraRA kalam kulAKyA kUlam KAdyawapAkika
INM,PW,13,avyaktarUpa ugrasenasuta kamaRqaluDara gorASva citrasEni
PWG,SKD,13,iBazA ganDapatrikA citrapatrI tanutvacA paNgulyahAriRI
MW72,PD,12,aktvA aGawwita acCodya atidfS aDvayat
GST,PWG,12,anuganDikA anDakavartIya anyatarasyAm anyad apadI
INM,PUI,12,aBizAha fcIkatanaya EkzvAkI kavisuta kuruvIra
LRV,MW72,12,amaDuparkya ASozaRa upAhAra trIRi vahequka
MCI,PE,12,AmaraTa ulUkASrama kfttikANgAraka tIrTakowi dakziRamalla
IEG,LRV,12,upagatA kawIsUtra kaqA kozagfha gadyA
IEG,VCP,11,akiYcitkara kacCaka karakaca kelA cavala
FRI,PD,11,aKKalIkftya agnitva atikomala atidakza atidayita
CAE,MD,11,fd kfttAvaSeza paYcIkf puYjIkf brAhmaRasAtkf
MCI,PD,10,agastyasaras agniyonija agratejas awavISabara atikfzRA
ABCH,AP,10,anuttaropapAtikadaSAH antakfddaSAH AdityO AhAratejas upAsakadaSAH
FRI,SCH,10,aprativihita arDasItikA ArohaRikA udaradAsa kftAhnika
KRM,VCP,10,arba ik iN iR fnPa
PE,VCP,10,azwadravya Urjjayoni kiYjapya kuruvarza gOrISiKara
BUR,PW,10,AnaSe AraBe Aruje Azwa Ikze
LRV,PE,10,unmadA caMpaka cAkzuzI quMquBa daMBa
MD,MW72,10,Urjaya koNkAra tandraya tandrAya devayat
PW,VEI,10,turyavAh dasyavevfka dasyavesaha pulIkaya Barant
AP,CAE,9,aDyAkrAnta ayatnalaBya cakorAkza DamaDamAy paSusaMBava
SHS,SKD,9,antardDiH ambujanma kecit gomayacCatrikA patraNgaM
CAE,STC,9,apakruzwa aBimatta AKyAtukAma ucCalant utsrasta
BHS,VCP,9,aBiramya aBisvara upAramBa Gara navodaka
PWG,SCH,9,avagrAhin AtaNkita ABigAmika AvAna maDyemArgam
CCS,PWG,9,AkulIkar kzAmIkar nyAsIkar paritakya SItkar
ABCH,LRV,9,itarat kirmIranizUdana kOSalika kzArA CekA
SKD,WIL,9,durvva baDraM misra larvva varcca
ARMH,PD,8,akArAdi akzAgrakIlikA agraRya aNganArajas aNgulyABaraRa
IEG,PW,8,awwapatiBAga arDANgI AharaRI kampala baladI
GRA,VCP,8,aDarAc asamazwa Ajarasa gaRaSri tuvIravat
BHS,STC,8,aDivAsayati aBinivftta asya utkIlayati GAtikA
PWG,STC,8,apasvaram avijiGatsa AsvasTya udgAmin unmudrita
GST,VCP,8,apAnana abBraka abBriya aBayaNkara aBayaNkft
FRI,PWG,8,aBiBAzitar ekAkitA kaluzIkar cUrRIkar dUrIkar
BHS,SKD,8,avyayaM kalI tIkzRaM nizpAdanA locanA
AP,SHS,8,asaMKyatA utkanDaram DarmaBikzukaH pramARapuruzaH pramuktakaRWam
ACC,PE,8,indrapUjA KaqgabAhu guruparamparA govindaSarman vAmanaBawwabARa
MCI,MW,8,uraSA kfzRaveRRA kokA carmaKaRqika badarikAtIrTa
ACC,IEG,8,kanakasaBApati kulapaYjikA gAnI jayantIvrata daRqADinATa
PE,SCH,8,kAlaketu candramatI citrarUpa DarApAla pratipAda
MD,PWG,8,gajIBU marmarIBU yuvIBU vadanIBU vipravrAjin
GRA,MW72,8,duvanya mahizvat yuzmayat vimahi vfzanDi
MW72,SKD,8,yUnI vASikA viqAlI SaktavaH SAliYcI
LAN,PD,7,akzatadeha akzOhiRIpati acitvA ajarAmaravat aDikAnurAga
BHS,CAE,7,akzuRa AmantraRaka evarUpa parizWita parisTita
CCS,PD,7,atoza anirjitya anukUlapariRAma anudGAwya anekabudDi
AP,INM,7,aTarvANgirasAH aDirAjyam AjyapAH kinnarI jayAjayO
FRI,PW,7,apradAtar avadant Etos karRay grAhaRa
BUR,VCP,7,aBimantra amBa camIkara tantas dadDi
BUR,WIL,7,ayugmaCada pariCanna pratiCAyA mftkAMSya vAramvAram
AP,FRI,7,arDahArin AKya deham pAdayati pArSvam
ABCH,PW,7,avyucCitti aSvanAsikA asitapakza etasa BuktaSezaka
ACSJ,MW,7,AgnIDrI upavastra kakzApuwa taravAlikA niSAwanI
MW,PGN,7,eraRqapalla kulavfdDi kusTalapura kowwUra gaRapatinAga
LAN,STC,7,kanIyAMs jyAyAMs pApIyAMs BUyAMs mIQvAMs
BHS,PE,7,kOtsya caRqaka citropacitra balamitra Badramati
CCS,VCP,7,candravaSa tryaNgala dantoluKalika duhi nUtra
MW72,WIL,7,nimIlat nirBidya pratigarjat BrAmyat vinaSyat
ABCH,PD,6,akAmAnumati akzapaRa akzimala aKAtabila aNkuSAgra
KRM,PD,6,aki akzU agi aWi adi
BEN,PD,6,agrAhyanAmakatA advAratas anatiprakASakatva anasUyitf anubuBUzu
INM,LRV,6,aBirAmA asatyA ftA tAmrOzWa DarmayUpa
PUI,PWG,6,ayasya trasu darBAvatI vAgvali vihInara
AP,BOP,6,aviSezam aSUnyam ApAtaduHsaha evaNguRa karkawakI
BHS,YAT,6,asmAkIna udgIraRa upADAna dIpA BUt
PE,PWG,6,ANGrika kili kuntaka mahAsAla ruzadru
SCH,YAT,6,AyamAna udrAga unnatatA jalakarin jaladantin
AP,MD,6,UzI katpayam puwIkf masIBU saMbadDam
IEG,PUI,6,karRam kAmakozWa praBuSakti mahABogapati mAtsyanyAya
INM,PWG,6,gfDrapatra trisOvarRa pariDIpatiKecara maDunisUdana vaqavAvaktra
BOP,MW72,6,mfgayARa viDUyat saNgamana saNgamanIya saNgrAm
PD,SKD,5,aM aMSumAlI akzakrIqA aNgirA anyedyu
FRI,SKD,5,ataH paraM varaM vaSaM SAntaM
AP,GST,5,anusaMvaraRam apasPurat apOgaRqa aBItvara aByantarakaraRa
AP,BUR,5,antarvatI itam ekasArTam Okzam sapatrAkfta
BHS,MW72,5,apava AsparSa tuRqaka vAsTa vinirmucya
CAE,PWG,5,apasalEs krARa paRqitaMmanyamAna SAligopa suboDana
MD,STC,5,apravaktf upanibandDf UzarAyita panTAn matsI
BEN,BOP,5,alpaduHKatA kAl kowikASya citr Cidr
ARMH,SCH,5,avizpazwa ahIraRI karasIkara GoraRa viprasUna
ABCH,VCP,5,avyAhatatva galoddeSa jyAGAtavAraRa DIguRa mEttra
CAE,LRV,5,asaMbadDapralApin udUQA pUjikA vyUQA sOptikavaDa
CCS,PUI,5,AgniDra godAvari brahmaRa yakzi Sukfta
ACC,BHS,5,Anandacandra indradeva cakraBeda jYAneSvara trimaNgala
ABCH,SCH,5,ASuSukzaRI kuhuka bappIha ratnaDi smaSAna
CAE,LAN,5,AhAradAna vItadarpa SamISAKA SamIsumanas hfcCayAvizwa
IEG,SKD,5,ekatIrTI KaM capalaM BaM mahAmahAvAruRI
IEG,PE,5,kapardI kIrtimuKa paYcavIra prakAla mantrapAla
BHS,BUR,5,kAlakarRin krakuCanda dakzya prAgeva musAra
ACPH,PWG,5,kiRAlAta KagAlikA pAdavITI pAdaSIlI vyomolmuka
ACC,AP,5,kumudAnanda drAviqAH mantratantra yavanAH rAjataraNgiRI
BUR,FRI,5,kzutpipAsA ciketa tisras samyuj sTIyate
ACC,PUI,5,gayAyAtrA grahahoma cakravartI taqAgaviDi vizRorArADanam
CCS,FRI,5,jiGAMsati dattavant pipfgDi pibati mahnA
BHS,INM,5,triSUlapARi diSAMpati vikurvaRA sAgaraDvaja svarRakeSa
CCS,SHS,5,pOScalya pOsna mADyaka vAtarahas sitASu
IEG,MW72,5,pravartamAna saNgam saNgrahItf saNGAwI sArayitvA
ACC,LRV,4,anAkulA nisfzwArTadUtI pEtAmahI saMmatA
ACC,GST,4,anuBavasAra antargaNgAmAhAtmya aBiDAvicAra aBirAmakAvya
PWG,VEI,4,aSvasUkti kErAtikA paYcAvi vftraGna
LAN,PWG,4,asaMhrAdayant vananvant valavftrahan hlAdikAvant
CAE,MW72,4,ahatvA AtmasAtkf daRqAyamAna varRayitf
BOP,VCP,4,UrdDvakeSa UrdDvam kaTamapi vfhadaSva
BUR,MD,4,Uzus mime yuvAm vakzi
MW,SNP,4,elAvAluka barbarI mAtuluNgI vanakodrava
MW72,PUI,4,kindeva vikzoBya saDanu suKIbala
BUR,SKD,4,kuSalavO parizat prativAk vinDapatrI
MCI,PUI,4,kraTaka devaparvata raTAkAra SiSumArapura
AP,BEN,4,cIcIkucI nivAs mfYj satrin
BHS,CCS,4,cowa jinAti DArayati saMprekzaRa
INM,MW72,4,jArAsanDi jAvAli sanDAtf sANkftya
PE,PW,4,tandulikASrama dASUra paYcASva lohitAyanI
BUR,SHS,4,byuz metrAvaruRa vEkarttana zaYj
MW72,PE,4,yOganDarAyaRa santarjana santardana sANKyAyana
FRI,MW72,4,varjayitvA SikzamARa sizvidAna hArayati
ABCH,PWG,3,ajinapatrikA fzyANka sUtrakfta
CAE,FRI,3,adarSayant cikitvaMs pfRant
BUR,PD,3,adita adus anayA
CAE,SCH,3,adozavant caraRaguru samudragfhaka
ACPH,LRV,3,aBizasti pAMSujAlika BikzaRA
ACC,PGN,3,amftadeva kumAradeva jayanandin
CAE,YAT,3,avikampa asaktabudDi Atmavinigraha
MW,WIL,3,asfgvimokzaRa bahureKa SaMsTA
GRA,MD,3,asmadryac gaB mUr
ACSJ,AP,3,upakaryA marjitA vfsI
ACC,INM,3,umAmaheSvarasaMvAda BAruRqasAman SvetopAKyAna
ACPH,SCH,3,ekAnasI cAraRA citrapiNgala
ACC,MW72,3,karpUrakavi baNgAla vimalogyatantra
ACSJ,SCH,3,kalindaputrI JampAna lumbi
BUR,IEG,3,kASAya prArya Bet
PUI,YAT,3,kfttika vfzalapati surasana
MCI,PW,3,gopAlakacCa nalakAlaka bahirgirya
BHS,KRM,3,camu Bramu vaqi
MCI,VCP,3,citrapaTA pucCaRqaka halIsaka
INM,SKD,3,CattraM nizadaH somapAH
BUR,CCS,3,jigAya jiGAya dadrus
KRM,MW,3,dfN pUrI ruN
CAE,INM,3,dEtyanibarhaRa mAdravatIputra svarBAnuSatru
IEG,PGN,3,dEvaputra pottaka sAhAnuzAhi
CAE,GRA,3,dyAvAkzam BImasaMdfS sUryAmAs
BHS,MCI,3,dvIpaka romA Sarmila
