a,b,content_similarity,convention_similarity,gap
CCS,STC,0.2444,0.4742,-0.2298
BHS,BUR,0.0444,0.2743,-0.2299
CAE,GST,0.0351,0.2672,-0.2321
BEN,SHS,0.1988,0.4315,-0.2327
FRI,PW,0.0361,0.2698,-0.2337
CAE,MD,0.2956,0.5294,-0.2338
MW,YAT,0.1847,0.424,-0.2393
BHS,WIL,0.0427,0.2828,-0.2401
INM,STC,0.0746,0.316,-0.2414
SKD,YAT,0.0612,0.3031,-0.2419
GST,SCH,0.0271,0.27,-0.2429
BEN,BOP,0.3072,0.5518,-0.2446
SCH,SKD,0.0144,0.2591,-0.2447
ACC,BEN,0.0133,0.2582,-0.2449
AP90,INM,0.028,0.274,-0.246
KRM,PWG,0.0054,0.2514,-0.246
CCS,VCP,0.1825,0.4286,-0.2461
BEN,PW,0.0989,0.3455,-0.2466
CCS,PUI,0.0778,0.3244,-0.2466
BHS,MCI,0.0155,0.2625,-0.247
CAE,SHS,0.2089,0.456,-0.2471
ACC,GRA,0.0051,0.2534,-0.2483
CCS,SKD,0.0225,0.273,-0.2505
INM,LRV,0.0563,0.3071,-0.2508
KRM,SHS,0.0157,0.2668,-0.2511
GRA,MD,0.1515,0.4032,-0.2517
CAE,VEI,0.0534,0.3054,-0.252
PWG,VEI,0.0276,0.2801,-0.2525
MW,STC,0.1073,0.3626,-0.2553
CCS,SHS,0.1916,0.4477,-0.2561
CCS,GST,0.0311,0.2875,-0.2564
BEN,CCS,0.2655,0.5224,-0.2569
BHS,GST,0.0109,0.2682,-0.2573
BOP,MD,0.1979,0.4557,-0.2578
ACC,VEI,0.0067,0.2654,-0.2587
FRI,MW,0.0321,0.2925,-0.2604
PUI,PWG,0.0452,0.3057,-0.2605
PW,STC,0.1118,0.3727,-0.2609
MD,SKD,0.0272,0.2902,-0.263
GST,YAT,0.0374,0.3025,-0.2651
GRA,SHS,0.0522,0.3196,-0.2674
CAE,VCP,0.1965,0.4642,-0.2677
BEN,SCH,0.0742,0.342,-0.2678
MD,MW72,0.2111,0.479,-0.2679
SCH,SHS,0.0764,0.3447,-0.2683
BHS,CAE,0.0452,0.3149,-0.2697
GST,VEI,0.0067,0.2775,-0.2708
AP90,WIL,0.1222,0.396,-0.2738
ACC,BOP,0.0111,0.2851,-0.274
GST,PW,0.0291,0.3036,-0.2745
AP,BEN,0.0783,0.3549,-0.2766
FRI,MW72,0.0884,0.3659,-0.2775
SKD,WIL,0.0698,0.348,-0.2782
BEN,INM,0.0826,0.3638,-0.2812
BHS,PW,0.0373,0.3196,-0.2823
CAE,MCI,0.0223,0.3057,-0.2834
CAE,FRI,0.1229,0.4082,-0.2853
BUR,MCI,0.0255,0.312,-0.2865
BHS,STC,0.0495,0.3369,-0.2874
LRV,STC,0.1572,0.4447,-0.2875
CAE,SKD,0.0219,0.3096,-0.2877
FRI,INM,0.0761,0.3645,-0.2884
ACC,PW,0.0537,0.3423,-0.2886
LRV,SCH,0.074,0.3646,-0.2906
BHS,PWG,0.0401,0.3311,-0.291
SHS,VEI,0.0283,0.321,-0.2927
AP,BHS,0.0189,0.3124,-0.2935
MCI,MW72,0.0151,0.3088,-0.2937
SCH,VCP,0.0749,0.3698,-0.2949
ACC,MW72,0.0114,0.3087,-0.2973
PUI,VCP,0.0665,0.3651,-0.2986
BUR,GST,0.033,0.332,-0.299
ACC,BUR,0.0105,0.3118,-0.3013
BOP,FRI,0.2363,0.5379,-0.3016
LRV,MCI,0.0177,0.3214,-0.3037
PUI,VEI,0.056,0.3597,-0.3037
MD,PUI,0.0808,0.3852,-0.3044
FRI,VEI,0.0754,0.3822,-0.3068
KRM,WIL,0.0212,0.3293,-0.3081
GRA,STC,0.0841,0.395,-0.3109
GRA,INM,0.0467,0.3595,-0.3128
GRA,MCI,0.0177,0.3309,-0.3132
BUR,FRI,0.1308,0.4444,-0.3136
BHS,SHS,0.0422,0.3616,-0.3194
BEN,GRA,0.1118,0.4332,-0.3214
BHS,BOP,0.0448,0.3672,-0.3224
KRM,STC,0.0144,0.3382,-0.3238
BUR,SHS,0.2205,0.5464,-0.3259
MCI,MW,0.0087,0.3349,-0.3262
AP,BUR,0.0721,0.4007,-0.3286
GST,MD,0.0494,0.3791,-0.3297
ACC,CAE,0.0208,0.351,-0.3302
AP,VEI,0.0097,0.3401,-0.3304
SCH,YAT,0.0773,0.4085,-0.3312
MW,MW72,0.23,0.5619,-0.3319
AP,SHS,0.137,0.4729,-0.3359
GST,VCP,0.0517,0.3886,-0.3369
GST,MW72,0.0629,0.4014,-0.3385
FRI,WIL,0.0819,0.4228,-0.3409
BEN,CAE,0.2402,0.5815,-0.3413
BHS,CCS,0.0488,0.3911,-0.3423
AP90,SHS,0.131,0.4741,-0.3431
FRI,LRV,0.082,0.4272,-0.3452
AP90,GST,0.0439,0.3897,-0.3458
CAE,PWG,0.2515,0.5973,-0.3458
KRM,PW,0.0039,0.3499,-0.346
AP,AP90,0.2689,0.6163,-0.3474
BOP,MCI,0.0382,0.3886,-0.3504
GST,PWG,0.0368,0.3872,-0.3504
MCI,VCP,0.021,0.3725,-0.3515
KRM,YAT,0.0124,0.3657,-0.3533
ACC,AP90,0.0051,0.3585,-0.3534
BEN,MW72,0.2328,0.5864,-0.3536
INM,VCP,0.0693,0.4242,-0.3549
INM,PUI,0.1324,0.4904,-0.358
CCS,KRM,0.014,0.3726,-0.3586
ACC,SKD,0.0024,0.3615,-0.3591
MCI,PWG,0.0137,0.3733,-0.3596
GRA,MW72,0.1001,0.4607,-0.3606
MD,WIL,0.1593,0.5236,-0.3643
AP,FRI,0.0407,0.4059,-0.3652
ACC,PUI,0.0169,0.3824,-0.3655
GST,MW,0.0294,0.395,-0.3656
INM,MW72,0.0466,0.4132,-0.3666
PUI,STC,0.0764,0.4433,-0.3669
FRI,GST,0.0267,0.3939,-0.3672
SCH,VEI,0.0176,0.3848,-0.3672
BHS,LRV,0.0417,0.4095,-0.3678
BUR,MD,0.1965,0.5649,-0.3684
MD,VEI,0.0711,0.4399,-0.3688
CAE,PW,0.2193,0.5886,-0.3693
AP,WIL,0.1268,0.4964,-0.3696
GST,KRM,0.0017,0.3731,-0.3714
SCH,STC,0.0999,0.4718,-0.3719
INM,PWG,0.0506,0.4226,-0.372
MCI,WIL,0.0169,0.3897,-0.3728
ACC,WIL,0.0147,0.3877,-0.373
AP90,BHS,0.0252,0.402,-0.3768
KRM,SCH,0.0063,0.3857,-0.3794
MD,VCP,0.1595,0.5411,-0.3816
INM,YAT,0.0561,0.442,-0.3859
BHS,MW,0.0319,0.4182,-0.3863
BEN,BUR,0.2539,0.6415,-0.3876
KRM,MCI,0.0063,0.3988,-0.3925
MD,PW,0.1161,0.51,-0.3939
PUI,PW,0.0344,0.4284,-0.394
CCS,PW,0.1777,0.5724,-0.3947
ACC,KRM,0.0007,0.3978,-0.3971
CCS,INM,0.0785,0.4758,-0.3973
BHS,GRA,0.0212,0.4206,-0.3994
CCS,PWG,0.215,0.6165,-0.4015
INM,WIL,0.0564,0.4588,-0.4024
KRM,MD,0.0195,0.4222,-0.4027
BUR,MW,0.0698,0.4751,-0.4053
INM,MW,0.0345,0.4399,-0.4054
ACC,CCS,0.0207,0.4279,-0.4072
BOP,GRA,0.1209,0.5281,-0.4072
BHS,VEI,0.0168,0.4242,-0.4074
ACC,SHS,0.0151,0.4229,-0.4078
PUI,SCH,0.0294,0.4378,-0.4084
MCI,SHS,0.0165,0.4257,-0.4092
CAE,INM,0.0739,0.4838,-0.4099
KRM,LRV,0.0088,0.4192,-0.4104
CAE,KRM,0.0106,0.4237,-0.4131
INM,KRM,0.0083,0.4227,-0.4144
BOP,INM,0.0901,0.5074,-0.4173
ACC,INM,0.0157,0.4382,-0.4225
MD,YAT,0.1628,0.5867,-0.4239
BUR,GRA,0.0956,0.5221,-0.4265
INM,SCH,0.0282,0.4557,-0.4275
BOP,BUR,0.261,0.6889,-0.4279
AP,MW72,0.154,0.5829,-0.4289
GST,MCI,0.0046,0.4357,-0.4311
PUI,YAT,0.0581,0.4912,-0.4331
BHS,FRI,0.0443,0.4777,-0.4334
MD,SCH,0.0866,0.5202,-0.4336
ACC,MCI,0.0054,0.4392,-0.4338
BUR,INM,0.0634,0.4994,-0.436
MCI,PW,0.0101,0.4499,-0.4398
GST,PUI,0.0108,0.454,-0.4432
MCI,STC,0.0284,0.4718,-0.4434
CAE,SCH,0.0789,0.5234,-0.4445
GRA,YAT,0.0551,0.5014,-0.4463
INM,VEI,0.0527,0.5001,-0.4474
FRI,SHS,0.0811,0.5288,-0.4477
BEN,MW,0.0818,0.5297,-0.4479
BOP,SHS,0.124,0.5741,-0.4501
MCI,VEI,0.0449,0.4956,-0.4507
CCS,MCI,0.0259,0.4788,-0.4529
FRI,KRM,0.025,0.481,-0.456
BOP,WIL,0.1203,0.5781,-0.4578
BEN,VEI,0.068,0.5288,-0.4608
BOP,VEI,0.0745,0.5356,-0.4611
ACC,SCH,0.0144,0.48,-0.4656
MCI,MD,0.0295,0.5012,-0.4717
KRM,PUI,0.0114,0.4843,-0.4729
BUR,VEI,0.053,0.5287,-0.4757
ACC,LRV,0.0155,0.4926,-0.4771
MCI,SCH,0.0115,0.4914,-0.4799
MW,VEI,0.0163,0.4968,-0.4805
AP,BOP,0.0547,0.5383,-0.4836
PW,VEI,0.0198,0.5035,-0.4837
GRA,VEI,0.1131,0.6008,-0.4877
BUR,MW72,0.2056,0.7038,-0.4982
PUI,SKD,0.0202,0.5264,-0.5062
ACC,VCP,0.0187,0.526,-0.5073
ACC,YAT,0.0146,0.525,-0.5104
ACC,STC,0.0124,0.5256,-0.5132
MCI,YAT,0.0167,0.536,-0.5193
GST,INM,0.0112,0.5516,-0.5404
MD,SHS,0.1612,0.7102,-0.549
BEN,BHS,0.0515,0.6036,-0.5521
INM,MCI,0.1492,0.7019,-0.5527
INM,SHS,0.0551,0.6096,-0.5545
INM,PW,0.0381,0.5933,-0.5552
GST,WIL,0.0466,0.6045,-0.5579
GST,SHS,0.0441,0.6026,-0.5585
BOP,GST,0.0294,0.5881,-0.5587
CCS,SCH,0.0762,0.643,-0.5668
MW72,VEI,0.0414,0.623,-0.5816
GRA,MW,0.0499,0.6379,-0.588
BOP,MW,0.0411,0.6312,-0.5901
SKD,VCP,0.0841,0.6746,-0.5905
MCI,PUI,0.0598,0.6567,-0.5969
ACC,MD,0.0153,0.6174,-0.6021
AP,GST,0.0295,0.6414,-0.6119
STC,YAT,0.1594,0.7767,-0.6173
PWG,SCH,0.0614,0.682,-0.6206
INM,MD,0.0744,0.7036,-0.6292
BOP,MW72,0.1236,0.7914,-0.6678
KRM,SKD,0.0212,0.6946,-0.6734
PW,SCH,0.1132,0.889,-0.7758
KRM,VCP,0.0194,0.8296,-0.8102
