dict,dim_id,dim_name,options_available,source_available,exemplar_1,exemplar_2,exemplar_3,annotator_value,annotator_label_if_new,annotator_confidence,annotator_notes
MW,2,Duplication after r,opt1|opt2,yes,aMSasavarRana,aMSuBartf,aMSuvimarda,,,,
MW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSavat,aMSumat,aMSumat,,,,
MW,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,akAra,,,,
MW,5,Anusvāra of verbs,present|absent,yes,"aMS :: <s>aMS</s> ¦ <ab>cl.</ab> 10. <ab>P.</ab> <s>aMSayati</s>, to divide, distribute, <ls>L.</",aMh :: <hom>1.</hom> <s>aMh</s> ¦ (<ab>cf.</ab> √ <s>aNG</s>) <ab>cl.</ab> 1. <ab>Ā.</ab> <s>aMha,,,,,
MW,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSIkf,aMSuBartf,akartf,,,,
MW,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acakfvas,acikitvas,ajApayas,,,,
MW,8,Sandhi handling at compound boundary,preserved|split|both,yes,a—kAra,a-fRin,aMSa—karaRa,,,,
MW,16,Mahābhārata edition reference,pune|critical,yes,"he first book of the <ls>MBh.</ls><info lex=""inh""/>","ex> not to be heard, <ls>MBh.</ls><info n=""sup""/><info lex=""m:f",".</lex> immediately, <ls>MBh.</ls><info lex=""ind""/>",,,,
SHS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
SHS,2,Duplication after r,opt1|opt2,yes,aMSuBartf,akarkkaSa,akarRa,,,,
SHS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSayat,aMSumat,akzavat,,,,
SHS,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
SHS,5,Anusvāra of verbs,present|absent,yes,aMSa :: {#aMSa#}¦ r. 10th cl. ({#aMSayati#}) To separate or divide. See {#aMsa#}.,aMsa :: {#aMsa#}¦ r. 10th cl. ({#-aMsayati#}) To separate or divide; also written {#aMSa#}.,,,,,
SHS,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,aMSuBartf,acalaBrAtf,,,,
SHS,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,anASvas,ayas,,,,
SHS,8,Sandhi handling at compound boundary,preserved|split|both,yes,aNga (-kata),aNgaja (-jaH),aTarvvan (-rvvA),,,,
SHS,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
AP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSaH,aMSAMSaH,,,,
AP,2,Duplication after r,opt1|opt2,yes,aMSavivartin,aMSasavarRanam,aMSuBartf,,,,
AP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,aMhasvat,akzaRvat,,,,
AP,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,aH,a,,,,
AP,5,Anusvāra of verbs,present|absent,yes,,,,,,,
AP,6,ṛkārānta words,opt1|opt2|opt3,yes,aMSayitf,aMSuBartf,akartf,,,,
AP,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,akziSravas,acikitvas,ajavas,,,,
AP,8,Sandhi handling at compound boundary,preserved|split|both,yes,"akava, -vA","aNgulI(rI)yam, -kam, -yakam","acApala, -lya",,,,
AP,16,Mahābhārata edition reference,pune|critical,yes,raRirha te vfzala#} <ls>Mbh. 6. 1. 158</ls>.,ll known as Āgneyī. The Mahābhārata represents Agni as having exh,".</ab> of a teacher, <ls>Mbh.</ls> ∙²2 Name of the 22nd muhūrta",,,,
BOR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,,,,,,,
BOR,2,Duplication after r,opt1|opt2,yes,aberration,abhorrence,abhorrent,,,,
BOR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,admitting that,afloat,aristocrat,,,,
BOR,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,abaft,abandon,,,,
BOR,5,Anusvāra of verbs,present|absent,yes,,,,,,,
BOR,6,ṛkārānta words,opt1|opt2|opt3,yes,account of,acquit oneself,apprise of,,,,
BOR,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,canvas,,,,,,
BOR,8,Sandhi handling at compound boundary,preserved|split|both,yes,able-bodied,absent-minded,addle-headed,,,,
BOR,16,Mahābhārata edition reference,pune|critical,yes,"} {# jalaM piva#},</div> Mah.; </div><div n=""1"">(2) {#bravIti#}","{#yaScAvirBAvamicCati#}, Mah.;</div> <div n=""1"">(2) by the verb:","#} A. s occurring in the Mahābhārata, Rāmāyana, Manu, etc. are cal",,,,
AE,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,,,,,,,
AE,2,Duplication after r,opt1|opt2,yes,aberration,abnormal,aboard,,,,
AE,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,acrobat,afloat,at,,,,
AE,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,abandon,abase,,,,
AE,5,Anusvāra of verbs,present|absent,yes,,,,,,,
AE,6,ṛkārānta words,opt1|opt2|opt3,yes,aloof,bailiff,beef,,,,
AE,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,canvas,,,,,,
AE,8,Sandhi handling at compound boundary,preserved|split|both,yes,alter-ego,auto-car,blear-eyed,,,,
AE,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
BUR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,atisaMDAna,anamitaMpaca,anusaMyAmi,,,,
BUR,2,Duplication after r,opt1|opt2,yes,akarRa,akartana,akartAra,,,,
BUR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,ajAnat,at,atattvArTavat,,,,
BUR,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
BUR,5,Anusvāra of verbs,present|absent,yes,,,,,,,
BUR,6,ṛkārānta words,opt1|opt2|opt3,yes,adAtf,astf,ASitf,,,,
BUR,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,ayas,alavas,,,,
BUR,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
BUR,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
STC,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSu,aMSumant,,,,
STC,2,Duplication after r,opt1|opt2,yes,akarRa,akartavya,akartf,,,,
STC,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,ajagat,atipat,atyAyat,,,,
STC,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,afRin,,,,
STC,5,Anusvāra of verbs,present|absent,yes,,,,,,,
STC,6,ṛkārānta words,opt1|opt2|opt3,yes,akartf,aGrAtf,awIkf,,,,
STC,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,atiniHSvas,ativiSvas,atyas,,,,
STC,8,Sandhi handling at compound boundary,preserved|split|both,yes,a-fRin,a-kawuka,a-kaRwaka,,,,
STC,16,Mahābhārata edition reference,pune|critical,yes,"tion <lbinfo n=""10""/> du Mahābhāṣya.",,,,,,
PWG,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
PWG,2,Duplication after r,opt1|opt2,yes,aMSasavarRa,akarkaSa,akarRa,,,,
PWG,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akzipat,aNgirasvat,at,,,,
PWG,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
PWG,5,Anusvāra of verbs,present|absent,yes,"aMSApay :: {#aMSApay#}¦, {#aMSApa/yati#} (Denom. von {#aMSa#} {%Theil) theilen%}, <ls>WEST.</ls> s. r",,,,,,
PWG,6,ṛkārānta words,opt1|opt2|opt3,yes,,,,,,,
PWG,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ajavas,ajApayas,advayas,,,,
PWG,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
PWG,16,Mahābhārata edition reference,pune|critical,yes,%frei von Schulden%} <ls>MBH.</ls> im <ls>ŚKDR.</ls>,"ten <is>Āditya</is>, <ls>MBH. 1,2523.</ls> des 11ten, <ls>HARIV","vyaMsitAM mADavena#} <ls>MBH. 1,197.</ls> {#vyaMsayAmAsa taM ta",,,,
GRA,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSu,aMSumat,,,,
GRA,2,Duplication after r,opt1|opt2,yes,akAmakarSana,akuDryac,aKarva,,,,
GRA,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,akrIqat,akzaRvat,,,,
GRA,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
GRA,5,Anusvāra of verbs,present|absent,yes,,,,,,,
GRA,6,ṛkārānta words,opt1|opt2|opt3,yes,aKKalIkf,agnihotf,adrimAtf,,,,
GRA,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acikitvas,ajaGanvas,ajavas,,,,
GRA,8,Sandhi handling at compound boundary,preserved|split|both,yes,a/Msa-tra,a/Msatra-koSa,aMho-mu/c,,,,
GRA,16,Mahābhārata edition reference,pune|critical,yes,"no dadhre rājasūyāya <ls>Mah. 〔2,541〕</ls>). Dann würde kudhrí-a",,,,,,
PW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSaka,aMSakaraRa,,,,
PW,2,Duplication after r,opt1|opt2,yes,aMSuvimarda,akarkara,akarkaSa,,,,
PW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akzipat,agnivat,aNgirasvat,,,,
PW,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,an,,,,
PW,5,Anusvāra of verbs,present|absent,yes,,,,,,,
PW,6,ṛkārānta words,opt1|opt2|opt3,yes,,,,,,,
PW,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ajavas,ajApayas,adByas,,,,
PW,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
PW,16,Mahābhārata edition reference,pune|critical,yes,"ne Falsch, ehrlich%} <ls>MBH. 3,82,11.</ls> <ls n=""MBH."">13,23,","#A#}) {%fleckenlos%} <ls>MBH. 3,221,20</ls>. <ls>KĀṆḌ. 28</ls>.","<ls>GAUT. 8,23</ls>. <ls>MBH. 14,38,2</ls>.",,,,
CCS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSakalpanA,aMSaBAj,,,,
CCS,2,Duplication after r,opt1|opt2,yes,aMsavartin,aMsavivartin,akarRa,,,,
CCS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akzipat,at,adadat,,,,
CCS,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMSa,,,,
CCS,5,Anusvāra of verbs,present|absent,yes,,,,,,,
CCS,6,ṛkārānta words,opt1|opt2|opt3,yes,f,,,,,,
CCS,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,adByas,aBizwiSavas,ayas,,,,
CCS,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
CCS,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
SCH,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSaka,aMSagrAhin,,,,
SCH,2,Duplication after r,opt1|opt2,yes,aMSasavarRana,akarRa,akarRagfhIta,,,,
SCH,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,akuzWipfzat,ajagat,aRqavat,,,,
SCH,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMSa,,,,
SCH,5,Anusvāra of verbs,present|absent,yes,,,,,,,
SCH,6,ṛkārānta words,opt1|opt2|opt3,yes,awIkf,aDarIkf,aDyAyitf,,,,
SCH,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,acaramavayas,acCinnapayas,atipawIyas,,,,
SCH,8,Sandhi handling at compound boundary,preserved|split|both,yes,-atikra/maRa,-atiBarita,-aDivIra,,,,
SCH,16,Mahābhārata edition reference,pune|critical,yes,"Adj. nicht prahlend, <ls>MBh. 3,45,10.</ls> — = {%˚aślāghanīya%","Adj. nicht zitternd, <ls>MBh. 6,14,14.</ls> {part=,seq=35,type=","man nicht hören mag, <ls>MBh. 8,39,7.</ls> {part=,seq=47,type=,",,,,
BOP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMS,aMSa,aMSala,,,,
BOP,2,Duplication after r,opt1|opt2,yes,akzadarSaka,atisarja,atisarjana,,,,
BOP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,agnimat,at,,,,
BOP,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aMS,,,,
BOP,5,Anusvāra of verbs,present|absent,yes,"aMSa :: {#aMSa#}¦ {%m.%} (r. {#aMS#} s. {#a#}) 1) pars, portio. 2) humerus. SAK. 22.6.infr. (cf. g",aMSu :: {#aMSu#}¦ {%m.%} (r. {#aMS#} s. {#u#}) radius.,"aMhas :: {#aMhas#}¦ {%n.%} (r. {#aMh#} s. {#as#}) peccatum. AM. (cf. {#aGa, Agas#} et gr. <lang n=""",,,,
BOP,6,ṛkārānta words,opt1|opt2|opt3,yes,aNgIkf,anumantf,anuSAsitf,,,,
BOP,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,aRIyas,aprAptavayas,ayas,,,,
BOP,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
BOP,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
VCP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSa,aMSaka,,,,
VCP,2,Duplication after r,opt1|opt2,yes,aMSasavarRRana,akarkaSa,akarRRa,,,,
VCP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aMSumat,akzaRvat,agnicitvat,,,,
VCP,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,afRin,,,,
VCP,5,Anusvāra of verbs,present|absent,yes,,,,,,,
VCP,6,ṛkārānta words,opt1|opt2|opt3,yes,akarttf,agnidAtf,acalaBrAtf,,,,
VCP,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ajavas,aRIyas,ativayas,,,,
VCP,8,Sandhi handling at compound boundary,preserved|split|both,yes,anurudDa--,,,,,,
VCP,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
SKD,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSaH,aMSakaM,,,,
SKD,2,Duplication after r,opt1|opt2,yes,akarkaSaH,akarRaH,akarttanaH,,,,
SKD,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,anyat,avIcimat,asat,,,,
SKD,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,aH,,,,
SKD,5,Anusvāra of verbs,present|absent,yes,,,,,,,
