source,inheritor,source_size,inheritor_size,intersection,containment,lift,pmi,rare_cont_2,src_rare_2,rare_cont_3,src_rare_3,rare_cont_5,src_rare_5,excl_pair,source_year,inheritor_year,temporal_plausible,both_in_L0
BEN,PW,17036,151349,15148,0.8892,2.76,1.465,0.0516,407,0.2285,731,0.5509,1966,21,1866,1879,True,True
CCS,PWG,28751,106083,23856,0.8297,3.675,1.878,0.0141,640,0.2275,1648,0.4453,6086,9,1887,1855,False,True
BEN,PWG,17036,106083,15194,0.8919,3.95,1.982,0.0491,407,0.2271,731,0.5315,1966,20,1866,1855,False,True
STC,MW72,23986,51159,16066,0.6698,6.152,2.621,0.0225,2221,0.226,4088,0.3139,7858,50,1932,1872,False,True
CAE,CCS,38484,28751,27014,0.702,11.471,3.52,0.1795,1894,0.2206,3803,0.4385,11180,340,1891,1887,False,True
ARMH,MW,6673,194084,6196,0.9285,2.248,1.169,0.1277,282,0.2117,359,0.4584,589,36,1861,1899,True,False
ABCH,MW,11584,194084,10711,0.9246,2.238,1.162,0.0953,514,0.2109,645,0.5079,1270,49,1896,1899,True,False
MW,PWG,194084,106083,94776,0.4883,2.163,1.113,0.0118,61214,0.2068,93230,0.3357,135524,721,1899,1855,False,True
SCH,PW,28455,151349,18289,0.6427,1.995,0.997,0.005,9208,0.2067,11872,0.501,19371,46,1928,1879,False,True
SKD,AP90,40817,34277,8500,0.2082,2.854,1.513,0.0644,26383,0.1906,31649,0.18,34309,1698,1886,1890,True,True
ACPH,MW,1453,194084,1188,0.8176,1.979,0.985,0.087,253,0.1879,298,0.5373,549,22,1896,1899,True,False
ACSJ,MW,634,194084,543,0.8565,2.073,1.052,0.1029,68,0.1875,80,0.4154,130,7,1896,1899,True,False
SCH,PWKVN,28455,14995,13901,0.4885,15.307,3.936,0.0002,9208,0.1824,11872,0.4542,19371,2,1928,n/a,True,False
MCI,INM,2325,9454,1529,0.6576,32.683,5.03,0.1353,532,0.1811,602,0.2832,805,72,1993,1904,False,True
BOP,BUR,8505,19146,5723,0.6729,16.513,4.046,0.1441,236,0.1662,349,0.1956,593,34,1847,1866,True,True
LRV,MW,48259,194084,36140,0.7489,1.813,0.858,0.072,11043,0.1649,12895,0.377,18338,795,1889,1899,True,True
VEI,MW,3704,194084,3168,0.8553,2.071,1.05,0.0528,492,0.1556,585,0.5242,1095,26,1912,1899,False,True
AP,AP90,88667,34277,26055,0.2939,4.028,2.01,0.0756,45732,0.1549,53567,0.1697,61655,3458,1957,1890,False,True
INM,MW,9454,194084,6795,0.7187,1.74,0.799,0.0725,2564,0.153,2934,0.3955,4268,186,1904,1899,False,True
ACC,PW,32576,151349,9368,0.2876,0.893,-0.164,0.0214,23340,0.1518,27163,0.2449,30608,500,1962,1879,False,True
SNP,PW,448,151349,337,0.7522,2.335,1.224,0.0,25,0.1351,37,0.2941,68,0,1974,1879,False,False
VCP,MW,48636,194084,39061,0.8031,1.944,0.959,0.0558,5955,0.1346,7491,0.4557,15836,332,1873,1899,True,True
STC,PW,23986,151349,17635,0.7352,2.282,1.191,0.0279,2221,0.1316,4088,0.3656,7858,62,1932,1879,False,True
GST,MW72,6761,51159,3429,0.5072,4.658,2.22,0.0743,740,0.1296,1196,0.2085,2211,55,1856,1872,True,True
MW,ACC,194084,32576,17060,0.0879,1.268,0.342,0.141,61214,0.1292,93230,0.1115,135524,8631,1899,1962,True,True
FRI,MW,7775,194084,6279,0.8076,1.955,0.967,0.0565,1151,0.1287,1336,0.2709,1805,65,1956,1899,False,True
VEI,PW,3704,151349,3017,0.8145,2.529,1.338,0.0203,492,0.1248,585,0.4986,1095,10,1912,1879,False,True
LAN,MD,4726,20103,3105,0.657,15.355,3.941,0.0806,248,0.1178,348,0.1333,600,20,1884,1893,True,False
BEN,MW72,17036,51159,12880,0.756,6.944,2.796,0.0442,407,0.1176,731,0.2233,1966,18,1866,1872,True,True
LAN,CAE,4726,38484,3997,0.8457,10.326,3.368,0.0202,248,0.1149,348,0.2483,600,5,1884,1891,True,False
MW72,STC,51159,23986,16066,0.314,6.152,2.621,0.009,5555,0.1096,8434,0.1352,18251,50,1872,1932,True,True
SNP,SKD,448,40817,148,0.3304,3.803,1.927,0.04,25,0.1081,37,0.2647,68,1,1974,1886,False,False
BOP,AP,8505,88667,5036,0.5921,3.138,1.65,0.0254,236,0.1003,349,0.1838,593,6,1847,1957,True,True
ABCH,PW,11584,151349,9462,0.8168,2.536,1.342,0.0136,514,0.0946,645,0.3323,1270,7,1896,1879,False,False
PE,MW,6623,194084,4786,0.7226,1.749,0.807,0.0191,1621,0.09,1878,0.3333,2664,31,1975,1899,False,False
LRV,AP,48259,88667,18308,0.3794,2.01,1.007,0.0276,11043,0.0899,12895,0.166,18338,305,1889,1957,True,True
SHS,MW,46730,194084,39084,0.8364,2.025,1.018,0.0393,1554,0.0887,4282,0.3994,10895,61,1900,1899,False,True
ACSJ,AP,634,88667,258,0.4069,2.156,1.109,0.0441,68,0.0875,80,0.1385,130,3,1896,1957,True,False
WIL,MW72,43939,51159,20377,0.4638,4.259,2.091,0.007,995,0.0852,3650,0.1463,9924,7,1832,1872,True,True
AP,MW,88667,194084,38129,0.43,1.041,0.058,0.0407,45732,0.0846,53567,0.1915,61655,1860,1957,1899,False,True
ARMH,ABCH,6673,11584,5065,0.759,30.786,4.944,0.0603,282,0.0836,359,0.1528,589,17,1861,1896,True,False
SHS,MW72,46730,51159,21700,0.4644,4.265,2.092,0.0161,1554,0.082,4282,0.1413,10895,25,1900,1872,False,True
VCP,SKD,48636,40817,6941,0.1427,1.643,0.716,0.0421,5955,0.0817,7491,0.132,15836,251,1873,1886,True,True
YAT,MW,44720,194084,37229,0.8325,2.015,1.011,0.0624,2085,0.0812,4420,0.3769,10319,130,1846,1899,True,True
SNP,SCH,448,28455,113,0.2522,4.165,2.058,0.08,25,0.0811,37,0.0735,68,2,1974,1928,False,False
SNP,VCP,448,48636,343,0.7656,7.396,2.887,0.08,25,0.0811,37,0.2794,68,2,1974,1873,False,False
ARMH,SKD,6673,40817,1253,0.1878,2.161,1.112,0.0496,282,0.0808,359,0.1154,589,14,1861,1886,True,False
MW72,PWG,51159,106083,34999,0.6841,3.03,1.599,0.0407,5555,0.0806,8434,0.3739,18251,226,1872,1855,False,True
PE,INM,6623,9454,3231,0.4878,24.245,4.6,0.0333,1621,0.0799,1878,0.2016,2664,54,1975,1904,False,False
