id	ls_string	class_draft	kind	tooltip
c.2200	Bull. de lʼAcad. Imp. des Sc.	person-western?	confident-expansion	Bull. de lʼAcad. Imp. des Sc. = Bulletin de lʼAcadémie Impériale des Sciences de Saint-Pétersbourg [Cologne Addition]
c.2201	Bull. de lʼAcad. Imp. des Sc. de S.-P.	person-western?	confident-expansion	Bull. de lʼAcad. Imp. des Sc. de S.-P. = Bulletin de lʼAcadémie Impériale des Sciences de Saint-Pétersbourg [Cologne Addition]
c.2202	Bull. de lʼAcad. Imp. des Sc. de St. P.	person-western?	confident-expansion	Bull. de lʼAcad. Imp. des Sc. de St. P. = Bulletin de lʼAcadémie Impériale des Sciences de Saint-Pétersbourg [Cologne Addition]
c.2203	Bulletin de lʼAcad. Imp. des sc. de St.-Pét.	journal-periodical	confident-expansion	Bulletin de lʼAcad. Imp. des sc. de St.-Pét. = Bulletin de lʼAcadémie Impériale des Sciences de Saint-Pétersbourg [Cologne Addition]
c.2204	BĪJAGAṆITA	book-work	identity-uncertain	BĪJAGAṆITA = BĪJAGAṆITA. ? [Cologne Addition]
c.2205	BĪJĀBHIDHĀNA	book-work	identity-uncertain	BĪJĀBHIDHĀNA = BĪJĀBHIDHĀNA. ? [Cologne Addition]
c.2206	CAṆḌĪ	book-work	identity-uncertain	CAṆḌĪ = CAṆḌĪ. ? [Cologne Addition]
c.2207	CHĀNDOGYABHĀṢYA	book-work	guess	CHĀNDOGYABHĀṢYA = Chāndogya-upaniṣad-bhāṣya ? [Cologne Addition]
c.2208	Calc.	person-western?	confident-expansion	Calc. = Calcutta edition [Cologne Addition]
c.2209	Calc. Aus.	person-western?	unknown	Calc. Aus. = ? [Cologne Addition]
c.2210	Calc. Ausgg.	person-western?	unknown	Calc. Ausgg. = ? [Cologne Addition]
c.2211	Carl Graf v. GÖRTZ, Reise um die Welt	person-western?	unknown	Carl Graf v. GÖRTZ, Reise um die Welt = ? [Cologne Addition]
c.2212	Chambers	person-western?	unknown	Chambers = ? [Cologne Addition]
c.2213	Chrest.	person-western?	unknown	Chrest. = ? [Cologne Addition]
c.2214	Compendiums des Vaiśeṣika-Systems	person-western?	unknown	Compendiums des Vaiśeṣika-Systems = ? [Cologne Addition]
c.2215	DAMPATĪŚ.	book-work	unknown	DAMPATĪŚ. = ? [Cologne Addition]
c.2216	DATTAKA-M.	book-work	unknown	DATTAKA-M. = ? [Cologne Addition]
c.2217	DHANAÑJAYA	book-work	identity-uncertain	DHANAÑJAYA = DHANAÑJAYA. ? [Cologne Addition]
c.2218	DHYĀNAB. UP.	book-work	unknown	DHYĀNAB. UP. = ? [Cologne Addition]
c.2219	DHŪRTASAMĀGAMA	book-work	identity-uncertain	DHŪRTASAMĀGAMA = DHŪRTASAMĀGAMA. ? [Cologne Addition]
c.2220	DURGOTSAVAPRAYOGA	book-work	identity-uncertain	DURGOTSAVAPRAYOGA = DURGOTSAVAPRAYOGA. ? [Cologne Addition]
c.2221	DVIVEDA	book-work	identity-uncertain	DVIVEDA = DVIVEDA. ? [Cologne Addition]
c.2222	DVĀVIṂŚATYAVADĀNAKA	book-work	identity-uncertain	DVĀVIṂŚATYAVADĀNAKA = DVĀVIṂŚATYAVADĀNAKA. ? [Cologne Addition]
c.2223	Die Wurzeln des Altsl.	person-western?	unknown	Die Wurzeln des Altsl. = ? [Cologne Addition]
c.2224	Die Wurzeln des Altslovenischen	person-western?	unknown	Die Wurzeln des Altslovenischen = ? [Cologne Addition]
c.2225	Ebend.	person-western?	unknown	Ebend. = ? [Cologne Addition]
c.2226	Eingang zum ṚV. PRĀT.	book-work	unknown	Eingang zum ṚV. PRĀT. = ? [Cologne Addition]
c.2227	Einl. z. ṚV.	book-work	unknown	Einl. z. ṚV. = ? [Cologne Addition]
c.2228	Einl. zu AIT. BR.	person-western?	unknown	Einl. zu AIT. BR. = ? [Cologne Addition]
c.2229	Einl. zu AV. PRĀT.	book-work	unknown	Einl. zu AV. PRĀT. = ? [Cologne Addition]
c.2230	Einl. zu BHĀG. P.	book-work	unknown	Einl. zu BHĀG. P. = ? [Cologne Addition]
c.2231	Einl. zu BṚH. ĀR. UP.	book-work	unknown	Einl. zu BṚH. ĀR. UP. = ? [Cologne Addition]
c.2232	Einl. zu CAURAP.	person-western?	unknown	Einl. zu CAURAP. = ? [Cologne Addition]
c.2233	Einl. zu DAŚAK.	book-work	unknown	Einl. zu DAŚAK. = ? [Cologne Addition]
c.2234	Einl. zu DAŚAR.	book-work	unknown	Einl. zu DAŚAR. = ? [Cologne Addition]
c.2235	Einl. zu GĪT.	book-work	unknown	Einl. zu GĪT. = ? [Cologne Addition]
c.2236	Einl. zu JAIM.	person-western?	unknown	Einl. zu JAIM. = ? [Cologne Addition]
c.2237	Einl. zu KAUṢ. UP.	book-work	unknown	Einl. zu KAUṢ. UP. = ? [Cologne Addition]
c.2238	Einl. zu KAṆ.	book-work	unknown	Einl. zu KAṆ. = ? [Cologne Addition]
c.2239	Einl. zu MAHĀBH.	book-work	unknown	Einl. zu MAHĀBH. = ? [Cologne Addition]
c.2240	Einl. zu MṚCCH.	book-work	unknown	Einl. zu MṚCCH. = ? [Cologne Addition]
c.2241	Einl. zu NAIGH.	person-western?	unknown	Einl. zu NAIGH. = ? [Cologne Addition]
c.2242	Einl. zu NIR.	person-western?	unknown	Einl. zu NIR. = ? [Cologne Addition]
c.2243	Einl. zu NYĀYA-S.	book-work	unknown	Einl. zu NYĀYA-S. = ? [Cologne Addition]
c.2244	Einl. zu P.	person-western?	unknown	Einl. zu P. = ? [Cologne Addition]
c.2245	Einl. zu SV.	person-western?	unknown	Einl. zu SV. = ? [Cologne Addition]
c.2246	Einl. zu SĀṂKHYAPR.	book-work	unknown	Einl. zu SĀṂKHYAPR. = ? [Cologne Addition]
c.2247	Einl. zu SŪRYAS.	book-work	unknown	Einl. zu SŪRYAS. = ? [Cologne Addition]
c.2248	Einl. zu TAITT. ĀR.	book-work	unknown	Einl. zu TAITT. ĀR. = ? [Cologne Addition]
c.2249	Einl. zu UṆĀDIS.	book-work	unknown	Einl. zu UṆĀDIS. = ? [Cologne Addition]
c.2250	Einl. zu VARĀH. BṚH. S.	book-work	unknown	Einl. zu VARĀH. BṚH. S. = ? [Cologne Addition]
c.2251	Einl. zu VP.	person-western?	unknown	Einl. zu VP. = ? [Cologne Addition]
c.2252	Einl. zu VS.	person-western?	unknown	Einl. zu VS. = ? [Cologne Addition]
c.2253	Einl. zu VĀMANA	book-work	unknown	Einl. zu VĀMANA = ? [Cologne Addition]
c.2254	Einl. zu VĀSAV.	book-work	unknown	Einl. zu VĀSAV. = ? [Cologne Addition]
c.2255	Einl. zu VĀSAVAD.	book-work	unknown	Einl. zu VĀSAVAD. = ? [Cologne Addition]
c.2256	Einl. zu YĀJÑ.	book-work	unknown	Einl. zu YĀJÑ. = ? [Cologne Addition]
c.2257	Einl. zu ŚĀK.	book-work	unknown	Einl. zu ŚĀK. = ? [Cologne Addition]
c.2258	Einl. zu ṚV.	book-work	unknown	Einl. zu ṚV. = ? [Cologne Addition]
c.2259	Einl. zu ṚV. PRĀT.	book-work	unknown	Einl. zu ṚV. PRĀT. = ? [Cologne Addition]
c.2260	Einl. zum AIT. BR.	person-western?	unknown	Einl. zum AIT. BR. = ? [Cologne Addition]
c.2261	Einl. zum DHĀTUP.	book-work	unknown	Einl. zum DHĀTUP. = ? [Cologne Addition]
c.2262	Einl. zum NIR.	person-western?	unknown	Einl. zum NIR. = ? [Cologne Addition]
c.2263	Einl. zum SV.	person-western?	unknown	Einl. zum SV. = ? [Cologne Addition]
c.2264	Einl. zum ṚV.	book-work	unknown	Einl. zum ṚV. = ? [Cologne Addition]
c.2265	Einl. zum ṚV. PRĀT.	book-work	unknown	Einl. zum ṚV. PRĀT. = ? [Cologne Addition]
c.2266	Einl. zur 1sten Ausgabe des Wörterb.	person-western?	unknown	Einl. zur 1sten Ausgabe des Wörterb. = ? [Cologne Addition]
c.2267	Einl. zur 1ten Ausg. d. Wört.	person-western?	unknown	Einl. zur 1ten Ausg. d. Wört. = ? [Cologne Addition]
c.2268	Einl. zur 1ten Ausg. des Wörterbuchs	person-western?	unknown	Einl. zur 1ten Ausg. des Wörterbuchs = ? [Cologne Addition]
c.2269	Erklärern zu AK.	person-western?	unknown	Erklärern zu AK. = ? [Cologne Addition]
c.2270	Erll. zu NIR.	person-western?	unknown	Erll. zu NIR. = ? [Cologne Addition]
c.2271	Erll. zum NIR.	person-western?	unknown	Erll. zum NIR. = ? [Cologne Addition]
c.2272	Erll. zum NIRUKTA	person-western?	unknown	Erll. zum NIRUKTA = ? [Cologne Addition]
c.2273	F. NEVEʼs Essay sur le mythe des Ribhavas	book-work	unknown	F. NEVEʼs Essay sur le mythe des Ribhavas = ? [Cologne Addition]
c.2274	GOL. CHEDYAK.	book-work	unknown	GOL. CHEDYAK. = ? [Cologne Addition]
c.2275	GUPTASĀDHANATANTRA	book-work	identity-uncertain	GUPTASĀDHANATANTRA = GUPTASĀDHANATANTRA. ? [Cologne Addition]
c.2276	Göttinger gelehrten Anzeigen	person-western?	unknown	Göttinger gelehrten Anzeigen = ? [Cologne Addition]
c.2277	HALĀYUDHA	book-work	identity-uncertain	HALĀYUDHA = HALĀYUDHA. ? [Cologne Addition]
c.2278	HERM. JACOBI	book-work	unknown	HERM. JACOBI = ? [Cologne Addition]
c.2279	Halleʼsche Allg. Lit. Zeit.	person-western?	unknown	Halleʼsche Allg. Lit. Zeit. = ? [Cologne Addition]
c.2280	Hist. de HIOUEN-THSANG	person-western?	unknown	Hist. de HIOUEN-THSANG = ? [Cologne Addition]
c.2281	Hist. of MED.	person-western?	unknown	Hist. of MED. = ? [Cologne Addition]
c.2282	History of the Sect of Mahārājas u. s. w.	person-western?	unknown	History of the Sect of Mahārājas u. s. w. = ? [Cologne Addition]
c.2283	IBN HAUQAL	book-work	identity-uncertain	IBN HAUQAL = IBN HAUQAL. ? [Cologne Addition]
c.2284	Index	person-western?	unknown	Index = ? [Cologne Addition]
c.2285	Index des KANDJUR	person-western?	unknown	Index des KANDJUR = ? [Cologne Addition]
c.2286	Index zu HALĀY.	book-work	unknown	Index zu HALĀY. = ? [Cologne Addition]
c.2287	Index zum HALĀY.	book-work	unknown	Index zum HALĀY. = ? [Cologne Addition]
c.2288	Index zum TRIK.	person-western?	unknown	Index zum TRIK. = ? [Cologne Addition]
c.2289	JAYARĀMA	book-work	identity-uncertain	JAYARĀMA = JAYARĀMA. ? [Cologne Addition]
c.2290	JUMARAVYĀKARAṆA	book-work	identity-uncertain	JUMARAVYĀKARAṆA = JUMARAVYĀKARAṆA. ? [Cologne Addition]
c.2291	JYOTIṢ.	book-work	unknown	JYOTIṢ. = ? [Cologne Addition]
c.2292	KALHAṆA	book-work	identity-uncertain	KALHAṆA = KALHAṆA. ? [Cologne Addition]
c.2293	KAMRAN.	book-work	unknown	KAMRAN. = ? [Cologne Addition]
c.2294	KANDJUR	book-work	identity-uncertain	KANDJUR = KANDJUR. ? [Cologne Addition]
c.2295	KAPIŚĀV.	book-work	unknown	KAPIŚĀV. = ? [Cologne Addition]
c.2296	KATAKA	book-work	identity-uncertain	KATAKA = KATAKA. ? [Cologne Addition]
c.2297	KAVACA	book-work	identity-uncertain	KAVACA = KAVACA. ? [Cologne Addition]
c.2298	KAVIRAH.	book-work	unknown	KAVIRAH. = ? [Cologne Addition]
c.2299	KAVITĀMṚTAK.	book-work	unknown	KAVITĀMṚTAK. = ? [Cologne Addition]
c.2300	KIRĀTĀRJUNĪYA	book-work	identity-uncertain	KIRĀTĀRJUNĪYA = KIRĀTĀRJUNĪYA. ? [Cologne Addition]
c.2301	Karte von BERGHAUS	person-western?	unknown	Karte von BERGHAUS = ? [Cologne Addition]
c.2302	Kow. Mong. Wört.	person-western?	unknown	Kow. Mong. Wört. = ? [Cologne Addition]
c.2303	KĀRTTIKA	commentary-of-work	identity-uncertain	KĀRTTIKA = KĀRTTIKA. ? [Cologne Addition]
c.2304	KṚṢISAṂGR.	book-work	unknown	KṚṢISAṂGR. = ? [Cologne Addition]
c.2305	Le Lotus de la bonne loi	person-western?	unknown	Le Lotus de la bonne loi = ? [Cologne Addition]
c.2306	Lex. pentagl.	person-western?	unknown	Lex. pentagl. = ? [Cologne Addition]
c.2307	MAX MÜLLERʼs Grammatik	book-work	unknown	MAX MÜLLERʼs Grammatik = ? [Cologne Addition]
c.2308	Monatsb. der K. Pr. Ak. d. Ww.	person-western?	unknown	Monatsb. der K. Pr. Ak. d. Ww. = ? [Cologne Addition]
c.2309	Monatsber.	person-western?	unknown	Monatsber. = ? [Cologne Addition]
c.2310	Monatsber. d. Berl. Ak. d. Ww.	person-western?	unknown	Monatsber. d. Berl. Ak. d. Ww. = ? [Cologne Addition]
c.2311	Monatsber. der Berliner Ak. d. Ww.	person-western?	unknown	Monatsber. der Berliner Ak. d. Ww. = ? [Cologne Addition]
c.2312	Monatsberichte der Königl. Preuss. Akad. d. Wissenschaften	person-western?	unknown	Monatsberichte der Königl. Preuss. Akad. d. Wissenschaften = ? [Cologne Addition]
c.2313	Monatsberr. d. k. pr. Ak. d. Ww. in Berlin	person-western?	unknown	Monatsberr. d. k. pr. Ak. d. Ww. in Berlin = ? [Cologne Addition]
c.2314	Monatsberr. d. kön. pr. Ak. d. Wiss.	person-western?	unknown	Monatsberr. d. kön. pr. Ak. d. Wiss. = ? [Cologne Addition]
c.2315	Mélanges asiatiques	book-work	unknown	Mélanges asiatiques = ? [Cologne Addition]
c.2316	Mém. VI sér.	book-work	unknown	Mém. VI sér. = ? [Cologne Addition]
c.2317	Mém. de lʼAcad. Imp. dés sc. de St.-Pétersb. VI série.	book-work	unknown	Mém. de lʼAcad. Imp. dés sc. de St.-Pétersb. VI série. = ? [Cologne Addition]
c.2318	Mémoire sur lʼInde	book-work	unknown	Mémoire sur lʼInde = ? [Cologne Addition]
c.2319	MĀLAVIKĀGNIMITRA	book-work	identity-uncertain	MĀLAVIKĀGNIMITRA = MĀLAVIKĀGNIMITRA. ? [Cologne Addition]
c.2320	MĀRKAṆḌ. P.	book-work	unknown	MĀRKAṆḌ. P. = ? [Cologne Addition]
c.2321	Māgadhī übersetzt worden	book-work	unknown	Māgadhī übersetzt worden = ? [Cologne Addition]
c.2322	MĪMĀṂSĀD.	book-work	unknown	MĪMĀṂSĀD. = ? [Cologne Addition]
c.2323	Nachschr. zu M.	person-western?	unknown	Nachschr. zu M. = ? [Cologne Addition]
c.2324	Nachtrags zum YONIGRANTHA	person-western?	unknown	Nachtrags zum YONIGRANTHA = ? [Cologne Addition]
c.2325	NĀG.	book-work	unknown	NĀG. = ? [Cologne Addition]
c.2326	Oxford Essays	person-western?	unknown	Oxford Essays = ? [Cologne Addition]
c.2327	PARAMAHAṂSOP.	book-work	unknown	PARAMAHAṂSOP. = ? [Cologne Addition]
c.2328	PATAÑJALI	book-work	identity-uncertain	PATAÑJALI = PATAÑJALI. ? [Cologne Addition]
c.2329	PHETK.	book-work	unknown	PHETK. = ? [Cologne Addition]
c.2330	PHETKĀRĪYATANTRA	book-work	identity-uncertain	PHETKĀRĪYATANTRA = PHETKĀRĪYATANTRA. ? [Cologne Addition]
c.2331	PRĀTT.	book-work	unknown	PRĀTT. = ? [Cologne Addition]
c.2332	PURUṢAKĀRA	book-work	identity-uncertain	PURUṢAKĀRA = PURUṢAKĀRA. ? [Cologne Addition]
c.2333	PWG	book-work	identity-uncertain	PWG = PWG. ? [Cologne Addition]
c.2334	PWG Nachträge	book-work	unknown	PWG Nachträge = ? [Cologne Addition]
c.2335	PWG Nachträgen	book-work	unknown	PWG Nachträgen = ? [Cologne Addition]
c.2336	PWG Verbesserungen und Nachträge	book-work	unknown	PWG Verbesserungen und Nachträge = ? [Cologne Addition]
c.2337	Padapāṭha zum SV.	person-western?	unknown	Padapāṭha zum SV. = ? [Cologne Addition]
c.2338	Pref. zu VARĀH. BṚH. S.	book-work	unknown	Pref. zu VARĀH. BṚH. S. = ? [Cologne Addition]
c.2339	Progr. der Univ. Breslau	person-western?	unknown	Progr. der Univ. Breslau = ? [Cologne Addition]
c.2340	ROS.	book-work	unknown	ROS. = ? [Cologne Addition]
c.2341	SAṂGĪTARATNĀKARA	book-work	identity-uncertain	SAṂGĪTARATNĀKARA = SAṂGĪTARATNĀKARA. ? [Cologne Addition]
c.2342	SAṂGĪTAŚĀSTRA	book-work	identity-uncertain	SAṂGĪTAŚĀSTRA = SAṂGĪTAŚĀSTRA. ? [Cologne Addition]
c.2343	SETUS.	book-work	unknown	SETUS. = ? [Cologne Addition]
c.2344	SHERRING, Sacred city	book-work	unknown	SHERRING, Sacred city = ? [Cologne Addition]
c.2345	SUPRABHĀTASTOTRA	book-work	identity-uncertain	SUPRABHĀTASTOTRA = SUPRABHĀTASTOTRA. ? [Cologne Addition]
c.2346	SĀRASVATĪ PRAKRIYĀ	book-work	identity-uncertain	SĀRASVATĪ PRAKRIYĀ = SĀRASVATĪ PRAKRIYĀ. ? [Cologne Addition]
c.2347	SŪKTIKARṆĀMṚTA	commentary-of-work	identity-uncertain	SŪKTIKARṆĀMṚTA = SŪKTIKARṆĀMṚTA. ? [Cologne Addition]
c.2348	TARKASAṂGR.	book-work	unknown	TARKASAṂGR. = ? [Cologne Addition]
c.2349	TEJOB. UP.	book-work	unknown	TEJOB. UP. = ? [Cologne Addition]
c.2350	TH. GOLDSTÜCKER	book-work	unknown	TH. GOLDSTÜCKER = ? [Cologne Addition]
c.2351	TRÜBNERʼs Record	book-work	unknown	TRÜBNERʼs Record = ? [Cologne Addition]
c.2352	Text	person-western?	unknown	Text = ? [Cologne Addition]
c.2353	Tübinger Universitätsbibl.	person-western?	unknown	Tübinger Universitätsbibl. = ? [Cologne Addition]
c.2354	Uebersetzung dieses Stückes	person-western?	unknown	Uebersetzung dieses Stückes = ? [Cologne Addition]
c.2355	VEṆĪSAṂH.	book-work	unknown	VEṆĪSAṂH. = ? [Cologne Addition]
c.2356	VIMALABODHA	book-work	identity-uncertain	VIMALABODHA = VIMALABODHA. ? [Cologne Addition]
c.2357	Vierschach Monatsberr. d. K. Pr. Ak. d. Ww.	person-western?	unknown	Vierschach Monatsberr. d. K. Pr. Ak. d. Ww. = ? [Cologne Addition]
c.2358	Vol. IV der Bibl. ind.	person-western?	unknown	Vol. IV der Bibl. ind. = ? [Cologne Addition]
c.2359	Vorr. zum DHĀTUP.	book-work	unknown	Vorr. zum DHĀTUP. = ? [Cologne Addition]
c.2360	Vorrede	person-western?	unknown	Vorrede = ? [Cologne Addition]
c.2361	Vorrede zu AK.	person-western?	unknown	Vorrede zu AK. = ? [Cologne Addition]
c.2362	Vorrede zu SĀṂKHYAPRAV.	book-work	unknown	Vorrede zu SĀṂKHYAPRAV. = ? [Cologne Addition]
c.2363	Vorrede zum AIT. BR.	person-western?	unknown	Vorrede zum AIT. BR. = ? [Cologne Addition]
c.2364	Vorrede zum VP.	person-western?	unknown	Vorrede zum VP. = ? [Cologne Addition]
c.2365	Vorworte zu SĀṂKHYAPRAV.	book-work	unknown	Vorworte zu SĀṂKHYAPRAV. = ? [Cologne Addition]
c.2366	VṚTTARATNĀVALĪ	book-work	identity-uncertain	VṚTTARATNĀVALĪ = VṚTTARATNĀVALĪ. ? [Cologne Addition]
c.2367	W. D. WHITNEY	book-work	unknown	W. D. WHITNEY = ? [Cologne Addition]
c.2368	Wurzeln des Altslov.	person-western?	unknown	Wurzeln des Altslov. = ? [Cologne Addition]
c.2369	YĀJÑA.	book-work	unknown	YĀJÑA. = ? [Cologne Addition]
c.2370	YĀJÑAVALKYAʼs Gesetzbuch	book-work	unknown	YĀJÑAVALKYAʼs Gesetzbuch = ? [Cologne Addition]
c.2371	YĀJÑIKAD.	book-work	unknown	YĀJÑIKAD. = ? [Cologne Addition]
c.2372	YĀJÑIKAD. PADDH.	book-work	unknown	YĀJÑIKAD. PADDH. = ? [Cologne Addition]
c.2373	Zeitschrift für vergl. Sprachf.	journal-periodical	confident-expansion	Zeitschrift für vergl. Sprachf. = Zeitschrift für vergleichende Sprachforschung [Cologne Addition]
c.2374	deutschen Ausg. des ṚV.	book-work	unknown	deutschen Ausg. des ṚV. = ? [Cologne Addition]
c.2375	ebend.	book-work	unknown	ebend. = ? [Cologne Addition]
c.2376	ebendas.	book-work	unknown	ebendas. = ? [Cologne Addition]
c.2377	handschriftlich auf der Tübinger Universitäts-Bibl.	book-work	unknown	handschriftlich auf der Tübinger Universitäts-Bibl. = ? [Cologne Addition]
c.2378	handschriftlich in der Kais. Bibl. zu Paris	book-work	unknown	handschriftlich in der Kais. Bibl. zu Paris = ? [Cologne Addition]
c.2379	handschriftlich in der Pariser Bibl.	book-work	unknown	handschriftlich in der Pariser Bibl. = ? [Cologne Addition]
c.2380	ibid.	book-work	unknown	ibid. = ? [Cologne Addition]
c.2381	id.	book-work	unknown	id. = ? [Cologne Addition]
c.2382	lithogr. Bombay	book-work	unknown	lithogr. Bombay = ? [Cologne Addition]
c.2383	lithographirte Ausgabe in Bombay	book-work	unknown	lithographirte Ausgabe in Bombay = ? [Cologne Addition]
c.2384	praef. zu den Radd.	book-work	unknown	praef. zu den Radd. = ? [Cologne Addition]
c.2385	ĀDYAVAHNIPURĀṆA	book-work	identity-uncertain	ĀDYAVAHNIPURĀṆA = ĀDYAVAHNIPURĀṆA. ? [Cologne Addition]
c.2386	ĀP. PRAY.	book-work	unknown	ĀP. PRAY. = ? [Cologne Addition]
c.2387	ŚABARASVĀMIN	book-work	identity-uncertain	ŚABARASVĀMIN = ŚABARASVĀMIN. ? [Cologne Addition]
c.2388	ŚABDASTOMAMAHĀNIDHI	book-work	identity-uncertain	ŚABDASTOMAMAHĀNIDHI = ŚABDASTOMAMAHĀNIDHI. ? [Cologne Addition]
c.2389	ŚATAKĀVAD.	book-work	unknown	ŚATAKĀVAD. = ? [Cologne Addition]
c.2390	ŚRĪŚIVAYĀMALA	book-work	identity-uncertain	ŚRĪŚIVAYĀMALA = ŚRĪŚIVAYĀMALA. ? [Cologne Addition]
c.2391	ŚĀKTĀNANDATARAṄGIṆĪ	book-work	identity-uncertain	ŚĀKTĀNANDATARAṄGIṆĪ = ŚĀKTĀNANDATARAṄGIṆĪ. ? [Cologne Addition]
c.2392	БУСЛАЕВА, Опытъ истор. гр. русскаго языка	book-work	unknown	БУСЛАЕВА, Опытъ истор. гр. русскаго языка = ? [Cologne Addition]
c.2393	МИНАЕВЪ, Пратимокша-сутра	book-work	unknown	МИНАЕВЪ, Пратимокша-сутра = ? [Cologne Addition]
c.2394	ṢAḌVIṂŚABR.	book-work	unknown	ṢAḌVIṂŚABR. = ? [Cologne Addition]
