ls_value	case_match_to_bib_code	times_cited_in_ls_file	extends_bib_code_prefix	class
Ebend.		1		unknown
Eingang zum ṚV. PRĀT.		1		unknown
Einl. z. ṚV.		1		unknown
Einl. zu AIT. BR.		1		unknown
Einl. zu AV. PRĀT.		1		unknown
Einl. zu BHĀG. P.		1		unknown
Einl. zu BṚH. ĀR. UP.		1		unknown
Einl. zu CAURAP.		1		unknown
Einl. zu DAŚAK.		1		unknown
Einl. zu DAŚAR.		1		unknown
Einl. zu GĪT.		1		unknown
Einl. zu JAIM.		1		unknown
Einl. zu KAUṢ. UP.		1		unknown
Einl. zu KAṆ.		1		unknown
Einl. zu MAHĀBH.		1		unknown
Einl. zu MṚCCH.		1		unknown
Einl. zu NAIGH.		1		unknown
Einl. zu NIR.		1		unknown
Einl. zu NYĀYA-S.		1		unknown
Einl. zu P.		1		unknown
Einl. zu SV.		1		unknown
Einl. zu SĀṂKHYAPR.		1		unknown
Einl. zu SŪRYAS.		1		unknown
Einl. zu TAITT. ĀR.		1		unknown
Einl. zu UṆĀDIS.		1		unknown
Einl. zu VARĀH. BṚH. S.		1		unknown
Einl. zu VP.		1		unknown
Einl. zu VS.		1		unknown
Einl. zu VĀMANA		1		unknown
Einl. zu VĀSAV.		1		unknown
Einl. zu VĀSAVAD.		1		unknown
Einl. zu YĀJÑ.		1		unknown
Einl. zu ŚĀK.		1		unknown
Einl. zu ṚV.		1		unknown
Einl. zu ṚV. PRĀT.		1		unknown
Einl. zum AIT. BR.		1		unknown
Einl. zum DHĀTUP.		1		unknown
Einl. zum NIR.		1		unknown
Einl. zum SV.		1		unknown
Einl. zum ṚV.		1		unknown
Einl. zum ṚV. PRĀT.		1		unknown
Einl. zur 1sten Ausgabe des Wörterb.		1		unknown
Einl. zur 1ten Ausg. d. Wört.		1		unknown
Einl. zur 1ten Ausg. des Wörterbuchs		1		unknown
Erklärern zu AK.		1		unknown
Erll. zu NIR.		1		unknown
Erll. zum NIR.		1		unknown
Erll. zum NIRUKTA		1		unknown
F. NEVEʼs Essay sur le mythe des Ribhavas		1		unknown
FOUCAUXʼs Uebersetzung		1	FOUCAUX	extends-known-code
GARUḌA-P., PRETAKALPA		1	GARUḌA-P.	extends-known-code
GAṆIT. ADHIMĀS.		1	GAṆIT.	extends-known-code
GAṆIT. BHAGAṆ.		1	GAṆIT.	extends-known-code
GAṆIT. BHAGAṆĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. BHAGRAHAY.		1	GAṆIT.	extends-known-code
GAṆIT. BHAGRAHAYUTYADH.		1	GAṆIT.	extends-known-code
GAṆIT. CANDRAGR.		1	GAṆIT.	extends-known-code
GAṆIT. CANDRAGRAHAṆĀDHY.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHACCH.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHACCHĀY.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHACCHĀYĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHAYUTY.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHĀNAY.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHĀNAYAN.		1	GAṆIT.	extends-known-code
GAṆIT. GRAHĀNAYANĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. KAKṢĀDHY.		1	GAṆIT.	extends-known-code
GAṆIT. KĀLAM.		1	GAṆIT.	extends-known-code
GAṆIT. KĀLAMĀN.		1	GAṆIT.	extends-known-code
GAṆIT. MADHYAM.		1	GAṆIT.	extends-known-code
GAṆIT. MADHYAMĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. PRATYABDAŚ.		1	GAṆIT.	extends-known-code
GAṆIT. PĀTĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. SPAṢṬ.		1	GAṆIT.	extends-known-code
GAṆIT. SPAṢṬĀDH.		1	GAṆIT.	extends-known-code
GAṆIT. SŪRYAGR.		1	GAṆIT.	extends-known-code
GAṆIT. SŪRYAGRAH.		1	GAṆIT.	extends-known-code
GAṆIT. TRIPR.		1	GAṆIT.	extends-known-code
GAṆIT. TRIPRAŚN.		1	GAṆIT.	extends-known-code
GAṆIT. ŚṚṄGONN.		1	GAṆIT.	extends-known-code
GAṆIT. ŚṚṄGONNATY.		1	GAṆIT.	extends-known-code
GAṆIT. ŚṚṄGONNATYADH.		1	GAṆIT.	extends-known-code
GAṆITĀDHY. BHAGAṆĀDHY.		1	GAṆITĀDHY.	extends-known-code
GAṆITĀDHY. BHAGRAHAYUTI		1	GAṆITĀDHY.	extends-known-code
GAṆITĀDHY. BHAGRAHAYUTYADHY.		1	GAṆITĀDHY.	extends-known-code
GAṆITĀDHY. PRATYABDAŚ.		1	GAṆITĀDHY.	extends-known-code
GAṆITĀDHY. TRIPRAŚNĀDHY.		1	GAṆITĀDHY.	extends-known-code
GILD. De rebus indicis etc.		1	GILD.	extends-known-code
GILD. Scriptorum Arabum etc.		1	GILD.	extends-known-code
GOBH. BR.		1	GOBH.	extends-known-code
GOBHILA		1	GOBH	extends-known-code
GOL. CHEDYAK.		1		unknown
GOLD. Wörterb.		1	GOLD.	extends-known-code
GOLDST. MĀN.		1	GOLDST.	extends-known-code
GOLDSTÜCKER, MĀN.		1	GOLDSTÜCKER	extends-known-code
GOLĀDH. DṚKK.		1	GOLĀDH.	extends-known-code
GOLĀDH. YANTRĀDH.		1	GOLĀDH.	extends-known-code
GOLĀDHY. Anf.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. DṚKK.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. DṚKKARM.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. GOLAB.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. GOLASVAR.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. GRAHAṆAV.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. MADHYAG.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. TRIPRAŚNAV.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. YANTR.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. YANTRĀDH.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. YANTRĀDHY.		1	GOLĀDHY.	extends-known-code
GOLĀDHY. ŚṚṄGONNATIV.		1	GOLĀDHY.	extends-known-code
GOP. UTT.		1	GOP.	extends-known-code
GOVARDHANA, ĀRYĀSAPT.		1	GOVARDHANA	extends-known-code
GRIMM, Gesch. der deutschen Sprache		1	GRIMM	extends-known-code
GUPTASĀDHANATANTRA		1		unknown
Göttinger gelehrten Anzeigen		1		unknown
GĀRUḌA-P., GAYĀMĀH.		1	GĀRUḌA-P.	extends-known-code
GĪT. Einl.		1	GĪT.	extends-known-code
GĪT. LASS.		1	GĪT.	extends-known-code
H. H. WILSON		1	H.	extends-known-code
H. Pr.		1	H.	extends-known-code
HAEB. Chr.		1	HAEB.	extends-known-code
HALL in der 2ten Aufl. von VP.		1	HALL	extends-known-code
HALL, DAŚAR. Einl.		1	HALL	extends-known-code
HALL, Einl. zu DAŚAR.		1	HALL	extends-known-code
HALL, Introd.		1	HALL	extends-known-code
HALL, VĀSAVAD. Einl.		1	HALL	extends-known-code
HALĀY. Ind.		1	HALĀY.	extends-known-code
HALĀYUDHA		1		unknown
HARIV. LANGL.		1	HARIV.	extends-known-code
HARIV. lith. Ausg.		1	HARIV.	extends-known-code
HAUG, AIT. BR.		1	HAUG	extends-known-code
HEM. DEŚĪN.		1	HEM.	extends-known-code
HEM. YOGAŚ.		1	HEM.	extends-known-code
HEM. ś.		1	HEM.	extends-known-code
HERM. JACOBI		1		unknown
HIT. JOHNS.		1	HIT.	extends-known-code
HIT. LASS.		1	HIT.	extends-known-code
HIT. SCHL.		1	HIT.	extends-known-code
HIT. ed. MÜLLER		1	HIT.	extends-known-code
HIT. ed. ŚRĪR.		1	HIT.	extends-known-code
HOEFER, Vom Infinitiv		1	HOEFER	extends-known-code
HOEFER, Z. f. d. W. d. Sprache		1	HOEFER	extends-known-code
HOMERʼs ILIAD		1	HOMER	extends-known-code
Halleʼsche Allg. Lit. Zeit.		1		unknown
Hist. de HIOUEN-THSANG		1		unknown
Hist. of MED.		1		unknown
History of the Sect of Mahārājas u. s. w.		1		unknown
HĀLA Anh.		1	HĀLA	extends-known-code
HĀLAY.		1	HĀLA	extends-known-code
IBN HAUQAL		1		unknown
Ind. des KANDJUR		1	Ind.	extends-known-code
Ind. zu HALĀY.		1	Ind.	extends-known-code
Ind. zu P.		1	Ind.	extends-known-code
Ind. zu TRIK.		1	Ind.	extends-known-code
Ind. zu UṆĀDIS.		1	Ind.	extends-known-code
Ind. zum HALĀY.		1	Ind.	extends-known-code
Ind. zum TRIK.		1	Ind.	extends-known-code
Index		1		unknown
Index des KANDJUR		1		unknown
Index zu HALĀY.		1		unknown
Index zum HALĀY.		1		unknown
Index zum TRIK.		1		unknown
J. A. S. n. s.		1	J.	extends-known-code
J. R. As. S. Lond. N. S.		1	J. R. As. S.	extends-known-code
JAIMINIʼs BHĀR. ĀŚVAM.		1	JAIMINI	extends-known-code
JAIMINIʼs BHĀRATA		1	JAIMINI	extends-known-code
JAYARĀMA		1		unknown
JOHAENTGEN, Ueber d. Ges. des Manu		1	JOHAENTGEN	extends-known-code
JUMARAVYĀKARAṆA		1		unknown
JYOTIṢ.		1		unknown
Journ. As.	Journ. as.	1		case-variant
Journ. R. As. S. new ser.		1	Journ. R. As. S.	extends-known-code
Journ. as. 4 sér.		1	Journ. as.	extends-known-code
Journ. as. IV sér.		1	Journ. as.	extends-known-code
Journ. as. IV série		1	Journ. as.	extends-known-code
Journ. as. IVe série		1	Journ. as.	extends-known-code
Journ. asiat. 4me sér.		1	Journ. asiat.	extends-known-code
Journ. asiat. IV sér.		1	Journ. asiat.	extends-known-code
Journ. asiat. IVe s.		1	Journ. asiat.	extends-known-code
Journ. asiat. IVe série		1	Journ. asiat.	extends-known-code
JĪVANMUKTIVIV.		1	JĪVANMUKTIVIV	extends-known-code
KALHAṆA		1		unknown
KALĀPAVYĀKARAṆA		1	KALĀPA	extends-known-code
KAMRAN.		1		unknown
KANDJUR		1		unknown
KAPIŚĀV.		1		unknown
KATAKA		1		unknown
KAUṢ. (ŚĀṄKH.) BR.		1	KAUṢ.	extends-known-code
KAVACA		1		unknown
KAVIRAH.		1		unknown
KAVITĀMṚTAK.		1		unknown
KAṆĀDAʼs System		1	KAṆĀDA	extends-known-code
KIRĀTĀRJUNĪYA		1		unknown
KUHN, Gandharven und Kentauren		1	KUHN	extends-known-code
KUHN, Herabkunft d. Feuers		1	KUHN	extends-known-code
KUHN, Herabkunft der Feuers		1	KUHN	extends-known-code
KUHN, die Herabk. des Feuers		1	KUHN	extends-known-code
KUHN, die Wurzel GAF, GAMF		1	KUHN	extends-known-code
KULĀRṆAVATANTRA		1	KULĀRṆAVA	extends-known-code
Karte von BERGHAUS		1		unknown
Kow. Mong. Wört.		1		unknown
KÖPPEN, Die Rel. d. Buddha		1	KÖPPEN	extends-known-code
KÖPPEN, Rel. d. Buddha		1	KÖPPEN	extends-known-code
KÖPPEN, Rel. des Buddha		1	KÖPPEN	extends-known-code
KĀLIKĀ-P., KĀMĀKHYĀRŪPANIRṆAYA		1	KĀLIKĀ-P.	extends-known-code
KĀLIKĀ-P., UTTARAT.		1	KĀLIKĀ-P.	extends-known-code
KĀLIKĀ-P., UTTARATANTRA		1	KĀLIKĀ-P.	extends-known-code
KĀRTTIKA		1		unknown
KĀVYAPR. (1866)		1	KĀVYAPR.	extends-known-code
KĀŚĪKH., HARIHARASTOTRA		1	KĀŚĪKH.	extends-known-code
KĀṬHAKA-Rec.		1	KĀṬHAKA	extends-known-code
KŪRMA-P., UPARIBH.		1	KŪRMA-P.	extends-known-code
KŪRMA-P., UPARIBHĀGA		1	KŪRMA-P.	extends-known-code
KṚṢISAṂGR.		1		unknown
KṚṢṆAYĀMALA		1	KṚṢṆA	extends-known-code
LALIT. (Append.)		1	LALIT.	extends-known-code
LALIT. Calc.		1	LALIT. Calc	extends-known-code
LALIT. FOUC.	LALIT. Fouc.	1		case-variant
LALITAV. (App.)		1	LALITAV.	extends-known-code
LASSEN (Anthol.)		1	LASSEN	extends-known-code
LASSEN, IA.		1	LASSEN	extends-known-code
LASSENʼs Pentap.		1	LASSEN	extends-known-code
Le Lotus de la bonne loi		1		unknown
Lex. pentagl.		1		unknown
M. MÜLLER		1	M.	extends-known-code
M. MÜLLER Gr.		1	M.	extends-known-code
M. MÜLLER, Lect.		1	M.	extends-known-code
M. MÜLLER, Transl.		1	M.	extends-known-code
MAHĀBH. ed. BALL.		1	MAHĀBH.	extends-known-code
MAHĀBH. ed. BALLANT.		1	MAHĀBH.	extends-known-code
MAHĀBH. lith. Ausg. Einl.		1	MAHĀBH. lith. Ausg.	extends-known-code
MAHĀBHĀṢYA ed. BALL.		1	MAHĀBHĀṢYA	extends-known-code
MATSYASŪKTATANTRA		1	MATSYASŪKTA	extends-known-code
MAX MÜLLERʼs Grammatik		1		unknown
MBH. ed. Bomb.		1	MBH.	extends-known-code
MED. Anh.		1	MED.	extends-known-code
MIKLOSICH, Vgl. Gr.		1	MIKLOSICH	extends-known-code
MUIR, ST. (2te Aufl.)		1	MUIR, ST.	extends-known-code
MUIR, ST. (2te Ausg.)		1	MUIR, ST.	extends-known-code
Monatsb. der K. Pr. Ak. d. Ww.		1		unknown
Monatsber.		1		unknown
Monatsber. d. Berl. Ak. d. Ww.		1		unknown
Monatsber. der Berliner Ak. d. Ww.		1		unknown
Monatsberichte der Königl. Preuss. Akad. d. Wissenschaften		1		unknown
Monatsberr. d. k. pr. Ak. d. Ww. in Berlin		1		unknown
Monatsberr. d. kön. pr. Ak. d. Wiss.		1		unknown
MÜLLERʼs Ausg.		1	MÜLLER	extends-known-code
Mélanges asiatiques		1		unknown
Mém. VI sér.		1		unknown
Mém. de lʼAcad. Imp. dés sc. de St.-Pétersb. VI série.		1		unknown
Mémoire sur lʼInde		1		unknown
MĀDHAVA, KĀLANIRṆAYA		1	MĀDHAVA	extends-known-code
MĀLAVIKĀGNIMITRA		1		unknown
MĀRK. P. Einl.		1	MĀRK. P.	extends-known-code
MĀRKAṆḌ. P.		1		unknown
Māgadhī übersetzt worden		1		unknown
MĪMĀṂSĀD.		1		unknown
MṚCCH. Einl.		1	MṚCCH.	extends-known-code
N. (BRUCE)		1	N.	extends-known-code
N. [BOPP]		1	N.	extends-known-code
N. ed. BRUCE		1	N.	extends-known-code
NALA (BRUCE)		1	NALA	extends-known-code
NALA ed. BRUCE		1	NALA	extends-known-code
NIDĀNA.		1	NIDĀNA	extends-known-code
NIGH. PR. Einl.		1	NIGH. PR.	extends-known-code
NIR. Einl.		1	NIR.	extends-known-code
NIR. Erll.		1	NIR.	extends-known-code
NIR. Erläutt.		1	NIR.	extends-known-code
NYĀYAMĀLĀV. Einl.		1	NYĀYAMĀLĀV.	extends-known-code
Nachschr. zu M.		1		unknown
Nachtrags zum YONIGRANTHA		1		unknown
NĀG.		1		unknown
NĀR. PADDH.		1	NĀR.	extends-known-code
NĀRADAPURĀṆA		1	NĀRADA	extends-known-code
NĀRADAʼs DHARMAŚ.		1	NĀRADA	extends-known-code
NĀRADAʼs DHARMAŚ. cod. Berol.		1	NĀRADA	extends-known-code
NĀRADAʼs PAÑCARĀTRA		1	NĀRADA	extends-known-code
NĪLAKAṆṬHA		1	NĪLAK	extends-known-code
Oxford Essays		1		unknown
P. (ed. Calc.)		1	P.	extends-known-code
P. Einl.		1	P.	extends-known-code
P. Pr.		1	P.	extends-known-code
PALLAS, Sammlung hist. Nachr. über die mongolischen Völkerschaften		1	PALLAS	extends-known-code
PARAMAHAṂSOP.		1		unknown
PARIŚIṢṬA zum AV.		1	PARIŚIṢṬA	extends-known-code
PARĀŚ. PADDH.		1	PARĀŚ.	extends-known-code
PARĀŚARAʼs DHARMAŚ.		1	PARĀŚARA	extends-known-code
PATAÑJALI		1		unknown
PAÑCAT. KOS.		1	PAÑCAT.	extends-known-code
PAÑCAT. Pr.		1	PAÑCAT.	extends-known-code
PAÑCAT. ed. BÜHL.		1	PAÑCAT.	extends-known-code
PAÑCAT. ed. KOS.		1	PAÑCAT.	extends-known-code
PHETK.		1		unknown
PHETKĀRĪYATANTRA		1		unknown
PISCHEL, De gramm. pr.		1	PISCHEL	extends-known-code
PIṄGALACCHANDAS		1	PIṄGALA	extends-known-code
PLINIUS, H. N.		1	PLINIUS	extends-known-code
POTT und RÖDIGER		1	POTT	extends-known-code
POTT, Die quin. u. vig. Zählm.		1	POTT	extends-known-code
POTTʼs Zigeuner		1	POTT	extends-known-code
PRAB. Pr.		1	PRAB.	extends-known-code
PRAKṚTIKHAṆḌA in BRAHMAVAIV. P.		1	PRAKṚTIKHAṆḌA	extends-known-code
PRAVARĀDHY.-P.		1	PRAVARĀDHY.	extends-known-code
PRĀTT.		1		unknown
PURUṢAKĀRA		1		unknown
PURĀṆATANTRA		1	PURĀṆA	extends-known-code
PUṢPA.		1	PUṢPA	extends-known-code
PWG		1		unknown
PWG Nachträge		1		unknown
PWG Nachträgen		1		unknown
PWG Verbesserungen und Nachträge		1		unknown
Padapāṭha zum SV.		1		unknown
Pravarādhy.	PRAVARĀDHY.	1		case-variant
Pref. zu VARĀH. BṚH. S.		1		unknown
Progr. der Univ. Breslau		1		unknown
PĀDMA-P., KRIYĀY.		1	PĀDMA-P.	extends-known-code
PĀDMA-P., KĀRTTIKAM.		1	PĀDMA-P.	extends-known-code
PĀDMA-P., PĀTĀLAKH.		1	PĀDMA-P.	extends-known-code
PĀDMA-P., PĀTĀLAKHAṆḌA		1	PĀDMA-P.	extends-known-code
PĀDMA-P., SVARGAKH.		1	PĀDMA-P.	extends-known-code
PĀDMA-P., SVARGAKHAṆḌA		1	PĀDMA-P.	extends-known-code
PĀDMA-P., UTTARAKH., KĀRTTIKAM.		1	PĀDMA-P.	extends-known-code
PĀDMOTTARAKH., KĀRTTIKAM.		1	PĀDMOTTARAKH.	extends-known-code
R. (GORR.)		1	R.	extends-known-code
R. Einl.		1	R.	extends-known-code
R. GORR. Uebers.		1	R. GORR.	extends-known-code
R. S. 14		1	R.	extends-known-code
RAGH. (ed. Calc.)		1	RAGH.	extends-known-code
RAVERTY, Dict. of Pukʼhto		1	RAVERTY	extends-known-code
REINAUD, Fragments arabes et persans u. s. w.		1	REINAUD	extends-known-code
REINAUD, Mém. sur lʼInde		1	REINAUD	extends-known-code
REINAUD, Mémoire sur lʼInde		1	REINAUD	extends-known-code
ROS.		1		unknown
ROTH, Einl. zu NIR.		1	ROTH	extends-known-code
ROTH, Einl. zum NIR.		1	ROTH	extends-known-code
ROTH, Erl. zum NIR.		1	ROTH	extends-known-code
ROTH, Erll. zu NIR.		1	ROTH	extends-known-code
ROTH, Erll. zu d. St.		1	ROTH	extends-known-code
ROTH, Erläut. z. NIR.		1	ROTH	extends-known-code
ROTH, NAIGH.		1	ROTH	extends-known-code
ROTH, NIR.		1	ROTH	extends-known-code
ROTH, NIR. Einl.		1	ROTH	extends-known-code
ROTH, Ueber den Mythus von den Menschengeschlechtern		1	ROTH	extends-known-code
ROTH, YĀSKAʼs NIR.		1	ROTH	extends-known-code
ROTH, Z. L. u. G. d. W.		1	ROTH	extends-known-code
ROTH, Zur L. u. G. des Weda		1	ROTH	extends-known-code
ROTH, Zur Lit. u. Gesch. d. W.		1	ROTH, Zur Lit.	extends-known-code
ROTH, Zur Lit. u. s. w.		1	ROTH, Zur Lit.	extends-known-code
ROTH, der Atharvaveda in Kashmir		1	ROTH	extends-known-code
ROTHʼs Programm über den AV. in Kashmir		1	ROTH	extends-known-code
ROXB. Fl. ind. ed. CAREY		1	ROXB. Fl. ind.	extends-known-code
RÖDIGER und POTT		1	RÖDIGER	extends-known-code
RÖER, TS.		1	RÖER	extends-known-code
RĀGHAVĀNANDA (bei LOIS.)		1	RĀGHAVĀNANDA	extends-known-code
