bib_code	pwgab_id
HESSLER'S	c.1979
HID.	c.638
HIOUEN-THSANG I	2.016
HIT. ed. MÜLLER.	c.172e
HOEFER	c.1372
Halle'sche Allg. Lit. Zeit.	c.2161
Hindu Th. (WILSON)	1.125
Hort. Calc	1.131
HĀK.	c.741
HĀRITA	c.1209
INDṚ.	c.750
Ind.	c.2027
Ind. St. St.	c.1932
Ind. des KANDYUR	1.133;1.133a
Index des KANDYUR	1.133c
Institutt. (LASSEN)	1.136
J.	c.148
J. As. S. Lond. N.	c.403
JAIMINI'S BHĀRATA	c.2021
JAINA'S	c.2063
JANMAKH.	c.1693
JANMAKHAṆDA.	c.1855
JATĀDH.	c.333
JATĀḌH.	c.1057
JAYARĀMA'S	c.1636
JOHNS.	c.172
JUMARAVYĀKARAṆA.	c.1471
JYOTHIṢA	c.1091
JYOTIS	c.844
JYOTIST	c.1936
JYOTIST.	c.209
JYOTISTATTVA	c.190
JYOTIḤŚĀSTRA.	c.1467
JYOTIṢA.	c.167
Journ. As. 1845.	c.2028
Journ. as.	1.143
Journ. of the Am. S.	3.004b
JĀT.	c.1694
JĀṬĀDH.	c.2062
JĪVANMUKTIVIV	c.1676
K. Pr. Ak. d. Ww.	c.1348
KACCĀYANAPPAKARAṆAB	c.1867
KAKṢĀDHY.	c.636
KALHAṆA.	c.1422
KALPAS.	c.1962
KALĀPAVYĀKARAṆA.	c.1490
KALĀY.	c.1232
KAMĀRAS.	c.729
KANDYUR	1.133b;c.794
KANDṢUR	c.856
KANOP.	c.634
KAPĪŚĀVAD.	c.667
KARAKA	c.799
KARIKALPADRUMA	c.1001
KAT.	c.651
KATAKA.	c.1481
KATHOP.	c.080
KATHĀH.	c.566
KATHĀS	c.793
KATHĀṢ.	c.633
KATY.	c.1158
KAUC.	c.704
KAURAP.	c.480
KAUŚA.	c.697
KAUŚR.	c.587
KAUṢ.	c.1585
KAVACA.	c.1445
KAVIRAU.	c.2140
KAṬH.	c.550
KAṬHĀS.	c.489
KENBOP.	c.631
KENOP	c.846
KERN'S	c.1969
KHANDOM.	c.733
KIRĀTĀRJUNĪYA.	c.1387
KOCTH	c.1446
KOPPEN	c.2155
KOS.	1.172
KOSEG.	c.646
KOŚA	c.1877
KOṢTHĪPR.	c.1234
KRIYĀY.	c.1757
KULL	c.908
KUMARĀS.	c.477
KUMĀRAN.	c.728
KUMĀRĀS.	c.595
KUVALĀY.	c.606
KUṆḌAPR.	c.1874
Kap.	c.1898
KÖPPEN. Rel. d. Buddha	c.1903
KÖPPEN. Rel. des. Buddha	c.1903a
KĀLAM.	c.538
KĀLAMĀN.	c.533
KĀLAMĀNĀDH.	c.1751
KĀLANIRṆAYAK.	c.2053
KĀLASAṂK.	c.1750
KĀLIKĀP.	c.305
KĀMRAN.	c.2068
KĀMĀKHYĀRŪPANIRṆAYA	c.1863
KĀP.	c.685
KĀPIŚĀV.	c.561
KĀPYAPR.	c.1570
KĀPĪŚĀV.	3.006
KĀR.	c.602
KĀRTTIKAM.	c.1731
KĀTH.	c.069
KĀTHOP.	c.592
KĀTHĀS.	c.491
KĀTTIKA	c.1059
KĀTY. ŚR. S.	c.1901
KĀTYĀYANA'S	c.1552
KĀUŚ.	c.568
KĀVJĀH.	c.1679
KĀVYA-PR.	1.167
KĀVYĀS.	c.682
KĀYAKĀ-P.	c.1593
KĀYVAPR.	c.583
KĀYYĀD.	c.1868
KĀŚ. zu K.	c.1860
KĀŚIKH.	c.510
KĀŚIKHAṆḌA	c.915
KĀḌ.	c.1025
KĀṆ.	c.467
KĀṆVA	c.1417
KĀṆVa-Rec.	c.2124
KĀṬH. AŚVGR.	c.1709a
KĀṬY.	c.527
KĪRTI	c.1776
KṚIKALĀSADĪPIKĀ	c.881
KṚṢISAM̃GR.	c.086
KṚṢNAJ.	c.1716
KṚṢṆAJ.	c.709a
KṚṢṆAJANMAKH.	c.1992
KṚṢṆAJĀMALA	c.1514
KṢITIŚ.	c.725
KṢITIŚAV.	c.514
KṢITĀIŚ.	c.701
KṢITĪC.	c.570
KṢITĪS.	c.053a
KṢITĪŚAV.	c.089
LA. (II.)	1.179a
LAGH.	c.1686a
LAGHUJ.	1.180
LAGHUJĀT.	1.180a
LAGHŪJ.	c.688
LALIT. Calc	1.182
LALIT. Fouc.	1.181a
LANGAL.	c.1614
LANGI.	c.1479
LANGL	c.1389
LANGLOIS t. I.	c.2134
LANGLOIS.	c.136
LASS.	c.572
LASSEN'S	c.1986
LASSEN'S Pentap.	c.1795a
LAṬY.	c.597
LIT.	c.640
LIṄGAP.	c.1070
Leb.	1.184a
Lebensb.	1.184
Lit. (WEBER,)	1.188
Lois.	c.1606
LĀTY.	c.061
LĪLAV.	c.1224
M. MÜLLER'S	c.1977a
M. MÜLLER, SL.	c.363a
MADANA	c.360
MADHYAG.	c.1725
MADHYAGATIV.	c.1723
MADHYAMĀDH.	c.671
MAGHUS.	c.1112
MAHANĀṬ.	c.1042
MAHĀNĀH. UP.	c.776
MAHĀNĀT.	c.743
MANĀN.	c.674
MAR	c.1401
MAREŚVARA	c.2081
MARĪDH.	c.1477
MATSYAP.	c.271
MAX MÜLLER'S Grammatik	c.1956
MB.	c.523
MB2H.	c.722
MBR.	c.535
MED	c.1469
MEDH.	c.1349
MEG.	c.723
MET.	c.1350
MONTGOMERY MARTIN	c.1504
MUDHĀR.	c.607
MUIR, Sanscrit Texts	c.1353
MUKUTA	c.1285
Mat. ind.	1.207a
Mat. ind. (AINSLIE)	1.207
Misc. Ess.	1.081b
Monatsber. 1859	c.2032
Monatsberr. d. kön. pr. Ak. d. Wiss. 1868	c.1503a
MÜLLER'S	c.1977
MÜLLER, Lect.	c.1871
Mém. VI sér. I	c.2034
Mém. de l'Acad. Imp. dés sc. de St.-Pétersb.	c.2160
Mém. sur l'Inde	1.214a
Mém. sur l'Inde (REINAUD)	1.214
MĀDHAVA'S	c.1987
MĀDHAVA.	c.173
MĀDHAVAKĀRA	c.304
MĀDHY. Rec.	1.193
MĀHĪDH.	c.1180
MĀLAMASAT.	c.1073
MĀLAMĀSAT.	c.1264
MĀLAMĀSATATTVA	c.1088
MĀLAVIKĀGNIMITRA.	c.1415
MĀN.	c.681
MĀTSYA-P. iast=	1.208a
MĀTSYAP.	c.996
MĀṆD. UP.	1.204
MĀṆḌ. UP. Kār.	1.205
MĪMĀM̃SĀD.	c.632
MṚCCH	c.872
MṚKCH.	c.596
NAIG.	c.548
NAIGEYA	c.1772
NAIGEYAŚĀKHĀ	c.1963
NAIGH	c.841
NAKṢ.	c.1580
NALA	c.850
NALOR.	c.738
NAVAPR.	c.1911
NIGH.	c.463
NILAK.	c.1141
NYĀYAM.	4.009a
NYĀYAMĀLAV.	c.1164
Nakṣ.	4.018a
No.	c.407
Notices	c.001
NĀDAPURĀṆA	c.1506
NĀJĀN.	c.746
NĀRĀYAṆACAKR.	2.032
NĀṬY.	c.745
NĀṬYAŚ.	c.079
NĪDAK.	c.1403
NĪKAK.	c.1457
NĪLAK	c.1480
NĪLAKAṆṬHA'S	c.1793
PACCAR.	c.2156
PADAP.	c.1502
PADMAP.	c.1258
PALLAS	c.1409
PANDIT.	c.528
PARAMAHAM̃SOP.	c.347
PATAÑJALI'S	c.1584
PAÑCAT. BR.	1.233b
PAÑCAV.	1.233a
PHETKĀRĪYATANTRA.	c.1435
PHEṬK.	c.687
PISCHEL.	c.164
POL.	c.170a
POTT'S Zigeuner	c.1357
PR.	c.531
PRAD.	c.589
PRAKĪRṆĀKHY	c.2074
PRAKṚITIKH.	c.1752
PRAKṚTIKH.	c.1717
PRASAM̃GĀBH.	c.668
PRATYABDAŚ.	c.516
PRAŚNOTTARAR.	c.617
PRAŚNĀDHY.	c.1726
PRB.	c.1711
PRETAKALPA	c.1782
PRĀT.	1.242
PRĀTAPAR.	c.694
PRĀTIŚ.	1.242a
PRĀTIŚĀKHYA	c.1402
PRĀV.	c.655
PRĀYAŚCITTENDUŚ	c.845
PRĀYAŚCIṬTAV.	c.1093
PURUṢOTTOMA	c.1166
PURĀṆA.	c.132
PUṢPA	c.1792
Padap.	1.231
Pat. a. a. O.	c.1364
Pent. (LASSEN)	1.238
PĀCARĀJEŚVARA	c.1007
PĀRŚVANĀTHĀK.	c.641
PĀTĀDH.	c.495
PĀŚAKAK.	3.011
PĀṆINI'S	c.1967
PŪRVĀRCIKA	c.1952
R. (<ls>ed. ŚRIR.)	c.2129
RAGG.	c.579
RAGH. (ed. Calc)	1.252
RAMĀṆ.	c.1254
RASABHA	c.931
RAVERTY	c.411
REINAUD, Mém. sur I'Inde	c.413a
REINAUD, Mém. sur l'Inde	1.214b
REINAUD, Mémoire sur l'Inde	1.214c
ROEDIGER und POTT	c.415
ROER	c.414a
ROSS	c.2097
ROTH, YĀSKA'S NIR. L.	c.1876
ROTH, Zur L. und G. d. Veda	1.339j
ROTH, Zur Lit.	1.339e
Randgl.	c.417
Ross	c.418
Rosse	c.418a
RÖDIGER	c.1881
RĀGAN.	c.245
RĀGHAVĀNANDA	c.1600
RĀJ.	c.1913
RĀJA.	c.545
RĀJAMĀRTAṆDA	c.1107
RĀJAṆ.	c.666
RĀJN.	c.345
RĀMAT.	c.1705
RĀMAT. UP.	c.007a
RĀMĀŚRAYA	c.898
RĀYAM	c.1344
RĀYĀM.	c.1184
SABVADARŚANAS.	c.565
SADDH. P. (mit nachfolgender einfacher Zahl)	3.013
SADDH. P. 4.	1.266
SAH. D.	c.422
SAM̃GĪTADĀM.	c.183
SAM̃GĪTARATNĀKARA	c.251
SARVADABŚANAS.	c.630
SARVADARŚANAS	c.848
SARVADARŚARNAS.	c.711
SARVARŚANAS.	c.637
SARVĀDARŚANAS.	c.643
SAUN.	1.273
SAṂGĪTAŚĀSTRA.	c.1381
SAṂGĪTÁDAM.	c.1072
SAṂHITOPANIṢADBRĀHMAṆA	c.835
SAṂK. K.	c.421a
SAṂKṢIPTAS. ŚKDR.	c.1908
SAṂSKH. K.	c.421c
SAṂSKṢIPTAS.	c.1213
SAṂSĀRĀV.SARVĀNUKRAMA	c.1629
SCH.	c.424
SCHIEFN.	c.425
SCHL.	c.075
SCHLEGEL'S	c.1966
SCHMIDT	c.426
SCHÜTZ'S	c.1972
SIDDH.K.	c.010x
SIDDHĀNTAM.	1.278
SIDDHĀNTASĀRĀVALĪ	c.1920
SIDDHĀNTAŚ	c.1914
SIDDHĀNTAŚIR. (GOLĀDHY)	1.277b
SKANDAP.	c.258
SPAṢṬ.	c.586
SPAṢṬĀDH.	c.462
SPAṢṬĀDHY.	c.1720
SPHUṬAG.	c.1732
SPHUṬAGATIV.	c.680
SPIEGEL	c.429
SRŚR.	c.702
STENZLER'S	c.1964
STENZLER, de Lexicogr. sanscr. principils	c.2076
STENZLER.	c.124
STEV.	c.431
STOTRA.	c.1408
SUPRABHĀTASTOTRA.	c.1426
SUVARNAPR.	c.1037
SVARGAKHAṆḌA	c.2088
SVĀMAN	c.1251
Sch.	1.275
Schol.	1.275a
Sp.	c.433
SĀDHANAM	c.1783
SĀGARŪPĀKHYĀNA	c.1917
SĀMAGĀNA	c.1498
SĀRASVATĪ PRAKRIYĀ.	c.1362
SĀRATANTRA	c.1916
SĀṂGĪTADĀM.	c.993
SĀṂKHYAPRAVACANA.	c.1463
SĀṂKṢIPTAS.	c.1919
SĀṂSK. K.	c.421
SŪKTIKAṆĀMṚTA	c.1299
SŪRYAGRAH.	c.598
SŪŚR.	c.698
T. COLEBR. Misc. Ess.	1.081d
TAHKAS.	c.705
TANDYUR.	c.1462
TANTRA.	c.168
TAR.	c.661
TARKASAM̃GR.	c.088
TARKĀS.	c.673
TARĀN.	c.665
TATTAVAS.	c.717
TEGOVINDŪP.	c.1326
TEJOV. UP.	1.291
TEJOVINDŪP.	c.922
TH. GOLDSTÜCKER.	c.438
TR.	c.128
TRIPR.	c.517
TRIPRAŚN.	c.470
TRIPRAŚNAV.	c.1722
TRIPRAŚNĀDHY.	c.1729
TRIR.	c.488
TROYER'S	c.1981
TROYER.	c.150
TRÜBNER'S Record	c.2036
TULLB.	c.439
Tüb. H.	c.372e
TĀLAKHAṆḌA	c.1933
TĀṆḌYABRĀHMAṆA	c.1425
UGJVAL.	c.1000
UJJVAL	c.1491
UNVĀHAT.	c.1102
UP. und UPAK.	2.047
UPARIBH.	c.1727
UPARIBHĀGA	c.1781
UTT.	c.664
UTTAR. ed. Cow.	c.004a
UTTARAKH.	c.1728
UTTARAR. ed. Cow.	c.004
UTTARARMAC.	c.740
UTTARARĀMAC. ed. Cow.	c.004b
UTTARARĀMAK.	c.497
UTTARAT.	c.737
UTTARATANTRA	c.1768
UḌĀDIK.	c.1327
UṆĀDIVIṚ.	c.1347
UṆĀDIVR.	c.230
UṆĀDIVṚ	c.1076
VAIDYAKA.	c.162
VAIG.	c.1440
VASĀVAD.	c.055a
VAṂŚA-BR.	c.1707
VEDĀNṬAS.	c.713
VENDIDĀD	c.1954
VENĪS.	c.330
VET. in LA.	1.317a
VEṆĪSAM̃H.	c.243
VIJĀBHIDHĀNA	c.1325
VIMALABODHA'S	c.1561
VIVĀDĀC.	c.707
VIŚVA.	c.110
VIṢṆU'S DHARMAŚ.	c.446
VOC.	c.1448
VYAVARĀRAT.	c.679
VYUT.	c.635
VYĀKARAṆA	c.1682
Var.	1.305
Verh. d. k. s. G. d. Ww.	2.051
Verh. d. k. s. Ges. d. W.	2.015a
Verh. d. k. s. Ges. d. W. zu Leipzig, phil.hist. KI.	2.015b
Verz. B. H.	1.314b
Verz. d. B.	1.314a
Verz. d. Cambr. K.	c.885
Verz. d. H.	c.886
Verz. d. KOP. H.	1.315a
Verz. d. T. Hdschr.	c.372b
Verz. der. Oxf. H.	c.006a
Vie de Hiouen-thsang	c.449a
VĀBHAṬA	c.1388
VĀGBG.	c.627
VĀGHB.	c.653
VĀTSY.	c.1086a
VĀYUP.	c.249
VĀḌI	c.1553
VĀṆAYUDDHA	c.1937
VĪJAGAṆITA	c.2069
VĪJĀBHIDHĀNA	c.1193
VṚDDHA-KĀṆ.	c.447
VṚTTARATNĀVALĪ.	c.1941
WASSILYEW	c.095a
WEBER'S	c.1989
WEBER, NAKṢ.	4.018b
WEBER, Nakṣ.	4.018
WEBER.	c.147
WEBER. Lit.	1.188a
WEST. Dhātup.	c.1830
WEST. Radices	c.1912a
WHITNEY, New Haven 1862.	c.1899
WILS. Lex.	c.1829a
WILS. Lex. 1ste Ausg. Pref. XXIV.	c.2104
WILS. SĀṂKHYAK.	1.270c
WILSON Theatre of the Hindus	1.125b
WILSON'S SĀṂKHYAK.	1.270b
WILSON, Dict.	c.1829
WILSON, Sel. spec. of the th. of the Hindus	1.125e
WILSON, a Gloss. of jud. and rev. terms	c.2079
WILSON.	c.009
WIND. SANCARA	1.332a
X	c.2179
Y. MUIR, Y. A. S.	c.2095
YANTR.	c.1740
YANTRĀDH.	c.1718
YANTRĀDHY.	c.1730
YOGAY.	c.552
YONIGRANTHA	c.1641
YOSAG.	c.703
YĀJAN.	c.536
YĀJAÑ.	c.683
YĀJN.	c.473
YĀJNIKAD.	c.1638
YĀJÑAVALKYA'S	c.1604
YĀJÑIKAD. PADDH. zu KĀTY. ŚR.	2.017
YĀMALOTTARAKH.	c.1741
YĀSKA NIR.	c.1627
YĀTRĀ.	c.649
Z.	c.365
Z. L. u. G. d. W.	1.339h
Z. d. m. G. G.	c.2100
Z. f.	c.1590
Z. f. vergl. Spr.	1.337a
Zur Geschichte u. s. w. (LASSEN,)	1.338
Zur L. u. G. d. W.	1.339a
Zur L. u. G. d. w. (ROTH)	1.339
a. a. O. S.	3.004c
an.	1.014
avy.	1.029
d. Cambr. H.	c.368b
d. Oxf. H.	c.006b
d. Tüb. H.	c.372f
d. d. m. G.	1.334a
ed. orn.	1.233e
ved.	1.311
z. B. MED. j.	c.2137
ĀDYAVAHNIPURĀṆA.	c.1404
ĀKNIKAT.	c.1173
ĀNANDAD.	c.571
ĀP. PRAJ.	c.1365
ĀRAṆY.	c.739
ĀRAṆYA	c.1770
ĀRAṆYAG.	c.1738
ĀRAṆYAGĀNA	c.1974
ĀRAṆYAKA, KENOP.	c.1978
ĀRJ.	c.599
ĀRYABHAṬA, SIDDH.	c.1511
ĀRYAVIDYĀSUDHĀKARA, Bomb.	c.1811
ĀRYĀṢṬAŚ.	c.1759
ĀRYĀṢṬAŚATA	c.1788
ĀYODA MBH.	c.2141
ĀŚR. GṚHY.	c.753
ĀŚVAM.	c.2005
ĪŚVARAKṚṢṆA'S	c.1646
Ś.	c.534
ŚABDAC	c.1066
ŚABDASTOMAMAHĀNIDHI.	c.1398
ŚABDHĀRTHAKALPAT.	c.1273
ŚABDĀR.	c.1658
ŚAK.	c.085
ŚARDĀRTHAK.	c.337
ŚAT.	c.519
ŚAT. CR.	c.1710
ŚAUN. CAT.	1.075
ŚAVARASVĀMIN	c.929
ŚAṂKAR.	1.065a
ŚAṂKARA'S	c.1519
ŚAṂKARAMIŚRA.	c.1482
ŚEKHARA-VĀCASPATI'S CANDANADHENUVIDHI	c.1701
ŚIC.	c.716
ŚICUP.	c.718
ŚIK.	c.677
ŚIT.	c.1648
ŚIVA	c.1397
ŚKR.	c.1819
ŚR.	c.052
ŚRĀDHAT.	c.1219
ŚRĪBHAKTIVILĀSA	c.883
ŚRĪKRṢṆAJANMAKHAṆḌA	c.1775
ŚRĪKṚHṆAJANMAKH.	c.1742
ŚRĪKṚṢṆAJANMAKH.	c.1719
ŚRĪKṚṢṆAJANMAKHAṆḌA	c.1762
ŚRĪR.	c.2107
ŚRĪŚIVAYĀMALA.	c.1420
ŚRṄGĀRAT.	c.546
ŚUK. in LA.	1.085b
Śl.	1.079
ŚĀBDAR.	c.1523
ŚĀKTĀNANDATARAṂGIṆĪ	c.2064
ŚĀT.	c.696
ŚĀTAPA	c.1804
ŚĀŚVATA.	c.756
ŚĀṂK.	c.911
ŚĀṆD.	c.692
ŚĀṬY. BR.	c.1818
ŚĪC.	c.584
ŚĪTALĀSTOTRA	c.1813
ŚṚNGĀRAT.	c.1242
ŚṚṄGONN.	c.626
ŚṚṄGONNATIV.	c.1739
ŚṚṄGONNATY.	c.608
ŚṚṄGONNATYADH.	c.585
ś.	1.123a
Антарабида	c.2116
Буслаева	c.2114
Минаевъ	c.2115
ṚV. ANUKRAMAṆIKĀ.	1.028b
Ṛt.	c.1355
ṢAḌV.	c.582
ṢERRING, Sacred city	c.2082
