typo_form,nearest_real,n_real_neighbours,df_typo,n_dicts,dicts,n_dicts_with_both
aNgay,aNga,1,2,2,PD PWG,2
aMgas,aMhas,1,2,2,AP90 LRV,2
aNgahAni,aNgahAri,1,2,2,PD VCP,2
aNgAraDArikA,aNgAraDAnikA,1,2,2,PD PW,2
aNgAraSakawi,aNgAraSakawI,1,2,2,MW PD,2
aNgia,aNga,4,2,2,GRA PW,2
aNgirasya,aNgirasa,1,2,2,PD PWG,2
aNgirasvant,aNgirasvat,1,2,2,PW PWG,2
aNgirA,aNgikA,2,2,2,PD SKD,2
aNgo,aNga,3,2,2,PD SCH,2
aMGas,aMhas,2,2,2,AP90 LRV,2
aNGo,aNG,1,2,2,AP PD,2
acalam,acala,2,2,2,AP PD,2
acintyA,acintya,2,2,2,LRV PD,2
acirapraBa,acirapraBA,1,2,2,PD PWG,2
acela,acala,4,2,2,BHS PD,2
acodat,acodas,1,2,2,GRA MW,2
acCidram,acCidra,1,2,2,AP PD,2
acCe,acCa,2,2,2,PD STC,2
acCodya,acCedya,2,2,2,MW72 PD,2
acyutA,acyuta,1,2,2,LRV PD,2
ajaH,aja,1,2,2,AP SKD,2
ajagala,ajagara,3,2,2,AP PD,2
ajamI|a,ajamIQa,1,2,2,MW PW,2
ajarasa,ajaras,1,2,2,PD PW,2
ajAkarRa,ajakarRa,1,2,2,PD PUI,2
ajAgala,ajAgara,1,2,2,MW PD,2
ajeSa,ajeya,3,2,2,PD PUI,2
ajozia,ajoza,1,2,2,GRA PW,2
ajYaka,ajaka,1,2,2,PD PW,2
ajYAtam,ajYAta,1,2,2,MW PD,2
ajyeya,ajeya,4,2,2,PD PWG,2
ajria,ajra,1,2,2,GRA PW,2
aYcitA,aYcita,1,2,2,LRV PD,2
aYC,aYj,5,2,2,BOP BUR,2
aYjanakoSI,aYjanakeSI,1,2,2,PD PW,2
aYjalI,aYjali,2,2,2,PD PW,2
aYjin,aYji,1,2,2,GST MW72,2
awaja,awana,4,2,2,PD PW,2
awawyA,awAwyA,1,2,2,MW PW,2
awaru,agaru,4,2,2,AP90 PD,2
awwaH,awwa,1,2,2,AP SKD,2
awwam,awwa,1,2,2,AP PD,2
awwahAsA,awwahAsa,1,2,2,PD PWG,2
aWi,ati,15,2,2,KRM PD,2
aRimat,aRiman,2,2,2,INM PD,2
aRuH,aRu,1,2,2,AP SKD,2
aRukA,aRuka,2,2,2,LRV PD,2
aRutara,anutara,1,2,2,MW PD,2
aRquka,aRuka,3,2,2,MW PD,2
atandritA,atandrita,1,2,2,LRV PD,2
atamaska,atapaska,1,2,2,PD PW,2
atalam,atala,2,2,2,AP PUI,2
atAra,atra,11,2,2,PD PW,2
atia,ati,5,2,2,GRA PW,2
atikAnta,atikrAnta,2,2,2,MW PD,2
atikfcCram,atikfcCra,1,2,2,AP MW,2
atikraSa,atikrama,2,2,2,SHS WIL,2
atikrAntA,atikrAnta,1,2,2,AP PD,2
atigarva,atisarva,2,2,2,PD PW,2
atiN,ati,1,2,2,MD PD,2
aticAru,aticAra,1,2,2,PD PW,2
atijita,atijAta,3,2,2,AP PD,2
atitIkzRA,atitIkzRa,1,2,2,AP PD,2
atidigDa,atidagDa,1,2,2,MW PD,2
atidUna,atidUra,2,2,2,CAE PD,2
atideSya,atideSa,1,2,2,PD PW,2
atiparI,atipara,1,2,2,MW PD,2
atipAraka,atipAtaka,1,2,2,SHS WIL,2
atiBf,atiBI,2,2,2,MW PD,2
atima,antima,4,2,2,PW PWG,2
atimaryAdam,atimaryAda,1,2,2,MW PD,2
atimarSa,aBimarSa,1,2,2,MW PWG,2
atimitra,atimAtra,2,2,2,PD VCP,2
atiraktANga,atiriktANga,1,2,2,PD PW,2
atiraTin,atipaTin,1,2,2,SHS WIL,2
atirAj,aDirAj,2,2,2,MW PD,2
atirAja,aDirAja,2,2,2,PD VCP,2
atirAtram,atirAtra,1,2,2,PD PUI,2
atiriktA,atirikta,1,2,2,LRV PD,2
atiruza,atiruz,1,2,2,PD PW,2
atiruh,aDiruh,3,2,2,MW PD,2
atiruhA,atiguhA,1,2,2,PD PW,2
atirUpam,atirUpa,1,2,2,AP PD,2
atiromaSA,atiromaSa,1,2,2,AP PD,2
ativApa,ativAda,1,2,2,PD PWG,2
ativAhaka,ativAhika,2,2,2,PD VCP,2
ativiDA,ativizA,1,2,2,MW PD,2
ativI,atiBI,1,2,2,MW PD,2
ativfdDA,ativfdDa,1,2,2,AP PD,2
ativedana,aDivedana,1,2,2,PD PW,2
ativeDa,ativela,1,2,2,PD VCP,2
atiSayanI,atiSayana,1,2,2,AP MW,2
atiSayinI,atiSayin,1,2,2,LRV PD,2
atiSAyinI,atiSAyin,1,2,2,AP PD,2
atiSeta,atiSeza,1,2,2,GST MW72,2
atizwu,acizwu,1,2,2,MW PD,2
atisakta,atiSakta,2,2,2,PD STC,2
atIpa,atIva,3,2,2,PD PWG,2
ato,ati,6,2,2,ACPH STC,2
atta,anta,17,2,2,BHS PD,2
atticCandas,aticCandas,1,2,2,PD PW,2
atyarka,atyarTa,2,2,2,PD PW,2
atyarda,atyarTa,1,2,2,PD PW,2
atyADA,atyASA,1,2,2,MW PD,2
atyAyA,atyAya,3,2,2,MW PD,2
atyugram,atyugra,1,2,2,AP PD,2
atyUDnI,aDyUDnI,1,2,2,MW PD,2
atran,atra,2,2,2,MD PD,2
atrapA,atrapa,2,2,2,LRV PD,2
aTarvaH,aTarvan,2,2,2,AP AP90,2
aTavyu,aTaryu,1,2,2,PW PWG,2
adarSanI,adarSana,1,2,2,PD PW,2
adahanIya,dahanIya,1,2,2,SHS WIL,2
adABia,adABya,1,2,2,GRA PW,2
adAsi,adAsa,1,2,2,BUR SCH,2
adi,ati,23,2,2,KRM PD,2
aditI,aditi,1,2,2,AP PD,2
adus,adas,3,2,2,BUR PD,2
adUka,anUka,4,2,2,PD SCH,2
adfzwam,adfzwa,1,2,2,AP PD,2
adButam,adButa,1,2,2,AP PD,2
adButA,adButa,1,2,2,LRV PD,2
admanI,adman,2,2,2,PD PWG,2
adyA,adya,7,2,2,CAE PW,2
adyUtia,adyUtya,1,2,2,GRA PW,2
adrijAta,atrijAta,1,2,2,AP PD,2
advitIyam,advitIya,1,2,2,AP PD,2
advitIyA,advitIya,2,2,2,LRV PD,2
advEDam,advEDa,1,2,2,PD PW,2
aDaHkAra,aDaHkAya,2,2,2,PD VCP,2
aDaHpada,aDaspada,1,2,2,PD PWG,2
aDaHSalya,aDaHSaya,1,2,2,PD PW,2
aDaratAt,aDarastAt,1,2,2,AP AP90,2
aDaram,aDara,1,2,2,AP PD,2
aDarAc,aDarAt,2,2,2,GRA VCP,2
aDarmatas,aDaratas,2,2,2,MW PD,2
aDikA,aDika,5,2,2,LRV PD,2
aDiga,aDika,3,2,2,PD PWG,2
aDitya,aDijya,2,2,2,MW72 PWG,2
aDidiS,aDodiS,1,2,2,MW PD,2
aDidevam,aDideva,1,2,2,MW PD,2
aDiBUmi,atiBUmi,1,2,2,PD SCH,2
aDiBOtika,ADiBOtika,1,2,2,MW72 YAT,2
aDiraTam,aDiraTa,1,2,2,AP PD,2
aDirUQA,aDirUQa,1,2,2,MW PD,2
aDizavaRia,aDizavaRa,1,2,2,GRA PW,2
aDizWAya,aDizWAna,1,2,2,CAE PD,2
aDIkzepa,aDikzepa,1,2,2,MW PD,2
aDogama,aDigama,2,2,2,MW PD,2
aDomuKam,aDomuKa,1,2,2,AP PD,2
aDomuKI,aDomuKa,1,2,2,AP PD,2
aDovacas,aDovarcas,1,2,2,PD PWG,2
aDyakzA,aDyakza,1,2,2,LRV PD,2
aDyayaH,aDyaya,1,2,2,AP AP90,2
aDyAyaka,aDyApaka,1,2,2,PD PWG,2
aDyAsad,aDyAsa,1,2,2,MW PD,2
aDyezaka,aDyezaRa,1,2,2,BHS PD,2
aDyezwa,aDyuzwa,1,2,2,BHS PD,2
aDvaka,aDvara,5,2,2,PD PW,2
aDvaras,aDvara,1,2,2,MW PW,2
anaMSA,anaMSa,1,2,2,LRV PD,2
anak,anas,6,2,2,AP PD,2
anakta,ananta,12,2,2,PD PW,2
anakzaram,anakzara,1,2,2,AP PD,2
anagADa,anagAra,1,2,2,PD PW,2
anaGam,anaGa,2,2,2,PD PE,2
anaNgareKA,anaNgaleKA,1,2,2,PD PUI,2
anaNgA,anaNga,1,2,2,PD PUI,2
anaYjanA,anaYjana,1,2,2,LRV PD,2
anawka,anaka,1,2,2,PD PW,2
anaquham,anaquha,1,2,2,PD PW,2
anatatA,anantatA,1,2,2,SHS WIL,2
ananukftya,anAnukftya,1,2,2,PD PWG,2
ananUkti,ananUkta,1,2,2,MD PW,2
anantam,ananta,1,2,2,AP PD,2
anantarajYa,anantaraja,1,2,2,PD PW,2
anantarA,anantara,2,2,2,LRV PD,2
anantaSIrza,anantaSIrzA,1,2,2,AP PD,2
anantI,ananta,3,2,2,AP PD,2
ananDatA,anantatA,2,2,2,PD PW,2
ananyaga,ananyaja,1,2,2,PD PW,2
ananyaTA,ananyatA,1,2,2,PD PW,2
ananyA,ananya,3,2,2,LRV SCH,2
anaparudDa,anaparAdDa,1,2,2,MW PD,2
anapA,anapa,2,2,2,LRV PD,2
anapAyinI,anapAyin,1,2,2,LRV PD,2
anaBijYA,anaBijYa,1,2,2,LRV PD,2
anaBiSastI,anaBiSasta,2,2,2,MW PD,2
anaBihuta,anaBihita,1,2,2,MD PD,2
anam,anas,9,2,2,PD PWG,2
anamla,anala,2,2,2,PD PW,2
anayaka,anAyaka,2,2,2,BHS PD,2
anayA,anaya,5,2,2,BUR PD,2
anarGeya,anarGya,1,2,2,PD PW,2
anarhat,anarha,1,2,2,MW PD,2
analAtmaja,anilAtmaja,1,2,2,INM PD,2
analpA,analpa,1,2,2,LRV PD,2
anavakara,anavaskara,2,2,2,PD PW,2
anavakAra,anavakASa,1,2,2,BHS PD,2
anavadyANgI,anavadyANga,1,2,2,AP PD,2
anavamata,anavarata,1,2,2,PD PW,2
anavasarga,anavasara,2,2,2,PD PW,2
anaSanA,anaSana,1,2,2,PD PW,2
anasta,ananta,7,2,2,PD PW,2
anaha,anala,14,2,2,MW PD,2
anaham,anvaham,2,2,2,PD PW,2
anAgatam,anAgata,1,2,2,AP PD,2
anAgArikA,anagArikA,1,2,2,BHS PD,2
anAcAma,anAcAra,1,2,2,PD SCH,2
anAtta,anApta,2,2,2,PD PW,2
anAtma,anAtman,2,2,2,MW PD,2
anATam,anATa,1,2,2,AP PD,2
anATA,anATa,3,2,2,LRV PD,2
anADyAna,anuDyAna,1,2,2,PD PW,2
anApia,anApta,3,2,2,GRA PW,2
anAbaya,anAmaya,1,2,2,PD PWG,2
anAmayam,anAmaya,1,2,2,AP PD,2
anAyukta,aniyukta,3,2,2,PD SCH,2
anAvatapta,anavatapta,1,2,2,BHS PD,2
anAvara,anAdara,2,2,2,AP PD,2
anAvApa,anAlApa,1,2,2,AP PD,2
anASana,anaSana,3,2,2,PD PWG,2
anAsana,anvAsana,3,2,2,PD PW,2
ani,agni,27,2,2,MW PD,2
ania,anDa,10,2,2,GRA PW,2
anigupta,atigupta,2,2,2,MW PD,2
animittam,animitta,1,2,2,AP PD,2
aniyamya,aniyama,2,2,2,PD PW,2
anirudDam,anirudDa,1,2,2,AP PD,2
anirjitya,anirjita,1,2,2,CCS PD,2
anirdaSam,anirdaSa,1,2,2,MW PD,2
anilAtmaka,anilAtmaja,1,2,2,PD PW,2
anI,anu,19,2,2,MW PD,2
anIta,anta,20,2,2,PD PW,2
anIrita,anIhita,1,2,2,MW PD,2
anuH,anu,1,2,2,AP AP90,2
anukA,anumA,4,2,2,LRV MW,2
anukAraka,anusAraka,2,2,2,PD PW,2
anukUlakA,anukUlatA,1,2,2,PD PW,2
anukramam,anukrama,1,2,2,MW PD,2
anugaNga,anuzaNga,1,2,2,PWG VCP,2
anugItiH,anugIti,1,2,2,AP AP90,2
anugeya,anumeya,2,2,2,MW PW,2
anuccAraka,anucAraka,1,2,2,PD PW,2
anuttamA,anuttama,1,2,2,LRV PD,2
anuttaram,anuttara,1,2,2,AP PD,2
anuttarya,anuttara,1,2,2,BHS PD,2
anutpAta,anupAta,2,2,2,PD SCH,2
anudakam,anudaka,1,2,2,MW PD,2
anudArA,anudAra,1,2,2,LRV PD,2
anudizwa,anAdizwa,2,2,2,PD PWG,2
anuddeSa,anudeSa,2,2,2,PD VCP,2
anudDAta,anudData,2,2,2,AP PD,2
anudrutam,anudruta,1,2,2,AP PD,2
anuDyAta,anuDyAna,1,2,2,IEG PD,2
anuDyAya,anaDyAya,3,2,2,PD VCP,2
anunAyika,anunAsika,3,2,2,AP AP90,2
anunAsikA,anunAsika,2,2,2,LRV PD,2
anunIya,anunaya,3,2,2,AP PD,2
anupaBoga,anupayoga,1,2,2,PD PW,2
anupasanna,anupapanna,1,2,2,PD PW,2
anupasevana,anupasecana,1,2,2,PD PW,2
anupAkta,anupAta,2,2,2,PD PW,2
anupAtra,anupAta,2,2,2,PD SCH,2
anupADi,anupaDi,1,2,2,PD PW,2
anupIta,anupAta,5,2,2,PD STC,2
anupU,anuBU,1,2,2,MW PD,2
anupUrvam,anupUrva,1,2,2,MW PD,2
anupUrvia,anupUrva,1,2,2,GRA PW,2
anumAdia,anumAdya,1,2,2,GRA PW,2
anumArg,anumArga,1,2,2,MW PD,2
anumfta,anumata,4,2,2,PD VCP,2
anuyat,anyat,1,2,2,MW PD,2
anuyAc,anuyA,2,2,2,PD STC,2
anuyuga,anuyoga,3,2,2,PD VCP,2
anuyuD,anuruD,1,2,2,PD STC,2
anuras,anurasa,1,2,2,MW PD,2
anurAD,anurADA,3,2,2,MW PD,2
anuruta,anudruta,2,2,2,MW PD,2
anurUpA,anurUpa,1,2,2,LRV PD,2
anuloman,anuloma,2,2,2,GST PD,2
anuvakrA,anuvakra,1,2,2,LRV PD,2
anuvatsaram,anuvatsara,1,2,2,MW PD,2
anuvarti,anuvartin,1,2,2,PD PW,2
anuvartmam,anuvartman,1,2,2,PD PW,2
anuvarza,anutarza,2,2,2,BHS PD,2
anuvaSA,anuvaSa,1,2,2,LRV PD,2
anuvAkIya,anuvAkya,1,2,2,PD PWG,2
anuvAtam,anuvAta,2,2,2,PD PWG,2
anuvAdana,anuvAsana,3,2,2,GST PD,2
anuvAdinI,anuvAdin,1,2,2,MW PD,2
anuvAS,anuvAc,2,2,2,MW PD,2
anuvidDA,anuvidDa,1,2,2,LRV PD,2
anuvfz,anuvft,1,2,2,MW PD,2
anuSakya,anuSaya,1,2,2,BHS PD,2
anuSIlaya,anuSIlana,1,2,2,MW PD,2
anuSraya,anuSaya,3,2,2,BHS PD,2
anuSvas,anASvas,1,2,2,MW PD,2
anuza,anuja,9,2,2,MW PD,2
anuzac,anuzak,1,2,2,MW PD,2
anuzwu,anuzwuB,2,2,2,MW PD,2
anusad,anupad,1,2,2,PD STC,2
anUkia,anUka,2,2,2,GRA PW,2
anUkz,anUka,2,2,2,MW MW72,2
anUKara,anUzara,2,2,2,PD PW,2
anUdDA,anadDA,1,2,2,MW PD,2
anUbanDa,anubanDa,2,2,2,PD PW,2
anfNga,anaNga,1,2,2,MW PD,2
anfRA,anfRa,1,2,2,LRV PD,2
anftA,anfta,4,2,2,LRV PD,2
anekaSa,anekapa,3,2,2,SHS WIL,2
anedia,anedya,1,2,2,GRA PW,2
anedyas,anedya,1,2,2,GST PD,2
aneDas,anDas,4,2,2,MW PD,2
anenaH,anenas,2,2,2,AP AP90,2
anemA,anumA,2,2,2,PWG VCP,2
anela,anala,8,2,2,BHS PD,2
aneha,aneka,9,2,2,PD PUI,2
anEndra,anindra,1,2,2,PD PW,2
anoGa,anaGa,2,2,2,GST PD,2
anoyukta,aniyukta,2,2,2,MW PD,2
anovAhyam,anovAhya,1,2,2,MW PD,2
anja,aja,8,2,2,SKD VCP,2
antaHpada,antaHpadam,1,2,2,PD PW,2
antaHsAma,antaHsAra,1,2,2,MW PW,2
antajAti,antyajAti,1,2,2,GST MW,2
antada,antara,5,2,2,PD SCH,2
antapAta,antapAla,2,2,2,PD PW,2
antaragfha,antargfha,1,2,2,GST PD,2
antaradvAra,antardvAra,1,2,2,GST PD,2
antarADA,antarDA,1,2,2,MW PD,2
antarADi,antarDi,1,2,2,PD PW,2
antarAlam,antarAla,1,2,2,AP PD,2
antarAs,antarA,1,2,2,MW PD,2
antarika,antarikza,2,2,2,BHS PD,2
antarikzaja,antarikzaga,1,2,2,PD PW,2
antarikzia,antarikza,2,2,2,GRA PW,2
antarIkzan,antarIkza,1,2,2,PW PWG,2
antarDin,antarDi,1,2,2,PD PW,2
antaryam,antarya,1,2,2,MW PD,2
antaryA,antarA,3,2,2,LRV PD,2
antarvAvant,antarvAvat,1,2,2,PW PWKVN,2
antarvAsin,antavAsin,1,2,2,AP PD,2
antarveSmam,antarveSman,1,2,2,GST PD,2
antarhAsam,antarhAsa,1,2,2,MW PD,2
antaSalya,antaHSalya,1,2,2,BHS PD,2
antas,anta,6,2,2,MW MW72,2
antAra,antara,2,2,2,AP VCP,2
antiUti,antyUti,1,2,2,GRA PW,2
antikI,antika,2,2,2,PD PW,2
antu,anu,17,2,2,MW PD,2
antevAsinI,antevAsin,1,2,2,IEG PD,2
antyajA,antyaja,1,2,2,AP PD,2
antrA,antarA,2,2,2,BHS PD,2
anda,anDa,16,2,2,GST MW72,2
anDakA,anDaka,3,2,2,LRV PD,2
anDakI,anDaka,1,2,2,MW PD,2
anDam,anDa,2,2,2,AP VCP,2
anDay,anDa,2,2,2,PW PWG,2
anDavat,antavat,1,2,2,MD PD,2
anDA,anDa,7,2,2,LRV PD,2
anDAka,anDaka,1,2,2,PD PW,2
anDI,anDa,4,2,2,CCS PW,2
anDU,anDa,4,2,2,GST PD,2
annatama,anyatama,1,2,2,PD PW,2
annadA,anyadA,2,2,2,AP PD,2
annapUrvA,annapUrRA,2,2,2,GST PD,2
annAdAya,annAdya,1,2,2,PD PWG,2
annAhAra,anAhAra,1,2,2,PD PW,2
anyakAra,anDakAra,1,2,2,MW PD,2
anyatABAva,anyaTABAva,1,2,2,GST PD,2
anyad,anya,3,2,2,GST PWG,2
anyadIyA,anyadIya,1,2,2,LRV PD,2
anyaBftA,anyaBft,2,2,2,AP PD,2
anyavat,antavat,1,2,2,PD PW,2
anyAnya,anyonya,3,2,2,AP PD,2
anyASA,atyASA,1,2,2,GST PD,2
anyUnA,anyUna,1,2,2,LRV PD,2
anvaYj,anvaYc,1,2,2,MW PD,2
anvavasTA,anavasTA,1,2,2,MW PD,2
anvaha,anvaya,2,2,2,PD VCP,2
anvAgata,anAgata,1,2,2,AP PD,2
anvADI,anvADi,1,2,2,MW PD,2
anvABU,anABU,1,2,2,MW PD,2
anvAyatanam,anvAyatana,1,2,2,AP PD,2
apakarzam,apakarza,1,2,2,GST PD,2
apakfzwA,apakfzwa,1,2,2,LRV PD,2
apakoza,apakza,1,2,2,AP PD,2
apakzI,apakza,1,2,2,PD STC,2
apagF,apagA,2,2,2,MW PD,2
apagE,apagA,2,2,2,MW PD,2
apaYcama,paYcama,1,2,2,MW PW,2
apawutva,pawutva,1,2,2,MW PW,2
apaTA,apaTa,5,2,2,AP MW,2
apadas,apada,1,2,2,MW MW72,2
apadasTa,padasTa,1,2,2,MW PW,2
apadah,apada,1,2,2,MW MW72,2
apadAnaka,apatAnaka,1,2,2,SHS WIL,2
apadI,apada,7,2,2,GST PWG,2
apadF,apada,2,2,2,MW MW72,2
apanIti,apanIta,1,2,2,MW PW,2
apanIya,tapanIya,6,2,2,SHS WIL,2
apanetavya,upanetavya,1,2,2,PW PWG,2
apapa,apara,14,2,2,BHS MW,2
apapad,upapad,1,2,2,MW MW72,2
apamuKam,apamuKa,1,2,2,AP MW,2
apame,apama,1,2,2,MW MW72,2
apayasya,payasya,1,2,2,MW PW,2
apayu,apawu,3,2,2,MW MW72,2
aparaSvas,paraSvas,1,2,2,MW PW,2
aparADita,aparAjita,1,2,2,SHS WIL,2
aparikleSa,parikleSa,1,2,2,PW STC,2
aparicAraka,paricAraka,1,2,2,PW PWG,2
aparipAwi,paripAwi,1,2,2,SHS WIL,2
aparivIta,parivIta,2,2,2,MW PW,2
apava,apara,17,2,2,BHS MW72,2
apavant,apavana,1,2,2,PW PWG,2
apavarakA,apavaraka,1,2,2,AP AP90,2
apavfta,apAvfta,4,2,2,GST MW72,2
apavyayat,apavyaya,1,2,2,GST MW72,2
apazWuH,apazWu,1,2,2,AP SKD,2
apasArya,apasAra,1,2,2,PW PWG,2
apasI,apas,6,2,2,PW PWG,2
apasfta,apakfta,2,2,2,AP AP90,2
apasmfta,apasmfti,1,2,2,AP STC,2
apasmftiH,apasmfti,1,2,2,AP AP90,2
apasvAna,apasnAna,1,2,2,MW PW,2
apahi,apaha,2,2,2,MW STC,2
apAcaka,pAcaka,3,2,2,PW STC,2
apAcia,apAcya,1,2,2,GRA PW,2
apAj,apAc,2,2,2,MW MW72,2
apAnana,apAsana,2,2,2,GST VCP,2
apAyana,upAyana,3,2,2,PW PWG,2
apAr,apAra,3,2,2,MW MW72,2
apArA,apAra,3,2,2,AP LRV,2
apArC,apAra,1,2,2,MW MW72,2
apAzaRqa,pAzaRqa,1,2,2,PW STC,2
apAzWi,apAzWa,1,2,2,MW PWG,2
apia,api,6,2,2,GRA PW,2
apikakzia,apikakzya,1,2,2,GRA PW,2
apikft,apakft,1,2,2,MW MW72,2
apigata,aDigata,2,2,2,GST MW72,2
apigA,apagA,1,2,2,MW MW72,2
apiRqa,piRqa,2,2,2,MW MW72,2
apiDAnI,apiDAna,1,2,2,MW PWG,2
apipad,avipad,1,2,2,MW MW72,2
apizwuta,aBizwuta,1,2,2,MW MW72,2
apizWA,atizWA,1,2,2,FRI MW,2
apIcia,apIcya,1,2,2,GRA PW,2
apIqita,pIqita,2,2,2,MD PW,2
apuA,apvA,2,2,2,GRA PW,2
apUpikA,pUpikA,1,2,2,MW PW,2
apez,pez,1,2,2,MW MW72,2
apomaya,ayomaya,3,2,2,PWG VCP,2
aptia,aptya,2,2,2,GRA PW,2
apna,anna,9,2,2,GST MW72,2
appa,apa,6,2,2,GST MW72,2
apyayaH,apyaya,1,2,2,AP AP90,2
apyayya,apyaya,1,2,2,GST PWG,2
apyas,ayas,6,2,2,MW MW72,2
aprakampin,prakampin,1,2,2,MW PW,2
aprakASat,aprakASa,1,2,2,MD MW,2
aprakASana,prakASana,1,2,2,PW STC,2
aprakASam,aprakASa,1,2,2,AP MW,2
apracyuti,apracyuta,2,2,2,MW PW,2
aprajana,prajana,1,2,2,MW PW,2
apraRASa,aprakASa,2,2,2,MW PW,2
aprat,aprati,1,2,2,GST MW72,2
apratiboDa,pratiboDa,1,2,2,MW PW,2
apratirUpya,apratirUpa,1,2,2,PW PWG,2
aprativAdin,prativAdin,1,2,2,MW PW,2
apratihAra,pratihAra,2,2,2,MW PW,2
apratIBA,apratiBA,1,2,2,MW PW,2
apradagDa,apradugDa,1,2,2,MW PW,2
apradatta,apramatta,2,2,2,AP AP90,2
aprapAda,apramAda,2,2,2,MW PW,2
apraBAva,praBAva,1,2,2,PW VCP,2
apraBraMSa,apaBraMSa,1,2,2,MW PW,2
aprasAdita,prasAdita,1,2,2,PW STC,2
aprasfta,prasfta,3,2,2,PW VCP,2
aprahfta,aprahata,5,2,2,MW PW,2
aprARat,aprARa,1,2,2,GST MW,2
aprATa,aprARa,1,2,2,SHS WIL,2
aprAptA,aprApta,2,2,2,LRV VCP,2
aprArTaka,prArTaka,2,2,2,MW PW,2
apreta,preta,2,2,2,MW PW,2
apsaH,apsas,1,2,2,AP AP90,2
apsaraH,apsaras,1,2,2,AP AP90,2
aPsaras,apsaras,1,2,2,GST PWG,2
abaRqa,aKaRqa,4,2,2,MW PW,2
abadDamUla,badDamUla,1,2,2,MW PW,2
abAlA,bAlA,2,2,2,LRV PUI,2
abIBatsa,bIBatsa,1,2,2,PW STC,2
abj,abja,7,2,2,PW PWG,2
abjaH,abja,1,2,2,AP SKD,2
abjam,abja,1,2,2,AP PUI,2
abdi,abda,2,2,2,GST MW72,2
abrAhmaRaka,brAhmaRaka,1,2,2,PW PWG,2
aBakzita,alakzita,3,2,2,MW PW,2
aBayam,aBaya,1,2,2,AP PE,2
aBavat,Bavat,2,2,2,AP AP90,2
aBAzita,BAzita,1,2,2,AP AP90,2
aBAsvara,BAsvara,2,2,2,PW PWG,2
aBiaYjana,aByaYjana,1,2,2,GRA PW,2
aBiarDayajvan,aByarDayajvan,1,2,2,GRA PW,2
aBikara,aBisara,3,2,2,MW PW,2
aBikrI,aBiSrI,1,2,2,MW MW72,2
aBikzita,aSikzita,3,2,2,MW PW,2
