dict_a,dict_b,shared_anomalies,shared_doublets,shared_exclusive_df2,per_1k_smaller,size_a,size_b,year_a,year_b,both_in_L0
AP,SKD,11130,271,6193,272.681,88667,40817,1957,1886,True
AP,VCP,524,245,37,10.774,88667,48636,1957,1873,True
BHS,MW,678,231,80,38.139,17777,194084,1953,1899,True
AP90,LRV,968,228,592,28.241,34277,48259,1890,1889,True
MD,PWG,354,222,0,17.609,20103,106083,1893,1855,True
GRA,PWG,379,211,10,34.12,11108,106083,1873,1855,True
SHS,SKD,433,202,1,10.608,46730,40817,1900,1886,True
BEN,MW,320,201,13,18.784,17036,194084,1866,1899,True
INM,MW,368,198,27,38.925,9454,194084,1904,1899,True
VCP,YAT,594,197,10,13.283,48636,44720,1873,1846,True
LRV,MW72,240,196,7,4.973,48259,51159,1889,1872,True
AP90,STC,410,193,0,17.093,34277,23986,1890,1932,True
MD,MW72,266,176,6,13.232,20103,51159,1893,1872,True
PD,PWG,262,174,32,2.496,104959,106083,1976,1855,False
AP,PD,255,171,86,2.876,88667,104959,1957,1976,False
BEN,PW,268,166,4,15.731,17036,151349,1866,1879,True
BHS,PW,553,159,15,31.108,17777,151349,1953,1879,True
KRM,VCP,302,159,8,177.856,1698,48636,1965,1873,True
BEN,PWG,267,158,9,15.673,17036,106083,1866,1855,True
KRM,WIL,292,157,0,171.967,1698,43939,1965,1832,True
MW,PWKVN,887,151,0,59.153,194084,14995,1899,n/a,False
KRM,SKD,280,144,2,164.9,1698,40817,1965,1886,True
GST,MW,247,142,8,36.533,6761,194084,1856,1899,True
LRV,SHS,214,142,28,4.579,48259,46730,1889,1900,True
CAE,MW72,182,135,1,4.729,38484,51159,1891,1872,True
BEN,MW72,216,135,7,12.679,17036,51159,1866,1872,True
PUI,PW,288,134,10,24.552,11730,151349,1951,1879,True
MW72,PD,188,121,3,3.675,51159,104959,1872,1976,False
BUR,MW,184,116,16,9.61,19146,194084,1866,1899,True
CAE,STC,188,113,6,7.838,38484,23986,1891,1932,True
PUI,PWG,221,107,3,18.841,11730,106083,1951,1855,True
CCS,MD,155,102,4,7.71,28751,20103,1887,1893,True
AP,PUI,368,102,264,31.373,88667,11730,1957,1951,True
GRA,MW72,170,101,3,15.304,11108,51159,1873,1872,True
AP90,VCP,180,100,2,5.251,34277,48636,1890,1873,True
GST,MW72,172,100,15,25.44,6761,51159,1856,1872,True
PW,YAT,114,97,1,2.549,151349,44720,1879,1846,True
MW,PE,251,97,9,37.898,194084,6623,1899,1975,False
LRV,PD,114,96,43,2.362,48259,104959,1889,1976,False
CAE,MD,182,96,1,9.053,38484,20103,1891,1893,True
INM,PW,196,95,2,20.732,9454,151349,1904,1879,True
GST,PD,145,94,16,21.447,6761,104959,1856,1976,False
CAE,GRA,175,94,0,15.754,38484,11108,1891,1873,True
INM,PWG,181,91,0,19.145,9454,106083,1904,1855,True
ABCH,MW,215,90,8,18.56,11584,194084,1896,1899,False
LRV,SKD,544,87,40,13.328,48259,40817,1889,1886,True
BHS,PWG,292,85,6,16.426,17777,106083,1953,1855,True
LRV,YAT,134,85,12,2.996,48259,44720,1889,1846,True
FRI,MW,191,84,22,24.566,7775,194084,1956,1899,True
KRM,SHS,157,84,2,92.462,1698,46730,1965,1900,True
PD,SCH,393,82,78,13.811,104959,28455,1976,1928,False
AP,SHS,143,78,1,3.06,88667,46730,1957,1900,True
BOP,MW,111,77,7,13.051,8505,194084,1847,1899,True
BUR,YAT,127,77,18,6.633,19146,44720,1866,1846,True
PW,SHS,97,76,1,2.076,151349,46730,1879,1900,True
PW,SKD,203,71,19,4.973,151349,40817,1879,1886,True
SKD,YAT,247,71,6,6.051,40817,44720,1886,1846,True
GST,PWG,103,70,6,15.234,6761,106083,1856,1855,True
GST,PW,119,68,4,17.601,6761,151349,1856,1879,True
AP,CAE,120,68,2,3.118,88667,38484,1957,1891,True
PWG,SCH,231,67,2,8.118,106083,28455,1855,1928,True
PD,STC,160,64,12,6.671,104959,23986,1976,1932,False
MD,STC,133,64,2,6.616,20103,23986,1893,1932,True
PWG,SHS,80,64,0,1.712,106083,46730,1855,1900,True
ACC,MW,269,61,109,8.258,32576,194084,1962,1899,True
BUR,MW72,111,61,12,5.798,19146,51159,1866,1872,True
AP,YAT,130,59,8,2.907,88667,44720,1957,1846,True
AP90,SKD,5764,58,1587,168.159,34277,40817,1890,1886,True
SCH,STC,260,58,41,10.84,28455,23986,1928,1932,True
PWG,YAT,70,56,0,1.565,106083,44720,1855,1846,True
AP90,PWG,89,55,0,2.596,34277,106083,1890,1855,True
PD,VCP,93,54,27,1.912,104959,48636,1976,1873,False
PW,WIL,68,53,0,1.548,151349,43939,1879,1832,True
BOP,BUR,89,53,27,10.464,8505,19146,1847,1866,True
AP90,PW,98,52,0,2.859,34277,151349,1890,1879,True
IEG,MW,159,52,17,20.99,7575,194084,1966,1899,False
LRV,PUI,133,52,48,11.338,48259,11730,1889,1951,True
PD,PWKVN,286,51,0,19.073,104959,14995,1976,n/a,False
BHS,MW72,142,51,4,7.988,17777,51159,1953,1872,True
INM,PE,143,49,6,21.591,9454,6623,1904,1975,False
BUR,PW,77,49,5,4.022,19146,151349,1866,1879,True
LRV,WIL,80,49,1,1.821,48259,43939,1889,1832,True
AP,WIL,82,47,0,1.866,88667,43939,1957,1832,True
AP,MD,94,47,2,4.676,88667,20103,1957,1893,True
CCS,GRA,71,47,1,6.392,28751,11108,1887,1873,True
BUR,SHS,81,46,4,4.231,19146,46730,1866,1900,True
PWG,SKD,86,45,2,2.107,106083,40817,1855,1886,True
ABCH,LRV,92,43,8,7.942,11584,48259,1896,1889,False
PE,PUI,129,41,25,19.478,6623,11730,1975,1951,False
FRI,PW,107,41,2,13.762,7775,151349,1956,1879,True
FRI,PWG,91,41,0,11.704,7775,106083,1956,1855,True
CAE,LRV,56,41,3,1.455,38484,48259,1891,1889,True
PWG,WIL,49,40,0,1.115,106083,43939,1855,1832,True
AP,FRI,81,38,5,10.418,88667,7775,1957,1956,True
IEG,PW,117,37,5,15.446,7575,151349,1966,1879,False
BUR,WIL,83,37,5,4.335,19146,43939,1866,1832,True
BHS,SCH,241,36,35,13.557,17777,28455,1953,1928,True
GRA,MD,62,36,2,5.582,11108,20103,1873,1893,True
MW72,PUI,74,36,2,6.309,51159,11730,1872,1951,True
BUR,PWG,56,35,1,2.925,19146,106083,1866,1855,True
ABCH,AP,136,35,4,11.74,11584,88667,1896,1957,False
MW,VEI,146,34,7,39.417,194084,3704,1899,1912,True
BHS,PD,152,33,110,8.55,17777,104959,1953,1976,False
MD,PD,99,32,6,4.925,20103,104959,1893,1976,False
PUI,VCP,70,32,6,5.968,11730,48636,1951,1873,True
AP,GST,70,32,1,10.353,88667,6761,1957,1856,True
BHS,LRV,83,32,25,4.669,17777,48259,1953,1889,True
CCS,FRI,59,32,1,7.588,28751,7775,1887,1956,True
ARMH,MW,96,31,7,14.386,6673,194084,1861,1899,False
CCS,STC,57,31,0,2.376,28751,23986,1887,1932,True
ACC,PW,149,30,4,4.574,32576,151349,1962,1879,True
AP,SCH,158,29,21,5.553,88667,28455,1957,1928,True
MW72,SKD,66,29,5,1.617,51159,40817,1872,1886,True
PW,VEI,124,29,5,33.477,151349,3704,1879,1912,True
INM,PUI,48,28,2,5.077,9454,11730,1904,1951,True
AP,BOP,66,27,3,7.76,88667,8505,1957,1847,True
PWG,VEI,108,27,0,29.158,106083,3704,1855,1912,True
AP,BHS,96,27,13,5.4,88667,17777,1957,1953,True
ABCH,PW,76,27,2,6.561,11584,151349,1896,1879,False
SCH,VCP,69,26,2,2.425,28455,48636,1928,1873,True
FRI,MW72,70,26,0,9.003,7775,51159,1956,1872,True
BEN,BOP,31,26,3,3.645,17036,8505,1866,1847,True
BEN,CAE,64,25,0,3.757,17036,38484,1866,1891,True
BOP,PW,45,25,2,5.291,8505,151349,1847,1879,True
LRV,SCH,89,24,25,3.128,48259,28455,1889,1928,True
MW72,SCH,73,24,0,2.565,51159,28455,1872,1928,True
CCS,MW72,31,24,1,1.078,28751,51159,1887,1872,True
BEN,MD,55,24,1,3.228,17036,20103,1866,1893,True
PWKVN,STC,172,23,0,11.47,14995,23986,n/a,1932,False
AP90,PD,42,23,1,1.225,34277,104959,1890,1976,False
PE,PW,90,23,2,13.589,6623,151349,1975,1879,False
AP,GRA,38,23,0,3.421,88667,11108,1957,1873,True
BUR,STC,36,23,13,1.88,19146,23986,1866,1932,True
IEG,PWG,71,22,0,9.373,7575,106083,1966,1855,False
AP90,SHS,42,22,1,1.225,34277,46730,1890,1900,True
GRA,VCP,40,22,4,3.601,11108,48636,1873,1873,True
BOP,MW72,38,21,2,4.468,8505,51159,1847,1872,True
FRI,STC,56,21,2,7.203,7775,23986,1956,1932,True
LAN,MW,60,20,6,12.696,4726,194084,1884,1899,False
ACC,PWG,104,20,0,3.193,32576,106083,1962,1855,True
ABCH,PWG,64,20,0,5.525,11584,106083,1896,1855,False
INM,MW72,52,20,2,5.5,9454,51159,1904,1872,True
LRV,MD,34,19,0,1.691,48259,20103,1889,1893,True
AP,BUR,64,19,3,3.343,88667,19146,1957,1866,True
CAE,VCP,32,19,0,0.832,38484,48636,1891,1873,True
AP,INM,51,19,2,5.395,88667,9454,1957,1904,True
INM,LRV,46,19,3,4.866,9454,48259,1904,1889,True
GST,VCP,39,18,6,5.768,6761,48636,1856,1873,True
FRI,LRV,62,18,17,7.974,7775,48259,1956,1889,True
PE,PWG,77,18,4,11.626,6623,106083,1975,1855,False
BHS,VCP,45,18,5,2.531,17777,48636,1953,1873,True
KRM,YAT,48,18,0,28.269,1698,44720,1965,1846,True
GST,LRV,39,17,2,5.768,6761,48259,1856,1889,True
CAE,SCH,72,17,0,2.53,38484,28455,1891,1928,True
AP90,GST,35,17,0,5.177,34277,6761,1890,1856,True
BHS,PUI,59,17,26,5.03,17777,11730,1953,1951,True
STC,VCP,35,17,1,1.459,23986,48636,1932,1873,True
AP,BEN,48,17,3,2.818,88667,17036,1957,1866,True
BOP,YAT,35,17,1,4.115,8505,44720,1847,1846,True
BUR,LRV,28,17,1,1.462,19146,48259,1866,1889,True
CAE,PD,51,16,7,1.325,38484,104959,1891,1976,False
LRV,STC,39,16,1,1.626,48259,23986,1889,1932,True
AP90,FRI,58,16,16,7.46,34277,7775,1890,1956,True
BOP,PWG,30,16,1,3.527,8505,106083,1847,1855,True
AP,CCS,36,16,1,1.252,88667,28751,1957,1887,True
MW72,VEI,55,16,1,14.849,51159,3704,1872,1912,True
BEN,YAT,33,16,0,1.937,17036,44720,1866,1846,True
CAE,FRI,37,15,1,4.759,38484,7775,1891,1956,True
BEN,CCS,43,15,0,2.524,17036,28751,1866,1887,True
BEN,BUR,21,15,0,1.233,17036,19146,1866,1866,True
PD,SHS,33,14,0,0.706,104959,46730,1976,1900,False
BUR,VCP,32,14,4,1.671,19146,48636,1866,1873,True
AP,PE,58,14,14,8.757,88667,6623,1957,1975,False
MD,VCP,27,14,0,1.343,20103,48636,1893,1873,True
BEN,LRV,32,14,1,1.878,17036,48259,1866,1889,True
LRV,PE,46,14,10,6.945,48259,6623,1889,1975,False
CCS,LRV,22,14,0,0.765,28751,48259,1887,1889,True
MCI,MW,47,14,2,20.215,2325,194084,1993,1899,True
PD,WIL,32,13,0,0.728,104959,43939,1976,1832,False
IEG,SCH,63,13,24,8.317,7575,28455,1966,1928,False
IEG,VCP,25,13,5,3.3,7575,48636,1966,1873,False
MD,SCH,64,13,0,3.184,20103,28455,1893,1928,True
PUI,SKD,139,13,27,11.85,11730,40817,1951,1886,True
ABCH,SKD,125,13,9,10.791,11584,40817,1896,1886,False
ABCH,ARMH,45,13,5,6.744,11584,6673,1896,1861,False
PD,PUI,41,12,31,3.495,104959,11730,1976,1951,False
INM,MCI,34,12,2,14.624,9454,2325,1904,1993,True
LAN,MW72,25,12,1,5.29,4726,51159,1884,1872,False
CCS,SCH,39,12,0,1.371,28751,28455,1887,1928,True
INM,VCP,40,12,3,4.231,9454,48636,1904,1873,True
LAN,PW,33,12,0,6.983,4726,151349,1884,1879,False
ARMH,PW,39,12,2,5.844,6673,151349,1861,1879,False
PUI,STC,28,12,1,2.387,11730,23986,1951,1932,True
BHS,PWKVN,178,11,0,11.871,17777,14995,1953,n/a,False
BEN,STC,25,11,1,1.467,17036,23986,1866,1932,True
ABCH,VCP,46,11,1,3.971,11584,48636,1896,1873,False
BHS,SKD,65,11,8,3.656,17777,40817,1953,1886,True
ABCH,MW72,31,11,0,2.676,11584,51159,1896,1872,False
CCS,PD,23,10,2,0.8,28751,104959,1887,1976,False
LAN,MD,37,10,14,7.829,4726,20103,1884,1893,False
IEG,LRV,30,10,9,3.96,7575,48259,1966,1889,False
PWG,PWKVN,68,10,0,4.535,106083,14995,1855,n/a,False
AP90,YAT,40,10,10,1.167,34277,44720,1890,1846,True
BUR,MD,14,10,1,0.731,19146,20103,1866,1893,True
AP90,WIL,16,10,0,0.467,34277,43939,1890,1832,True
BHS,PE,21,10,4,3.171,17777,6623,1953,1975,False
BEN,SHS,27,10,0,1.585,17036,46730,1866,1900,True
SCH,YAT,24,9,1,0.843,28455,44720,1928,1846,True
BHS,INM,18,9,0,1.904,17777,9454,1953,1904,True
AP90,MD,20,9,0,0.995,34277,20103,1890,1893,True
AP90,CAE,24,9,1,0.7,34277,38484,1890,1891,True
STC,YAT,19,9,1,0.792,23986,44720,1932,1846,True
ARMH,SKD,52,9,8,7.793,6673,40817,1861,1886,False
ARMH,LRV,28,9,0,4.196,6673,48259,1861,1889,False
BOP,LRV,15,9,0,1.764,8505,48259,1847,1889,True
BUR,SKD,50,9,2,2.612,19146,40817,1866,1886,True
ACPH,MW,88,9,9,60.564,1453,194084,1896,1899,False
AP,PWKVN,46,8,0,3.068,88667,14995,1957,n/a,False
BHS,WIL,21,8,0,1.181,17777,43939,1953,1832,True
BUR,GRA,13,8,1,1.17,19146,11108,1866,1873,True
BUR,CAE,12,8,0,0.627,19146,38484,1866,1891,True
AP,ARMH,45,8,1,6.744,88667,6673,1957,1861,False
ARMH,PWG,30,8,0,4.496,6673,106083,1861,1855,False
AP90,GRA,13,8,0,1.17,34277,11108,1890,1873,True
LAN,PWG,22,8,0,4.655,4726,106083,1884,1855,False
IEG,MW72,30,8,1,3.96,7575,51159,1966,1872,False
BEN,WIL,22,8,0,1.291,17036,43939,1866,1832,True
SKD,STC,32,8,2,1.334,40817,23986,1886,1932,True
INM,PD,20,7,5,2.116,9454,104959,1904,1976,False
GRA,GST,12,7,0,1.775,11108,6761,1873,1856,True
SCH,SKD,68,7,3,2.39,28455,40817,1928,1886,True
PUI,SCH,36,7,9,3.069,11730,28455,1951,1928,True
CAE,LAN,14,7,0,2.962,38484,4726,1891,1884,False
CCS,VCP,16,7,6,0.557,28751,48636,1887,1873,True
CCS,PUI,9,7,5,0.767,28751,11730,1887,1951,True
GRA,LAN,14,7,0,2.962,11108,4726,1873,1884,False
PD,SKD,28,6,4,0.686,104959,40817,1976,1886,False
CAE,PWKVN,45,6,0,3.001,38484,14995,1891,n/a,False
GST,STC,10,6,0,1.479,6761,23986,1856,1932,True
SCH,SHS,18,6,0,0.633,28455,46730,1928,1900,True
SCH,WIL,19,6,0,0.668,28455,43939,1928,1832,True
AP90,BUR,14,6,0,0.731,34277,19146,1890,1866,True
BUR,CCS,9,6,1,0.47,19146,28751,1866,1887,True
BEN,VCP,21,6,2,1.233,17036,48636,1866,1873,True
MW,SNP,21,6,2,46.875,194084,448,1899,1974,False
CAE,PUI,12,6,1,1.023,38484,11730,1891,1951,True
PD,YAT,26,5,2,0.581,104959,44720,1976,1846,False
IEG,PD,21,5,11,2.772,7575,104959,1966,1976,False
BHS,IEG,32,5,11,4.224,17777,7575,1953,1966,False
MD,PWKVN,51,5,0,3.401,20103,14995,1893,n/a,False
GST,YAT,10,5,0,1.479,6761,44720,1856,1846,True
BUR,PD,13,5,3,0.679,19146,104959,1866,1976,False
BHS,SHS,21,5,1,1.181,17777,46730,1953,1900,True
FRI,SKD,19,5,5,2.444,7775,40817,1956,1886,True
FRI,MD,14,5,0,1.801,7775,20103,1956,1893,True
MCI,PE,17,5,0,7.312,2325,6623,1993,1975,False
INM,STC,22,5,0,2.327,9454,23986,1904,1932,True
SHS,STC,10,5,0,0.417,46730,23986,1900,1932,True
AP90,BOP,10,5,0,1.176,34277,8505,1890,1847,True
AP90,CCS,6,5,0,0.209,34277,28751,1890,1887,True
BOP,SKD,24,5,1,2.822,8505,40817,1847,1886,True
IEG,PUI,8,5,1,1.056,7575,11730,1966,1951,False
BOP,STC,9,5,2,1.058,8505,23986,1847,1932,True
MD,SHS,9,5,0,0.448,20103,46730,1893,1900,True
ARMH,VCP,18,5,0,2.697,6673,48636,1861,1873,False
ABCH,PUI,14,5,1,1.209,11584,11730,1896,1951,False
ARMH,PUI,14,5,1,2.098,6673,11730,1861,1951,False
MD,SKD,23,5,2,1.144,20103,40817,1893,1886,True
PUI,SHS,20,5,3,1.705,11730,46730,1951,1900,True
PUI,WIL,14,5,0,1.194,11730,43939,1951,1832,True
MD,PUI,10,5,0,0.853,20103,11730,1893,1951,True
MCI,PW,25,4,0,10.753,2325,151349,1993,1879,True
GST,SHS,28,4,0,4.141,6761,46730,1856,1900,True
GST,WIL,29,4,1,4.289,6761,43939,1856,1832,True
FRI,PD,12,4,1,1.543,7775,104959,1956,1976,False
AP,IEG,30,4,6,3.96,88667,7575,1957,1966,False
CAE,GST,11,4,0,1.627,38484,6761,1891,1856,True
PWKVN,VCP,21,4,0,1.4,14995,48636,n/a,1873,False
PE,SKD,86,4,28,12.985,6623,40817,1975,1886,False
FRI,GRA,7,4,0,0.9,7775,11108,1956,1873,True
BHS,YAT,11,4,4,0.619,17777,44720,1953,1846,True
GST,MD,7,4,0,1.035,6761,20103,1856,1893,True
BHS,STC,28,4,3,1.575,17777,23986,1953,1932,True
MW72,PE,21,4,1,3.171,51159,6623,1872,1975,False
BOP,SHS,17,4,0,1.999,8505,46730,1847,1900,True
CAE,VEI,13,4,0,3.51,38484,3704,1891,1912,True
ACSJ,MW,31,4,6,48.896,634,194084,1896,1899,False
ARMH,STC,7,4,0,1.049,6673,23986,1861,1932,False
ABCH,AP90,17,4,0,1.468,11584,34277,1896,1890,False
MCI,PUI,12,4,2,5.161,2325,11730,1993,1951,True
GRA,VEI,21,4,2,5.67,11108,3704,1873,1912,True
ACPH,PW,42,4,1,28.906,1453,151349,1896,1879,False
PUI,YAT,16,4,2,1.364,11730,44720,1951,1846,True
IEG,SHS,13,4,1,1.716,7575,46730,1966,1900,False
INM,WIL,6,4,0,0.635,9454,43939,1904,1832,True
CAE,INM,12,4,0,1.269,38484,9454,1891,1904,True
KRM,PWG,11,4,0,6.478,1698,106083,1965,1855,True
BEN,INM,5,4,0,0.529,17036,9454,1866,1904,True
KRM,PW,15,4,2,8.834,1698,151349,1965,1879,True
CAE,SKD,15,4,1,0.39,38484,40817,1891,1886,True
MCI,PWG,19,3,0,8.172,2325,106083,1993,1855,True
BEN,PD,5,3,1,0.293,17036,104959,1866,1976,False
GRA,PD,9,3,0,0.81,11108,104959,1873,1976,False
IEG,SKD,24,3,3,3.168,7575,40817,1966,1886,False
AP90,PUI,19,3,2,1.62,34277,11730,1890,1951,True
PD,PE,19,3,6,2.869,104959,6623,1976,1975,False
BUR,SCH,9,3,2,0.47,19146,28455,1866,1928,True
PE,SCH,14,3,4,2.114,6623,28455,1975,1928,False
LAN,LRV,7,3,1,1.481,4726,48259,1884,1889,False
AP90,SCH,18,3,1,0.633,34277,28455,1890,1928,True
AP90,BHS,20,3,0,1.125,34277,17777,1890,1953,True
CAE,SHS,5,3,0,0.13,38484,46730,1891,1900,True
STC,WIL,7,3,0,0.292,23986,43939,1932,1832,True
MD,YAT,6,3,0,0.298,20103,44720,1893,1846,True
ABCH,SHS,17,3,0,1.468,11584,46730,1896,1900,False
BOP,CAE,9,3,2,1.058,8505,38484,1847,1891,True
ACPH,PWG,42,3,0,28.906,1453,106083,1896,1855,False
INM,YAT,7,3,0,0.74,9454,44720,1904,1846,True
ACPH,MW72,20,3,0,13.765,1453,51159,1896,1872,False
ACC,MW72,36,3,1,1.105,32576,51159,1962,1872,True
MD,WIL,6,3,1,0.298,20103,43939,1893,1832,True
ABCH,IEG,5,3,1,0.66,11584,7575,1896,1966,False
KRM,MW,17,3,3,10.012,1698,194084,1965,1899,True
GRA,LRV,7,3,0,0.63,11108,48259,1873,1889,True
BOP,PE,4,3,2,0.604,8505,6623,1847,1975,False
ACC,PUI,8,3,0,0.682,32576,11730,1962,1951,True
BOP,INM,5,3,0,0.588,8505,9454,1847,1904,True
FRI,PUI,4,3,0,0.514,7775,11730,1956,1951,True
KRM,PD,7,2,6,4.122,1698,104959,1965,1976,False
AP,VEI,16,2,1,4.32,88667,3704,1957,1912,True
CCS,PWKVN,19,2,0,1.267,28751,14995,1887,n/a,False
BUR,FRI,7,2,3,0.9,19146,7775,1866,1956,True
BOP,FRI,3,2,0,0.386,8505,7775,1847,1956,True
ACC,LRV,15,2,3,0.46,32576,48259,1962,1889,True
BHS,CCS,12,2,1,0.675,17777,28751,1953,1887,True
BHS,FRI,11,2,6,1.415,17777,7775,1953,1956,True
MW72,PWKVN,9,2,0,0.6,51159,14995,1872,n/a,False
ABCH,YAT,22,2,0,1.899,11584,44720,1896,1846,False
AP90,BEN,7,2,0,0.411,34277,17036,1890,1866,True
AP90,IEG,5,2,0,0.66,34277,7575,1890,1966,False
CAE,YAT,7,2,1,0.182,38484,44720,1891,1846,True
BOP,VCP,12,2,1,1.411,8505,48636,1847,1873,True
BEN,SCH,11,2,0,0.646,17036,28455,1866,1928,True
IEG,PWKVN,15,2,0,1.98,7575,14995,1966,n/a,False
ABCH,WIL,19,2,0,1.64,11584,43939,1896,1832,False
CCS,LAN,3,2,0,0.635,28751,4726,1887,1884,False
PE,STC,12,2,0,1.812,6623,23986,1975,1932,False
ACC,VCP,10,2,0,0.307,32576,48636,1962,1873,True
GRA,SCH,6,2,1,0.54,11108,28455,1873,1928,True
FRI,VCP,6,2,1,0.772,7775,48636,1956,1873,True
ARMH,MW72,13,2,0,1.948,6673,51159,1861,1872,False
IEG,WIL,12,2,0,1.584,7575,43939,1966,1832,False
INM,SHS,6,2,0,0.635,9454,46730,1904,1900,True
PE,VCP,17,2,2,2.567,6623,48636,1975,1873,False
CCS,SHS,9,2,5,0.313,28751,46730,1887,1900,True
BHS,MCI,6,2,2,2.581,17777,2325,1953,1993,True
BOP,SCH,4,2,0,0.47,8505,28455,1847,1928,True
LRV,SNP,6,2,0,13.393,48259,448,1889,1974,False
ARMH,BOP,3,2,0,0.45,6673,8505,1861,1847,False
VCP,VEI,5,2,1,1.35,48636,3704,1873,1912,True
ABCH,BHS,9,2,0,0.777,11584,17777,1896,1953,False
CCS,VEI,6,2,0,1.62,28751,3704,1887,1912,True
CCS,KRM,6,2,2,3.534,28751,1698,1887,1965,True
KRM,MD,4,2,0,2.356,1698,20103,1965,1893,True
BOP,CCS,8,2,0,0.941,8505,28751,1847,1887,True
BEN,LAN,5,2,0,1.058,17036,4726,1866,1884,False
BUR,INM,4,2,0,0.423,19146,9454,1866,1904,True
GRA,STC,3,2,0,0.27,11108,23986,1873,1932,True
GRA,SKD,5,2,1,0.45,11108,40817,1873,1886,True
ARMH,PE,3,2,0,0.453,6673,6623,1861,1975,False
BOP,GRA,3,2,0,0.353,8505,11108,1847,1873,True
CAE,IEG,5,2,1,0.66,38484,7575,1891,1966,False
LAN,PD,5,1,0,1.058,4726,104959,1884,1976,False
ABCH,PD,2,1,1,0.173,11584,104959,1896,1976,False
BHS,CAE,16,1,3,0.9,17777,38484,1953,1891,True
BHS,MD,15,1,1,0.844,17777,20103,1953,1893,True
PE,PWKVN,4,1,0,0.604,6623,14995,1975,n/a,False
ACSJ,PUI,5,1,1,7.886,634,11730,1896,1951,False
