from,to,unit,layer,count
"""",e,punctuation,git,3
A,i,vowel,git,3
t,u,consonant,git,3
x,m,consonant,git,3
"""", ,punctuation,git,3
>,4,punctuation,git,3
u,>,vowel,git,3
h,3,consonant,git,3
m,",",consonant,git,3
 ,̣,diacritic,git,3
P,V,consonant,git,3
f,5,consonant,git,3
g,l,consonant,git,3
s,2,consonant,git,3
>,8,punctuation,git,3
n,H,consonant,git,3
),7,punctuation,git,3
},D,punctuation,git,3
/,{,punctuation,git,3
e,2,vowel,git,3
1,R,digit,git,3
=,l,punctuation,git,3
2,n,digit,git,3
"""",9,punctuation,git,3
3,8,digit,git,3
p,f,consonant,git,3
m,L,consonant,git,3
U,o,vowel,git,3
t,र,consonant,git,3
u,प,vowel,git,3
p,प,consonant,git,3
u,ु,vowel,git,3
a,ि,vowel,git,3
a,ो,vowel,git,3
s,्,diacritic,git,3
u,व,vowel,git,3
p,ि,consonant,git,3
i,द,vowel,git,3
e,द,vowel,git,3
́,क,diacritic,git,3
t,न,consonant,git,3
v,त,consonant,git,3
k,र,consonant,git,3
v,व,consonant,git,3
d,न,consonant,git,3
i,र,vowel,git,3
a,स,vowel,git,3
a,अ,vowel,git,3
n,न,consonant,git,3
y,्,diacritic,git,3
a,य,vowel,git,3
b,L,consonant,git,3
#,L,punctuation,git,3
e,8,vowel,git,3
#,.,punctuation,git,3
H,m,consonant,git,3
H,I,consonant,git,3
 ,P,whitespace,git,3
P, ,consonant,git,3
",",i,punctuation,git,3
D,Q,consonant,git,3
?,n,punctuation,form,2
},a,punctuation,form,2
h,x,consonant,form,2
y,l,consonant,form,2
S, ,consonant,form,2
m,k,consonant,form,2
L,h,consonant,form,2
b,s,consonant,form,2
t,b,consonant,form,2
u,K,vowel,form,2
o,́,diacritic,form,2
w,l,consonant,form,2
d,b,consonant,form,2
$,ت,punctuation,form,2
7,6,digit,form,2
0,9,digit,form,2
},h,punctuation,form,2
},t,punctuation,form,2
„,",",punctuation,form,2
"""",o,punctuation,form,2
e,b,vowel,form,2
3,1,digit,form,2
F,̄,diacritic,form,2
k,́,diacritic,form,2
t,>,consonant,form,2
c,χ,consonant,form,2
t,+,consonant,form,2
›,>,punctuation,form,2
-,—,punctuation,form,2
m,c,consonant,form,2
j,v,consonant,form,2
 ,C,whitespace,form,2
),s,punctuation,form,2
u,x,vowel,form,2
r,j,consonant,form,2
),o,punctuation,form,2
w,h,consonant,form,2
́,i,diacritic,form,2
u,S,vowel,form,2
O,s,vowel,form,2
.,S,punctuation,form,2
"""",s,punctuation,form,2
 ,"""",whitespace,form,2
<,r,punctuation,form,2
h,>,consonant,form,2
t,I,consonant,form,2
[, ,punctuation,form,2
9,h,digit,form,2
9,l,digit,form,2
1,s,digit,form,2
-,d,punctuation,form,2
u,r,vowel,form,2
r,M,consonant,form,2
n,f,consonant,form,2
O,d,vowel,form,2
̣,L,diacritic,form,2
",",>,punctuation,form,2
w,Q,consonant,form,2
e,W,vowel,form,2
r,̇,diacritic,form,2
»,e,punctuation,form,2
*,॑,diacritic,form,2
b,t,consonant,form,2
́,u,diacritic,form,2
j,q,consonant,form,2
v,o,consonant,form,2
l,g,consonant,form,2
̣,O,diacritic,form,2
l,j,consonant,form,2
l,S,consonant,form,2
e,g,vowel,form,2
4,3,digit,form,2
d,W,consonant,form,2
c,y,consonant,form,2
l,b,consonant,form,2
W,q,consonant,form,2
r,P,consonant,form,2
v,̄,diacritic,form,2
g,v,consonant,form,2
p,g,consonant,form,2
y,K,consonant,form,2
j,s,consonant,form,2
d,1,consonant,form,2
g,1,consonant,form,2
-,a,punctuation,form,2
h,4,consonant,form,2
d,:,consonant,form,2
y,j,consonant,form,2
i,"""",vowel,form,2
s,>,consonant,form,2
 ,<,whitespace,form,2
°,g,punctuation,form,2
„,r,punctuation,form,2
o,p,vowel,form,2
d,y,consonant,form,2
Q,̣,diacritic,form,2
O,y,vowel,form,2
j,h,consonant,form,2
n,O,consonant,form,2
y,s,consonant,form,2
I,i,case,form,2
d,o,consonant,form,2
0,1,digit,form,2
8,1,digit,form,2
 ,w,whitespace,form,2
i,c,vowel,form,2
k,.,consonant,form,2
y,g,consonant,form,2
 ,y,whitespace,form,2
c,w,consonant,form,2
h,.,consonant,form,2
e,y,vowel,form,2
m,",",consonant,form,2
p,u,consonant,form,2
u,l,vowel,form,2
b,e,consonant,form,2
L,a,consonant,form,2
.,],punctuation,form,2
),a,punctuation,form,2
 ,1,whitespace,form,2
",",8,punctuation,form,2
 ,2,whitespace,form,2
2,9,digit,form,2
6,7,digit,form,2
i,I,case,form,2
e,',vowel,form,2
x,a,consonant,form,2
3,8,digit,form,2
",",o,punctuation,form,2
n,',consonant,form,2
-,e,punctuation,form,2
),.,punctuation,form,2
7,1,digit,form,2
t,S,consonant,form,2
b,i,consonant,form,2
0,a,digit,form,2
1,g,digit,form,2
6,c,digit,form,2
8,r,digit,form,2
7,p,digit,form,2
K,r,consonant,form,2
*,n,punctuation,form,2
V,c,consonant,form,2
P,e,consonant,form,2
3,h,digit,form,2
6,a,digit,form,2
̇,h,diacritic,form,2
:,e,punctuation,form,2
5,h,digit,form,2
V,n,consonant,form,2
",",g,punctuation,form,2
4, ,digit,form,2
9,p,digit,form,2
O, ,vowel,form,2
F,a,consonant,form,2
̇,c,diacritic,form,2
C,r,consonant,form,2
*,h,punctuation,form,2
8,p,digit,form,2
k,r,consonant,form,2
5,c,digit,form,2
u,p,vowel,form,2
̣,f,diacritic,form,2
e,"""",vowel,form,2
l,7,consonant,form,2
",",),punctuation,form,2
6,2,digit,form,2
6,̈,diacritic,form,2
s,‹,consonant,form,2
¯,n,punctuation,form,2
t,h,consonant,form,2
 ,̃,diacritic,form,2
i,2,vowel,form,2
B,P,consonant,form,2
.,Y,punctuation,form,2
̇,̃,diacritic,form,2
¯,-,punctuation,form,2
2,E,digit,form,2
V,̣,diacritic,form,2
7,4,digit,form,2
E,4,vowel,form,2
.,V,punctuation,form,2
2,t,digit,form,2
.,1,punctuation,form,2
n,K,consonant,form,2
V,.,consonant,form,2
7,",",digit,form,2
̈,̄,diacritic,form,2
W,2,consonant,form,2
a,P,vowel,form,2
V,W,consonant,form,2
¯,{,punctuation,form,2
P,̄,diacritic,form,2
m,.,consonant,form,2
P,B,consonant,form,2
P,F,consonant,form,2
‹,h,punctuation,form,2
 ,›,whitespace,form,2
G, ,consonant,form,2
o,¯,vowel,form,2
›,O,punctuation,form,2
̄,̃,diacritic,form,2
‹,̄,diacritic,form,2
g,7,consonant,form,2
̄,V,diacritic,form,2
.,5,punctuation,form,2
i,́,diacritic,form,2
1,U,digit,form,2
},",",punctuation,form,2
¯,A,punctuation,form,2
",",¯,punctuation,form,2
̇,.,diacritic,form,2
̣,H,diacritic,form,2
̣,%,diacritic,form,2
.,̃,diacritic,form,2
K,.,consonant,form,2
r,.,consonant,form,2
‹,i,punctuation,form,2
A, ,vowel,form,2
E,‹,vowel,form,2
…,.,punctuation,form,2
2,̣,diacritic,form,2
.,;,punctuation,form,2
a,3,vowel,form,2
5,3,digit,form,2
̄,8,diacritic,form,2
¯,B,punctuation,form,2
 ,%,whitespace,form,2
n,C,consonant,form,2
̄,l,diacritic,form,2
…,¯,punctuation,form,2
 ,K,whitespace,form,2
m,̄,diacritic,form,2
B,̄,diacritic,form,2
g,.,consonant,form,2
1,.,digit,form,2
1,0,digit,form,2
b,a,consonant,form,2
́,4,diacritic,form,2
o,̣,diacritic,form,2
S,a,consonant,form,2
.,f,punctuation,form,2
W,d,consonant,form,2
g,u,consonant,form,2
j,k,consonant,form,2
i,y,vowel,form,2
l,v,consonant,form,2
d,p,consonant,form,2
h,2,consonant,form,2
b,d,consonant,form,2
g,B,consonant,form,2
B,s,consonant,form,2
̣,k,diacritic,form,2
j,b,consonant,form,2
v,m,consonant,form,2
5,̃,diacritic,form,2
b,o,consonant,form,2
.,',punctuation,form,2
i,',vowel,form,2
b,w,consonant,form,2
[,s,punctuation,form,2
],?,punctuation,form,2
a,0,vowel,form,2
7,k,digit,form,2
2,d,digit,form,2
e,1,vowel,form,2
c,a,consonant,form,2
d,i,consonant,form,2
p,w,consonant,form,2
l,f,consonant,form,2
7,i,digit,form,2
k,i,consonant,form,2
2,o,digit,form,2
o,g,vowel,form,2
s,1,consonant,form,2
̣,M,diacritic,form,2
W,o,consonant,form,2
c,h,consonant,form,2
k,c,consonant,form,2
 ,/,whitespace,form,2
h,v,consonant,form,2
f,s,consonant,form,2
w,",",consonant,form,2
k,u,consonant,form,2
c,l,consonant,form,2
̣,?,diacritic,form,2
w,e,consonant,form,2
>,&,punctuation,git,2
S,a,consonant,git,2
<,=,punctuation,git,2
r,9,consonant,git,2
s,5,consonant,git,2
>,1,punctuation,git,2
d,8,consonant,git,2
M,n,consonant,git,2
v,k,consonant,git,2
I,O,vowel,git,2
N,r,consonant,git,2
H,a,consonant,git,2
d,̣,diacritic,git,2
n,̣,diacritic,git,2
s,f,consonant,git,2
s,́,diacritic,git,2
-,;,punctuation,git,2
i,k,vowel,git,2
-,u,punctuation,git,2
L,E,consonant,git,2
y,h,consonant,git,2
e,p,vowel,git,2
E,e,case,git,2
n,g,consonant,git,2
u,M,vowel,git,2
v,j,consonant,git,2
P,B,consonant,git,2
h,B,consonant,git,2
k,e,consonant,git,2
x,r,consonant,git,2
h,d,consonant,git,2
m,w,consonant,git,2
C,́,diacritic,git,2
m,.,consonant,git,2
>,-,punctuation,git,2
U,A,vowel,git,2
N,k,consonant,git,2
O,a,vowel,git,2
p,m,consonant,git,2
a,q,vowel,git,2
},I,punctuation,git,2
?,c,punctuation,git,2
?,e,punctuation,git,2
},d,punctuation,git,2
?,D,punctuation,git,2
z,v,consonant,git,2
?,r,punctuation,git,2
?,u,punctuation,git,2
{,n,punctuation,git,2
{,z,punctuation,git,2
{,t,punctuation,git,2
H, ,consonant,git,2
v,K,consonant,git,2
b,c,consonant,git,2
c,g,consonant,git,2
p,w,consonant,git,2
k,o,consonant,git,2
3,},digit,git,2
 ,8,whitespace,git,2
>,:,punctuation,git,2
L,#,consonant,git,2
D,m,consonant,git,2
E,n,vowel,git,2
R,K,consonant,git,2
I,o,vowel,git,2
y,<,consonant,git,2
5,l,digit,git,2
6,s,digit,git,2
n,O,consonant,git,2
2,F,digit,git,2
?,#,punctuation,git,2
e,œ,vowel,git,2
R,r,case,git,2
%,̄,diacritic,git,2
M,K,consonant,git,2
t,b,consonant,git,2
?,.,punctuation,git,2
>,;,punctuation,git,2
¦,},punctuation,git,2
2,t,digit,git,2
),̣,diacritic,git,2
*,†,punctuation,git,2
+,*,punctuation,git,2
1,=,digit,git,2
a,F,vowel,git,2
α,Α,case,git,2
ο,Ο,case,git,2
ε,E,latin,git,2
{,+,punctuation,git,2
+,{,punctuation,git,2
s,1,consonant,git,2
 ,9,whitespace,git,2
",",4,punctuation,git,2
9,n,digit,git,2
9,e,digit,git,2
h,T,consonant,git,2
d,{,consonant,git,2
{,0,punctuation,git,2
%,1,punctuation,git,2
s,8,consonant,git,2
#,<,punctuation,git,2
D,>,consonant,git,2
A, ,vowel,git,2
m,—,consonant,git,2
>,—,punctuation,git,2
b,D,consonant,git,2
>,9,punctuation,git,2
l,3,consonant,git,2
s,6,consonant,git,2
b,.,consonant,git,2
R,̄,diacritic,git,2
3,n,digit,git,2
2,>,digit,git,2
0,l,digit,git,2
<,",",punctuation,git,2
z,D,consonant,git,2
n,Y,consonant,git,2
g,n,consonant,git,2
%,t,punctuation,git,2
̣,i,diacritic,git,2
k,́,diacritic,git,2
̂,1,diacritic,git,2
",",n,punctuation,git,2
 ,',whitespace,git,2
œ,u,latin,git,2
#,e,punctuation,git,2
),},punctuation,git,2
/,(,punctuation,git,2
l,",",consonant,git,2
k,j,consonant,git,2
R,<,consonant,git,2
W,/,consonant,git,2
#,f,punctuation,git,2
E,η,vowel,git,2
e,́,diacritic,git,2
>,́,diacritic,git,2
>,ν,punctuation,git,2
>,υ,punctuation,git,2
g,ι,consonant,git,2
>,ϕ,punctuation,git,2
n,χ,consonant,git,2
g,χ,consonant,git,2
>,ξ,punctuation,git,2
g,ζ,consonant,git,2
4,>,digit,git,2
m,v,consonant,git,2
k,R,consonant,git,2
v,h,consonant,git,2
h,—,consonant,git,2
w,d,consonant,git,2
B,P,consonant,git,2
B,r,consonant,git,2
P,S,consonant,git,2
̄,s,diacritic,git,2
),o,punctuation,git,2
k,L,consonant,git,2
|,1,punctuation,git,2
o,1,vowel,git,2
L, ,consonant,git,2
d,E,consonant,git,2
.,¦,punctuation,git,2
m,/,consonant,git,2
l,(,consonant,git,2
Q,|,consonant,git,2
(,a,punctuation,git,2
E,I,vowel,git,2
y,),consonant,git,2
l,I,consonant,git,2
s,3,consonant,git,2
S,c,consonant,git,2
.,r,punctuation,git,2
4,r,digit,git,2
i,%,vowel,git,2
r,},consonant,git,2
R,},consonant,git,2
%,R,punctuation,git,2
%,d,punctuation,git,2
%,@,punctuation,git,2
@,r,punctuation,git,2
{,̣,diacritic,git,2
e,",",vowel,git,2
L,:,consonant,git,2
o,{,vowel,git,2
f,%,consonant,git,2
%,o,punctuation,git,2
f,},consonant,git,2
r,̣,diacritic,git,2
%,/,punctuation,git,2
0,-,digit,git,2
B,a,consonant,git,2
α,ε,latin,git,2
α,ο,latin,git,2
υ,ο,latin,git,2
̔,̓,diacritic,git,2
᾿,Α,punctuation,git,2
Α,̓,diacritic,git,2
C,i,consonant,git,2
q,̣,diacritic,git,2
P,h,consonant,git,2
A,g,vowel,git,2
/,́,diacritic,git,2
R,̣,diacritic,git,2
>,̂,diacritic,git,2
N,̇,diacritic,git,2
v,u,consonant,git,2
υ,ν,latin,git,2
7,>,digit,git,2
9,F,digit,git,2
^,5,punctuation,git,2
6,/,digit,git,2
^,6,punctuation,git,2
I,F,vowel,git,2
M,F,consonant,git,2
.,̣,diacritic,git,2
ι,ο,latin,git,2
ε,ω,latin,git,2
"""",{,punctuation,git,2
ς,ν,latin,git,2
Τ,Γ,latin,git,2
σ,ς,latin,git,2
ι,υ,latin,git,2
a,%,vowel,git,2
ξ,ω,latin,git,2
ω,ε,latin,git,2
.,g,punctuation,git,2
Ϲ,С,latin,git,2
r,g,consonant,git,2
q,2,consonant,git,2
́,͂,diacritic,git,2
η,ω,latin,git,2
^,e,punctuation,git,2
1,.,digit,git,2
S,r,consonant,git,2
7, ,digit,git,2
g,b,consonant,git,2
r,b,consonant,git,2
́,e,diacritic,git,2
̈,́,diacritic,git,2
I,T,vowel,git,2
z,1,consonant,git,2
T,z,consonant,git,2
m,h,consonant,git,2
A,l,vowel,git,2
 ,|,whitespace,git,2
C,G,consonant,git,2
p,>,consonant,git,2
"""",x,punctuation,git,2
 ,M,whitespace,git,2
3, ,digit,git,2
A,G,vowel,git,2
B,D,consonant,git,2
G,R,consonant,git,2
U,E,vowel,git,2
F, ,consonant,git,2
5, ,digit,git,2
T,I,consonant,git,2
T,O,consonant,git,2
E,N,vowel,git,2
R,E,consonant,git,2
R,N,consonant,git,2
b,3,consonant,git,2
H,E,consonant,git,2
L,G,consonant,git,2
L,N,consonant,git,2
W,S,consonant,git,2
M,S,consonant,git,2
K,I,consonant,git,2
A,E,vowel,git,2
O,N,vowel,git,2
n,6,consonant,git,2
e,0,vowel,git,2
s,4,consonant,git,2
.,9,punctuation,git,2
e,=,vowel,git,2
 ,B,whitespace,git,2
 ,5,whitespace,git,2
A,U,vowel,git,2
;,",",punctuation,git,2
1,̀,diacritic,git,2
v,/,consonant,git,2
g,o,consonant,git,2
c,b,consonant,git,2
.,c,punctuation,git,2
6,b,digit,git,2
9,l,digit,git,2
M,H,consonant,git,2
-,a,punctuation,git,2
ब,त,latin,git,2
ु,ल,other,git,2
ऊ,उ,latin,git,2
P,H,consonant,git,2
:,.,punctuation,git,2
P,p,case,git,2
.,7,punctuation,git,2
",","""",punctuation,git,2
),;,punctuation,git,2
 ,°,whitespace,git,2
a,),vowel,git,2
I,.,vowel,git,2
n,w,consonant,git,2
b,A,consonant,git,2
l,q,consonant,git,2
t,-,consonant,git,2
o,B,vowel,git,2
l,—,consonant,git,2
/,P,punctuation,git,2
t,z,consonant,git,2
g,E,consonant,git,2
o,(,vowel,git,2
/,G,punctuation,git,2
o,Y,vowel,git,2
<,q,punctuation,git,2
e,/,vowel,git,2
s,A,consonant,git,2
=,A,punctuation,git,2
l,D,consonant,git,2
n,z,consonant,git,2
r,),consonant,git,2
>,H,punctuation,git,2
y,j,consonant,git,2
<,-,punctuation,git,2
I,r,vowel,git,2
h,m,consonant,git,2
f,",",consonant,git,2
),c,punctuation,git,2
:,;,punctuation,git,2
z,t,consonant,git,2
k,T,consonant,git,2
q,g,consonant,git,2
O,i,vowel,git,2
R,k,consonant,git,2
q,z,consonant,git,2
1,̄,diacritic,git,2
5,7,digit,git,2
R,a,consonant,git,2
<,c,punctuation,git,2
b,>,consonant,git,2
",",o,punctuation,git,2
/,=,punctuation,git,2
:,r,punctuation,git,2
¦,<,punctuation,git,2
{,o,punctuation,git,2
d,1,consonant,git,2
),i,punctuation,git,2
—, ,punctuation,git,2
j,i,consonant,git,2
u,E,vowel,git,2
#, ,punctuation,git,2
 ,f,whitespace,git,2
°,r,punctuation,git,2
h,-,consonant,git,2
p,h,consonant,git,2
r,p,consonant,git,2
d,h,consonant,git,2
c,f,consonant,git,2
d,r,consonant,git,2
1,y,digit,git,2
d,s,consonant,git,2
n,L,consonant,git,2
f,b,consonant,git,2
:,2,punctuation,git,2
s,{,consonant,git,2
>,{,punctuation,git,2
-,L,punctuation,git,2
f,"""",consonant,git,2
°,f,punctuation,git,2
d,u,consonant,git,2
u,/,vowel,git,2
G,-,consonant,git,2
u,s,vowel,git,2
u,d,vowel,git,2
h,C,consonant,git,2
3,m,digit,git,2
1,n,digit,git,2
2,e,digit,git,2
 ,y,whitespace,git,2
x,7,consonant,git,2
=,9,punctuation,git,2
v,A,consonant,git,2
f,g,consonant,git,2
5,f,digit,git,2
n,(,consonant,git,2
u,-,vowel,git,2
u,",",vowel,git,2
e,5,vowel,git,2
=,5,punctuation,git,2
d,p,consonant,git,2
D,k,consonant,git,2
a,¦,vowel,git,2
f,d,consonant,git,2
u,p,vowel,git,2
i,d,vowel,git,2
p,7,consonant,git,2
"""",6,punctuation,git,2
p,<,consonant,git,2
"""",/,punctuation,git,2
e,v,vowel,git,2
-,/,punctuation,git,2
k,d,consonant,git,2
(,<,punctuation,git,2
i,7,vowel,git,2
 ,;,whitespace,git,2
9,p,digit,git,2
r,1,consonant,git,2
=,u,punctuation,git,2
¦,&,punctuation,git,2
3,/,digit,git,2
h,2,consonant,git,2
P,M,consonant,git,2
8,"""",digit,git,2
3,"""",digit,git,2
),9,punctuation,git,2
I,n,vowel,git,2
x,b,consonant,git,2
1,G,digit,git,2
G,B,consonant,git,2
/,—,punctuation,git,2
6,K,digit,git,2
g,4,consonant,git,2
>,3,punctuation,git,2
3,>,digit,git,2
%,.,punctuation,git,2
s,N,consonant,git,2
9,s,digit,git,2
i,T,vowel,git,2
S,p,consonant,git,2
",",A,punctuation,git,2
4,H,digit,git,2
u,2,vowel,git,2
0,5,digit,git,2
i,1,vowel,git,2
4,a,digit,git,2
i,U,vowel,git,2
A,2,vowel,git,2
E,<,vowel,git,2
D,l,consonant,git,2
>,D,punctuation,git,2
x,0,consonant,git,2
.,3,punctuation,git,2
S,5,consonant,git,2
l,c,consonant,git,2
;,H,punctuation,git,2
#,a,punctuation,git,2
a,M,vowel,git,2
5,i,digit,git,2
"""",],punctuation,git,2
4,b,digit,git,2
0,x,digit,git,2
3,=,digit,git,2
9,f,digit,git,2
0,"""",digit,git,2
{,i,punctuation,git,2
{,f,punctuation,git,2
4,x,digit,git,2
9,"""",digit,git,2
x,8,consonant,git,2
=,e,punctuation,git,2
0,8,digit,git,2
o,f,vowel,git,2
d,o,consonant,git,2
R,S,consonant,git,2
5,8,digit,git,2
7,V,digit,git,2
E,r,vowel,git,2
f,6,consonant,git,2
A,z,vowel,git,2
a,",",vowel,git,2
{,),punctuation,git,2
z,T,consonant,git,2
k,G,consonant,git,2
p,{,consonant,git,2
r,L,consonant,git,2
7,"""",digit,git,2
2,u,digit,git,2
n,4,consonant,git,2
 ,g,whitespace,git,2
{,e,punctuation,git,2
6,e,digit,git,2
˚,°,punctuation,git,2
̄,त,diacritic,git,2
̄,ग,diacritic,git,2
r,ा,consonant,git,2
s,द,consonant,git,2
m,ा,consonant,git,2
h,्,diacritic,git,2
m,द,consonant,git,2
̄,भ,diacritic,git,2
p,ण,consonant,git,2
̣,स,diacritic,git,2
#,s,punctuation,git,2
̄,न,diacritic,git,2
d,्,diacritic,git,2
̄,म,diacritic,git,2
#,l,punctuation,git,2
h,ा,consonant,git,2
e,ह,vowel,git,2
n,े,consonant,git,2
v,्,diacritic,git,2
l,व,consonant,git,2
̄,ल,diacritic,git,2
a,ङ,vowel,git,2
̄,द,diacritic,git,2
i,स,vowel,git,2
 ,्,diacritic,git,2
d,द,consonant,git,2
v,ड,consonant,git,2
v,ि,consonant,git,2
e,व,vowel,git,2
k,े,consonant,git,2
d,ज,consonant,git,2
d,ग,consonant,git,2
h,द,consonant,git,2
r,ध,consonant,git,2
l,च,consonant,git,2
c,ल,consonant,git,2
h,र,consonant,git,2
m,ह,consonant,git,2
c,ो,consonant,git,2
a,ल,vowel,git,2
m,च,consonant,git,2
p,म,consonant,git,2
k,ू,consonant,git,2
m,ब,consonant,git,2
n,म,consonant,git,2
̣,ख,diacritic,git,2
a,ड,vowel,git,2
̣,ः,diacritic,git,2
.,m,punctuation,git,2
h,R,consonant,git,2
M,t,consonant,git,2
},E,punctuation,git,2
@,N,punctuation,git,2
к,k,latin,git,2
с,c,latin,git,2
а,p,latin,git,2
с,a,latin,git,2
б,c,latin,git,2
г,r,latin,git,2
̂,U,diacritic,git,2
A,v,vowel,git,2
d,6,consonant,git,2
v,g,consonant,git,2
D,h,consonant,git,2
m,},consonant,git,2
m,3,consonant,git,2
i,L,vowel,git,2
\,^,punctuation,git,2
 ,x,whitespace,git,2
a,N,vowel,git,2
o,E,vowel,git,2
u,N,vowel,git,2
l,E,consonant,git,2
e,N,vowel,git,2
x,D,consonant,git,2
",",t,punctuation,git,2
T,S,consonant,git,2
M,U,consonant,git,2
R, ,consonant,git,2
E,T,vowel,git,2
F,I,consonant,git,2
p,.,consonant,git,2
c, ,consonant,git,2
W,G,consonant,git,2
[, ,punctuation,git,2
h,o,consonant,git,2
e,m,vowel,git,2
p,i,consonant,git,2
k,s,consonant,git,2
S,N,consonant,git,2
b,m,consonant,git,2
p,2,consonant,git,2
@, ,punctuation,git,2
R,t,consonant,git,2
q,v,consonant,git,2
H,d,consonant,git,2
l,́,diacritic,form,1
{,a,punctuation,form,1
g,b,consonant,form,1
9, ,digit,form,1
0,c,digit,form,1
8,s,digit,form,1
0,t,digit,form,1
́,g,diacritic,form,1
b,k,consonant,form,1
O,p,vowel,form,1
c,b,consonant,form,1
-,>,punctuation,form,1
o,C,vowel,form,1
',u,punctuation,form,1
C,m,consonant,form,1
',a,punctuation,form,1
$,̆,diacritic,form,1
$,ᳲ,punctuation,form,1
$,s,punctuation,form,1
i,о,vowel,form,1
a,г,vowel,form,1
n,н,consonant,form,1
),ь,punctuation,form,1
$,ٿ,punctuation,form,1
$,ٔ,diacritic,form,1
$,و,punctuation,form,1
$,ي,punctuation,form,1
$,̀,diacritic,form,1
$,ر,punctuation,form,1
$,ْ,diacritic,form,1
$,ن,punctuation,form,1
$,ب,punctuation,form,1
$,م,punctuation,form,1
},m,punctuation,form,1
e,с,vowel,form,1
{,t,punctuation,form,1
?, ,punctuation,form,1
?,i,punctuation,form,1
},s,punctuation,form,1
?,b,punctuation,form,1
?,s,punctuation,form,1
<,R,punctuation,form,1
x,e,consonant,form,1
=,t,punctuation,form,1
h,<,consonant,form,1
x,>,consonant,form,1
>,.,punctuation,form,1
́,d,diacritic,form,1
W,e,consonant,form,1
a,S,vowel,form,1
w,c,consonant,form,1
M,<,consonant,form,1
i,+,vowel,form,1
5,̇,diacritic,form,1
a,α,vowel,form,1
t,τ,consonant,form,1
',᾽,punctuation,form,1
e,ε,vowel,form,1
',̓,diacritic,form,1
x,ξ,consonant,form,1
o,ο,vowel,form,1
h,η,consonant,form,1
4,́,diacritic,form,1
n,ν,consonant,form,1
},-,punctuation,form,1
d,α,consonant,form,1
e,τ,vowel,form,1
n,α,consonant,form,1
[,̄,diacritic,form,1
t,M,consonant,form,1
̇,',diacritic,form,1
A,v,vowel,form,1
m,w,consonant,form,1
v,f,consonant,form,1
f,g,consonant,form,1
],η,punctuation,form,1
D,a,consonant,form,1
h,T,consonant,form,1
S,x,consonant,form,1
W,i,consonant,form,1
2,w,digit,form,1
u,P,vowel,form,1
E,0,vowel,form,1
̈,k,diacritic,form,1
W,n,consonant,form,1
<,a,punctuation,form,1
l,1,consonant,form,1
>,2,punctuation,form,1
_,-,punctuation,form,1
o,w,vowel,form,1
>,o,punctuation,form,1
u,"""",vowel,form,1
s,x,consonant,form,1
x,d,consonant,form,1
:,t,punctuation,form,1
=,e,punctuation,form,1
8, ,digit,form,1
],d,punctuation,form,1
[,w,punctuation,form,1
=,r,punctuation,form,1
",",i,punctuation,form,1
],t,punctuation,form,1
e,/,vowel,form,1
s,A,consonant,form,1
r,N,consonant,form,1
M,d,consonant,form,1
P,i,consonant,form,1
:,.,punctuation,form,1
y,b,consonant,form,1
j, ,consonant,form,1
y,P,consonant,form,1
l,m,consonant,form,1
́,b,diacritic,form,1
n,q,consonant,form,1
y,B,consonant,form,1
y,°,consonant,form,1
£,_,punctuation,form,1
Q,W,consonant,form,1
m,́,diacritic,form,1
Y,v,consonant,form,1
Q,w,consonant,form,1
́,n,diacritic,form,1
w,̇,diacritic,form,1
n,̃,diacritic,form,1
̃,k,diacritic,form,1
́,c,diacritic,form,1
T,P,consonant,form,1
p,s,consonant,form,1
w,b,consonant,form,1
n,4,consonant,form,1
j,g,consonant,form,1
w,y,consonant,form,1
c,Y,consonant,form,1
s,K,consonant,form,1
v,w,consonant,form,1
q,v,consonant,form,1
̇,d,diacritic,form,1
l,B,consonant,form,1
́,K,diacritic,form,1
n,̇,diacritic,form,1
́,y,diacritic,form,1
j,r,consonant,form,1
Y,́,diacritic,form,1
y,́,diacritic,form,1
T,s,consonant,form,1
$,>,punctuation,form,1
$,˘,punctuation,form,1
$,r,punctuation,form,1
$,y,punctuation,form,1
d,I,consonant,form,1
8,S,digit,form,1
́,B,diacritic,form,1
L,l,case,form,1
v,S,consonant,form,1
n,1,consonant,form,1
i,9,vowel,form,1
“,̂,diacritic,form,1
h,w,consonant,form,1
„, ,punctuation,form,1
̂,e,diacritic,form,1
“,d,punctuation,form,1
w,g,consonant,form,1
o,8,vowel,form,1
t,6,consonant,form,1
L,t,consonant,form,1
̈,n,diacritic,form,1
d,6,consonant,form,1
i,6,vowel,form,1
B,h,consonant,form,1
q,j,consonant,form,1
M,e,consonant,form,1
d,>,consonant,form,1
l,E,consonant,form,1
s,2,consonant,form,1
y,5,consonant,form,1
b,̄,diacritic,form,1
l,;,consonant,form,1
¤,o,punctuation,form,1
u,¤,vowel,form,1
b,m,consonant,form,1
 ,̆,diacritic,form,1
„,e,punctuation,form,1
s,̆,diacritic,form,1
n,̆,diacritic,form,1
“,a,punctuation,form,1
w,f,consonant,form,1
j,',consonant,form,1
Q,u,consonant,form,1
h,K,consonant,form,1
d,j,consonant,form,1
s,̄,diacritic,form,1
W,h,consonant,form,1
o,E,vowel,form,1
̣,',diacritic,form,1
O,),vowel,form,1
a,(,vowel,form,1
s,),consonant,form,1
x,w,consonant,form,1
l,x,consonant,form,1
x,l,consonant,form,1
a,O,vowel,form,1
c,T,consonant,form,1
u,w,vowel,form,1
