from,to,unit,layer,count
e,h,vowel,git,31
>,u,punctuation,git,31
v,c,consonant,form,30
a,o,vowel,form,30
n,h,consonant,form,30
l,̣,diacritic,form,30
̣,h,diacritic,git,30
e,i,vowel,git,30
2,~,digit,git,30
=,s,punctuation,git,30
"""",u,punctuation,git,30
m,g,consonant,form,29
o,a,vowel,form,29
O,o,case,form,29
 ,d,whitespace,form,29
u,U,case,form,29
",",.,punctuation,git,29
a,l,vowel,git,29
s,n,consonant,git,29
i,f,vowel,git,29
D,G,consonant,git,29
a,d,vowel,git,29
g,s,consonant,git,29
S,{,consonant,git,29
́,%,diacritic,git,29
{,S,punctuation,git,29
n,s,consonant,git,29
а,a,latin,git,29
i,f,vowel,form,28
u,f,vowel,form,28
K,̣,diacritic,form,28
e,s,vowel,git,28
u,a,vowel,git,28
n,h,consonant,git,28
>,",",punctuation,git,28
l,>,consonant,git,28
t,l,consonant,form,27
h,c,consonant,form,27
a,E,vowel,form,27
K,p,consonant,form,27
r,l,consonant,git,27
4,5,digit,git,27
4,3,digit,git,27
",",s,punctuation,git,27
a,p,vowel,git,27
a,्,diacritic,git,27
f,r,consonant,form,26
u,v,vowel,form,26
d,t,consonant,form,26
n,l,consonant,form,26
e,i,vowel,form,26
̣,r,diacritic,form,26
7,e,digit,form,26
¯,‹,punctuation,form,26
‹,¯,punctuation,form,26
",",>,punctuation,git,26
>,"""",punctuation,git,26
I,a,vowel,git,26
4,1,digit,git,26
2,5,digit,git,26
y,p,consonant,form,25
i,o,vowel,form,25
s,e,consonant,form,25
̣,q,diacritic,form,25
m,f,consonant,form,25
4,5,digit,form,25
s,"""",consonant,git,25
a, ,vowel,git,25
{, ,punctuation,git,25
/,a,punctuation,git,25
t,>,consonant,git,25
Q,D,consonant,git,25
s, ,consonant,form,24
n,g,consonant,form,24
r,f,consonant,form,24
s,w,consonant,git,24
£,ꣳ,punctuation,git,24
a,<,vowel,git,24
A,I,vowel,git,24
o,<,vowel,git,24
K,k,case,form,23
n,s,consonant,form,23
r,a,consonant,form,23
 ,a,whitespace,form,23
̣,W,diacritic,form,23
7,̈,diacritic,form,23
a,.,vowel,git,23
s,a,consonant,git,23
e,r,vowel,git,23
n,-,consonant,git,23
m,M,case,git,23
9,0,digit,git,23
g,>,consonant,git,23
d,̣,diacritic,form,22
n, ,consonant,form,22
v,y,consonant,form,22
i,u,vowel,form,22
r,h,consonant,form,22
̣,y,diacritic,form,22
v,k,consonant,form,22
o,n,vowel,form,22
‹,",",punctuation,form,22
 ,̄,diacritic,form,22
f,^,consonant,form,22
v,y,consonant,git,22
/, ,punctuation,git,22
