date,year,magnitude,category,dicts,desc
2015-11-06,2015,0,other,PWG,"Nov 6, 2015 Corrections to PWG see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/130"
2015-11-09,2015,0,other,PW,"Nov 9, 2015 Correction to PW. Change 'diaresis' to comma. (163 changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/144"
2015-11-10,2015,0,other,PW,"Nov 10, 2015 Correction to PW. Remove 4 dangling › characters. see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/144"
2015-11-11,2015,0,other,ACC,"Nov 11, 2015 Correction to ACC. Several print errors see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/138 Added acc_printchange.txt file to dictionaries/ACC/"
2015-11-12,2015,0,other,PWG,"Nov 12, 2015 Corrections to PWG. (5) Update dictionaries/PWG/pwg_printchange.txt see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/138"
2015-11-13,2015,0,other,MW,"Nov 13, 2015 Move MWS/corrections-factual.txt to dictionaries/MW/mw_printchange.txt Update dictionaries/MW/mw_printchange.txt"
2015-11-13,2015,17,other,MW,"Nov 13, 2015 Corrections to MW. (17) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/131"
2015-11-15,2015,14,other,MW,"Nov 15, 2015 Corrections to MW (14) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/158"
2015-11-17,2015,15,other,BEN,"Nov 17, 2015 Corrections to BEN (15) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/140 Initialize dictionaries/BEN/ben_printchange.txt"
2015-11-18,2015,0,other,MD,"Nov 18, 2015 Corrections to MD (3) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/148 Initialize dictionaries/MD/md_printchange.txt"
2015-11-19,2015,16,other,STC,"Nov 19, 2015 Corrections to STC (16) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/149 see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/150 Initialize dictionaries/STC/stc_print"
2015-11-23,2015,10,other,MW,"Nov 23, 2015 Corrections to MW (10) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/134 Modify dictionaries/MW/mw_printchange.txt"
2015-11-25,2015,0,other,,"Nov 25, 2015 Initizlized corrections_nochange.txt see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/153"
2015-11-25,2015,0,other,AP90,"Nov 25, 2015 Corrections to AP90 (9) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/162 Initialize dictionaries/AP90/ap90_printchange.txt"
2015-11-27,2015,117,citation-source,PW,"Nov 27, 2015 PW Change literary source from VP.ý to VP.² (117) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/144"
2015-11-29,2015,310,citation-source,PW,"Nov 29, 2015 Corrections to PW literary sources (310) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/145"
2015-11-30,2015,0,other,,"Nov 30, 2015 Corrections to pwg (6) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/160"
2015-11-30,2015,0,other,AP,"Nov 30, 2015 Corrections to AP (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/160"
2015-11-30,2015,21,other,CCS,"Nov 30, 2015 Corrections to CCS (21) (And 21 others not listed here) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/160 Initialize dictionaries/CCS/ccs_printchange.txt"
2015-12-01,2015,0,other,AP90,"Dec 1, 2015 Corrections to AP90 (4) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/166"
2015-12-01,2015,0,other,SCH,"Dec 1, 2015 Corrections to SCH (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/166"
2015-12-01,2015,21,other,PW,"Dec 1, 2015 Corrections to PW (21) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/166 Initialize dictionaries/PW/pw_printchange.txt"
2015-12-01,2015,0,other,AP90,"Dec 1, 2015 Corrections to AP90 (7) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/163"
2015-12-02,2015,25,other,CAE,"Dec 2, 2015 Corrections to CAE (25) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/169 Initialize dictionaries/CAE/cae_printchange.txt"
2015-12-02,2015,0,other,BUR,"Dec 2, 2015 Corrections to BUR (6) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/169 Initialize dictionaries/BUR/bur_printchange.txt"
2015-12-02,2015,0,other,BEN,"Dec 2, 2015 Corrections to BEN (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/169"
2015-12-02,2015,0,other,BEN,"Dec 2, 2015 Corrections to BEN (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/169"
2015-12-02,2015,0,other,AP,"Dec 2, 2015 Corrections to AP (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/169"
2015-12-02,2015,0,other,ACC,"Dec 2, 2015 Corrections to ACC (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/176"
2015-12-03,2015,33,other,MW,"Dec 3, 2015 Corrections to MW (33) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/170"
2015-12-03,2015,0,other,PUI,"Dec 3, 2015 Corrections to PUI (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/176"
2015-12-07,2015,0,other,PD,"Dec 7, 2015 Corrections to PD (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/179"
2015-12-07,2015,0,correction-form,MW,"Dec 7, 2015 Corrections to MW (3) From correction form response (cfr.tsv)"
2015-12-07,2015,0,other,PWG,"Dec 7, 2015 Corrections to PWG (3) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/164"
2015-12-07,2015,0,other,SKD,"Dec 7, 2015 Corrections to SKD (5) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/167 Initialize dictionaries/SKD/skd_printchange.txt"
2015-12-08,2015,0,correction-form,STC,"Dec 8, 2015 Corrections to STC (1) From Correction form response."
2015-12-08,2015,0,correction-form,GRA,"Dec 8, 2015 Corrections to GRA (1) From Correction form response."
2015-12-08,2015,0,correction-form,MW,"Dec 8, 2015 Corrections to MW (1) From Correction form response. Also corrected bug in disp.php of webtc (basic display)"
2015-12-08,2015,0,correction-form,AP90,"Dec 8, 2015 Corrections to AP90 (1) From Correction form response."
2015-12-08,2015,0,correction-form,PW,"Dec 8, 2015 Corrections to PW (5) From Correction form response."
2015-12-09,2015,19,other,PW,"Dec 9, 2015 Corrections to PW (19) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/146 update dictionaries/PW/pw_printchange.txt"
2015-12-13,2015,3015,citation-source,PW,"Dec 13, 2015 Corrections to PW (literary source abbreviations) (3015) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/194 update dictionaries/PW/pw_printchange.txt"
2015-12-14,2015,0,other,SKD,"Dec 14, 2015 Corrections to SKD (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/177"
2015-12-14,2015,0,other,CCS,"Dec 14, 2015 Corrections to CCS (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/177"
2015-12-14,2015,0,other,AP90,"Dec 14, 2015 Corrections to AP90 (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/177"
2015-12-15,2015,0,other,PW,"Dec 15, 2015 Corrections to PW (6) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171"
2015-12-15,2015,0,other,CCS,"Dec 15, 2015 Corrections to CCS (7) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171"
2015-12-15,2015,0,other,CAE,"Dec 15, 2015 Corrections to CAE (7) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171"
2015-12-15,2015,0,other,AP,"Dec 15, 2015 Corrections to AP (4) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171 initializ dictionaries/AP/ap_printchange.txt"
2015-12-16,2015,0,other,MW72,"Dec 16, 2015 Corrections to MW72 (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/188"
2015-12-16,2015,0,other,MD,"Dec 16, 2015 Corrections to MD (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/188"
2015-12-16,2015,0,other,INM,"Dec 16, 2015 Corrections to INM (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/188"
2015-12-16,2015,0,other,GRA,"Dec 16, 2015 Corrections to GRA (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/188"
2015-12-16,2015,0,other,CCS,"Dec 16, 2015 Corrections to CCS (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/188"
2015-12-16,2015,0,other,MW,"Dec 16, 2015 Corrections to MW (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171 Also, 4 from corrections form."
2015-12-16,2015,0,other,WIL,"Dec 16, 2015 Corrections to WIL (2) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171 initialize dictionaries/WIL/wil_printchange.txt"
2015-12-16,2015,0,other,SHS,"Dec 16, 2015 Corrections to SHS (5) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171 initialize dictionaries/SHS/shs_printchange.txt"
2015-12-16,2015,0,other,SCH,"Dec 16, 2015 Corrections to SCH (3) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171 initialize dictionaries/SCH/sch_printchange.txt"
2015-12-16,2015,0,other,PWG,"Dec 16, 2015 Corrections to PWG (4) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/171"
2015-12-17,2015,21,other,INM,"Dec 17, 2015 Corrections to INM (21) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/204 initialize dictionaries/INM/inm_printchange.txt"
2015-12-18,2015,70,citation-source,PW,"Dec 18, 2015 Corrections to PW (70) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/200"
2015-12-19,2015,236,citation-source,PW,"Dec 19, 2015 Corrections to PW (236) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/206"
2015-12-20,2015,20,citation-source,PW,"Dec 20, 2015 Corrections to PW (20) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/207"
2015-12-21,2015,1372,citation-source,PW,"Dec 21, 2015 Corrections to PW (1372) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/209"
2015-12-21,2015,215,citation-source,PW,"Dec 21, 2015 Corrections to PW (215) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/208"
2015-12-22,2015,1372,citation-source,PW,"Dec 22, 2015 Corrections to PW (1372) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/211"
2015-12-29,2015,0,other,MW,"Dec 29, 2015 Corrections to MW (Approx. 15) see https://github.com/sanskrit-lexicon/MWS/issues/28 (29, 30, 31)"
2015-12-31,2015,78,citation-source,PW,"Dec 31, 2015 Corrections to PW (78) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/212"
2016-01-03,2016,915,citation-source,PW,"Jan 3, 2016 Corrections to PW (915) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/216"
2016-01-05,2016,2528,citation-source,PW,"Jan 5, 2016 Corrections to PW (2528) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/235"
2016-01-07,2016,332,citation-source,PW,"Jan 7, 2016 Corrections to PW (332) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/236"
2016-01-10,2016,0,other,,"Jan 10, 2016 Corrections from Correction-Form_Response (approx. 12)"
2016-01-11,2016,25,other,PD,"Jan 11, 2016 Corrections to PD (remove space from key1) (25) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/217"
2016-01-11,2016,0,other,PD|SCH,"Jan 11, 2016 Corrections to SCH, PD (6) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/214"
2016-01-13,2016,60,other,,"Jan 13, 2016 Corrections to 20 dictionaries. (60) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/189"
2016-01-18,2016,1321,citation-source,PW,"Jan 18, 2016 Corrections to PW (1321) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/237"
2016-01-19,2016,65,citation-source,PW,"Jan 19, 2016 Corrections to PW (65) (Literary source changes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/242"
2016-01-22,2016,0,other,,"Jan 22, 2016 Corrections (approx. 85 changes in 25 dictionaries) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/243"
2016-01-25,2016,398,other,AP,"Jan 25, 2016 Corrections to AP (398) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/245"
2016-01-26,2016,141,other,AP90,"Jan 26, 2016 Corrections to AP90 (141) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/215"
2016-01-27,2016,0,other,BHS,"Jan 27, 2016 Corrections to BHS (1) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/216"
2016-01-27,2016,0,other,PWG,"Jan 27, 2016 Corrections to PWG (1) see https://github.com/sanskrit-lexicon/PWG/issues/17"
2016-01-28,2016,16,other,CCS,"Jan 28, 2016 Corrections to CCS (16) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/201"
2016-02-05,2016,157,other,MW,"Feb 5, 2016 Corrections to MW (157) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/174"
2016-02-11,2016,21,other,MW,"Feb 11, 2016 Corrections to MW (21) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/249"
2016-02-11,2016,11,other,MW,"Feb 11, 2016 Corrections to MW (11) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/248"
2016-02-18,2016,0,citation-source,MW,"Feb 18, 2016 Corrections to MW (literary source codes) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/250"
2016-02-18,2016,0,other,MW|MW72|PW|STC,"Feb 18, 2016 Misc. Corrections to MW, PW, STC, MW72"
2016-02-22,2016,0,other,PUI,"Feb 22, 2016 Corrections to PUI headwords see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/251"
2016-02-23,2016,0,other,PE,"Feb 23, 2016 Corrections to PE headwords see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/253"
2016-03-07,2016,0,other,,"Mar 7, 2016 Burnouf verb forms see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/256"
2016-03-16,2016,147,other,,"Mar 16, 2016 Corrections in various dictionaries (147) see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/252"
2016-03-17,2016,12,correction-form,GRA,"Mar 17, 2016 Corrections to GRA (12) from Correction Form."
