ls_code,title,status,vedic,citations,pages,volunteer,finished,public_link,scan_dir
BHAG.,BHAGAVADGĪTĀ 1823 Schlegel ed.,done,no,2275,225,@IrinaKonstant,2025-03-22,,bhagavadgita
R. (Bomb.),RĀMĀYAṆA (Bomb. ed.) 1859 vol. i,done,no,,702,@IrinaKonstant,2025-03-27,,ramayanabom
R. (Bomb.),RĀMĀYAṆA (Bomb. ed.) 1859 vol. ii,done,no,,751,@angalinde,2025-03-29,,ramayanabom
R. (Bomb.),RĀMĀYAṆA (Bomb. ed.) 1859 vol. iii,done,no,,818,@Azanuka2412,2025-03-27,,ramayanabom
PAÑCAT.,PAÑCATANTRA 1848 Kosegarten ed.,done,no,8170,289,@grigoriyt1,2025-03-28,,pantankose
VS.,VĀJASANEYISAM̃HITĀ,done,yes,6078,1098,@grigoriyt1,2025-03-11,,vajasasa
TS.,TAITTIRĪYASAM̃HITĀ,done,yes,5387,846,@OFar0101,2025-04-01,,taittiriyas
RAGH. (Calc. ed.),RAGHUVAM̃SA 1832 Calc. ed.,done,no,,655,@angalinde,2025-04-12,,raghuvamsacalc
RĀJA-TAR.,RĀJATARAṄGIṆĪ,done,no,7784,599,@sofia28000,2025-04-01,,rAjatar
BHAṬṬ.,BHAṬṬIKĀVYA 1828 Calc. ed.,done,no,2561,1456,@angalinde,2025-04-23,,bhattikavya
KĀTY. ŚR.,KĀTYĀYANA'S ŚRAUTASŪTRĀṆI,done,yes,6734,1168,@AnnaRybakovaT,2025-04-07,,katyasr
TBR.,TAITTIRĪYABRĀHMAṆA,done,yes,2929,2420,@OFar0101,2025-04-25,,taittiriyabr
KUMĀRAS.,KUMĀRASAM̃BHAVA,done,no,2510,159,@OFar0101,2025-05-07,,kumaras
MĀLAV.,MĀLAVIKĀGNIMITRA,done,no,1076,128,@OFar0101,2025-05-08,,malavikagni
MEGH.,MEGHADŪTA,done,no,2020,153,@OFar0101,2025-05-07,,meghasrnga
ŚṚṄGĀRAT.,(Same book as 50 above) ŚṚṄGĀRATILAKA,done,no,101,,@OFar0101,2025-05-07,,meghasrnga
BHARTṚ.,BHARTṚHARI (1833) BOHLEN ed.,done,no,1282,293,@OFar0101,2025-05-07,,bhartrhari
CAURAP.,"(Same book as 66 above) CAURAPAÑCĀŚIKĀ, ed. BOHLEN",done,no,405,,@OFar0101,2025-05-07,,bhartrhari
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. i,done,no,,679,@ramray,2025-02-21,,mbhbomb
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. ii,done,no,,643,@ramray,2025-03-27,,mbhbomb
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. iii,done,no,,881,@ramray,2025-03-27,,mbhbomb
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. iv,done,no,,837,@Azanuka2412,2025-03-16,,mbhbomb
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. v,done,no,,1023,@Azanuka2412,2025-03-21,,mbhbomb
MBh. (Bomb.),MBh. (Bomb. ed.) 1864 vol. vi,done,no,,705,@angalinde,2025-02-23,,mbhbomb
HIT.,HITOPADEŚA 1829 Schlegel & Lassen ed.,done,no,3364,460,@grigoriyt1,2025-06-02,,hitopadesha
AK. Deslongchamps ed.,AMARAKOṢA 1839 Deslongchamps ed.,done,no,16151,818,@IrinaKonstant,2025-04-18,,amara_dlc
GĪT.,GĪTAGOVINDA,done,no,1140,222,@grigoriyt1,2025-06-22,,gitagov
AK. Colebrooke ed.,AMARAKOṢA 1808 Colebrooke ed.,done,no,,680,@grigoriyt1,2025-06-25,,amara_col
PAÑCAR.,NĀRADA PAÑCARĀTRA,done,no,2221,395,@IrinaKonstant,2025-04-07,,pancar
VIKR.,VIKRAMORVAŚĪ,done,no,1560,723,@OFar0101,2025-05-16,,vikramor
AIT. BR.,AITAREYABRĀHMAṆA,done,yes,4545,898,@IrinaKonstant,2025-08-03,,aitbr
NIR.,YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S,done,yes,3166,552,@IrinaKonstant,2025-09-01,,nirukta
NAIGH.,(Same book as 36 above) YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA,done,yes,1477,,@IrinaKonstant,2025-09-01,,nirukta
ṚV. PRĀT.,"RigVeda, Uebersetzung des Prâtisâkhya (1856 & 1869) Max Muller",done,yes,1755,746,@IrinaKonstant,2026-01-09,,rvps
ŚĀṄKH. ŚR.,ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI,on-going,yes,2095,1586,@grigoriyt1,,,
VS. PRĀT.,PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ,on-going,yes,1047,261,@IrinaKonstant,,,
DHĀTUP.,DHĀTUPĀṬHA in WESTERGAARD'S Radices,on-going,no,2756,,@AnnaRybakovaT,,,
ĀŚV. ŚR.,ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI,to-do,yes,1835,1058,,,,
PAÑCAV. BR.,PAÑCAVIṂŚABRĀHMAṆA,to-do,yes,1729,1876,,,,
CHĀND. UP.,CHĀNDOGYOPANIṢAD,to-do,yes,1696,646,,,,
VYUTP.,VYUTPATTI oder MAHĀVYUTPATTI,to-do,no,1670,290,,,,
ĀŚV. GṚHY.,ĀŚVALĀYANA'S GṚHYASŪTRĀṆI,to-do,yes,1453,452,,,,
KĀṬH.,KĀṬHAKA-Recension des YĀJ. V.,to-do,yes,1316,935,,,,
ŚIŚ.,ŚIŚUPĀLAVADHA,to-do,no,1299,776,,,,
RĀJAN.,"RĀJANIRGHAṆṬA, ein medicinisches Wörterbuch",nr-indirect,no,6783,,,,,
ŚABDAR.,"ŚABDARATNĀVALĪ, ein Wörterbuch",nr-indirect,no,3128,,,,,
Ind. St.,WEBER'S Indische Studien,page-wise,no,6347,,,,,
SUŚR.,"SUŚRUTA, ed. Calc. (GILD. Bibl. 367)",page-wise,no,12442,,,,,
Verz. d. B. H.,WEBER'S Verzeichniss der Berliner Sanskrit Handschriften,page-wise,no,3884,,,,,
VP.,VIṢṆUPURĀṆA 1840 WILSON's ed.,page-wise,no,3697,,,,,
PRAB.,"PRABODHACANDRODAYA, ed. BROCKHAUS",page-wise,no,2659,,,,,
SARVADARŚANAS.,SARVADARŚANASAṄGRAHA,page-wise,no,2616,,,,,
COLEBR. Misc. Ess. (1st ed.),COLEBROOKE'S Miscellaneous Essays (2 vol.s),page-wise,no,2334,,,,,
HALL,A contribution towards an index to the Bibliography of the Indian philosophical systems,page-wise,no,2077,,,,,
DAŚAK.,DAŚAKUMĀRACARITA (1846),page-wise,no,1843,,,,,
MṚCCH.,MṚCCHAKAṬIKĀ (1846),page-wise,no,1787,,,,,
NĪLAK.,A rational refutation of the Hindu philosophy,page-wise,no,1194,,,,,
"WILSON, Sel. Works (1st ed.)",Selected Works of H.H. Wilson (2 vol.s),page-wise,no,1065,,,,,
