dict,rule,n1_form,n2_git,m_overlap,estimable,links,links_identical,links_true,links_false,links_undetermined,false_match_rate,lcode_stability,false_examples
ben,fold_ed1,463,600,67,1,133,4,80,49,0,0.3798,0.1688,Antara = antar | caritra = cāritra | drā = dru | drā = dā | drā = dṛś
ben,lcode,458,604,20,1,20,,,,,0.8312,0.1688,
ben,anchored,183,600,8,0,8,,21,39,,0.65,0.1688,
bhs,exact,19,275,0,0,0,0,0,0,0,,0.4,
bhs,normalised,19,275,0,0,0,0,0,0,0,,0.4,
bhs,scheme_repair,19,275,0,0,0,0,0,0,0,,0.4,
bhs,fold,19,275,0,0,0,0,0,0,0,,0.4,
bhs,fold_ed1,19,275,2,0,2,0,2,0,0,0.0,0.4,
bhs,lcode,16,275,1,0,1,,,,,0.6,0.4,
bhs,anchored,8,275,0,0,0,,2,0,,0.0,0.4,
bop,exact,30,237,0,0,0,0,0,0,0,,0.0345,
bop,normalised,30,237,0,0,0,0,0,0,0,,0.0345,
bop,scheme_repair,30,237,0,0,0,0,0,0,0,,0.0345,
bop,fold,30,237,0,0,0,0,0,0,0,,0.0345,
bop,fold_ed1,30,237,4,0,4,0,4,0,0,0.0,0.0345,
bop,lcode,29,241,0,0,0,,,,,0.9655,0.0345,
bop,anchored,3,237,0,0,0,,1,1,,0.5,0.0345,
bor,exact,7,243,0,0,0,0,0,0,0,,0.3333,
bor,normalised,7,243,0,0,0,0,0,0,0,,0.3333,
bor,scheme_repair,7,243,0,0,0,0,0,0,0,,0.3333,
bor,fold,7,243,0,0,0,0,0,0,0,,0.3333,
bor,fold_ed1,7,243,0,0,0,0,0,0,0,,0.3333,
bor,lcode,6,249,0,0,0,,,,,0.6667,0.3333,
bor,anchored,2,243,0,0,0,,1,0,,0.0,0.3333,
bur,exact,684,883,23,1,23,23,0,0,0,,0.3383,
bur,normalised,684,883,25,1,25,24,0,1,0,1.0,0.3383,Sac = sac
bur,scheme_repair,684,883,26,1,26,26,0,0,0,,0.3383,
bur,fold,684,883,38,1,41,26,9,6,0,0.4,0.3383,Sac = sac | mārakata = marakata | pad = pād | sa = śa | sad = śad
bur,fold_ed1,684,883,196,1,588,26,248,314,0,0.5587,0.3383,Aha = aham | Aha = cha | Aha = dhā | Aha = raha | Aha = vaha
bur,lcode,686,893,63,1,63,,,,,0.6617,0.3383,
bur,anchored,261,883,33,1,33,,61,20,,0.2469,0.3383,
cae,exact,1271,340,1,0,1,1,0,0,0,,0.0023,
cae,normalised,1271,340,1,0,1,1,0,0,0,,0.0023,
cae,scheme_repair,1271,340,1,0,1,1,0,0,0,,0.0023,
cae,fold,1271,340,10,1,10,1,9,0,0,0.0,0.0023,
cae,fold_ed1,1271,340,65,1,95,1,75,19,0,0.2021,0.0023,A = dā | A = gā | A = ka | A = mā | A = na
cae,lcode,1282,346,11,1,11,,,,,0.9977,0.0023,
cae,anchored,162,340,9,0,9,,2,137,,0.9856,0.0023,
ccs,exact,2202,44,0,0,0,0,0,0,0,,0.0615,
ccs,normalised,2202,44,0,0,0,0,0,0,0,,0.0615,
ccs,scheme_repair,2202,44,0,0,0,0,0,0,0,,0.0615,
ccs,fold,2202,44,1,0,1,0,1,0,0,0.0,0.0615,
ccs,fold_ed1,2202,44,7,0,8,0,7,1,0,0.125,0.0615,i = iṣ
ccs,lcode,2171,45,4,0,4,,,,,0.9385,0.0615,
ccs,anchored,290,44,1,0,1,,110,148,,0.5736,0.0615,
gra,exact,312,235,3,0,3,3,0,0,0,,0.0857,
gra,normalised,312,235,4,0,4,4,0,0,0,,0.0857,
gra,scheme_repair,312,235,4,0,4,4,0,0,0,,0.0857,
gra,fold,312,235,8,0,9,4,2,3,0,0.6,0.0857,anu = aṇu | as = aś | samā = sama
gra,fold_ed1,312,235,66,1,167,4,57,106,0,0.6503,0.0857,Ana = ama | Ana = anya | Ana = aṇu | Ana = kāṇa | Ana = na
gra,lcode,211,238,6,0,6,,,,,0.9143,0.0857,
gra,anchored,131,235,6,0,6,,1,32,,0.9697,0.0857,
gst,exact,7,86,0,0,0,0,0,0,0,,0.0,
gst,normalised,7,86,0,0,0,0,0,0,0,,0.0,
gst,scheme_repair,7,86,0,0,0,0,0,0,0,,0.0,
gst,fold,7,86,0,0,0,0,0,0,0,,0.0,
gst,fold_ed1,7,86,0,0,0,0,0,0,0,,0.0,
gst,lcode,7,86,0,0,0,,,,,1.0,0.0,
gst,anchored,0,86,0,0,0,,0,0,,,0.0,
ieg,exact,43,157,0,0,0,0,0,0,0,,0.0233,
ieg,normalised,43,157,0,0,0,0,0,0,0,,0.0233,
ieg,scheme_repair,43,157,0,0,0,0,0,0,0,,0.0233,
ieg,fold,43,157,0,0,0,0,0,0,0,,0.0233,
ieg,fold_ed1,43,157,1,0,1,0,1,0,0,0.0,0.0233,
ieg,lcode,43,157,4,0,4,,,,,0.9767,0.0233,
ieg,anchored,2,140,0,0,0,,1,0,,0.0,0.0233,
inm,exact,67,43,0,0,0,0,0,0,0,,0.375,
inm,normalised,67,43,0,0,0,0,0,0,0,,0.375,
inm,scheme_repair,67,43,0,0,0,0,0,0,0,,0.375,
inm,fold,67,43,2,0,2,0,2,0,0,0.0,0.375,
inm,fold_ed1,67,43,5,0,6,0,5,1,0,0.1667,0.375,manu = maru
inm,lcode,70,45,2,0,2,,,,,0.625,0.375,
inm,anchored,21,43,2,0,2,,19,0,,0.0,0.375,
krm,exact,9,17,0,0,0,0,0,0,0,,0.1111,
krm,normalised,9,17,0,0,0,0,0,0,0,,0.1111,
krm,scheme_repair,9,17,0,0,0,0,0,0,0,,0.1111,
krm,fold,9,17,0,0,0,0,0,0,0,,0.1111,
krm,fold_ed1,9,17,0,0,0,0,0,0,0,,0.1111,
krm,lcode,9,17,0,0,0,,,,,0.8889,0.1111,
krm,anchored,1,17,0,0,0,,0,0,,,0.1111,
mci,exact,10,56,0,0,0,0,0,0,0,,0.2,
mci,normalised,10,56,0,0,0,0,0,0,0,,0.2,
mci,scheme_repair,10,56,0,0,0,0,0,0,0,,0.2,
mci,fold,10,56,0,0,0,0,0,0,0,,0.2,
mci,fold_ed1,10,56,0,0,0,0,0,0,0,,0.2,
mci,lcode,10,56,1,0,1,,,,,0.8,0.2,
mci,anchored,2,56,0,0,0,,2,0,,0.0,0.2,
md,exact,13,940,0,0,0,0,0,0,0,,0.4167,
md,normalised,13,940,0,0,0,0,0,0,0,,0.4167,
md,scheme_repair,13,940,0,0,0,0,0,0,0,,0.4167,
md,fold,13,940,1,0,1,0,1,0,0,0.0,0.4167,
md,fold_ed1,13,940,3,0,7,0,3,4,0,0.5714,0.4167,udaya = udaka | udaya = upāya | ukta = uktha | ukta = śukta
md,lcode,12,946,0,0,0,,,,,0.5833,0.4167,
md,anchored,6,940,1,0,1,,1,0,,0.0,0.4167,
mw,exact,1243,5580,105,1,105,105,0,0,0,,0.524,
mw,normalised,1243,5580,107,1,107,106,1,0,0,0.0,0.524,
mw,scheme_repair,1243,5580,107,1,107,107,0,0,0,,0.524,
mw,fold,1243,5580,151,1,178,107,29,42,0,0.5915,0.524,Pala = pāla | ap = āp | avalokita = avalokitā | ayana = āyāna | aś = as
mw,fold_ed1,1243,5580,484,1,2528,107,632,1788,1,0.7388,0.524,Adya = atya | Adya = madya | Adya = ādeya | Adya = āpya | Adya = ārya
mw,lcode,1330,6101,96,1,96,,,,,0.476,0.524,
mw,anchored,655,5571,114,1,114,,88,32,,0.2667,0.524,
mw72,exact,113,72,0,0,0,0,0,0,0,,0.0455,
mw72,normalised,113,72,0,0,0,0,0,0,0,,0.0455,
mw72,scheme_repair,113,72,0,0,0,0,0,0,0,,0.0455,
mw72,fold,113,72,0,0,0,0,0,0,0,,0.0455,
mw72,fold_ed1,113,72,3,0,3,0,0,3,0,1.0,0.0455,Pattra = attra | rasa = rāś | ṛddha = iddha
mw72,lcode,109,73,0,0,0,,,,,0.9545,0.0455,
mw72,anchored,20,72,0,0,0,,1,3,,0.75,0.0455,
mwe,exact,55,79,0,0,0,0,0,0,0,,0.5556,
mwe,normalised,55,79,1,0,1,1,0,0,0,,0.5556,
mwe,scheme_repair,55,79,1,0,1,1,0,0,0,,0.5556,
mwe,fold,55,79,1,0,1,1,0,0,0,,0.5556,
mwe,fold_ed1,55,79,3,0,4,1,1,2,0,0.6667,0.5556,Tear = dear | cat = cut
mwe,lcode,53,78,1,0,1,,,,,0.4444,0.5556,
mwe,anchored,34,78,1,0,1,,0,1,,1.0,0.5556,
pe,exact,37,29,0,0,0,0,0,0,0,,0.3243,
pe,normalised,37,29,0,0,0,0,0,0,0,,0.3243,
pe,scheme_repair,37,29,1,0,1,1,0,0,0,,0.3243,
pe,fold,37,29,1,0,1,1,0,0,0,,0.3243,
pe,fold_ed1,37,29,2,0,2,1,0,1,0,1.0,0.3243,indra = india
pe,lcode,37,30,1,0,1,,,,,0.6757,0.3243,
pe,anchored,12,29,1,0,1,,9,0,,0.0,0.3243,
pui,exact,557,204,0,0,0,0,0,0,0,,0.381,
pui,normalised,557,204,0,0,0,0,0,0,0,,0.381,
pui,scheme_repair,557,204,0,0,0,0,0,0,0,,0.381,
pui,fold,557,204,2,0,2,0,2,0,0,0.0,0.381,
pui,fold_ed1,557,204,10,1,14,0,14,0,0,0.0,0.381,
pui,lcode,629,232,5,0,5,,,,,0.619,0.381,
pui,anchored,196,203,1,0,1,,211,4,,0.0186,0.381,
pw,exact,9702,1369,169,1,169,169,0,0,0,,0.5394,
pw,normalised,9702,1369,171,1,174,171,1,2,0,0.6667,0.5394,Adya = adya | Ayukta = ayukta
pw,scheme_repair,9702,1369,172,1,173,173,0,0,0,,0.5394,
pw,fold,9702,1369,233,1,258,173,67,18,0,0.2118,0.5394,Adya = adya | Ayukta = ayukta | karṣ = karś | kālinda = kalinda | prāvāra = pravara
pw,fold_ed1,9702,1369,575,1,2265,173,817,1275,0,0.6095,0.5394,Adeya = adya | Adya = adya | Adya = madya | Agnika = āhnika | Ama = ima
pw,lcode,9788,1377,345,1,345,,,,,0.4606,0.5394,
pw,anchored,4943,1368,206,1,206,,1315,201,,0.1326,0.5394,
pwg,exact,148,1918,1,0,1,1,0,0,0,,0.2671,
pwg,normalised,148,1918,1,0,1,1,0,0,0,,0.2671,
pwg,scheme_repair,148,1918,1,0,1,1,0,0,0,,0.2671,
pwg,fold,148,1918,1,0,1,1,0,0,0,,0.2671,
pwg,fold_ed1,148,1918,14,1,47,1,12,34,0,0.7391,0.2671,bhā = bhaj | bhā = bhaṇ | bhā = hā | bhā = ibha | bhā = āha
pwg,lcode,148,1934,3,0,3,,,,,0.7329,0.2671,
pwg,anchored,38,1918,1,0,1,,17,1,,0.0556,0.2671,
sch,exact,73,405,0,0,0,0,0,0,0,,0.3014,
sch,normalised,73,405,0,0,0,0,0,0,0,,0.3014,
sch,scheme_repair,73,405,0,0,0,0,0,0,0,,0.3014,
sch,fold,73,405,0,0,0,0,0,0,0,,0.3014,
sch,fold_ed1,73,405,1,0,1,0,1,0,0,0.0,0.3014,
sch,lcode,72,405,1,0,1,,,,,0.6986,0.3014,
sch,anchored,21,405,0,0,0,,16,0,,0.0,0.3014,
shs,exact,160,430,0,0,0,0,0,0,0,,0.0377,
shs,normalised,160,430,0,0,0,0,0,0,0,,0.0377,
shs,scheme_repair,160,430,0,0,0,0,0,0,0,,0.0377,
shs,fold,160,430,0,0,0,0,0,0,0,,0.0377,
shs,fold_ed1,160,430,5,0,5,0,3,2,0,0.4,0.0377,para = pāta | parihāryya = paricaryyā
shs,lcode,159,430,2,0,2,,,,,0.9623,0.0377,
shs,anchored,8,430,0,0,0,,4,1,,0.2,0.0377,
skd,exact,323,126,0,0,0,0,0,0,0,,0.0321,
skd,normalised,323,126,0,0,0,0,0,0,0,,0.0321,
skd,scheme_repair,323,126,0,0,0,0,0,0,0,,0.0321,
skd,fold,323,126,1,0,1,0,1,0,0,0.0,0.0321,
skd,fold_ed1,323,126,8,0,9,0,8,1,0,0.1111,0.0321,yati = jaṭī
skd,lcode,283,131,1,0,1,,,,,0.9679,0.0321,
skd,anchored,27,126,1,0,1,,1,10,,0.9091,0.0321,
stc,exact,76,160,5,0,5,5,0,0,0,,0.6545,
stc,normalised,76,160,5,0,5,5,0,0,0,,0.6545,
stc,scheme_repair,76,160,5,0,5,5,0,0,0,,0.6545,
stc,fold,76,160,5,0,6,5,1,0,0,0.0,0.6545,
stc,fold_ed1,76,160,15,1,21,5,2,14,0,0.875,0.6545,bhūti = bhūta | kadā = kad | kadā = kāya | kārya = kāya | mahā = dāha
stc,lcode,76,161,2,0,2,,,,,0.3455,0.6545,
stc,anchored,60,160,5,0,5,,13,1,,0.0714,0.6545,
vcp,exact,389,237,0,0,0,0,0,0,0,,0.0505,
vcp,normalised,389,237,0,0,0,0,0,0,0,,0.0505,
vcp,scheme_repair,389,237,0,0,0,0,0,0,0,,0.0505,
vcp,fold,389,237,0,0,0,0,0,0,0,,0.0505,
vcp,fold_ed1,389,237,6,0,8,0,6,2,0,0.25,0.0505,rāma = kama | ārāma = avama
vcp,lcode,318,238,1,0,1,,,,,0.9495,0.0505,
vcp,anchored,60,237,0,0,0,,2,13,,0.8667,0.0505,
vei,exact,40,89,0,0,0,0,0,0,0,,0.3333,
vei,normalised,40,89,0,0,0,0,0,0,0,,0.3333,
vei,scheme_repair,40,89,0,0,0,0,0,0,0,,0.3333,
vei,fold,40,89,1,0,1,0,1,0,0,0.0,0.3333,
vei,fold_ed1,40,89,5,0,5,0,4,1,0,0.2,0.3333,menā = manā
vei,lcode,40,90,3,0,3,,,,,0.6667,0.3333,
vei,anchored,15,89,1,0,1,,8,0,,0.0,0.3333,
wil,exact,1128,63,0,0,0,0,0,0,0,,0.016,
wil,normalised,1128,63,0,0,0,0,0,0,0,,0.016,
wil,scheme_repair,1128,63,0,0,0,0,0,0,0,,0.016,
wil,fold,1128,63,0,0,0,0,0,0,0,,0.016,
wil,fold_ed1,1128,63,2,0,2,0,2,0,0,0.0,0.016,
wil,lcode,1119,63,7,0,7,,,,,0.984,0.016,
wil,anchored,71,63,0,0,0,,11,36,,0.766,0.016,
yat,exact,207,250,0,0,0,0,0,0,0,,0.0193,
yat,normalised,207,250,0,0,0,0,0,0,0,,0.0193,
yat,scheme_repair,207,250,0,0,0,0,0,0,0,,0.0193,
yat,fold,207,250,0,0,0,0,0,0,0,,0.0193,
yat,fold_ed1,207,250,1,0,1,0,1,0,0,0.0,0.0193,
yat,lcode,206,250,5,0,5,,,,,0.9807,0.0193,
yat,anchored,6,250,0,0,0,,4,2,,0.3333,0.0193,
