control,dict,cv,kbar,n_true,gamma_analytic,gamma_emp,median,p25,p75,rel_bias,bias_predicted,coverage,envelope_recovery,n_reps,passes,family,cv_realised,gamma_identity,implied_n1,implied_n2,observed_n1,observed_n2,gamma_sequential,gamma_heterogeneity,gamma_naive_product,product_error
B heterogeneous detectability,pw,0.75,,67852,1.5218854292322905,1.5194352545449175,44545.213681853245,43025.3737704918,46032.128919860625,-0.343494463216217,-0.3429203139789266,0.0,-0.003945145892248925,400,1,gamma-clipped,0.7224163821732522,1.5218854292322903,,,,,,,,
B heterogeneous detectability,pw,1.0,,67852,2.0,1.999384783844407,33876.94818430301,32960.54814814815,34674.86910994764,-0.5007229236529063,-0.5,0.0,-0.002528026374603809,400,1,two-point,1.0,2.0,,,,,,,,
B heterogeneous detectability,pw,1.0,,67852,1.8122642172386079,1.8120785144319136,37371.26077210461,36222.49582172702,38494.3063583815,-0.44922388769521004,-0.44820408057069905,0.0,-0.0027448462588791633,400,1,gamma-clipped,0.9012570206320768,1.8122642172386079,,,,,,,,
B heterogeneous detectability,mw,0.0,,60997,1.0,1.003412303042217,60390.36731782265,57456.55633802817,63821.11023622047,-0.009945287180965434,-0.0,0.935,-0.007517934137276083,400,1,two-point,0.0,1.0,,,,,,,,
B heterogeneous detectability,mw,0.25,,60997,1.0625,1.0575544507298793,57310.57352941176,54483.34899328859,60356.76119402985,-0.06043619310110726,-0.058823529411764705,0.82,-0.005318247833837275,400,1,two-point,0.25,1.0625,,,,,,,,
B heterogeneous detectability,mw,0.25,,60997,1.0624999999982334,1.0575544507298793,57310.57352941176,54483.34899328859,60356.76119402985,-0.06043619310110726,-0.05882352941019984,0.82,-0.005318247835491174,400,1,gamma-clipped,0.2499999999964669,1.0624999999982334,,,,,,,,
B heterogeneous detectability,mw,0.5,,60997,1.25,1.2505670451671484,48513.891684136965,46526.44910179641,51107.425,-0.20465118474454536,-0.2,0.1225,-0.006023207540722497,400,1,two-point,0.5,1.25,,,,,,,,
B heterogeneous detectability,mw,0.5,,60997,1.2491534680297576,1.2476477704008015,48639.55757575757,46631.155688622755,51199.0641025641,-0.20259098683939258,-0.1994578523828124,0.13,-0.006696365149323813,400,1,gamma-clipped,0.49915275019752964,1.2491534680297574,,,,,,,,
B heterogeneous detectability,mw,0.75,,60997,1.5625,1.554818613437535,39074.002603067405,37546.43636363636,40702.72727272727,-0.35941107590426735,-0.36,0.0,-0.0036222578143740858,400,1,two-point,0.75,1.5625,,,,,,,,
B heterogeneous detectability,mw,0.75,,60997,1.5218854292322905,1.5196008333480866,39975.42365759515,38341.34449760766,41568.5,-0.3446329547749045,-0.3429203139789266,0.0,-0.00549971265357474,400,1,gamma-clipped,0.7224163821732522,1.5218854292322903,,,,,,,,
B heterogeneous detectability,mw,1.0,,60997,2.0,2.007385257641258,30299.043265813787,29450.2,31521.678571428572,-0.5032699433445287,-0.5,0.0,-0.0037726569293077272,400,1,two-point,1.0,2.0,,,,,,,,
B heterogeneous detectability,mw,1.0,,60997,1.8122642172386079,1.8211370651446224,33384.719437939115,32215.105882352942,34967.98319327731,-0.45268260016166184,-0.44820408057069905,0.0,-0.0032537435197866893,400,1,gamma-clipped,0.9012570206320768,1.8122642172386079,,,,,,,,
B heterogeneous detectability,cae,0.0,,40069,1.0,0.9891096322905096,38144.26470588235,33028.21052631579,44553.4,-0.048035521079079824,-0.0,0.9075,-0.03216326836207539,400,1,two-point,0.0,1.0,,,,,,,,
B heterogeneous detectability,cae,0.25,,40069,1.0624999999999998,1.025492704145618,36808.654411764706,31834.7,42534.230769230766,-0.08136827942387614,-0.05882352941176451,0.9025,-0.032163268362075614,400,1,two-point,0.25,1.0625,,,,,,,,
B heterogeneous detectability,cae,0.25,,40069,1.0624999999982334,1.025492704145618,36808.654411764706,31834.7,42534.230769230766,-0.08136827942387614,-0.05882352941019984,0.9025,-0.03216326836368466,400,1,gamma-clipped,0.2499999999964669,1.0624999999982334,,,,,,,,
B heterogeneous detectability,cae,0.5,,40069,1.25,1.2197566303671719,31281.992481203008,26546.75,35755.75,-0.21929690081601716,-0.2,0.63,-0.03216326836207539,400,1,two-point,0.5,1.25,,,,,,,,
B heterogeneous detectability,cae,0.5,,40069,1.2491534680297574,1.2197566303671719,31281.992481203008,26546.75,35828.47368421053,-0.21929690081601716,-0.19945785238281227,0.63,-0.03281872905180516,400,1,gamma-clipped,0.49915275019752964,1.2491534680297574,,,,,,,,
B heterogeneous detectability,cae,0.75,,40069,1.5624999999999998,1.5540560445735132,24875.265185185184,21674.0,29158.636363636364,-0.3791892688815497,-0.35999999999999993,0.2775,-0.032163268362075614,400,1,two-point,0.75,1.5625,,,,,,,,
B heterogeneous detectability,cae,0.75,,40069,1.5218854292322903,1.5297956674378692,25245.04,22675.16,29143.7,-0.3699608175896578,-0.34292031397892647,0.2775,-0.018041889367262143,400,1,gamma-clipped,0.7224163821732522,1.5218854292322903,,,,,,,,
B heterogeneous detectability,cae,1.0,,40069,2.0,1.9726996949967277,19733.4632034632,17809.0,22223.03448275862,-0.5075129600573212,-0.5,0.0125,-0.03216326836207539,400,1,two-point,1.0,2.0,,,,,,,,
B heterogeneous detectability,cae,1.0,,40069,1.8122642172386076,1.8145664337738396,21435.933333333334,19142.6875,24458.64285714286,-0.46502449940519264,-0.448204080570699,0.0625,-0.03228917462501657,400,1,gamma-clipped,0.9012570206320768,1.8122642172386079,,,,,,,,
