rank	ls_code	title	citation_count	dict_citations	ru_subset_refs	ru_subset_scan_hits	total_pages	scan_dir	scan_url	scan_wired	index_issue_url	public_link	citations_per_page	already_queued
45	MBh. (Bomb.)	MBh. (Bomb. ed.) 1864 vol. iv			5	5	837	mbhbomb	https://github.com/sanskrit-lexicon-scans/mbhbomb	yes	https://github.com/sanskrit-lexicon/PWK/issues/84			
46	R. (Bomb.)	RĀMĀYAṆA (Bomb. ed.) 1859 vol. iii			2970	2969	818	ramayanabom	https://github.com/sanskrit-lexicon-scans/ramayanabom	yes	https://github.com/sanskrit-lexicon/PWG/issues/75			assessed and REJECTED by H1705 (27-07-2026): the Bombay uttarakāṇḍa has 111 sargas + 13 interpolated against the corpus's 100, and the corpus file is 2,690 sa / 0 ru critical-edition text — a Bombay concordance would have no consumer. Do not re-derive.
47	R. (Bomb.)	RĀMĀYAṆA (Bomb. ed.) 1859 vol. ii			2970	2969	751	ramayanabom	https://github.com/sanskrit-lexicon-scans/ramayanabom	yes	https://github.com/sanskrit-lexicon/PWG/issues/75			assessed and REJECTED by H1705 (27-07-2026): the Bombay uttarakāṇḍa has 111 sargas + 13 interpolated against the corpus's 100, and the corpus file is 2,690 sa / 0 ru critical-edition text — a Bombay concordance would have no consumer. Do not re-derive.
48	MBh. (Bomb.)	MBh. (Bomb. ed.) 1864 vol. vi			5	5	705	mbhbomb	https://github.com/sanskrit-lexicon-scans/mbhbomb	yes	https://github.com/sanskrit-lexicon/PWK/issues/84			
49	R. (Bomb.)	RĀMĀYAṆA (Bomb. ed.) 1859 vol. i			2970	2969	702	ramayanabom	https://github.com/sanskrit-lexicon-scans/ramayanabom	yes	https://github.com/sanskrit-lexicon/PWG/issues/75			assessed and REJECTED by H1705 (27-07-2026): the Bombay uttarakāṇḍa has 111 sargas + 13 interpolated against the corpus's 100, and the corpus file is 2,690 sa / 0 ru critical-edition text — a Bombay concordance would have no consumer. Do not re-derive.
50	AK. Colebrooke ed.	AMARAKOṢA 1808 Colebrooke ed.					680	amara_col	https://github.com/sanskrit-lexicon-scans/amara_col	mis-keyed	https://github.com/sanskrit-lexicon/PWG/issues/62			
51	MBh. (Bomb.)	MBh. (Bomb. ed.) 1864 vol. i			5	5	679	mbhbomb	https://github.com/sanskrit-lexicon-scans/mbhbomb	yes	https://github.com/sanskrit-lexicon/PWK/issues/84			
52	RAGH. (Calc. ed.)	RAGHUVAM̃SA 1832 Calc. ed.			566	566	655	raghuvamsacalc	https://github.com/sanskrit-lexicon-scans/raghuvamsacalc	yes	https://github.com/sanskrit-lexicon/PWG/issues/109			
53	MBh. (Bomb.)	MBh. (Bomb. ed.) 1864 vol. ii			5	5	643	mbhbomb	https://github.com/sanskrit-lexicon-scans/mbhbomb	yes	https://github.com/sanskrit-lexicon/PWK/issues/84			
54	Spr. vol.3 (1st ed.)	Indische Sprüche V.3					420	boesp1	https://github.com/sanskrit-lexicon-scans/boesp1	yes	https://github.com/sanskrit-lexicon/PWG/issues/87			
55	Spr. vol.2 (1st ed.)	Indische Sprüche V.2					377	boesp1	https://github.com/sanskrit-lexicon-scans/boesp1	yes	https://github.com/sanskrit-lexicon/PWG/issues/87			
