sheet_row_no	ls_code	ls_code_raw	in_pwgbib	status	tracker_value	source_key	source_match	source_value	citation_count_safe	provenance	delta	confidence	canonical_value	canonical_denominator	drift_since_source	evidence
26	R. (Bomb.)	R. (Bomb.) vol.3	R.	done		R.	verbatim	37762		inherited-family		certain	39395	799500	1633	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
27	PAÑCAT.	PAÑCAT.	PAÑCAT.	done	8170	PAÑCAT.	verbatim	8170	8170	exact	0	certain	9141	799500	971	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
28	VS.	★VS.	VS.	done	6078	VS.	verbatim	6078	6078	exact	0	certain	6982	799500	904	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
29	TS.	★TS. (2 vol.s)	TS.	done	5387	TS.	verbatim	5387	5387	exact	0	certain	6258	799500	871	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
30	RAGH. (Calc. ed.)	RAGH. (Calc. ed.)	RAGH.	done		RAGH.	verbatim	8752		inherited-family		certain	9742	799500	990	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
31	RĀJA-TAR.	RĀJA-TAR.	RĀJA-TAR.	done	7784	RĀJA-TAR.	verbatim	7784	7784	exact	0	certain	10308	799500	2524	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
32	BHAṬṬ.	BHAṬṬ. (2 vol.s)	BHAṬṬ.	done	2561	BHAṬṬ.	verbatim	2561	2561	exact	0	certain	2783	799500	222	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
33	KĀTY. ŚR.	★KĀTY. ŚR.	KĀTY. ŚR.	done	6734	KĀTY. ŚR.	verbatim	6734	6734	exact	0	certain	8667	799500	1933	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
34	TBR.	★TBR. (3 vol.s)	TBR.	done	2929	TBR.	verbatim	2929	2929	exact	0	certain	3338	799500	409	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
35	KUMĀRAS.	KUMĀRAS.	KUMĀRAS.	done	2510	KUMĀRAS.	verbatim	2510	2510	exact	0	certain	2697	799500	187	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
36	MĀLAV.	MĀLAV.	MĀLAV.	done	1076	MĀLAV.	verbatim	1076	1076	exact	0	certain	1167	799500	91	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
37	MEGH.	MEGH.	MEGH.	done	2020	MEGH.	verbatim	2020	2020	exact	0	certain	2363	799500	343	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
38	ŚṚṄGĀRAT.	ŚṚṄGĀRAT.	ŚṚṄGĀRAT.	done	101	ŚṚṄGĀRAT.	verbatim	101	101	exact	0	certain	111	799500	10	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
39	BHARTṚ.	BHARTṚ.	BHARTṚ.	done	1282	BHARTṚ.	verbatim	1282	1282	exact	0	certain	1328	799500	46	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
40	CAURAP.	CAURAP.	CAURAP.	done	405	CAURAP.	verbatim	405	405	exact	0	certain	423	799500	18	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
41	MBh. (Bomb.)	MBh. (Bomb.) vol.1	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
42	MBh. (Bomb.)	MBh. (Bomb.) vol.2	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
43	MBh. (Bomb.)	MBh. (Bomb.) vol.3	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
44	MBh. (Bomb.)	MBh. (Bomb.) vol.4	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
45	MBh. (Bomb.)	MBh. (Bomb.) vol.5	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
46	MBh. (Bomb.)	MBh. (Bomb.) vol.6	MBH.	done		MBH.	verbatim	67138		inherited-family		certain	67253	799500	115	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
47	HIT.	HIT.	HIT.	done	3364	HIT.	verbatim	3364	3364	exact	0	certain	3891	799500	527	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
48	AK. Deslongchamps ed.	AK. Deslongchamps ed. (2 vol.s)	AK.	done	16151	AK.	verbatim	16151	16151	exact	0	certain	16166	799500	15	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
49	GĪT.	GĪT.	GĪT.	done	1140	GĪT.	verbatim	1140	1140	exact	0	certain	1219	799500	79	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
50	AK. Colebrooke ed.	AK. Colebrooke ed.	AK.	done		AK.	verbatim	16151		inherited-family		certain	16166	799500	15	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
51	PAÑCAR.	PAÑCAR.	PAÑCAR.	done	2221	PAÑCAR.	verbatim	2221	2221	exact	0	certain	2755	799500	534	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
52	VIKR.	VIKR.	VIKR.	done	1560	VIKR.	verbatim	1560	1560	exact	0	certain	1661	799500	101	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
53	AIT. BR.	★AIT. BR. (2 vol.s)	AIT. BR.	done	4545	AIT. BR.	verbatim	4545	4545	exact	0	certain	5217	799500	672	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
54	NIR.	★NIR.	NIR.	done	3166	NIR.	verbatim	3166	3166	exact	0	certain	3712	799500	546	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
55	NAIGH.	★NAIGH.	NAIGH.	done	1477	NAIGH.	verbatim	1417	1417	near-miss	60	probable	1456	799500	39	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
56	ṚV. PRĀT.	★ṚV. PRĀT. (2 vol.s)	ṚV. PRĀT.	done	1755	ṚV. PRĀT.	verbatim	1755	1755	exact	0	certain	1780	799500	25	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
58	ŚĀṄKH. ŚR.	★ŚĀṄKH. ŚR. (4 vol.s)	ŚĀṄKH. ŚR.	on-going	2095	ŚĀṄKH. ŚR.	verbatim	2095	2095	exact	0	certain	2728	799500	633	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
59	VS. PRĀT.	★VS. PRĀT.	VS. PRĀT.	on-going	1047	VS. PRĀT.	verbatim	1047	1047	exact	0	certain	1058	799500	11	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
60	DHĀTUP.	DHĀTUP.	DHĀTUP.	on-going	2756	DHĀTUP.	verbatim	2756	2756	exact	0	certain	2760	799500	4	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
61	ĀŚV. ŚR.	★ĀŚV. ŚR.	ĀŚV. ŚR.	to-do	1835	ĀŚV. ŚR.	verbatim	1835	1835	exact	0	certain	2295	799500	460	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
62	PAÑCAV. BR.	★PAÑCAV. BR. (2 vol.s)	PAÑCAV. BR.	to-do	1729	PAÑCAV. BR.	verbatim	1729	1729	exact	0	certain	2242	799500	513	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
63	CHĀND. UP.	★CHĀND. UP.	CHĀND. UP.	to-do	1696	CHĀND. UP.	verbatim	1696	1696	exact	0	certain	1879	799500	183	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
64	VYUTP.	VYUTP.	VYUTP.	to-do	1670	VYUTP.	verbatim	1670	1670	exact	0	certain	1741	799500	71	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
68	ĀŚV. GṚHY.	★ĀŚV. GṚHY.	ĀŚV. GṚHY.	to-do	1453	ĀŚV. GṚHY.	verbatim	1453	1453	exact	0	certain	1742	799500	289	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
69	KĀṬH.	★KĀṬH.	KĀṬH.	to-do	1316	KĀṬH.	verbatim	1316	1316	exact	0	certain	1529	799500	213	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
70	ŚIŚ.	ŚIŚ.	ŚIŚ.	to-do	1299	ŚIŚ.	verbatim	1299	1299	exact	0	certain	1353	799500	54	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
71	RĀJAN.	RĀJAN.	RĀJAN.	nr-indirect	6783	RĀJAN.	verbatim	6783	6783	exact	0	certain	6792	799500	9	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
72	ŚABDAR.	ŚABDAR.	ŚABDAR.	nr-indirect	3128	ŚABDAR.	verbatim	3128	3128	exact	0	certain	3128	799500	0	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
73	Ind. St.	Ind. St. (18 vol.s)	Ind. St.	page-wise	6347	Ind. St.	verbatim	6347	6347	exact	0	certain	7686	799500	1339	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
74	SUŚR.	SUŚR. (2 vol.s)	SUŚR.	page-wise	12442	SUŚR.	verbatim	12442	12442	exact	0	certain	20305	799500	7863	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
75	Verz. d. B. H.	Verz. d. B. H.	Verz. d. B. H.	page-wise	3884	Verz. d. B. H.	verbatim	3884	3884	exact	0	certain	4675	799500	791	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
76	VP.	VP.	VP.	page-wise	3697	VP.	verbatim	3697	3697	exact	0	certain	4128	799500	431	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
77	PRAB.	PRAB.	PRAB.	page-wise	2659	PRAB.	verbatim	2659	2659	exact	0	certain	2834	799500	175	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
78	SARVADARŚANAS.	SARVADARŚANAS.	SARVADARŚANAS.	page-wise	2616	SARVADARŚANAS.	verbatim	2616	2616	exact	0	certain	4171	799500	1555	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
79	COLEBR. Misc. Ess. (1st ed.)	COLEBR. Misc. Ess. (1st ed.)	COLEBR. Misc. Ess.	page-wise	2334	COLEBR. Misc. Ess.	verbatim	2334	2334	exact	0	certain	2773	799500	439	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
80	COLEBR. Misc. Ess. (2nd ed.)	COLEBR. Misc. Ess. (2nd ed.)	COLEBR. Misc. Ess.	page-wise		COLEBR. Misc. Ess.	verbatim	2334		inherited-family		certain	2773	799500	439	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
81	HALL	HALL	HALL	page-wise	2077	HALL	verbatim	2077	2077	exact	0	certain	2541	799500	464	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
82	DAŚAK.	DAŚAK.	DAŚAK.	page-wise	1843	DAŚAK.	verbatim	1843	1843	exact	0	certain	1905	799500	62	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
83	MṚCCH.	MṚCCH.	MṚCCH.	page-wise	1787	MṚCCH.	verbatim	1787	1787	exact	0	certain	1996	799500	209	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
84	NĪLAK.	NĪLAK.	NĪLAK.	page-wise	1194	NĪLAK.	verbatim	1194	1194	exact	0	certain	1269	799500	75	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
85	WILSON, Sel. Works (1st ed.)	WILSON, Sel. Works (1st ed.)	WILSON, Sel. Works	page-wise	1065	WILSON, Sel. Works	verbatim	1065	1065	exact	0	certain	1428	799500	363	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
86	WILSON, Sel. Works (2nd ed.)	WILSON, Sel. Works (2nd ed.)	WILSON, Sel. Works	page-wise		WILSON, Sel. Works	verbatim	1065		inherited-family		certain	1428	799500	363	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
