,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
GRA,0.4930,0.3085,0.4839,0.3560,0.3091,0.4903,0.5105,0.5177,0.3038,0.2241,0.3836,0.5142,0.5226,0.5818,0.2358,0.4647,0.5994,0.0000,0.4466,0.5202,0.5609,0.2456,0.4579,0.7631,0.3475,0.2731,0.5581,0.4131,0.5214,0.5059,0.6275,0.4984
PW,0.4909,0.4622,0.4672,0.3666,0.5126,0.4559,0.5954,0.2459,0.2730,0.4702,0.4152,0.6100,0.5506,0.3764,0.4672,0.3952,0.1456,0.4466,0.0000,0.2467,0.0909,0.4705,0.4588,0.6128,0.2597,0.3088,0.3356,0.4972,0.5027,0.4407,0.4426,0.3510
CCS,0.3676,0.3568,0.4114,0.2588,0.3938,0.3585,0.5582,0.1483,0.2426,0.5070,0.3272,0.5372,0.4243,0.3330,0.3801,0.3065,0.2126,0.5202,0.2467,0.0000,0.1799,0.4059,0.3259,0.5169,0.2937,0.4414,0.3938,0.4830,0.4821,0.3392,0.3848,0.2900
SCH,0.4800,0.4083,0.4992,0.3485,0.4839,0.3879,0.6304,0.2542,0.2813,0.5409,0.4365,0.5853,0.5152,0.2258,0.4912,0.3127,0.1721,0.5609,0.0909,0.1799,0.0000,0.5257,0.4251,0.5553,0.3636,0.4080,0.3415,0.5916,0.5791,0.3248,0.4085,0.3161
BOP,0.2403,0.3716,0.2105,0.2804,0.1363,0.4898,0.4719,0.4403,0.2626,0.2654,0.2037,0.3025,0.6590,0.6124,0.1367,0.5350,0.4871,0.2456,0.4705,0.4059,0.5257,0.0000,0.3909,0.6915,0.2397,0.3070,0.4786,0.4531,0.3044,0.4838,0.5061,0.3892
VCP,0.3202,0.2897,0.3478,0.4896,0.3901,0.4173,0.4969,0.3335,0.2133,0.5550,0.3321,0.4974,0.4625,0.3047,0.3171,0.4438,0.5108,0.4579,0.4588,0.3259,0.4251,0.3909,0.0000,0.3018,0.2725,0.5027,0.3524,0.7270,0.5739,0.2672,0.1297,0.3992
SKD,0.5265,0.5443,0.6097,0.6870,0.6320,0.5161,0.6529,0.5256,0.5054,0.7714,0.5866,0.6252,0.4625,0.3047,0.6216,0.5549,0.6588,0.7631,0.6128,0.5169,0.5553,0.6915,0.3018,0.0000,0.5648,0.7190,0.3860,0.8391,0.6008,0.4118,0.1981,0.5875
INM,0.2805,0.3113,0.2312,0.3782,0.3106,0.3764,0.4567,0.2928,0.1558,0.3479,0.2104,0.5333,0.5142,0.4673,0.2391,0.4484,0.3484,0.3475,0.2597,0.2937,0.3636,0.2397,0.2725,0.5648,0.0000,0.3122,0.2858,0.5665,0.4419,0.3340,0.3407,0.1613
VEI,0.4738,0.5334,0.4971,0.2847,0.2827,0.6556,0.6163,0.3926,0.3092,0.3937,0.4324,0.5241,0.6345,0.6891,0.3008,0.4935,0.4575,0.2731,0.3088,0.4414,0.4080,0.3070,0.5027,0.7190,0.3122,0.0000,0.4440,0.4638,0.4373,0.5277,0.5673,0.3687
PUI,0.5217,0.3556,0.3739,0.5887,0.5076,0.5082,0.7505,0.4337,0.3478,0.5759,0.4892,0.6868,0.3258,0.4708,0.4688,0.3905,0.4109,0.5581,0.3356,0.3938,0.3415,0.4786,0.3524,0.3860,0.2858,0.4440,0.0000,0.7269,0.5770,0.4149,0.2837,0.2261
BHS,0.5436,0.6685,0.5909,0.3335,0.5629,0.5000,0.4831,0.5263,0.5755,0.4118,0.5034,0.5266,0.5384,0.6526,0.5305,0.5300,0.5200,0.4131,0.4972,0.4830,0.5916,0.4531,0.7270,0.8391,0.5665,0.4638,0.7269,0.0000,0.4579,0.6454,0.7440,0.5857
FRI,0.3890,0.6569,0.4188,0.3948,0.4115,0.5338,0.5972,0.3979,0.4779,0.5385,0.3387,0.4347,0.6907,0.7051,0.3490,0.6395,0.5331,0.5214,0.5027,0.4821,0.5791,0.3044,0.5739,0.6008,0.4419,0.4373,0.5770,0.4579,0.0000,0.6731,0.4508,0.5946
ACC,0.3753,0.2497,0.5238,0.4750,0.4588,0.2790,0.4471,0.3751,0.1866,0.5611,0.3741,0.5771,0.3412,0.1244,0.4393,0.2226,0.5651,0.5059,0.4407,0.3392,0.3248,0.4838,0.2672,0.4118,0.3340,0.5277,0.4149,0.6454,0.6731,0.0000,0.3454,0.3408
KRM,0.4880,0.4467,0.4121,0.5840,0.5381,0.4240,0.6247,0.3954,0.3469,0.7206,0.5163,0.6172,0.3396,0.2955,0.4967,0.4592,0.4879,0.6275,0.4426,0.3848,0.4085,0.5061,0.1297,0.1981,0.3407,0.5673,0.2837,0.7440,0.4508,0.3454,0.0000,0.3939
MCI,0.3707,0.3290,0.3534,0.4886,0.4529,0.4610,0.6099,0.4272,0.2644,0.4728,0.3695,0.6116,0.3710,0.4876,0.4327,0.3570,0.3913,0.4984,0.3510,0.2900,0.3161,0.3892,0.3992,0.5875,0.1613,0.3687,0.2261,0.5857,0.5946,0.3408,0.3939,0.0000
