,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
SHS,0.2159,0.5107,0.3974,0.5887,0.5141,0.6713,0.5164,0.5650,0.2808,0.6863,0.0000,0.5159,0.8522,0.7401,0.4419,0.6823,0.7799,0.6654,0.6432,0.5740,0.6709,0.4147,0.5950,0.7592,0.3783,0.6772,0.7202,0.6220,0.4976,0.5771,0.7332,0.5743
AP,0.4950,0.7688,0.3636,0.6476,0.3987,0.8342,0.3703,0.7813,0.6806,0.6110,0.5159,0.0000,0.8414,0.6834,0.5820,0.8312,0.7199,0.7350,0.7770,0.7677,0.7642,0.4567,0.6925,0.7168,0.7601,0.6481,0.7873,0.6553,0.5849,0.8062,0.8056,0.8316
BOR,0.8552,0.5947,0.7066,0.8155,0.9074,0.5517,0.7297,0.7005,0.7050,0.8426,0.8522,0.8414,0.0000,0.6209,0.8979,0.6053,0.7320,0.6682,0.7559,0.6163,0.7311,0.8590,0.7109,0.7109,0.7567,0.7285,0.5248,0.5413,0.8784,0.5639,0.6099,0.5838
AE,0.7463,0.5744,0.7686,0.8101,0.8182,0.4735,0.4686,0.7440,0.5512,0.9164,0.7401,0.6834,0.6209,0.0000,0.8403,0.5866,0.7246,0.8510,0.5772,0.6086,0.4027,0.8734,0.4973,0.4973,0.7519,0.8694,0.6970,0.8151,0.9299,0.1736,0.4809,0.7262
BUR,0.6009,0.6094,0.6680,0.3885,0.2983,0.7602,0.7416,0.6386,0.4222,0.5137,0.4419,0.5820,0.8979,0.8403,0.0000,0.7632,0.6823,0.4677,0.7362,0.6796,0.7690,0.3031,0.6471,0.7992,0.4857,0.4701,0.7641,0.7051,0.5723,0.6882,0.7868,0.6880
STC,0.7325,0.3041,0.8213,0.6519,0.7312,0.5919,0.7600,0.5949,0.5531,0.6196,0.6823,0.8312,0.6053,0.5866,0.7632,0.0000,0.7223,0.6269,0.6207,0.5205,0.5237,0.7845,0.6600,0.7478,0.6979,0.7059,0.5966,0.6643,0.7898,0.4744,0.6618,0.5282
PWG,0.7432,0.8302,0.6128,0.6002,0.7514,0.8295,0.8202,0.3775,0.7499,0.6331,0.7799,0.7199,0.7320,0.7246,0.6823,0.7223,0.0000,0.8840,0.2623,0.3583,0.2970,0.7180,0.8120,0.8658,0.5962,0.7181,0.7144,0.6740,0.7545,0.8067,0.7486,0.6267
GRA,0.7887,0.4890,0.7921,0.5834,0.5267,0.7827,0.7601,0.8210,0.5821,0.3660,0.6654,0.7350,0.6682,0.8510,0.4677,0.6269,0.8840,0.0000,0.7007,0.8406,0.8185,0.4617,0.7615,0.8621,0.6249,0.3983,0.7818,0.5683,0.6941,0.7466,0.8169,0.6691
PW,0.7612,0.6927,0.6964,0.6455,0.7698,0.7559,0.7512,0.4144,0.4891,0.6376,0.6432,0.7770,0.7559,0.5772,0.7362,0.6207,0.2623,0.7007,0.0000,0.4299,0.1291,0.7337,0.7170,0.8017,0.4106,0.4952,0.5777,0.6673,0.7062,0.6577,0.6501,0.5501
CCS,0.6433,0.6084,0.7124,0.4402,0.6569,0.6310,0.7879,0.2702,0.5051,0.7166,0.5740,0.7677,0.6163,0.6086,0.6796,0.5205,0.3583,0.8406,0.4299,0.0000,0.3280,0.7049,0.5911,0.7454,0.5519,0.7533,0.7017,0.6197,0.7138,0.5721,0.6274,0.5212
SCH,0.7319,0.6079,0.7300,0.6057,0.7529,0.6536,0.7755,0.4398,0.5083,0.7609,0.6709,0.7642,0.7311,0.4027,0.7690,0.5237,0.2970,0.8185,0.1291,0.3280,0.0000,0.7948,0.6455,0.7644,0.5680,0.6135,0.5954,0.7714,0.7927,0.5200,0.6143,0.5086
BOP,0.4116,0.6309,0.4119,0.4740,0.2169,0.7875,0.7263,0.7535,0.5279,0.3725,0.4147,0.4567,0.8590,0.8734,0.3031,0.7845,0.7180,0.4617,0.7337,0.7049,0.7948,0.0000,0.6988,0.8343,0.4776,0.4632,0.7284,0.6171,0.4877,0.7149,0.7431,0.6114
VCP,0.5524,0.5110,0.6113,0.7909,0.6698,0.7032,0.7313,0.5563,0.4460,0.7976,0.5950,0.6925,0.7109,0.4973,0.6471,0.6600,0.8120,0.7615,0.7170,0.5911,0.6455,0.6988,0.0000,0.3614,0.5589,0.7789,0.6222,0.9056,0.7391,0.4740,0.1704,0.6275
SKD,0.6494,0.6890,0.7699,0.8642,0.7948,0.7350,0.7394,0.7127,0.6990,0.8835,0.7592,0.7168,0.7109,0.4973,0.7992,0.7478,0.8658,0.8621,0.8017,0.7454,0.7644,0.8343,0.3614,0.0000,0.7561,0.8570,0.4612,0.9251,0.7656,0.6385,0.3054,0.7771
INM,0.5248,0.5435,0.4483,0.6549,0.5657,0.6721,0.7016,0.5427,0.2855,0.5428,0.3783,0.7601,0.7567,0.7519,0.4857,0.6979,0.5962,0.6249,0.4106,0.5519,0.5680,0.4776,0.5589,0.7561,0.0000,0.4984,0.5073,0.7541,0.6460,0.5618,0.5773,0.2981
VEI,0.7753,0.7605,0.7225,0.4700,0.3815,0.9007,0.7459,0.6926,0.5583,0.5029,0.6772,0.6481,0.7285,0.8694,0.4701,0.7059,0.7181,0.3983,0.4952,0.7533,0.6135,0.4632,0.7789,0.8570,0.4984,0.0000,0.6387,0.5729,0.6114,0.7346,0.7525,0.5044
PUI,0.7620,0.5071,0.5460,0.8719,0.7729,0.7280,0.8958,0.7711,0.6020,0.7436,0.7202,0.7873,0.5248,0.6970,0.7641,0.5966,0.7144,0.7818,0.5777,0.7017,0.5954,0.7284,0.6222,0.4612,0.5073,0.6387,0.0000,0.8800,0.8158,0.6176,0.5157,0.3433
BHS,0.6966,0.8075,0.7318,0.4237,0.7424,0.5758,0.5707,0.6898,0.7961,0.5525,0.6220,0.6553,0.5413,0.8151,0.7051,0.6643,0.6740,0.5683,0.6673,0.6197,0.7714,0.6171,0.9056,0.9251,0.7541,0.5729,0.8800,0.0000,0.5399,0.7834,0.8957,0.7375
FRI,0.5920,0.8741,0.6015,0.5768,0.6219,0.5863,0.6950,0.5418,0.7123,0.6842,0.4976,0.5849,0.8784,0.9299,0.5723,0.7898,0.7545,0.6941,0.7062,0.7138,0.7927,0.4877,0.7391,0.7656,0.6460,0.6114,0.8158,0.5399,0.0000,0.8769,0.5190,0.7715
ACC,0.6123,0.4750,0.7697,0.7418,0.6913,0.5074,0.6415,0.6490,0.3826,0.8036,0.5771,0.8062,0.5639,0.1736,0.6882,0.4744,0.8067,0.7466,0.6577,0.5721,0.5200,0.7149,0.4740,0.6385,0.5618,0.7346,0.6176,0.7834,0.8769,0.0000,0.6022,0.5608
KRM,0.6707,0.6343,0.6269,0.8392,0.7976,0.5808,0.8261,0.5763,0.5778,0.8929,0.7332,0.8056,0.6099,0.4809,0.7868,0.6618,0.7486,0.8169,0.6501,0.6274,0.6143,0.7431,0.1704,0.3054,0.5773,0.7525,0.5157,0.8957,0.5190,0.6022,0.0000,0.6012
MCI,0.6103,0.4640,0.5643,0.7649,0.6912,0.6786,0.8094,0.6943,0.4988,0.6651,0.5743,0.8316,0.5838,0.7262,0.6880,0.5282,0.6267,0.6691,0.5501,0.5212,0.5086,0.6114,0.6275,0.7771,0.2981,0.5044,0.3433,0.7375,0.7715,0.5608,0.6012,0.0000
